@English@|@Scottish Gaelic@
@considered / observed / watched / ascertained@|@beachdaichte (adj)@
@constant / punctual / precise / minute /@|@mionaideach (adj) -eiche@
@contain / confine@|@cúm a-staigh@
@content / drift / essence / meaning / purport@|@brigh (f)@
@continual@|@daonnanach  (adj) -aiche@
@continuing / following / succeeding@|@leantainn (m) / leantail@
@convention / custom / practice / usage@|@gnàth (m) -an -annan@
@conversation / chat / discourse / discussion@|@comhradh (m) -aidh@
@conversation / company@|@conaltradh (m) -aidh@
@conversation / interview / speech@|@agallamh (m) -aimh -adh@
@cook@|@còicaire (m) -an@
@cool@|@direach sgoinneil@
@cool (temp) / crisp / fresh@|@fionnar (a) -aire -a@
@copy /@|@lethbhreac (m) -an@
@corner@|@oisean (m) oisinn -ein -an@
@corporation / society / company@|@cullach (f) -aich@
@correct / rectify / put right / mark@|@ceartaich (v)@
@correcting / correction (act of ...) rectifying@|@ceartachadh (m) -aidh -aidhean@
@corrections@|@ceartaichean (plr)@
@costly / expensive / dear@|@daor (adj) daoire@
@council@|@comhairle (f)@
@counsel@|@comhairle (f)@
@count /  calculate / number / enumerate@|@cunnt (v) -adh  -as -ais@
@counter@|@bhathar-bhog (m) -bhùird@
@counting / act of accounting / reckoning /@|@cunntas (m) -ais -an@
@countless / innumerable / unnumbered@|@dha-rireamh (neg pref)@
@country / countryside@|@dùthaich (f) dùthcha / -nnan@
@cousin (f)@|@nighean-piuthair-athair (f)@
@cover / cloak / sheet / mat@|@brat (m) -a -an@
@cover / clothe / dress / shelter@|@còmhdach (m) -aich -aichean@
@covered / clothed / dressed / sheltered@|@còmhdaichte (pst tns)@
@covering / shading / obscuring / sprinkling@|@sgàileadh (m) -eidh@
@cow@|@bó / bà (f)@
@cow / steer@|@mart (m) / mairt@
@cowboy@|@balach-cruidh (m), cuallaiche (m)@
@cracked / crazy@|@craicte@
@crawl / sneak / grovel / creep@|@snàig (v)@
@creation / creature / forming / inventing@|@cruthachadh (m) -aidh@
@credence / credit / trust@|@creideas (m) -eis@
@credit / character / praise / respect / fame@|@cliù  (m)@
@creel / basket (lrg) / chest@|@cliabh (m) clèibh@
@crest / apex / crown / summit / tip / zenith@|@bàrr / barra / barran (m)@
@criterion / standard / yardstick@|@slatan-tomhais (f)@
@crofter / peasant@|@croitear (m) -eir -an@
@crooked / curved / bent / not straight / wicked@|@fiar (adj) -a@
@crossword@|@tòimhseachan-tarsainn (m)@
@crude / raw / uncooked@|@amh (adj) aimhe@
@cry / call /shout@|@glaodh (m) -oidh -an@
@cry to stop horse / incite dog to chase@|@ios! (int)@
@cup / vial / bowl@|@cupa (m) -ain -an, cupan (m) -ain -an@
@curling (game)@|@crolaidh (m)@
@curmudgeon@|@sprainear (m)@
@curran dearg (m)@|@radish@
@curtain@|@cùirtear (m) / cùrtair@
@customary / usual / habitual@|@cleachdadh (a+vn) -aiche / a'@
@cut@|@geàrr, gearradh (v)@
@cutting / paring / slice (shaving)@|@sliseag (f) -eige -an@
@damnable@|@damaichte (adj)@
@damp / marsh / swamp / bog@|@bog (m) buig@
@danger / peril / crisis / jeopardy@|@gàbhadh (m) -aidh -aidhean@
@dangerous / doubtful / hazardous@|@cunnartach (adj) -aiche@
@dangerous / fearful / terrible / severe / perilous@|@gàbhaidh (adj) -e@
@dark@|@dorch (adj) / dorcha@
@darkness@|@dorchadas (m) -ais@
@dastardly / mean-spirited /cowardly /mean/ miserly@|@spìocach (adj) -aiche@
@daughter-in-law@|@nighean-cèile (f)@
@dawn / early / soon@|@moch (m)@
@day@|@dé (m)@
@dead /@|@marbh (m) -irbh@
@deaf person@|@bodhar (m) -air@
@deal with / negotiate with /transact business with@|@dean gnothach ri (phr)@
@death@|@bàs (m) bàis@
@debate / dispute / argument / discussion@|@deasbad (m) -aid -an@
@deceit / fraud / treachery / wrong@|@foill (f) -e@
@deceit / treachery / wiles@|@cealg (f) -an ceilge@
@deceive / abuse / delude / disappoint / charm@|@meall (v) -adh -aidh@
@December@|@Dùbhlachd (f)@
@declare / inform / relate / recount / tell@|@innis  (v)  innse@
@decline / bend / deflect / droop / incline / tilt@|@aom (v) -adh@
@deed / action / act@|@gniomh (m) -a -an -annan@
@deed / action / office / work@|@gnìomh (m) -a -an -anan mharan@
@deep / profound@|@domhainn (adj) -ne@
@deep sigh or sob@|@osann (m) -ainn@
@deer@|@fiadh / fèidh (m)@
@deficiency / flaw / fault / lack / need@|@easbhaidh (f) -e -ean@
@degree (temp.) / point / dot@|@puing (f) -e -ean@
@delay / finished  / meeting / attempt / delay@|@dàil (f) dàlach / dàlaichean@
@delay / hinder / rest / respite / want / trouble@|@éis (f) -e -an@
@delegation / candidate@|@luchd-tagraidh (m)@
@deliberate / by design / on purpose@|@a dh'aon(a) air gnothach (phr)@
@demonstration@|@fios-dhearbhadh (m) -aidh@
@dentist@|@fiaclair (m)@
@depart / leave@|@imeachd / imich (v)@
@deplorable / miserable / abject / poor / sad@|@truagh (adj) -aighe@
@depositor@|@taisger (m) -eir -an@
@desert / abandon / come to nothing / fail@|@diobair  (v)  -bradh@
@desire / inclination/ pleasure / will / wish@|@toil (f) -e@
@desire / will / pleasure@|@àill (f)@
@desire / will / pleasure / inclination / gout@|@togar (m) -air@
@desire / wish / passion / coveting / desiring@|@togradh (m) -aidh -aidhean@
@desiring / eagerly wishing@|@togairt (f) a' togairt@
@desirous / fond of / addicted to / enthusiastic@|@déidheil (adj) -eala@
@desisting / ceasing / leaving off / stopping@|@sgur (m)@
@despite@|@a dh'aindeoin (compound prep)@
@despite / in spite of / irrespective of@|@aindheoin (prep gen) dh'-@
@destiny / fate / providence@|@dàn (m) dàin@
@destroyer / demolisher@|@sgriosadair (m) -ean@
@destroying / ruining / pillaging@|@sgriosadh (m) -aidh -aidhean@
@destructive / ruinious / wasteful / slippery@|@sgrìosail (adj) -e@
@detect / find out / get out /@|@faigh a-mach@
@devise / invent / cntrive / frame@|@a' tùradh (v)@
@devising / inventing / turning / returning@|@tionnsgnadh (m) -aidh@
@dew / fog / mist@|@cruinneach (f)@
@dialect / brogue /@|@dualchainnt (f) -e -ean@
@dialogue / conference / symposium@|@co-lahairt (f)@
@diarrhoea@|@Galar-buinneach@
@die / expire@|@eug (v) / eugh / eugadh@
@die / expire / pass away / wither@|@bàsaich (v) a'bàsachadh@
@difference / discrepency /@|@diofar (m) -air@
@difference / divorcing / distance / separating@|@eadar-dhealachadh (m) -aidh@
@different / differentiated / variegated@|@diofraichte (adj) -@
@difficult@|@cur (adj)@
@difficult / complicated / arduous / hard / sorry@|@duilich (a) duilige / dorra@
@difficult / dogged / hard / intolerable / gruff@|@doirbh (adj) / dorra -e@
@difficulty@|@doribheachd (f / ind)@
@difficulty / dilemma / hardship /@|@càs (m) -àis -an@
@difficulty / entreaty / narrowness / distress@|@cuinge (f)@
@dig / bore / excavate / quarry /@|@cladhaich (v) -ach -achadh@
@digger@|@cladhaichear (m)@
@digital clock@|@gleoc figearail (m)@
@diligent / industrious / perservering / pushing@|@oidhireach (adj)@
@diligent searching / act of searching diligently@|@geur-rannsachadh (m) -aidh@
@dingy / dirty / filthy / foul / soiled / sordid@|@salach (adj) -aiche@
@dining room@|@seòmar-biadhtachd (m)@
@dinner@|@dìnnear (f) -ier -an@
@direct / exactly / just / straight@|@direach (adv)@
@direct / steer / lead / conduct@|@stiùir (v) a'stiùireadh@
@dirgest / set in order / arrange@|@eagaraich (v) ag eagarachadh@
@dis / de  (eng. equiv)@|@dì / di@
@disappointment@|@mealladh-dùil (m)@
@discipline / learn / examine / learning /educating@|@foghlam (m) -aim@
@disconsolate / miserable / sad / sorrowful /rueful@|@brònach (adj) -aiche@
@discovery / appearance / exposure / showing@|@nochdadh (m) -aidh@
@disease / distemper / malady@|@galar (m) -air -an sm@
@disencumber / unload@|@dì-luchdaich (v)@
@display / disclose / publish / show / unfold@|@foillseach (v) -eachadh@
@displease/ dissatisfy@|@mì-thoilich (v)@
@displeased / dissatisfied@|@mì-thoilichte (adj)@
@displeasure / grudge / indignant@|@diomb (m)@
@dispraise / abusing / disparaging / slander@|@di-moladh (m) -aidh@
@dispute / confusion@|@upraid (f) -e -ean@
@disrespectful / ill-bred / unmannerly@|@mì-mhodhail(adj) -e@
@dissatisfaction / discontentedness@|@mì-tholeachas (m) -ais@
@dissolve / melt / thaw / fuse / run / smelt@|@leagh (v) -adh@
@distance / duration / all of / the length of@|@fad (m) / faide@
@distance / journey / tour / speed@|@astar (m) -air -an@
@distillery@|@taigh-staile (m)@
@distinguished / famous / illustrious / notable@|@ainmeil (adj) -e@
@distorting / act of distorting@|@spàgadh (m) -aidh@
@distress / oppression / outrage / bother@|@sàrachadh (f) -aidh -aidhean@
@distrust / suspicion / jealousy / non-reliance@|@an-earbsa (f)@
@ditch / moat / trench / insurmountable /difficulty@|@staing (f) -e -ean@
@diversion / wit / joking (ri fearas-cuideachd)@|@fearas-chuideachd (f)@
@do / make@|@dèan (v) -amh@
@do / make / carry out / construct / produce@|@dèan (irreg vrb) / dèanamh@
@doctrine / teaching@|@oileanachd (m) -aich@
@dog-tired@|@cho sgìth ris a' chù (phr)@
@don’t mention it@|@’s e do bheatha (phr)@
@donate@|@thoir tabhartas (v)@
@door / door valve / shutter@|@còmhla (f) -aichean@
@doubt / uncertainty / hesitation / suspense@|@teagamh (m) aimh -an@
@doubtful / doubting / uncertain / suspicious@|@teagamhach (adj) -aiche@
@down / downwards@|@sios  (adv)@
@dozen / certain quantity of yarn@|@dusan (m) -ain@
@drag / tug / pull@|@dragh (v) -adh@
@draught beer@|@lean-baraille@
@draw@|@dèan dealbh@
@drawn / pulled / enticed / distilled@|@tarraingte (pt pt of tarraing)@
@dreadful / unbecoming / uncomely / unseemly@|@mì-chiatach (a)@
@dream / reverie / vision@|@bruadar (m) -air -an, bruadar (v) a'bruadair -daradh@
@dreaming / act of dreaming@|@brudarach (m) -aidh@
@dress@|@dreasa (f) -aichean@
@dress / clothe / adorn / dress up / embellish@|@sgeadaich (m) -achadh@
@dressed / adorned@|@sgeadaichte (pp)@
@drink / booze / imbibe / lap@|@òl (v)@
@drink / draught / liquor / potion / refreshment@|@deoch (f) -an dighe@
@drive@|@draibh (v) -eadh@
@drive / propel@|@iomain (v)@
@driving / shinty@|@iomain (f) -e@
@drop@|@boinne (f) -ean@
@drop / fall  / lapse / tumble / sag@|@tuit (v) -eam@
@drown / immerse / quench / extinguish / slake@|@bàth (v)@
@drunk@|@air mhisg@
@drunken / intoxicated / drunk@|@misgeach (adj) -eiche@
@drunkeness / inebriation / intoxication@|@daorach (f) - aich@
@due / worth / value / rate@|@fiach (m) fèich / fiachan@
@due to / since / during@|@ri linn (conj)@
@dull / stupid / stubborn / cold / attentive /surly@|@dùr (adj) -ùire@
@dulse@|@duileasg (m) -isg / fithreach@
@dumb / mute / quiet / speechless@|@balbh (adj) bailbhe@
@dumb / mute / silent / quiet / speechless@|@balbh (adj) -ailbhe@
@during / throughout@|@rè (prep + gen)@
@during / when@|@linn (prep+g) ri linn@
@dusky@|@dorch (adj) / dorcha@
@dust@|@dus (m) duis / dust@
@dust / fine particles@|@dust (m)@
@dust / ground / earth@|@dùslach (m) -aich@
@dwarf / leprechaun / pigmy@|@luchorpan (m) -ain@
@each / every@|@gach (adj)@
@each hour@|@gach uair den ghleoca@
@ear@|@clua(i)s (f) -e -ean@
@early@|@madainneach (adj) -eiche, tràth (adj/adv)@
@early ripeness / prematurity@|@moch-abachd (f)@
@early rising@|@moch-éirigh (f)@
@earn / win / gain / acquire@|@coisinn (v) a' cosnadh@
@earnest expectation / hope / longing@|@fiughair (f) -e@
@earning / purchasing / hoarding / pondering@|@cnuasach  (m) -aich@
@earnings / work / employment@|@cosnadh (m) -aidh -aidhean@
@earth / and / soil@|@talamh (m) -an -nan -anta@
@earth / beginning / bottle@|@ùrach (m) -aich@
@earth / mould / soil@|@ùir (f) -e ùireach / ùirach@
@earth-nut  {talmhainn} / peanut@|@cnò-thalmhainn (f) -than@
@east@|@ear (f)@
@Easter@|@càisg (f) -e / càsg@
@Easter Sunday@|@Dòmhnas Càsg@
@easy / facile / simple / of easy accomplishment@|@furasta (adj) / fasa@
@eat@|@ith (v) -e -eadh@
@echo@|@mac talla (m)@
@ecouragement / inducement / incentive / stimulus@|@brosnachadh (m) -aidh -aidhean@
@edge / border / brink / fringe / ledge / periphery@|@oir (f) -e -ean@
@edited / ordered@|@eagaraichte (pp)@
@edition@|@eagran (m) -ain@
@educating / educated / instructing / well-bred@|@oileanach (adj) -aiche@
@effect / avail / consequence / efficacy@|@éifeachd (f)@
@effectual / efficient / of avail@|@éifeachdach (adj) -aiche@
@egg@|@ugh (m) uighe -ean@
@eight people@|@ochdnar@
@either / more@|@nas motha@
@either way / whatever the case@|@co-dhuibh (cmpnd)@
@elbow@|@uilnich (v) -eachadh@
@electricity / latch@|@dealan (m) -ain@
@elegant / neat@|@snasail (a) -e / snasmhor@
@elevate / raise aloft / heighten / increase /exalt@|@àrdaich (v) -achadh@
@elk / deer / stag@|@os-allaidh (m)@
@eloquence / elocution / phraseology / terminology@|@briathrachas (m) -ais@
@e-mail@|@post-dealain (m)@
@emphasis / importance / weight / pressure@|@cudrom (m) -oim@
@empty / void  / poor / in want  / unoccupied@|@falamh (adj) -aimhe@
@end / conclusion / limit / boundary / border@|@crìoch / crìche (f) -an@
@end / rear / stern / finish / conclusion@|@deireadh  (m) -ridh -ridhean@
@end-of-term@|@deireadh-teirme (m)@
@enemy / adversary / foe / antagonist@|@nàmhaid (m) -imhdean / nàimhad@
@engineer@|@einnseanair (m) -ean@
@engineer / mechanic@|@innleadair (m)@
@engineering (mechanical)@|@einnseanaireachd (f)@
@enigma / puzzle / parable / riddle@|@tòimhseachan (m)@
@enjoy / relish@|@meal (v) -tainn -adh@
@enjoying / enjoyment / possessing /act of enjoying@|@mealtainn (m) (pr pt of meal)@
@enjoyment / pleasure / relish@|@tlàchd (f)@
@enough@|@gu leòr (adv)@
@enough / more / surplus / preponderence@|@barrachd (f)@
@enough/ sufficient / too much / superfluity@|@cus (m) / cuis@
@enslavement / servitude / servility / addiction@|@tràillealachd (f) -achd@
@enter / begin@|@inntrig (v) -eadh@
@entirely / altogether@|@gu tur (adv)@
@envy / grudge at another's success@|@farmad (m) gabh farmad ri@
@equal to un / in@|@dha (neg pref)@
@error / inaccuracy / mistake / lapse / wrong /slip@|@mearachd (f) -an@
@essence / juice / substance /meaning / energy@|@blàdh (m) -aidh@
@estimation / opinion / surmise / conjecture@|@barail (f) -e@
@etc)@|@clas (m) -aichean@
@event / occurance / happening / adventure@|@tachartas (m) -ais -an@
@ever / never@|@riamh / a-riamh (adv) pst tns@
@evil / wickedness@|@olc (m) uilc@
@examine / explore / look / search / research@|@rannsaich  (v) -achadh@
@examining / review / study / inquest / research@|@sgrùdadh (m+vn)- aidh -aidhean@
@example / instance / precendent / sample@|@eisimpleir (f) -ean@
@excellent / very good@|@math dha-rìribh (phr)@
@excuse me@|@gabh mo leisgeul (phr), gabhaibh mo leisgeul (phr)@
@exhausted / frustrated / beaten / conquered@|@sàraichte (pt) / sàraich@
@exhausted / wearied / worn / fatigued@|@claoidhte (adj/pst tns)@
@exhibition / display / show@|@taisbeanadh (m) -aidh -aidhean@
@existence / life / being@|@bith (f) -e@
@expect / hope@|@dùil (f) -e -ean@
@expectant@|@fiughaireach@
@expensive / extravagant / profuse / prodigal@|@cosgail (adj) costail / -e@
@experience / fashion / usage / practice@|@cleachdadh (m) -aidh -aidhean@
@experiencing / dossier / facts / information@|@fiosrachadh (m & vn) -aidh@
@expert / clever / smart@|@innidh (adj)@
@explain / account for / annalyse / interpret@|@minich (v) -eachadh@
@extent / grade / position / degree / stage@|@ìre (f) ìrean / ìreachan@
@extinguish / quench@|@smàl (v) -adh@
@exuberant / hasty / rapid / rash / impetuous@|@bras (adj) -aise@
@eye / look / glance / expect@|@sùil (f) sùla / sùilean@
@eyelash / eyelid / prose / exposition@|@rosg (m) ruisg / roisg / -an@
@fable / legend / story / tale / yarn@|@sgeulachd (f) -an@
@face / countenance / appearance / aspect / favour@|@gnùis (f) -e -ean@
@face / facade / countenance / front / cheek(y)@|@aghaidh (f) -e -ean@
@facility / facilitation / easiness / ease (doing)@|@furasachd (f)@
@faggot (wood bundle)@|@cual (f) -ail -tan -tean@
@faint / fainting / weary / fatigue / languid@|@fannachadh (m) -aid@
@faint / languid / weak / feeble / helpless /infirm@|@fann (adj) fainne -a -aich@
@fair / dry weather@|@turadh (m) -aidh@
@fairy / elf@|@sìthiche (m) -ean@
@faithful / saunch / devout / loyal / true@|@dìleas (adj)@
@falling / fall / degeneracy / laspe / tumble@|@tuiteam (m)@
@fare / freight / carriage@|@faradh (m) -aidh -aidhean@
@farinaceous /mealy@|@mineach (adj)@
@farmer@|@tuathanach (m)@
@fat / plump / fleshy / greasy / gross / great@|@reamhar (adj) -mhra@
@fat / plumpness / fatness / mirth / joy / jest@|@sult (m) -uilt@
@father / sire / progeniator@|@athair (m) /athar /athraichean@
@Father Christmas / Santa Clause@|@Bodach na Nollaig@
@fault / blame / wrong doing@|@coire (f) -eannan@
@fault / harm@|@cron (m) -oin@
@favour / grace@|@fàbhar (m) -air -an@
@favourable / kind / disposed to befriend@|@fàbharach (adj) -aiche@
@fear / fright@|@eagal (m) -ail@
@feast / banquet / treat / reception@|@cuirm (f) -e -ean@
@feather / fin@|@ite (f) -an@
@February@|@Gearran (m)@
@feeble / frail / weak /faint / defenceless@|@lag (adj)@
@feeding / nourishing / fattening@|@biadhadh (m) -aidh@
@feel / sense@|@fairich (v) -achadh -eachdainn@
@feeling / sense / sensation@|@faireachdainn (f) -aidh@
@fellowship / assemblage / friendship / intercourse@|@caidreabh (m) -reibh@
@fem. person or object@|@tè (ind pron f)@
@female / spawning fish@|@ban-iasg (f)@
@female / woman / feminine@|@boireann (m) -ach -aich@
@fence / hedge / partition@|@callaid (f) -e -ean@
@festival@|@fèis (f) -e -ean@
@festival / market / fair / sale@|@féill (f) -e -ean - tean@
@field / battlefield@|@blàr (m) -air -an@
@fifth / province@|@còigeamh (m)@
@file@|@faidhl (m) -ichean@
@file / papers / meeting@|@còmhlachadh (m)@
@fill / replenish@|@lìon (m) -adh@
@filling / act pf filling / replenishing / rising@|@lìonadh (m) -aidh@
@finally / at last@|@deòidh (adv)/fa /fa dheaghaidh@
@find / discover / trace / search@|@lorg (v)@
@finding / getting@|@faotainn (f) alternate ver. fa@
@fine / good / grand / well / pretty@|@deagh (adj)@
@fine / splendid / decent / excellent@|@gasda (adj) gasta, gasta (adj) gasda@
@finger / digit / branch / knot@|@meur (m) meòir -an@
@fir / pine forest@|@giùthsach (f) -aich@
@fir / pine tree@|@craobh-ghiuthais (f)@
@fire escape@|@tèarnadair bho theine (m)@
@firefighter@|@smàladair (m) -ean@
@first / primary / initial / principal@|@ciad (a)@
@first time@|@a' chiad uine@
@fish@|@iasg (m) èisg@
@fisherman / angler@|@iasgair (m) -ean@
@fishing rod@|@slat-iasgaich (f)@
@five people@|@còignear@
@fix / repair / mend@|@càir (v) càradh -ich@
@flake / splinter / forefinger / index finger@|@sgealbag (f) -aige -an@
@flashback@|@ais-shealladh (m)@
@flax / lint@|@lìon (m) lìn@
@flesh / meat@|@feòil (f) feòla@
@flich / steal / pilfer / thieve@|@goid (v)@
@floating / buoyancy@|@fleòdradh (m) -aidh@
@flood / deluge / heavy rain / torrent@|@tuil (m) -eim -an@
@flower / blossom / bloom / foliage / hue@|@blàth (m) -aith -a@
@flying / act of flying / fluttering@|@itealaich  (f)@
@fold / plait@|@fill (f) -ean@
@Fold of the leaf of a book / Distortion of a shoe@|@spàg (f)@
@folded / plaited / implied / plied@|@fillte (a)@
@folder / bundle / parcel / pack@|@pasgan (m) -ain@
@folk / kindred / people@|@muinntir (f) -e -ean@
@follow / dog / ensue / continue / pursue /@|@lean (v) -tainn -mhainn -tail@
@follow / pursue / chase / adhere / trace@|@a' leanmhainn (pr pt of lean)@
@following / pursuing / act of following@|@leanmhainn (m)@
@fond of ease / effeminate / unmanly@|@soisealta (adj)@
@food / meal@|@biadh (m) / bidh -an@
@fool / clown / idiot / loony / mug@|@amadan (m) -ain@
@foolish / silly / daft / stupid@|@gòrach (a) -aiche@
@foolish person / imperfect speaker@|@glaomar (m) -air -an@
@foolish woman / silly goose / harlot / idiot (fem)@|@òinseach (f) -ich -ichean@
@foot (body & length)@|@troigh (f) -e- ean@
@for  / towards / till / in order that@|@chum (prep) / a chum@
@for (the) reason@|@do bhrìgh 's (conj)@
@for / because@|@oir (conj)@
@for / because / for the sake of / wanting to /@|@airson (prep)@
@for / because of  / on account of@|@son (prep.impr/adv) air son@
@for / for the sake (of)@|@air son (compound prep)/airson@
@for / in order that/ for the purpose of /therefore@|@a chum (prep)@
@for / to / unto@|@do (prep+)@
@for / to her or to it@|@dhì (prep pron) -ìse@
@for / to him or to it@|@dha (prep pron) -àsan@
@for / to me@|@dhomh (prep pron) -sa@
@for / to them@|@dhaibh  (prep pron) -san@
@for / to us@|@dhuinn (prep pron) -e@
@for / to you@|@dhuibh (prep pron) -se, dhut / dhuit (prep pron) -sa@
@for fear / lest@|@air eagal 's (conj)@
@for heaven's sake {on what you ever saw}@|@ach na chunnaic thu riamh (phr@
@for myself / for my own part / as for me@|@air mo shon fhéin (phr)@
@for the sake (of) / because (of)@|@air sgàth (compound prep)@
@for the sake of@|@air sgàth 's (prep)@
@force / violence / compulsion / hardship@|@éiginn (f)@
@forest@|@coille  (f)@
@forever / ever@|@gu bràth (adv)@
@forget (about)@|@dìochuimhnich (v) -eachadh@
@forgetful / absentminded / unmindful@|@dìochuimhneach (adj)@
@forgetfulness@|@dìochuimhe (f)@
@form / fashion / manner / usage / ceremony@|@furm (f) -e -ean@
@form / figure / appearance / effigy / shape / mold@|@cruth (m) -a -an -annan@
@form / figure / image / shape@|@dreach (m) -a -an@
@formed from bean / female@|@ban- / bana- (pref)@
@fort / fortress / heap@|@dùn (m) dùin@
@forth / out / forwards@|@a-mach (adv)@
@fortnight@|@ceala-deug (f), cola-deug (f) /ceala-@
@fortunate / lucky@|@fortanach (adj) -aiche@
@fortunate / lucky / prosperous@|@sealbhach (adj) -aiche@
@forty (new style of counting)@|@ceathrad (m) -aid -an@
@forward@|@air adhart (adv)@
@forward(s) / onward(s) / forth@|@adhart (adv) / air adhart@
@foundation / base / authority / confidence / trust@|@bunachar (m) -air -an@
@fourth@|@ceathramh (a)@
@fragrant@|@cùbhraidh (adj)@
@free / gift / for nothing / without payment@|@asgaidh (adv) an-asgaidh@
@frequently / often@|@gu tric (adv)@
@fresh / new / recent / vigorous / youthful / novel@|@ùr (adj) / uire@
@fresh water@|@bùrn (m)@
@Friday@|@Dihaoine (m)@
@friend / kinsmen / ally / couple@|@caraid (m) càirdean -e -ean@
@friendly / kind / tender / related@|@càirdeil (adj) -e@
@friendship / kinship / relationship@|@càirdeas (m) càirdeis@
@from / from off / down from@|@bhàrr (prep) /far@
@from / of / off / out of@|@à  (prep) /às@
@from A  B  C {the 1st 3 letters}see aibidil@|@aibirsidh@
@from early to dark@|@bu moch gu dubh (phr)@
@from early to late@|@bho mhoch gu anmoch (phr)@
@from her / it@|@'uaipe (prep pron) bhuaipe, bhuaipe (prep pron)@
@from him@|@bhuaithe (prep pron) -san@
@from him / it@|@'uaithe (prep pron) bhuaithe@
@from me@|@'uam (contr) bhuam, bhuam (prep pron) -sa@
@from them@|@'uapa (prep pron) bhuapa, bhuapa (prep pron)@
@from time to time / intermittent(ly)@|@bho àm gu àm (adv) /o àm gu àm@
@from us@|@'uainn (prep pron) bhuainn, bhuainn (prep pron)@
@from you@|@'uat (prep pron) bhuat, bhuat (prep pron) -ithe@
@from you  (plr/fml)@|@bhuaibh (prep pron)@
@from you (plr/fml)@|@'uaibh (prep pron) bhuaibh@
@front room / ante-chamber@|@seòmar-aghaidh (m)@
@frosty@|@reòta (adj) -aidh@
@frown / sullen look / knock / sudden shove@|@gnog (m) -oig -an@
@frowning / sulky / gloomy@|@gnoigeach (adj) -eiche@
@fulfilled / performed / completed@|@comhailteach (adj)@
@full / complete@|@làn (adj)  làine@
@full / roomy / capacious@|@luchdmhor (a) -oire@
@full-time@|@làn-ùine (adj)@
@fun / jest / joke / joking@|@fealla-dhà (m)@
@funeral / burial@|@tiodhlacadh (m) -aidh@
@future-tense@|@trath-teachdail@
@Gaelic spelling of bucket / pimple / blotch@|@bucaid (f) -ean@
@Gaelic spelling of snack@|@snaoic (f)@
@gaff / hip-bone / hoe@|@croman (m) -ain@
@Gàidlig music & Arts Festival@|@Mòd  (m)@
@gain / profit / win / aquire@|@buannacih (pr pt) a'buannachd@
@gallery@|@sràid-sheòmar (m)@
@gamble@|@dèan cèarrachas@
@gambler@|@cèarraiche (m) -ean@
@gaming@|@cèarrachd (f)@
@gaming / gambling@|@cèarrachas (m) -ais@
@garden / habitation / court / stall@|@lios (f) / lise -a -an@
@garden / yard / enclosure@|@garradh (m) -aidh-aidhean@
@gardening@|@a’ gàirnealaireachd@
@garlic@|@creamh (m) -a@
@gate / port@|@geata   (m)  -aichean  -chan@
@gathering / collection / meeting / cluster@|@cruinneachadh (m) -aidh /-ean@
@gathers / collects / ruminates / investigates@|@cnuasach (adj) -aiche@
@gave / brought@|@thug (past/indep.) / thoir, tug (pst tns/dep.) / thoir@
@gen sing of bean@|@mnà (gen sing) mnatha -of bean@
@gentleman / nobleman@|@uasal (m)@
@gently@|@gu foighidneach (adv)@
@Germany@|@Germailt (f) A' Ghermailt@
@get / obtain / receive / fetch / find / procure@|@faigh (v) -inn -eadh@
@get better soon@|@faigh na's fearr (phr)@
@get lost / go astray@|@rach air chall (v) dol air ...@
@giant / champion / mole catcher@|@famhair (m) -ean@
@gift / offering / tribute / remittance / present@|@tabhartas (m) -ais@
@give / bestow / grant / take away@|@tabhair (v. irreg) of thoir@
@give / bestow / take / bring@|@thoir (irrg v) / toirt@
@giving / taking / bestowing@|@toirt  (f &vn) thoir@
@glacier@|@déigh-shiubhail (f)@
@glad / joyful / festive / hospitable / lively@|@meadhrach (adj) -aiche@
@glass@|@glainne (f) -achan -nichean@
@glen@|@gleann  (m)@
@gloomy / sad@|@dùdlaidh (adj) -e@
@glove / mitten@|@miotag (f) -aige -an@
@glove / mitten / gauntlet@|@làmhainn (f)  -ean@
@glue@|@glaodh (m) -oidh@
@go@|@téid (fut dep form) rach@
@go  (past irreg. & neg)@|@deach (pst tnse rach) -aidh@
@go  / walk / stroll / depart / fly / vanish@|@suibhail (v) a' siubhal@
@go (imper only)@|@theirig (def v)  theirig@
@go (will)@|@thèid (fut tns) of rach@
@go / begone / depart / retire@|@falbh  (v) a' falbh@
@go / depart / depart@|@imich (v) imeachd@
@go / go away@|@thalla (def v) imperative only@
@go / proceed@|@rach   (irrg v)  dol@
@go on / come on / come along@|@suithad!@
@go round@|@gabh mun cuairt air (phr)@
@go up@|@gabh suas  (phr)@
@going / leave / motion / departing / walking@|@falbh  (m)@
@going / travelling / proceeding / distance@|@dol (m)@
@going to nought@|@a' dol mu làr (phr)@
@gold@|@òr (m)@
@gold / golden@|@òir  (adj)@
@good luck@|@Gur math a thèid leat / leibh@
@good-humoured / good-humouredly@|@gu sunndach (adv)@
@goods / any stuff / substance/ matter/or body@|@stuth (m) -uith -uithe@
@goose@|@gèadh (m+f) -eòidh@
@gospel@|@soisgeul (m) -eil@
@government@|@riaghaltas (m)@
@government / sovereignty / principality / domain@|@uachdaranachd (f)@
@governor / rule / landlord / chief / superior@|@uachdaran (m)@
@graduate / take a step@|@ceumnaich (v) -achadh@
@grandchild@|@ogha (m) -ichean / -chan@
@grandfather clock@|@gleoc àrd (m)@
@grandmother@|@seanmhair (f) -an -ean@
