@English@|@Scottish Gaelic@
@amusing / comical / funny@|@èibhinn (a) -e@
@an artist / engineer / ingenious person@|@fear-innleachd (m) / fir-@
@ancestor / forefather@|@sinnsear (m) -sir -sirean@
@ancestry / decendents@|@sinsearachd (f)@
@anchor@|@cruaidh (f) cruadhach -aichean@
@and@|@agus (conj) also is & 's@
@and a half@|@gu leth (adv)@
@animator@|@beothaichear (m) -eir -an@
@anniversary / birthday@|@co-là / co-làtha (m)@
@annoyance / mischief / trouble / tribulation@|@trioblaid (f)@
@annoyed / displeased / dissatisfied / indignant@|@diombach (adj) -aiche@
@anns (in some areas)@|@as (abbr of)@
@annually@|@gach bliadhna (adv.phr)@
@annually / yearly /@|@bliadhna (f) -achan -aichean@
@another one (female)@|@tèile (pron)@
@answer / cope with / suit /  be sufficent@|@dèan an gnothach (phr)@
@answer / reply@|@freagair (v) -airt@
@anticipate / expect@|@sùilich (v) -eachadh@
@any (in existence)@|@sam bith@
@any / anyone / anything@|@gin (pron)@
@anyone at all@|@duine sam bith@
@anything / iota / jot / thing@|@dad (f)@
@anything at all / with neg. (nothing at all)@|@rud sam bith@
@anything to do (with)@|@dad sam bith (phr)@
@anytime@|@àm sam bith@
@apart@|@gu taobh (adv)@
@apology / defence / evasion / excuse / plea@|@leisgeul (m) -eil -an@
@appeal / desire / appetite / appearance@|@càil (f) -e -ean@
@appeal / drag / haul / incite / shuffle@|@tarraing (v)@
@appear / discover / show / reveal / present@|@nochd (v)@
@appearance / form / likeness / interpretation@|@riochd (m)@
@appetite / desire / longing / wish@|@miann (m/f) -an -tan@
@apple@|@ubhal (m) / ùblan -ail@
@apprehend / bag / catch / capture / grasp / trap@|@glac (v) -adh -ail@
@approach / draw near / join / adhere@|@dlùthaich (pr pt)@
@approaching / joining / gluing / pressing@|@dlùthachadh (m) -aidh@
@April@|@Giblean (m)@
@aquaintance / experience / knowledge / familiarity@|@eòl (m) -ais -as@
@aquaintance / expert / knowledgeable / familiar@|@eòlach (m) -aich@
@aquaintance / knowledge / ken / discernment@|@aithne (f)@
@archive@|@tasglann (f)@
@archive library@|@tasg-lann (f)@
@archives / archive library@|@tas-glann (f)@
@are you certain?@|@bheil thu beachdaidh? (phr)@
@area / district / quarter / region / part@|@ceàrn (f) -a -an@
@around / aroundabout / concerning@|@mu thimcheall (prep)@
@around / round / about@|@timcheall (adv)@
@arrive / attain / reach / extend@|@ruig (irreg v) -sinn -hinn@
@arse / backside / bum / bottom / buttock / rump@|@màs (m) -àis@
@article@|@artaigil (m) / airteagal -ail@
@article (clothing etc) / limb / rope / cord / spot@|@ball (m) / buill@
@article / essay / composition@|@aiste (f) -ean@
@article in grammar@|@puncar (m) -air@
@articulate / fluent / racy / flowing@|@siùbhlach (adj) -aiche@
@artificer / artisan@|@ealantair (m) -ean@
@artist / carver / sculptor@|@snaidheadair (m) -eachd@
@as ... as ... {e.g.cho cruaidh ris an...}@|@cho ... ris ...@
@as / how@|@mar (conj) / man@
@as / so / such@|@cho (adv)@
@as a  consequence of / on account of@|@tàille (+ gen) air tàille@
@as much as@|@ùiread agus@
@as you ought@|@mar bu chòir dhut@
@ascend / clamber / scale / scramble@|@streap (v) -adh@
@ascend / climb / mount@|@dìrich (v) a'dìreadh -eachadh@
@asking / questioning / inquisitiveness@|@faighneachd (f)@
@asparagus@|@creamh-mac-féidh (f)@
@at / also used with possession@|@aig  (prep)  + dat@
@at all hours@|@moch is anmoch (adv.phr)@
@at any time / ever@|@aig àm sam bith (adv)@
@at her@|@aice  (prep pron)  aicese@
@at hin@|@aige  (prep pron)  aigesan@
@at his / her / it  (is ~ lenites ..)@|@'ga  (pron) aig + a@
@at last / at length / finally@|@mu dheireadh (adv)@
@at last/ finally /after all/ at length /ultimately@|@fa-dheòigh (adv)@
@at least / at the very least@|@char as lugha@
@at length / at last / ultimately / finally@|@fa-dheòidh (adv)@
@at me@|@agam  (prep pron)  agamsa@
@at night / of a night@|@a dh'odhche (adv)@
@at them@|@'gan / 'gam (pron) aig + am/an, aca  (prep pron)  acasan@
@at this time@|@an tràth seo@
@at us@|@'gar  (pron) aig + ar, againn  (prep pron)  againne@
@at you@|@'gad  (pron) aig + an, agad  (prep pron) agadsa@
@at you  (plr)@|@agaibh  (prep pron)  agaibhse@
@at you (plr)@|@'gur  (pron) aig + ur@
@atempt / effort / endeavour / initiative@|@oidhirp (f) -ean@
@atop / on top (of)@|@air muin (compound prep)@
