@nominative determ.@|@-r@
@nose@|@pa@
@not@|@mä-@
@object version despite will@|@fä-@
@of high quality@|@daghwa@
@old@|@zä@
@old woman@|@nana@
@one@|@zä@
@oneself@|@jazä@
@onion@|@a-žämšä@
@orphan@|@jäba@
@past perfect@|@-gha-@
@peach@|@q:äca@
@pear@|@qwäz@
@perfective and future suffix@|@-s@
@person@|@-w, cä-xw@
@pig@|@Law, Lawä@
@pigeon@|@tharäq:wa@
@pimple@|@bagw@
@place@|@pa@
@place between hips@|@baq:w@
@plane-tree@|@bžej@
@plaster@|@jä-n@
@ploughshare@|@va-bja, vabja@
@plural@|@-xa, -xar@
@pointed@|@pa-pca@
@post@|@bäq:ow, pq:ow@
@potentiality@|@-f, xwa-@
@precious stone@|@mächä@
@precipice@|@bza-pa@
@present@|@-0@
@present participle@|@-r@
@pre-verb in@|@da-, i-@
@preverb inter@|@xa-@
@preverb super@|@te-@
@privative suffix@|@-nša, ža@
@probability@|@-ghan@
@proud@|@paga@
@pus@|@wataps@
@put on airs@|@zägha-bäbä-n@
@quail@|@nabghwa@
@quilted jacket@|@chas'@
@rain@|@q:e-šxä-n@
@ram@|@tä@
@ram slaughtered in honor@|@näš@
@ray@|@bzij, bzijbzij@
@reciprocal prefix@|@za-, zarä-@
@red@|@pLä-z@
@reflexivity prefix@|@zä-, zarä-@
@rib@|@ja-za@
@riches@|@bäLäm@
@right@|@jä-z@
@river@|@psäxwa@
@road@|@ghwa-gw@
@root@|@q:waps@
@round@|@xwärej@
@saccharine grains@|@säxa@
@salt@|@šäghw@
@sand@|@pšaxwa@
@scoop@|@h'anš, h'aš@
@scratch@|@pastxan@
@sea@|@xä@
@season@|@ga, jä-ghwa@
@seed@|@žadä-cha, žäLa@
@seven@|@bLä@
@shaggy@|@baLaca@
@shake@|@säsä-n@
@sharp@|@žän@
@shed@|@baq@
@sheep@|@xwä-@
@sheep-fold@|@chat@
@short@|@chas@
@sickle@|@ghwäbža@
@side@|@bghwä, jaba@
@silver@|@däzän@
@sit@|@-sän@
@sit down@|@täsän@
@six@|@xa@
@skeleton@|@p:q:ä@
@skin@|@fa@
@sky@|@wa-fa@
@sleep@|@žej@
@smart@|@jä-bza-n@
@smell@|@ma@
@smithy@|@chäs@
@smoke@|@'wä-ghwa@
@snake@|@bLa@
@snow@|@wasä@
@socks@|@La-pad@
@soft@|@tãta@
@son@|@q:wa, sãwa@
@son-in-law@|@maLxa@
@soul@|@psa@
@span@|@bziz@
@speak@|@žä-'a-@
@spit@|@jasa@
@stake@|@'wäna, bža-ghw@
@star@|@vãghwa@
@starling@|@bžandaxw@
@steam@|@baxa@
@step-relative@|@-pas@
@stone@|@mäva@
@strain@|@zän@
@suffice@|@järiq:wä-@
@suffix denoting place@|@-šwa@
@suffix of Nomina Agentis@|@-kwa@
@sun@|@dägha@
@suppose@|@gwa-gha-n@
@swallow@|@pcašxwa@
@swamp@|@psä-pça@
@sweat@|@psanta-ps@
@sweet@|@'af@
@swine@|@qwa@
@tail@|@cha@
@teat@|@bäj@
@ten@|@psä@
@testicles@|@ga@
@that@|@mor@
@thaw@|@vä-n@
@thick@|@ghwäm, pšar@
@thigh@|@kwa@
@thin@|@pas:a@
@this@|@ar@
@thoroughbred horse@|@xwãra@
@thou@|@ra@
@three@|@sä@
@throat@|@psakwäq:w, žäj@
@time@|@gha@
@to be@|@-'a-@
@to be benumbed@|@q:än@
@to be heard@|@'wä-@
@to bear@|@Lxwa-n@
@to beat@|@wa-n@
@to become soft@|@sa-n, san@
@to bite@|@-jaq:an@
@to boil@|@pstä-n, va-n@
@to break@|@q:wätan@
@to breathe@|@bawan@
@to butt@|@päja-n@
@to buy@|@saxwän@
@to call@|@ža-n@
@to change@|@xwažä-n@
@to choose@|@xa-da-n@
@to comb@|@zä-n@
@to come@|@masän@
@to count@|@bžä-n@
@to curse@|@ja-xwana-n@
@to cut@|@wäpsatan@
@to cut hair@|@päpxwän@
@to dance@|@wäžä-n@
@to dare@|@ja-kwä-n@
@to dig@|@tän@
@to do@|@wä-@
@to drink@|@jwa-@
@to drop@|@pätkwän@
@to eat@|@šxä-n@
@to enter@|@jä-ha-@
@to fall@|@wä-kwärä-jä-n@
@to fasten@|@sä-'w@
@to get into@|@texwan@
@to get sour@|@fa-'wä-n@
@to go sour@|@pca-n@
@to graze@|@ghaxwän@
@to graze at night@|@xa-psä-n@
@to grind@|@haža-n@
@to gulp@|@xwäpän@
@to hear@|@zaxa-xä-n@
@to hide@|@bzäsän@
@to howl@|@q:waghän@
@to knead@|@psän@
@to knit@|@xan@
@to laugh@|@daha-šxä-n@
@to lay eggs@|@cha-cä-n@
@to lure@|@gha-'wä-La-n@
@to move back@|@-žä-@
@to multiply@|@xäxwä-@
@to open@|@wäq:än@
@to paint@|@La-@
@to plait@|@xwä-n@
@to plough@|@van@
@to pound@|@wädan@
@to prick@|@-'wä-@
@to raise@|@'atän@
@to rake up@|@twän@
@to rear@|@pä-n@
@to ripen@|@taghwan@
@to roast@|@zan@
@to roll@|@žara-zä@
@to rub@|@xwan@
@to rumble@|@ghwaghwa-n@
@to run@|@ža-n@
@to say@|@žä-'a-n@
@to scatter@|@tesan@
@to search@|@Läxwan@
@to sell@|@sa-n@
@to sew@|@da-n@
@to shine@|@tepsän@
@to sift@|@wäxwansän@
@to sleep@|@-jä-n@
@to smear@|@säxwan@
@to stand up@|@ta-žä-n@
@to steal@|@dä-ghwa-n@
@to step@|@chä-n@
@to strand@|@sätän@
@to swin@|@jasän@
@to take offense at@|@ja-bgha-n@
@to tan@|@'wan@
@to thatch@|@bgha-@
@to threaten@|@dãLan@
@to throw@|@jän, pxä-n@
@to throw oneself upon@|@pxwan@
@to touch@|@ja'wäsän@
@to tremble@|@-zazä-n, chazazä-n@
@to twist@|@ža-n, žä-n@
@to untie@|@tatan@
@to vomit@|@q:azä-@
@to weave@|@san@
@to weed@|@psa-@
@to whet@|@Lä-n@
@today@|@noba@
@tooth@|@ja@
@tree@|@žä-g@
@two@|@twä@
@under@|@sa-@
@upper part of back@|@pLa@
@vehicle@|@gwä@
@vein@|@xwa@
@voice@|@maq@
@vulva@|@gwäd@
@waist@|@bgä@
@wall@|@bLän@
@walnut@|@da@
@warm@|@xwa-ba@
@wart@|@ham-cäracha@
@water@|@psä@
@wattle@|@za'wäjän@
@wax@|@šaxw@
@we@|@da, de@
@weasel@|@jäja, wäza@
@what@|@sät, sit@
@wheat@|@gwaj@
@white@|@xwä-z@
@who@|@xat, zet'@
@wide@|@bghwa@
@wild birds@|@q:waLa-bzuw@
@wind@|@zä@
@wing@|@dãma@
@winter@|@sä-maxwa@
@witch@|@wädä'@
@woman@|@fäz@
@wood@|@pxa@
@worm@|@h'ambäläw@
@wound@|@därq:wa@
@year@|@jä-La-s@
@yellow@|@ghwa-z@
@yoke@|@bzä@
@you@|@fa, fe, wa, wa, we, we@
@young@|@-zej, sa@
@zinc@|@jaxw@

