@small@|@ki-be@
@small earthenware jug@|@gizhin@
@small plank@|@qul@
@small sheep-flock@|@käpäl@
@smell@|@ne'@
@smoke@|@xim@
@snake@|@jer@
@snow@|@jiz@
@snow-drift@|@malxal@
@son@|@dix@
@sorrel@|@lurz@
@span@|@cip@
@sparrow@|@chilit@
@spindle's pivot@|@tunug, tunuk@
@spleen@|@tuxul@
@split@|@so-to=ql-@
@spoon@|@tur@
@spring@|@wis@
@staff@|@räz@
@stand@|@q:altal@
@star@|@hach@
@stem@|@där@
@stick with a hook@|@kir@
@straw@|@qäch, sum@
@string on a yoke@|@'abi@
@stripe of mown grass@|@mergh@
@stuffed cookie@|@chat@
@stumble@|@'a=k-, 'aš=k-@
@sty@|@fit@
@suffix of a locative case@|@-x@
@sun@|@viragh@
@swamp@|@qiriq@
@sweat@|@aq@
@tail@|@zhi-bir@
@take off@|@a=h-@
@tale@|@magh@
@ten@|@jicy-d@
@tenacity@|@tab@
@testiculus@|@qaluq@
@thigh@|@jotur@
@thin rope@|@xiri@
@thing@|@xel@
@third stomach@|@qatqat@
@thou@|@wyn@
@three@|@šubu-d@
@tip@|@kek@
@to be@|@wi@
@to beat@|@at-@
@to become@|@jix-@
@to bend@|@q:-e=zhn-, w-e=ql-@
@to break@|@s-ogh-@
@to change@|@chere=hir-, chorh-@
@to come@|@'a-š-xar, -xa, -xari@
@to come in@|@'-a=ch-@
@to copulate@|@s-e'-@
@to cut@|@s-o=kr-@
@to defecate@|@s-ahar-@
@to divide@|@e=q-@
@to drink@|@s-o=ghr-@
@to drip@|@'a=til-@
@to drive@|@q:-a=g-@
@to eat@|@s-o'ul-@
@to extinguish@|@e=sn-@
@to fall@|@'a=qal-, a=xu-, araxa-@
@to flow@|@e-x-ch-@
@to forget@|@s-exn-@
@to get dirty@|@'a=k-@
@to give away@|@q:-aq-@
@to gnaw@|@chaq-@
@to go@|@ch-a=g-@
@to grind@|@s-or'u@
@to hang@|@'-axin-@
@to hear@|@ix-@
@to insert@|@'a=š-@
@to itch@|@jukr-@
@to kill@|@o-t-@
@to knead@|@'u-to=šn-@
@to know@|@ha=c-@
@to leave@|@e=e-, o=sur-@
@to lose@|@'ä=gül-@
@to make@|@si@
@to milk@|@s-oz-@
@to peel@|@ocho=xn-@
@to plough@|@s-uz-@
@to pull@|@ji=n-@
@to put@|@q:-ij-@
@to reach@|@chu=raqar@
@to reap@|@s-ix-, s-ux-@
@to rejoice@|@nugha jixär@
@to rot@|@s-e=ch-@
@to rub@|@q:y=h-@
@to run away@|@'a=xa-@
@to see@|@irq-@
@to shave@|@orox-@
@to shear@|@ed-@
@to sift@|@'-atn-, '-ax-@
@to sit@|@a=qVl-@
@to sleep@|@a=xar-@
@to speak@|@s-ux-@
@to spin@|@ch-uxu-cu@
@to stand up@|@q:-urzär@
@to stay@|@i=kin-@
@to swallow@|@'a=ghul-@
@to sweep@|@w-o=x-@
@to take@|@q:e=n-, s-u=rqu@
@to tear@|@e=t-@
@to throw@|@s-e='-@
@to tremble@|@h-a=s-@
@to turn round@|@w-a=lsal-@
@to urinate@|@s-oxr-@
@to walk@|@w-i=x-@
@to want@|@ji=k-@
@to wash@|@'a=rgh-, s-o=zn-@
@to weave@|@s-o=x-@
@tomorrow@|@paga@
@tongue@|@mez@
@tooth@|@sil@
@touch@|@we=kr-@
@tower@|@gin-ga@
@turn sour@|@'-at-ar@
@twenty@|@qa-d@
@twig@|@tul@
@two@|@qa-b@
@udder@|@hawi@
@urine@|@zire@
@variegated@|@qachu@
@various past tenses@|@tense+-ni@
@warm@|@fe-ji@
@wasteland@|@chirchir@
@water@|@xäd@
@watering trough@|@töke@
@water-trough@|@töke@
@we@|@jin@
@weasel@|@chok@
@wedding@|@mitker@
@weigh@|@so=sn-@
@wet@|@cheb@
@what@|@ši@
@wheat@|@q:ul@
@whey@|@me', meh@
@which@|@he-je@
@whip@|@išmeq@
@whistle@|@fit@
@white@|@chobu, läzu@
@who@|@tu@
@willow button@|@beš@
@wind@|@kulak@
@wine-skin@|@q:inzheq@
@wolf@|@eb@
@woman@|@hezh@
@word@|@chel@
@worm@|@chich, mula'@
@year@|@sen@
@yellow@|@choru@
@you (pl)@|@wi-n@
@young goat@|@küwer@
@young of domestic animals@|@kora@

