@adore@|@ferearje, oanbidde@
@adulterate@|@ferfalskje@
@advance@|@ferfoarlikje, ferheegje@
@advantage@|@foardiel@
@advantageous@|@foardielich, geunstich, nuttich@
@adventure@|@aventoer@
@adventurer@|@aventoersman@
@adventurous@|@aventoerlik, noedlik@
@adverb@|@bywurd@
@adversary@|@fijân@
@adverse@|@fijannich@
@advertence@|@omtinken, regaad@
@advertise@|@advertearje, ferkundigje@
@advertisement@|@advertinsje, oankundiging@
@advice@|@advys, rie, ried@
@advise@|@advisearje, oanriede, riede@
@advise against@|@ôfriede@
@advisearje@|@counsel@
@advokaat@|@counsel@
@advys@|@counsel@
@aerodrome@|@fleanfjild@
@aeroplane@|@fleanmasine, fleantúch@
@affable@|@aardig, freonlik@
@affair@|@affearen, fal, gefal, kwestje, oangelegenheid@
@affect@|@beynfloedzje@
@affectation@|@babbelegûchjes, mirakels, skytmirakels@
@affecting@|@oandwaanlik@
@affection@|@leafde@
@affectionate@|@oanhanklik, oanhinklik, oansjitsk@
@affiliation@|@sibskip@
@affined@|@besibbe@
@affirm@|@fersekerje, ferwisje@
@affirmation@|@fersekering@
@affix@|@fêstdwaan@
@afflict@|@fertriette@
@affluence@|@rikens, rykdom@
@affluent@|@ryk@
@afford@|@opsmite, produsearje@
@afraid@|@benaud, eangstich, lef@
@afresh@|@alwer@
@African marigold@|@túnkaantsje@
@after@|@efter@
@afterglow@|@jûnsrea@
@afterwards@|@efteroan@
@again@|@alwer@
@age@|@âldens@
@agency@|@agintskip@
@agenda@|@bûsboekje, opskriuwboekje, wurklist@
@agent@|@agint, fertsjinwurdiger@
@aggrandize@|@fergrutsje@
@aggrandizement@|@fergrutting@
@aggressor@|@oanfaller@
@aggro@|@agresje, oanfal@
@agitated@|@senuweftich@
@agonize@|@folterje, martelje@
@agony@|@benaudens, eangst, eangstme@
@agrarian@|@agrarysk, bouboer@
@agree@|@ôfprate@
@agreeable@|@gefallich@
@agreed@|@ôfpraat, okee, sein@
@agreement@|@oerienstimming, ôfspraak@
@agression@|@agresje, oanfal, oerhaal, raam@
@agricultural@|@agrarysk@
@agriculture@|@bou, lânbou@
@aid@|@assistint@
@ailment@|@sykte@
@air@|@loft, lucht@
@aircraft@|@fleanmasine, fleantúch@
@airdrome@|@fleanfjild@
@airfield@|@fleanfjild@
@airmail@|@loftpost@
@airman@|@fleander@
@airplane@|@fleanmasine, fleantúch@
@airport@|@fleanfjild, lofthaven@
@airs@|@alluere@
@akin@|@besibbe@
@aktueel@|@current@
@alarm@|@alaarm@
@alarmbell@|@needklok@
@alas@|@eilaas, spitich, spitigernôch@
@alcohol@|@alkohol@
@alder@|@els, elzebeam, elzenbeam@
@alga@|@seewier@
@alien@|@bûtenlânsk, frjemd, in griis, útlânsk@
@alimony@|@alimintaasje@
@alive@|@libben@
@all@|@alderhanne, alle, allegearre, alleman, alles, elkenien@
@all about@|@oeral, rûnom@
@All Hallows@|@Alderheljen@
@all of it@|@alles@
@all over again@|@alwer@
@All Saint's Day@|@Alderheljen@
@All Soul's Day@|@Aldersielen@
@all the@|@elk@
@allergy@|@allergy@
@all-knowing@|@alwittend@
@all-powerful@|@almachtich@
@almanac@|@almenak@
@almighty@|@almachtich@
@almond@|@mangel@
@almost@|@amperoan, benei, beneistenby, hast, omtrint@
@almost (1)@|@skraach, skraachwurk@
@alms@|@ielmis@
@alone@|@allinne@
@alongside@|@nêst, njonken@
@alphabet@|@abee, alfabet@
@alphabetical@|@alfabetysk@
@already@|@al, alfêst@
@also@|@ek@
@altar@|@alter@
@alternate@|@ôfwikselje, ôfwikseljend@
@alternating@|@ôfwikseljend@
@alternation@|@ôfwikseling@
@although@|@alhoewol't@
@altogether@|@allegearre, alles@
@alum@|@alún@
@always@|@altiten, altyd, hieltiten@
@amaze@|@ferbaze@
@ambassador@|@seinboade@
@ambiguous@|@dûbelsinnich@
@ambition@|@ambysje, earsucht@
@ambulance@|@sikewein@
@amend@|@amendearje, feroarje@
@amendment@|@amendemint, feroaringsútstel@
@America@|@Amearika@
@American@|@Amerikaan@
@American Indian@|@yndiaan@
@ammunition@|@ammunysje, munysje@
@among@|@tusken@
@amortize@|@ôflosse, ôfskriuwe@
@amount@|@oantal, tal@
@amputate@|@ôfsette@
@amuse@|@fermeitsje@
@amusement@|@fermeits@
@amusing@|@fermaaklik@
@an@|@in@
@anaemia@|@bloedearmoed@
@analogy@|@analogy@
@analyse@|@analisearje@
@anatomy@|@anatomy@
@anchovy@|@ansjofisk@
@ancient@|@antyk@
@and@|@en@
@and so on@|@ensafuorthinne@
@anew@|@alwer@
@angel@|@ingel@
@angle@|@hoeke@
@angry@|@gek, lilk@
@anguish@|@benaudens, eangst, eangstme@
@animal@|@bist, dier, dierlik@
@anise@|@anys@
@ankle@|@ankel@
@annex@|@anneksearje, ynliivje@
@annexation@|@anneksaasje, ynliving@
@annotation@|@oantekening@
@announce@|@advertearje, ferkundigje@
@annul@|@annulearje, ôfsizze, skrasse@
@anonymous@|@anonym, nammeleas@
@another@|@oar, oars@
@answer@|@anderje, andert, antwurd, antwurdzje, beskie@
@ant@|@eamelder, miammel@
@antelope@|@antiloop@
@anthology@|@blomlêzing@
@anthracite@|@antrasyt@
