@forked branch@|@chewe@
@four@|@diGí@
@frazil@|@bogoro@
@fresh snow@|@burki@
@friend@|@anda, dagor, dogor@
@frightened@|@ngële-@
@fringe@|@churëkte, nelbi@
@frozen snow@|@chëga@
@frozen soil@|@batun@
@fruit stone@|@n'angta@
@fur clothes@|@mukä, mukchukë@
@fur stockings@|@kumma, kurmu@
@furnace@|@gïwun@
@garlic@|@gungur@
@get hardly on one's way@|@gel-@
@ghost@|@musun@
@girdle@|@kalbu@
@gland@|@chilchun, n'aru, n'erun, n'iru@
@globe@|@chumbukte@
@globular@|@mukche@
@gnaw@|@kengi-@
@goby@|@laka@
@good@|@aja@
@goose@|@kujukï, n'ungn'akï@
@grandmother@|@eweké@
@grass@|@chüka@
@grayling fish@|@nerighë, niru@
@grey@|@cholko@
@gull@|@kuluk@
@gullet@|@dirga@
@gum@|@n'üte@
@hair@|@n'ürikte@
@half@|@kaltaka@
@hand@|@ngäle@
@handsome@|@nödi@
@hanger@|@loko-ptin@
@hard@|@manga@
@hare@|@mundukän@
@hazel grouse@|@karaki@
@head@|@del, dil@
@heap@|@murbu@
@heart@|@më'wan@
@heather@|@ebkemkire@
@he-goat@|@baxana@
@helminth@|@kangir@
@herd@|@man@
@hit@|@duG-@
@hit down berries@|@gujä-@
@hole@|@kengre@
@hollow@|@kumnga@
@honourable space@|@malu@
@horse@|@murin@
@horse-tail@|@niwekte@
@horse-tail (weed)@|@moringä@
@howl@|@duduke-@
@hub@|@kulbukä@
@hundred@|@n'amä@
@husband@|@edi@
@husband of elder sister@|@awus@
@husband's younger brother@|@ïnan@
@hysterics@|@belin@
@i@|@bi@
@icedrift@|@dar@
@illness@|@enu@
@in front@|@n'äw-de@
@incline@|@nenge-, nengï-@
@index finger@|@chägdi@
@insect@|@kumikën, kumke@
@inside@|@do@
@instructor@|@n'unge@
@instrument for obtaining fire@|@mögdi@
@island@|@búka, bukachän@
@jaw@|@kewe@
@kettle@|@kalan@
@kidney@|@bosokto@
@kill@|@kerbe-@
@knee@|@lekse, lokso@
@knee covers@|@kupö@
@knee-cap@|@chïmechin@
@knife@|@keli@
@knife on a shaft@|@koto@
@ladle@|@kömba@
@lake@|@ämut, n'ärut@
@lap@|@belge@
@lapel on mittens@|@bile, bilen@
@larch gum@|@n'ukse@
@large intestine@|@möman'a@
@larva of a gad-fly@|@kujïkta, kun'ukta@
@late@|@n'äda@
@leading@|@n'äw-de@
@lean@|@n'urkün@
@leg@|@begdi@
@let know@|@metew-@
@level@|@lapta-, napta-@
@lichen@|@lälbikta, lelukte, lewukte, n'albakta@
@light@|@ngërï@
@lime tree@|@kilden@
@locust@|@chepeder@
@log@|@golo@
@loop@|@laku-cha@
@loop of a bow string@|@le'man@
@low@|@nemkën@
@lowland@|@namnga@
@lynx@|@luku, nonno@
@main part@|@nungïn, nungnï@
@make turns@|@mugdi-@
@man@|@beje@
@mane@|@delin@
@many@|@bara-ma, kete@
@marsh@|@kuta, mar, mari-kta@
@matchmaker@|@manga@
@mate@|@girkï@
@maternal uncle@|@gusin@
@meadow@|@kewe-kte, kewer@
@meat of a young animal@|@nilben@
@minced meat@|@kukurë@
@mitten lining@|@uteptïn@
@mittens@|@kokollo@
@moon@|@bë^ga@
@mosquito@|@bugutuna, kimäje, nganmakta@
@mossy meadow@|@det@
@mound@|@buga, buga, bugan, kupike, kuwudek@
@mountain pass@|@alakït, alan, ke'dris@
@mountain ram@|@anang@
@mountain ridge@|@didi, zhdi@
@mouse@|@chamukchän@
@moustache@|@gurgakta@
@mouth@|@amnga@
@move back@|@michi-@
@muscle@|@chilkï@
@mushroom@|@deGinngékte@
@name@|@gerbï@
@name of a plant@|@qomämma@
@narrow@|@chipikte, chipileme@
@near@|@daga@
@neck@|@mengun, mongon, nikimna@
@needles@|@muchukte@
@net@|@alga@
@new@|@imekin@
@night@|@dolboni@
@nit@|@nej-ke@
@noise@|@kusïlïn@
@nose@|@n'ë's, ngë's@
@not@|@ächin, e-@
@now@|@esí@
@nut@|@kochikta@
@oar@|@gë'wun, melbike@
@observe@|@mundë-, mundi-, munni-li-@
@obtain@|@baka-@
@old trace@|@n'ëmirï@
@once more@|@n'än@
@one of a pair@|@gagda@
@oneself@|@mën@
@open@|@ängä-@
@open sky@|@dolo@
@open space@|@aragan@
@opposite@|@bargï@
@oppress@|@mujë-@
@orphan@|@angazhakän@
@other@|@gë'@
@oval@|@mumbu-me@
@overfall@|@n'ami@
@owl@|@itiknija@
@pack strap@|@emin@
@pale@|@beli, kaktalama, kaktalama, kaktarin, kaktarin, kë'wama@
@part of harness@|@gugarka@
@part of stomach@|@kerimek@
@pass through@|@lupü-@
@pattern@|@durun@
@paw of an animal@|@man'a, mana@
@peaceful@|@bere@
@pelvis@|@dewuki, duwuki@
@piece@|@butukte@
@pike@|@gutkën@
@pimple@|@bugdeke, buksukë, buture-@
@pivot@|@chiki@
@place@|@buga@
@place in a dwelling@|@bë^@
@place under the knee@|@chakan, chäke@
@plain@|@aglän, awlän@
@planking@|@biriptir@
@pluck out@|@is-@
@polar birch@|@guran@
@polish@|@nili-@
@pools in a swamp@|@müsa, müsu@
@porridge@|@chupa@
@preserve@|@disut-@
@press@|@dapcha-@
@press between branches@|@lapki-, lapku-@
@propose for marriage@|@ba-@
@protecting spirit@|@majin@
@puppy@|@kachikän@
@pus@|@n'äkse@
@pustule@|@chepe@
@put animal bones@|@gulï-@
@quick@|@ama, ama-kän, ami-ltän-, amin-@
@quiet@|@n'umu-@
@quilted coat@|@uteme@
@quiver ornated with horse@|@ömu@
@rag@|@cheche@
@rather@|@damukte@
@raw@|@n'alikin@
@ray@|@garpa@
@reach of river@|@gurukä@
@red as blood@|@munngi@
@reindeer@|@gilduka, gilge@
@relative@|@n'ïkï@
@relative-in-law@|@kelin@
@resin@|@lü@
@return@|@muchü-@
@right@|@anngü, änngü@
@ring@|@gildï, goldi@
@river@|@bira@
@robber@|@changit@
@rock@|@kadaGa, kadar@
@roe@|@giwchën, gulkachän@
@roll@|@chiwar-, mombo-@
@root@|@dagachän@
@round@|@murume@
@rounded@|@chumkilëptin@
@row@|@daran@
@rowan@|@kempi, molikta@
@rowlock@|@kükta@
@rump@|@kungduki, kunngukï@
@sable one year old@|@balini@
@sabre@|@likuchiün, lukuchiur@
@saddle@|@nama, nëme@
@saddle for children@|@dongqa@
@saddle shelf@|@danne@
@saddlebag@|@lamba@
@Salmo@|@májgu@
@salmon@|@: le'mba, kë'ta@
@sausage@|@kuchi@
@scarcely@|@aran@
@scoop@|@iwkën@
@scrape@|@kuwa-@
@screw@|@kur, kuriwuk@
@sea@|@lämu@
@seal@|@kuma@
@search@|@gelë-@
@sedge@|@mörda@
@selfheal@|@nirgëkte@
@separate@|@bakla@
@servant@|@këlüme@
@settled down@|@mënë@
@settlement@|@iken@
@seven@|@nadan@
@shaft of fish-fork@|@naj, naji@
@shallow@|@görba@
@shell@|@chë^wyka@
@shore@|@giri, kudë@
@short hair of deer@|@nirku@
@shoulder@|@mïre@
@shoulder bone@|@dagaña@
@shoulderblade@|@kendekë@
@Siberian stag@|@kumaka, kumaran@
@silent@|@elke@
@similar@|@n'e-rke@
@sinew@|@bulle@
@sister@|@kiliwlï@
@six@|@n'ungun@
@skin@|@chï-, kë'kikta, munekse@
@skin for a coat@|@dilbikte@
@skin from animal's head@|@më'ta@
@skin from deer's neck@|@muka@
@skin not smoked@|@n'arahin@
@skin of animals@|@nanna@
@skin on young horns@|@nïmekte@
@skis@|@kinglë@
@slave@|@bö-kän, bogï-, bogo-kän@
@sledge pole@|@kawrikï@
@sleeping-bag@|@kukchu@
@slightly@|@nur-nur@
@slope of a mountain@|@antaga, bosogo@
@small@|@nisimkün@
@snag@|@nelge@
@snake@|@kulïn@
