@legend@|@domog@
@leisure@|@chölö@
@light@|@gerel, šenggen@
@light (not heavy)@|@könggön@
@light brown@|@xongGor@
@liver@|@helehe@
@long@|@rdë@
@louse@|@büsën@
@love@|@xair@
@lungs@|@üšigën@
@magic@|@dom@
@magpie@|@sažiGai@
@man@|@ere@
@many@|@olon@
@mare@|@gün@
@marrow@|@nurün@
@marrow-bone@|@chenggën@
@mat@|@debsger@
@maternal relative@|@naGachë@
@meal@|@žüg@
@meat@|@maxGan@
@method@|@arag@
@middle@|@dunda@
@mild@|@nomoGon, nomukan, nomxon@
@milk@|@sun@
@mind@|@xGua-tu@
@mirror@|@tölë@
@moisture@|@chïg@
@molar tooth@|@arä@
@moon@|@sara@
@more than@|@hölü, xölü@
@moth larva@|@kureg@
@mother@|@hge@
@mount@|@funa-@
@mountain@|@üla@
@mouse@|@xanaGla, xulGanaG@
@mouth@|@aman@
@mouthful@|@üchë@
@mow@|@žabcha-@
@mud@|@lag širü@
@musk@|@žärë@
@nail@|@GadaG, Gadasën, Gadësën@
@naive@|@genen@
@name@|@nere@
@native place@|@nutuG@
@navel@|@küsën@
@near@|@oiro, öiro@
@neck@|@gužün@
@needle@|@žün@
@nephew@|@žï@
@nest@|@ongGorxi@
@new@|@šënë@
@night@|@sönë@
@nipple@|@hgön@
@nit@|@xairsën@
@nomadize@|@nü-@
@North@|@är@
@Northwards@|@xöi-ne@
@nose@|@xawar@
@not@|@lë@
@notice@|@ser-@
@number@|@tün@
@nutrition@|@öl@
@oath@|@andaGar@
@object of worship@|@šütën@
@obstacle@|@säd@
@obtain@|@öl-@
@obvious@|@hele@
@ocean@|@dalï@
@on this side@|@naGšë, näna@
@one@|@nihe@
@order@|@turo@
@orphan@|@önchin@
@palm (of hand)@|@halaRan@
@paper@|@chäsën@
@part@|@xuwë@
@patrol@|@xarül@
@pea@|@purchaG@
@peace@|@amar, amëra-@
@person@|@kün@
@pipe@|@gürs, xolo@
@polite@|@këchï-@
@pommel of a saddle@|@bürge@
@press into@|@chiGë-@
@profit@|@xonži-@
@prompt@|@šalamGa@
@property@|@ömchi@
@pull@|@cherGa-, chirGa-@
@quarrel@|@marGäda@
@rabid@|@Galžü@
@rain@|@xura@
