@apiculture (moksl.)@|@bitininkystė@
@apologize@|@atsiprašyti (prašo/prašė)@
@apoplectic stroke (med.)@|@apopleksija@
@apparatus@|@aparatas@
@appartment@|@butas@
@appearance@|@veidas@
@appetising@|@apetitą keliantis@
@appetite@|@apetitas@
@apple@|@obuolys@
@apple-tree@|@obelis@
@apply@|@vartoti (vartoja/vartojo)@
@appoint@|@skirti (skiria/skyrė)@
@apportion@|@skirstyti (skirsto/skirstė)@
@apprehension@|@būgštavimas@
@approach@|@artintis + prie + gen.@
@April@|@balandis@
@April Fools' Day@|@balandžio pirmoji@
@Arabia@|@Arabija@
@arable land@|@dirvožemis@
@Aral Sea@|@Aralo jūra@
@Arctic@|@Arktika, Arktis@
@Arctic Ocean@|@Arkties vandenynas, Arktikos vandenynas@
@area code@|@kodas (telefono ~)@
@Argentina@|@Argentina@
@arid@|@sausringas@
@arise@|@kilti (kyla/kilo)@
@Arkhangelsk@|@Archangelskas@
@arm@|@ranka@
@arm (with)@|@apginkluoti (kluoja/klavo)@
@armament@|@apginklavimas@
@arm-chair@|@fotelis@
@Armenia@|@Armėnija@
@army@|@armija@
@around@|@aplink@
@arouse@|@žadinti (žadina/žadino)@
@arrange@|@sutvarkyti (sutvarko/sutvarkė)@
@arrange (matters)@|@susitarti (susitaria/susitarė)@
@array@|@tvarka@
@arrest@|@areštuoti (areštuoja/areštavo), suimti (suima/suėmė)@
@arrival@|@atėjimas, atvykimas@
@arrive@|@atvykti (atvyksta/atvyko)@
@arrow@|@rodyklė, strėlė@
@art@|@dailė@
@article@|@straipsnis@
@articulation@|@sąnarys@
@artificial@|@dirbtinis@
@artificial flowers@|@dirbtinės gėlės@
@artificial/false teeth@|@dirbtiniai dantys@
@artisan@|@amatininkas@
@artist@|@dailininkas@
@as@|@kada, kadangi@
@as always@|@kaip visada@
@as ever@|@kaip visada@
@as far as@|@kiek žinoma@
@as far as I know@|@kiek man žinoma@
@as like as two peas@|@panašūs kaip du vandens lašai@
@Ashkhabad@|@Ašchabadas@
@Asia@|@Azija@
@Asia Minor@|@Mažoji Azija@
@ask@|@vadinti (vadina/vadino)@
@ask (about)@|@klausti (klausia/klausė)@
@ask (smb's a pardon)@|@atsiprašyti (prašo/prašė)@
@asking a question@|@klausimas@
@asp@|@drebulė@
@aspect@|@veidas@
@aspirin@|@aspirinas@
@aspirin tablet@|@aspirino tabletė@
@assail@|@užpulti (užpuola/užpuolė)@
@assault@|@išprievartavimas, užpulti (užpuola/užpuolė), užpuolimas@
@assemble@|@surinkti (surenka/surinko)@
@assembly@|@susirinkimas@
@assiduous@|@stropus@
@assign@|@skirti (skiria/skyrė)@
@associate@|@bendradarbis, dalininkas@
@association@|@bendrija (valstybių ~), draugija (organizacija)@
@assure@|@tikrinti (tikrina/tikrino)@
@Astrakhan@|@Astrachanė@
@astronaut@|@astronautas, kosmonautas@
@at all@|@apskritai, bendrai, visai, visiškai@
@at all events@|@dėl visa + gen.@
@at any place (dll.)@|@bet kurioje vietoje@
@at any time@|@bet kada, bet kuomet@
@at different time@|@skirtingu laiku@
@at once@|@tuojau@
@at that time@|@tada, tuomet@
@at times@|@kartais@
@Athens@|@Atėnai@
@Atlantic Ocean@|@Atlanto vandenynas@
@atmosphere@|@atmosfera@
@atomic@|@atominis@
@atomic weapon@|@atominis ginklas@
@attack@|@ataka, užpulti (užpuola/užpuolė), užpuolimas@
@attainment@|@laimėjimas, pasiekimas@
@attend@|@klausyti (klauso/klausė), lankyti (lanko/lankė)@
@attend a concert@|@būti koncerte@
@attention@|@atidumas, dėmesys@
@attention!@|@dėmesio!@
@attentive@|@atidus@
@attentiveness@|@atidumas@
@August@|@rugpiūtis@
@aunt@|@teta@
@aunty@|@dėdienė@
@austere@|@griežtas, rūstus@
@Australia@|@Australija@
@Australian@|@australas (-ė)@
@Austria@|@Austrija@
@Austrian@|@austras (-ė)@
@author@|@autorius, rašytojas@
@authority@|@valdžia@
@authority (prk.)@|@svoris@
@autumn@|@ruduo@
@avenue@|@alėja@
@average@|@vidutinis@
@aviation@|@aviacija@
@aviator@|@lakūnas@
@awake@|@atsibusti (atsibunda/atsibudo), keltis (keliasi/kėlėsi), žadinti (žadina/žadino)@
@away@|@šalin@
@away on business@|@būti komandiruotėje@
@awful@|@baisus@
@awkward@|@kelmas, nerangus, nevikrus@
@axe@|@kirvis@
@axis@|@ašis@
@Azerbaijan@|@Azerbaidžanas@
@azure@|@žydras (apie dangų)@
@baby@|@kūdikis@
@bachelor@|@viengungis@
@back@|@nugara@
@back (adj.)@|@užpakalinis@
@back (adv.)@|@atgal@
@background@|@fonas@
@backing@|@rėmimas@
@backward/bad pupil@|@silpnas mokinys@
@bad@|@blogas, žalingas@
@badminton@|@badmintonas@
@bag@|@krepšys@
@baggage@|@bagažas@
@Baghdad@|@Bagdadas@
@bake@|@kepti (kepa/kėpė) (krosnyje)@
@baker@|@kepėjas@
@baker's dozen@|@velnio tuzinas@
@baker's shop@|@kepyklos parduotuvė@
@Baku@|@Baku@
@balance@|@svarstyklės@
@balcony@|@balkonas@
@baleen@|@banginio ūsas@
@Balkan Peninsula@|@Balkanų pusiasalis@
@Balkans@|@Balkanai@
