@good blood@|@grizefixe, herschaft noch@
@good evening@|@güete-n-owe@
@good night@|@güet'nàcht@
@goodbye@|@aurevouar@
@grain@|@klâbs, schbârre@
@grammar@|@Grammatik@
@grandfather@|@grossbàbbe@
@grandmother@|@grossmàmme@
@grandparents@|@grosseltere@
@grape@|@driwel, Triiwel@
@green fly@|@schmeismüg@
@grumbler@|@grésgrämi@
@gushed@|@Rãkeet@
@gutter@|@schdrosegrâwe@
@hackneyed expression@|@aldilir@
@half@|@hàlb@
@ham@|@de Schunke@
@hammer@|@Hãmmer@
@hand@|@d'Hãnd@
@handful@|@bischel@
@hands@|@d'Händ@
@hare@|@Hãs@
@harmonic@|@schnûfelrûdsch@
@has all tip of fields@|@allegebot@
@has soon@|@biss bàll@
@have to@|@solle@
@he born in XXX@|@er esch en xxx bgebohre@
@he had@|@ër/sie/ës het...g'hett@
@he has@|@ër/sie/ës het@
@he is@|@ër/sie/ës isch@
@he turned@|@ër/sie/ës isch...worre@
@he turns@|@ër/sie/ës wurd@
@he was@|@ër/sie/ës isch...g'sinn@
@head@|@képf@
@heart@|@herz@
@heather@|@Heidekrüt@
@heavy@|@schwër@
@hello@|@bùschùr, güete morje@
@hen@|@Hüehn@
@here@|@do@
@heron@|@Fischreijer@
@hill@|@Buckel@
@hippo@|@Nilpfërd@
@hold@|@da hésch@
@hollyday@|@fierdàà@
@horn@|@Hüp@
@horse@|@Ross@
@hot@|@wãrm@
@house@|@'s Hüs, Hüs, Hüüs@
@houses@|@d' Hieser@
@how@|@hin, was, wie@
@how long@|@wielàng@
@how much@|@wieviel, wieviel@
@how much costs this@|@wieviel koscht des@
@how old are you?@|@vie àlt sin ehr ?@
@how that goes@|@wie geht's@
@however@|@àwwer@
@hurried@|@pressiert@
@hurry yourself@|@dûmle@
@I am@|@ich bin@
@I don't speak well Alsatian@|@ich redd nitt gued elsässich@
@I don't understand@|@ich versteh nitt@
@I had@|@ich hãb...g'hett@
@I have@|@ich hãb@
@I have xxx years@|@ich ben xxx johr alt@
@I turn@|@ich wurr@
@I turned@|@ich bin...worre@
@I understand@|@ich versteh@
@I was@|@ich bin...g'sinn@
@if@|@wenn@
@imbecile@|@dermel, dolle@
@immensely@|@griserli@
@import myself little@|@was leïdzmérân@
@impostor@|@kürpfücher@
@in good health@|@g'sùnd@
@in one year@|@em e johr@
@in september@|@em septëmber@
@in spite of all@|@doch@
@in the middle of february@|@mitte hornung@
@in three days@|@in dreij dà@
@indeed@|@minsexs, nämlich@
@indian@|@Indiãner@
@iris@|@Schwërtlilje@
@iron@|@Bejlise@
@is this exact@|@stèmmt's@
@island@|@insel@
@jail@|@gigger@
@jam@|@schlègel@
@january@|@jänner@
@joke@|@witz, witz@
@joy@|@fraid@
@july@|@jüli@
@june@|@jüni@
@just@|@rischtig@
@kangaroo@|@Kãnguru@
@kid@|@wackes@
@kit@|@kächele@
@kitchen buffet@|@kischekänsdscherle@
@knees (to take on)@|@gehre@
@knife@|@messe@
@knot@|@Knopf, schlubf@
@lady@|@màdàm@
@ladybird@|@Herrgottskäferle@
@lamp@|@Lãmp@
@landing net@|@Filosch@
@last month@|@de letschd monet@
@last week@|@d'ledscht woch@
@last year@|@s'lédschd johr@
@lawnmower@|@Rãsemäjer@
@leg@|@schûnge@
@let's eat@|@grächerle@
@light@|@licht@
@limp@|@lâd@
@lit@|@ãn@
@little@|@klai@
@little girl@|@maîdele@
@lollipop@|@Süssettel@
@long@|@làng, lãng@
@loud@|@lüüt@
@low voice@|@lisli@
@macho@|@schdentz@
@mad@|@blèmblèm yèk, maschugge@
@man@|@de Mãnn, Mànn@
@many@|@aganzeriwe, viel@
@marc@|@drâwere@
@march@|@märz@
@mast@|@Mascht@
@matches@|@schwèwéheltzle@
@may@|@mai, maï@
@measles@|@dredle@
@meat@|@'s Fleisch@
@melancholic@|@mâslaidi@
@men@|@d' Männer@
@mess@|@bübig, kûdelmûdel@
@midday@|@middàà@
@middle@|@medlesdrene@
@mine@|@min@
@mirror@|@Spiejel@
@miser@|@gitzgrawe@
@miss@|@màmsell@
@mistletoe@|@Mischt@
@mold@|@Muschel@
@mole@|@Mülwëlfer@
@mom@|@màmme@
@monday@|@mondàà@
@monument@|@Dënkmãl@
@moon@|@Mond@
@moor@|@Heid@
@more@|@meh@
@more gladly@|@liewer@
@morning@|@morje@
@most@|@ãm meischte, meischte@
@mother hen@|@glouck@
@mouse@|@Müs@
@mumps@|@mûms@
@muzzle@|@baboul, gosch@
@my husband@|@miner mànn@
@my wife@|@mini frau@
@naked@|@blûd@
@name@|@nàmme@
@napkin@|@Hãnddüech@
@nature@|@nàatür@
@near@|@noht@
@nearer@|@nähter@
@nearest@|@ãm nähtschte@
@nearly@|@fàscht@
@nest@|@Nescht@
@never@|@nie@
@new@|@nejer@
@next month@|@de nägscht monet@
@next week@|@d'nächscht woch@
@next year@|@gscht johr@
@night@|@nàcht@
@nine@|@nin@
@ninepin of the boat@|@Rumpf (vum Schiff)@
@nineteen@|@ninzehn@
@ninety@|@ninzig@
@ninth@|@nind@
@no@|@nein@
@nonsense@|@mômbits, mùmbitz, quatsch@
@not of@|@ken@
@note@|@nott@
@nothing@|@pfiffedeckel@
@november@|@novëmber@
@now@|@jetz@
@october@|@oktower@
@of preference@|@ãm liebschte@
@old@|@àlt@
@older@|@älter@
@oldest@|@de ältscht@
@once@|@e mohl, friejer@
