@picture@|@nigaar@
@pinch@|@chutki@
@pleasure@|@mangal@
@pledge@|@iqarar@
@portion@|@bhaag@
@possession@|@maal@
@power@|@qudrat, yaaraa@
@practice@|@riyaaz@
@praise@|@taareef@
@precious stone@|@ratan@
@present@|@tohfa@
@price@|@kimat@
@pride@|@nashaa@
@profit@|@nafaa@
@promise@|@vaadaa@
@promising to sin no more@|@taubaa@
@property@|@rakht@
@protection@|@saayaa@
@protector@|@parwar@
@provision@|@zaad@
@pupil of eye@|@ratan@
@pure@|@paakeezaa@
@pyramid@|@ahraam@
@rare@|@kam@
@real@|@sach@
@recess in wall@|@taaq@
@red@|@laal@
@related@|@marwi@
@relation@|@vaastaa@
@reliance@|@bharosaa@
@relief@|@chain@
@religion@|@dharm@
@remeberence@|@zikr@
@rememberence@|@yaad@
@respect@|@izzat@
@response@|@qarar@
@rest@|@qarar, sukoon@
@restless@|@be-qarar@
@returning@|@vaapas@
@rhythmic beating of hands@|@taal@
@right@|@rast@
@road@|@raastaa@
@rope@|@rasan@
@route@|@jaadaa@
@running@|@tag@
@rushing@|@tag@
@sacrifice@|@qurbaan@
@scarf (for female)@|@chunari@
@screen@|@pardaa@
@secret@|@raaz@
@sensitive flower@|@laajwanti@
@seperate@|@juda@
@series@|@silsilaa@
@shade@|@saayaa@
@shadow@|@saayaa@
@shame@|@lajjaa, sharm@
@shamless@|@be-sharam@
@shape@|@soorat@
@shelter@|@saayaa@
@shop@|@dukaan@
@shout@|@pukaar@
@show@|@tamaashaa@
@shriek of distress@|@saut@
@side by side@|@sang@
@sign@|@ishaaraa@
@similar@|@tul@
@similar to@|@aasaa@
@skirt@|@daaman@
@sky@|@aasmaan@
@slowly@|@kam@
@smoke@|@dukhaan@
@soft@|@komal@
@soil@|@dharti, zameen@
@song@|@taraanaa@
@sore@|@zakham@
@sorrow@|@gham@
@soul@|@jigar@
@sound@|@awaaz@
@south@|@dakan@
@span of life@|@umr@
@spring@|@bahar@
@star@|@sitaaraa, taaraa@
@stature@|@qaanoon@
@step@|@qadam@
@still@|@lekin@
@storm@|@toofan@
@strength@|@shakti, yaaraa@
@stupid@|@paglaa@
@succession@|@silsilaa@
@suffering@|@dukh@
@support@|@sahaaraa@
@supreme being@|@bhagwaan, khudaa@
@sweetheart@|@saajan@
@target@|@nishaanaa@
@tea@|@chai@
@tea pot@|@chai daani@
@tears@|@aansoo@
@temple@|@mandir@
@that way@|@udhar@
@thief@|@chor@
@this way@|@idhar@
@this way and that@|@idhar udhar@
@thorn@|@kaantaa@
@tiara@|@taaj@
@time@|@vaqt@
@to clean@|@saaf@
@to do@|@kar@
@tomorrow@|@kal@
@tooth@|@dandaan@
@top@|@oopar@
@tounge@|@zaban@
@tranquility@|@shanti@
@traveler@|@raahi@
@truth@|@sach@
@tumult@|@shore@
@uncle (father's brother)@|@kaakaa@
@ungrateful@|@be-qadar@
@union@|@sangam@
@universe@|@aalam@
@unlucky@|@shoom@
@urdu language@|@urdu@
@utmost limit@|@intehaa@
@vagabond@|@aawaaraa@
@valuable present@|@yaadgaar@
@victory@|@nusrat@
@viel@|@pardaa@
@village@|@qaryaa@
@vision@|@nazar@
@water@|@paani@
@way@|@kareena@
@wealth@|@maal@
@wedding@|@shaadi@
@wine@|@sharaab@
@wish@|@aarzoo@
@with@|@sang@
@without@|@bina@
@without fail@|@zaroor@
@work@|@kaam@
@world@|@duniya@
@worship@|@pujaa@
@worthless@|@be-qadar@
@worthy of consideration@|@qaabil@
@wound@|@zakham@
@writer@|@adeeb@
@writing@|@rasm@
@year@|@saal@
@yesterday@|@kal@
@yet@|@lekin@
@you (formal)@|@aap@
@youth@|@joban@

