@to hear@|@išti-@
@to hurry@|@jü'kür-, jugur-@
@to join@|@qoš-@
@to kill@|@üldyr-@
@to knead@|@juhur-@
@to kneel down@|@çök-, çöx-@
@to know@|@bil-@
@to lick@|@jala-@
@to melt@|@iri-@
@to milk@|@sax-@
@to patch@|@jama-@
@to pour out@|@tü'-@
@to press@|@pas-@
@to pull@|@sure-@
@to put@|@sal-@
@to rain@|@jah-@
@to reach@|@jet-@
@to rize@|@mim-, min-, ming-@
@to say@|@dij-, edi-@
@to see@|@gör-@
@to sell@|@sat-@
@to sink@|@pat-@
@to sit@|@oht-, ohtyr-@
@to sleep@|@jaht-, uxla-@
@to smear@|@sova-, suva-@
@to sow@|@ex-@
@to split@|@jar-@
@to spread@|@ser-@
@to stand@|@dyr-@
@to swim@|@ju-@
@to twist@|@iher-@
@to walk@|@a'tla-, jür-@
@tooth@|@ciš@
@tree@|@ahaç, ahaš, daal@
@two@|@išky@
@unsubstantial@|@joxba@
@variegated@|@ala@
@vehicle@|@hangly@
@vein@|@tamyr@
@voice@|@un@
@waist@|@bil@
@walk through@|@gez-@
@wall@|@tam@
@warm@|@hyssy, jili@
@watch@|@pax-, vax-@
@water@|@su@
@we@|@pise, piser@
@what@|@ne@
@white@|@ax@
@who@|@käm@
@wild goat@|@kijyx@
@wind@|@jel@
@window@|@tümlüx@
@wing@|@qanat@
@wolf@|@püre@
@wooden fork@|@jowa, jöwa@
@wool@|@jung@
@year@|@jaš, jel@
@yellow@|@sary@
@young@|@jaš@
@young animal@|@bala@
@young maral@|@orha@
@younger sister@|@singil, singne, singni@

