@animal who has lost its tail@|@kut@
@ankle@|@-aqan, -qul@
@annatto@|@achiote@
@announce something@|@esaj -tzijol@
@announcement@|@bixik@
@annoy@|@chuy, tzuruj@
@annoyed@|@eyawarinaq@
@anoint@|@soq', tz'utuj@
@anoint with medicine@|@bil@
@anointed@|@tz'utuninaq@
@anona@|@k'awex, k'uwex, noxti'@
@another@|@chi, chik, jule', jun chik, nik'aj chik@
@answer@|@-bixik, -tzij, -wäch, tzalij, tzelebal, tzelej@
@ant@|@sanik@
@ant hill@|@mul@
@antacid@|@nij@
@Antigua city@|@Pan Choy@
@antique@|@q'o'm@
@anus@|@xut'@
@anything@|@xapachike@
@aperture@|@tel@
@appear@|@je -ka'y, k'utunik, k'utwächinik, ka'yik, petik@
@appear before@|@k'ut -ib@
@appear like@|@je-petik, je -wächin, ri ali käka'y je käpe ri u nan@
@appearance@|@ka'yibal, wächaj, wächibal@
@appetite@|@na'bal, numikal@
@applaud@|@paq'apa -q'ab@
@apple@|@mansa'n, mansanix@
@apply@|@bilo@
@apprehend@|@chapik@
@apprehended@|@chapom@
@apprentice@|@eqomal@
@apprenticeship@|@chak patan@
@approach@|@jetowik, naqajinik, qatik, qeb, qetetik@
@appropriate@|@k'iaqalik@
@apron@|@-wa ra, alanta'r, lanta'r@
@arch@|@-chi' be@
@arched@|@ch'okoch'ik@
@arch-shaped@|@q'usulik@
@argue@|@yojkarik@
@argument@|@k'ulelanik@
@argumentative@|@chomanik@
@arise@|@yako@
@arm@|@t'um@
@armpit@|@-pa -k'alk'ax, -pam -k'alk'ax, miskiel, tlok, tolok'@
@aromatic@|@k'ok', q'om@
@aromatic plant@|@sukinay@
@around@|@sutij -ij@
@arouse@|@tzurunik@
@arrange@|@kolomaj, suk'umaj@
@arrear@|@tuq@
@arrival@|@opanem, petem, petibal, ulik@
@arrive@|@opanik, ulik@
@arrived@|@petinaq@
@arrogant@|@bitbik, sal, saramu'y@
@arrow@|@ch'ab, chap, k'iäqbal@
@arson@|@chajirik@
@artery@|@iboch'@
@articulation@|@ch'ek@
@as though it were@|@junam tä ruk'@
@ascent@|@paqalik@
@ascertain@|@tatabela'@
@ash@|@chaj, xaq@
@aside@|@ch-chi'@
@ask@|@k'ot -chi', ta', tz'onojik@
@ask directions@|@ta' -tzijol@
@ask for a favor@|@ta' toq'ob@
@ask for information@|@ta' -tzijol@
@ask for the hand of a girl@|@ta' ch-e-ixoqil@
@ask humbly for something@|@mej@
@ask to borrow@|@ta' pa qajik@
@asleep@|@warinaq@
@aspirin@|@mejoral@
@assassin@|@kämisanel@
@assaulter@|@q'atel winaq@
@assemble@|@tunum@
@assignment@|@eqle'n@
@assorted@|@xolotalik@
@assuredly@|@jik@
@ast@|@k'awex@
@asthma@|@jas u-qul, jasanik@
@astrologer@|@ajkajbalach@
@astrology@|@kajbalach@
@astronomical observatory@|@tanabal@
@astronomy@|@no'j ch'umil, no'j ch'umil@
@at@|@pa@
@at dawn@|@aq'abil@
@at first@|@nabe kanoq@
@at home@|@cho ja@
@at its back@|@ch-ij, ch-ij@
@at night@|@chaq'äb, xq'eqal@
@at rest@|@uxlaninaq@
@at the corner of@|@pa -xikin@
@at the edge@|@ch-chi'@
@at the foot of@|@ch-aqan@
@at times@|@jantaq@
@atol of green corn@|@aja'n q'or@
@atole@|@q'or ja'@
@atole drink@|@uk'ia'@
@atole made from corn dough@|@joch', q'or pa xaro@
@atole of corn@|@xchunaja'@
@atole thick@|@tzatz q'or@
@attain@|@ch'ek@
@attentiveness@|@mach'ach'em@
@attitude@|@cholajil@
@audacious@|@nimol -ib@
@augmented@|@tiqom@
@aunt@|@ch'utin nan, ik'anaxel, wi' ka'n ixoq@
@authorities@|@q'atbal tzij@
@authority@|@eqle'n, taqanik@
@autumn@|@ajtzi, q'änil@
@auxiliar@|@tzanabe'@
@available time@|@rokik na@
@avenge@|@tzelej -wäch@
@avocado@|@oj@
@avoid@|@q'at -wäch, xutuj@
@avoid a fight@|@q'il@
@await anxiously@|@k'ak'lej@
@awake@|@k'aslik@
@awaken@|@k'astajik@
@awaken someone@|@k'asuj@
@awakened@|@k'usum@
@awakening@|@k'astajibal@
@award@|@ch'ekenej@
@away but nearby@|@apanöq@
@away from speaker@|@ubik@
@axe@|@ikaj, ikiäj@
@baby@|@nuch', wululik@
@baby boy@|@nuch' ala@
@baby chicken@|@ch'iw@
@baby clothes@|@-uq ak'al@
@baby girl@|@nuch' ali@
@baby's rattle@|@tzojtzoj@
@baby-sitter@|@chajil ak'al@
@back@|@ijaj, worachal@
@back away@|@jik' -ib@
@back of a thigh@|@-pawa -aqan@
@back of the hand@|@-ij -q'ab@
@back packer@|@eqanel@
@backwards@|@silikopim@
@bad@|@itzel, utz taj, utz täj@
@bad boy@|@itzel ak'al@
@bad breath smell@|@xex pa -chi'@
@bad child@|@xk'iaqat@
@bad ear@|@yul xkinaj@
@bad fortune@|@kiäqal saqil@
@bad influence@|@susum@
@bad luck@|@istzal@
@bad person@|@aqil@
@bad tempered@|@titatik@
@bad witch@|@ajitz@
@badly dressed@|@soposik@
@badness@|@etzelal, itzel, labal@
@bag@|@chim rech awex@
@bag for grain@|@koxtar@
@bag for holding seeds@|@awabal@
@bag made of cords@|@k'at@
@Baile del Pato@|@Yuqum jolom patax@
@bake@|@tujaj@
@bake bread@|@tujaj@
@balance@|@pajbal@
@bald@|@ch'an -jolom, ch'anach'oj, t'an -jolom, t'ol -jolom, tol jolomaj@
@bale hook@|@xo'k@
@ball@|@juk'olaj, sirisik, sursik@
@ball for playing games@|@perik'ok@
@ball of fuzz@|@sälotil@
@ball of soap@|@juk'olaj ch'ipaq@
@ball of something@|@juk'olaj@
@ball of thread@|@sursik batz'@
@ballgame@|@poqwaj@
@balloon@|@pompo', pupu, xipun@
@bamboo@|@ak, sin@
@banana@|@ankane'y, banano, inkine'y@
@bandage@|@bätz', botz'obal, pis@
@bandana@|@payu'@
@banner@|@po't@
@banquet@|@ula'bal, ula'nem@
@baptism@|@qasna'@
@baptize@|@qasaj xe' ja'@
@baptize by sprinkling@|@qasaj ja' p-wi'@
@bar@|@tok'opij@
@bar a door@|@tak'pij@
@bar on door@|@k'opibal, tok'opibal@
@bar to block door@|@tak'bal@
@barbarism@|@labal no'jil, lablaj no'j@
@barber@|@qupil wi'aj, sokabal, sokal wi'aj@
@bare teeth@|@qatzatzej -ware'@
@bark@|@-ij che', jawajatik, jume'tal, ri jume't, wanajik@
@bark dog@|@ti'onik, waq'awatik@
@bark happily@|@waynajik@
@bark of a puppy@|@ch'awch'atik@
@bark with anger@|@tiyo'nik@
@barn owl@|@k'urupup, muqur, xoch'@
@basement@|@-xe' ja@
@basket@|@chakäch, chaqäch, chikäch@
@bat@|@sotz'@
@bath@|@atinem, atinibal@
@bathe@|@atinaj@
@bathe one's self@|@atinik, ch'aj -ib@
@bathe someone@|@atinsaj@
@bather@|@atinel@
@bathing place@|@atinibal@
@bathwater@|@ch'ajbal@
@batterer@|@ch'ayanel@
@battle@|@ch'o'j@
@be@|@k'oli'k@
@be a generous person@|@sipanik@
@be a hypocrite@|@ban kieb -k'ux@
@be a person of means@|@k'o jastaq -e@
@be abandoned@|@ch'ani' kanoq@
@be able to@|@kowinik, kuinik, na'w ch-e@
@be able to withstand@|@ch'ijtajik@
@be accustomed@|@k'ulam@
@be active@|@miq'owik@
@be afflicted@|@q'oxow -anima'@
@be afraid@|@na' -ib, xij -ib@
@be alarmed@|@jiq'aj -ib@
@be alone@|@k'o -tukiel, wonokatik, wonwotik@
@be amazed@|@may@
@be amazed at@|@mayij -ib@
@be amazed at something@|@nim -el wi ch-e@
@be an idiot@|@man -ta' taj@
@be asked@|@tay@
@be asked for@|@tz'onik@
@be backwards@|@silikopij@
@be begun@|@tikiritajik@
@be blamed for something@|@q'abax ch-ij@
@be boastful@|@nimarisäj -ib@
@be boiled@|@poq'owisaxik@
@be bored@|@k'istaj -k'ux@
@be born@|@alaxik@
@be brilliant@|@ch'ublinik, yamanik@
@be buried@|@muqutajik@
@be called@|@sik'ixik@
@be calm@|@nake'ik, nake'ik, tz'inonik, xa k'olik@
@be capable of@|@kowinik@
@be careful@|@ban kuenta, chajij -ib@
@be certain@|@qastzij -bij@
@be changed@|@jaltajik, k'exo@
@be chewed@|@ba'ik@
@be chilly@|@tewtatik@
@be chosen@|@cha'yik@
@be clarified@|@saqirisaxik@
@be clear@|@q'alajinik@
@be cold@|@t'ajajik, t'ajajik, xu'wik@
@be confident in something@|@ku'l -k'ux@
@be confused@|@sachik@
@be constipated@|@yitz' -pam@
@be contagious@|@oqanik, sipaj -ib, t'iq -ib@
@be content@|@kikotik, tzetzat -wäch@
@be cooked well@|@nebi'k@
@be crippled@|@won -ib@
@be crumbled@|@muchuchik@
@be cured@|@kunaxik@
@be cursed@|@k'oqotaj@
@be dark@|@moymot@
@be deaf@|@man -ta taj@
@be deep@|@lik'ik'ik, makakik@
@be delayed@|@beyetajik, beyik@
@be diligent@|@sak'lajik@
@be dim@|@moymot ri kandela, moymotik@
@be discovered@|@riqtajik@
@be disobedient@|@man -riq taj, man -ta tä tzij@
@be disturbed@|@t'ujuwik@
@be done@|@bantaj@
@be done a second time@|@kamulixik@
@be dreamed about@|@achik'axik@
@be drunken@|@silowik@
@be eager to do something@|@kämisaj -ib che@
@be edible@|@tijowik@
@be embarassed@|@k'ixik@
@be emptied out@|@tojinik@
@be envious@|@k'ech'ketik@
@be equivalent@|@junamtaj -uk'@
@be face up@|@pak'i'k@
@be faithful@|@kojonik@
@be fallen flat@|@peri'k@
@be fast@|@nabejik@
@be fat@|@bosbotik@
@be feverish@|@k'o q'aq' ch-ij@
@be filled up@|@balixik@
@be fine@|@much'uch'ik@
@be finished@|@k'istaj@
@be firm in work@|@jikanel@
@be flaming@|@nikowik@
@be flattened@|@potz'pobik@
@be found@|@riqtajik@
@be fragile@|@paxik@
@be fragrant@|@k'ok'otik@
@be friends@|@ch'abej -ib@
@be from somewhere@|@in kinel wi pa ri tinimit@
@be full@|@chemowik@
@be funny@|@manal -ban@
@be generous@|@sipanik@
@be glorious@|@juluwik@
@be gluttonous@|@nojtaj@
@be gound@|@ke'xik@
@be gritty@|@mach'owik, mak'lajik@
@be half-drunk@|@miq'ow -jolom@
@be hanging@|@tzayi'k, xekik@
@be happy@|@kikotik, miq'owil, tzetzat -wäch@
@be harmed by insect@|@chikopirik@
@be haughty@|@nimal -ban@
@be heard@|@ta'tajik@
@be heavy@|@bajowik@
@be hoarse@|@jok'ok'ik@
@be hot@|@t'iririk@
@be humble@|@mach' -ib, mach'ach'ik, noqokik@
@be humid@|@tewtatik@
@be hungry@|@numik@
@be hurried@|@kowixik@
@be hypocritical@|@ban kieb -k'ux@
@be idiotic@|@man -ta' taj@
@be idle@|@qasaj q'ij@
@be in a certain place@|@chweq käk'ije' ri achi cho, k'ije'k@
@be in a hurry@|@k'o -be wi, k'o kin-be wi@
@be in a line@|@chololik@
@be in agreement@|@junam, junam-chomanik, junam -tzij@
@be in danger@|@xa kieb kubij p-wi'@
@be in disagreement@|@yojkarik@
@be in love with someone@|@kajmaj -ib ch-e@
@be in place@|@k'oji'k@
@be in the action of@|@tajinik@
@be in the process of doing smt@|@tajin@
@be infested@|@chikopirik@
@be irritated@|@lo'tajik@
@be jealous@|@achixaj, kiäqrayij, kiäqwachij, pulputik@
@be jealous about wife@|@pulput chrij ri -ixoqil@
@be jealous of someone@|@kiäqre'j, kiäqwachij@
@be late@|@baitajik, bayatajik, beyenik, beyetajik@
@be lazy or slothful about work@|@lach'ach'ik@
@be left an orphan@|@menorij kanoq@
@be left over@|@to'tajik@
@be like@|@je -el@
@be loaded@|@balixik@
@be loose@|@cho'lik, jey -ib, jeyjik, telik, tormayik, torq'o'mik@
@be lost@|@sachik@
@be married off@|@k'ulubaxik@
@be mean@|@k'a'nanik@
@be mischievous@|@choqchotik@
@be motionless@|@tz'inilik@
@be mourned@|@oq'axik@
@be moved emotionally@|@salabaj -anima'@
@be muddy@|@xaq'aq'ik@
@be naked@|@ch'ani'k@
@be nauseated@|@mulujik -k'ux@
@be necessary to@|@rajwaxik chi@
@be neighbors@|@k'ul ja -ib, ki-k'ul ja qu-ib@
@be nutritious@|@utz -tijowik@
@be obedient@|@nimanik@
@be obligated@|@ch'ij, käch'ij pa nu wi' kinbek@
@be oily@|@q'ach'ianik@
@be on fire@|@nikowik@
@be on time@|@man -jalik taj@
@be opened@|@jaqtajik@
@be ordinary@|@xa qi' -bij@
@be packed@|@patzik@
@be paid@|@tojbex, tojik@
@be patient@|@oq'otanik@
@be peaceful@|@tz'ininik@
@be perplexed@|@sach -k'ux@
@be placed in@|@okisax@
@be placid@|@lilonik@
@be polished@|@sulsutik@
@be possible@|@ya'@
@be present@|@k'oli'k@
@be proud@|@nimal -ban@
@be punctual@|@man -jalik taj@
@be put in@|@okisax@
@be putrid@|@t'iqiqik@
@be quiet@|@matzalik, nake'ik@
@be ready@|@utzirik@
@be refreshing@|@jororik@
@be rent@|@tzertajik@
@be resplendent@|@chuplinik@
@be responsible@|@k'o eqlem@
@be rich@|@k'o jastaq -e@
@be robust@|@jiljitik@
@be rough@|@charanik, tzararik@
@be sad@|@bisonik@
@be said@|@bixik@
@be scarce@|@kek'enik@
@be scraped@|@jostajik@
@be seen@|@ilitajik@
@be served@|@kajmaxik@
@be shaken@|@birbatik@
@be shaken off@|@tototik@
@be shiny@|@pililik@
@be shocked with grief@|@jiq'iq'ik@
@be shy@|@k'ixik@
@be silent@|@much'ik, tz'ininik, tz'inowik, xa k'olik@
@be similar@|@junamtaj -uk', junamtajik@
@be sitting on eggs in nest@|@t'uqanik, t'uquwik@
@be slippery@|@jelejobik, jililik, pilq'anik, pilq'atinik@
@be soft@|@nababik, yababik@
@be sour@|@t'iririk@
@be sparse@|@wololik@
@be split@|@pa'kinik@
@be spoken@|@bixtajik@
@be spongy@|@wososik@
@be squished@|@pitz'pobik@
@be startled@|@jiq'aj -ib, xej -ib@
@be sticky@|@nak'ak'ik@
@be still@|@matzalik, nake'ik@
@be stingy@|@xu'yaj@
@be stuck@|@ch'api'k@
@be submerged in something@|@sach ch-pam@
@be substituted@|@jalatajik@
@be sunk in something@|@sach ch-pam@
@be sure@|@qastzij -bij@
@be surprised@|@may@
@be temperate@|@jororik@
@be thankful@|@maltioxinik@
@be the same@|@junam-petik@
@be the same in appearance@|@-wächinik, junam, junam -ka'yik@
@be thick and sticky@|@t'aqaqik@
@be thirsty@|@-chi', chaqi'j@
@be tipped@|@tzalma'yik@
@be together@|@achi'lik@
@be torn@|@tzertajik@
@be troublesome@|@choqchotik@
@be twisted@|@kotokobik@
@be twisty@|@kotma'yik@
@be ugly@|@-ka'yik, itzel@
@be uncertain@|@tz'i'arik@
@be uncomfortable@|@man utz taj -na', q'ironik@
@be uncovered@|@sursutik@
@be unkempt@|@chik'ikik@
@be upset@|@tzolq'omij -ib@
@be useful@|@chokonik, patanajik@
@be useful for@|@patanij@
@be very sour@|@t'iririk@
@be very worried about somethin@|@q'aq'an-anima'@
@be visited@|@q'atuxik@
@be waiting for someone@|@taq na ch-e, taq na cheri achi@
@be weak@|@makalik@
@be wealthy in material goods@|@k'o jastaq -e@
@be weighed down@|@peq'eq'erik@
@be well fitted@|@tz'aktz'atik@
@be well-dressed@|@bititik@
@be worried@|@t'ujuwik@
@be wounded@|@solotäjik@
@beads@|@jut ch'ach'al@
@beak@|@tza'maj@
@beam@|@-aqän ja@
@bean@|@kinäq', piley, piley kinaq', tzakoy@
@bean used for divination@|@tzite@
@beans@|@ixtapkal@
@beans during divination@|@tamales, tz'ite@
@beans for divining@|@tz'ite@
@beans used in divination@|@chak patan@
@beard@|@q'ux@
@bearings@|@k'olem@
@beat@|@q'osij, yujanik@
@beat dough@|@tuk@
@beat down@|@bejoj@
@beat down fruit from tree@|@buju@
@beat eggs@|@ruju@
@beat heart@|@tujuwik, tuquwik@
@beat tree to get fruit@|@bejo@
@beater@|@puq'bal, tukubal@
@beating stick@|@puq'bal@
@beautiful@|@jelelaj, mu's@
@beautiful baby@|@tz'uy@
@beauty@|@je'lal@
@because@|@-umal, -umal -ech, -umal chi@
@become@|@okik, uxik, uxinaq@
@become a three-quarter moon@|@mirik ri ik'@
@become accustomed@|@k'am -wäch, naq'tajik ch-e@
@become accustomed to something@|@k'amanik@
@become angry@|@ch'o'jinik, k'a'narik, pe -oyowal, yaktajik -oyowal, yekataj@
@become annoyed@|@eyawarik, oyowarik@
@become black with smoke@|@sVbarik@
@become blind@|@moyirik, potz'irik@
@become bored@|@baq'ek, k'is -k'ux@
@become changed@|@k'extajik@
@become clear@|@pu saqirik, saqirik@
@become clouded@|@sutz'irik@
@become cold@|@jorobik@
@become crestfallen@|@yuxik@
@become crowded@|@latz'obik@
@become dented@|@wotz'wobik@
@become dirty@|@tz'ilobik@
@become dizzy@|@sutin -wäch@
@become empty@|@tolonik@
@become entangled@|@baq'atij -ib, kutz -ib@
@become excited@|@kajmaj -ib@
@become exhausted@|@tuqarik@
@become fat@|@chomirik@
@become filthy@|@pe'jenik@
@become foggy@|@qaj sutz'@
@become gravely ill@|@nimatajik@
@become great@|@nimar -q'ij@
@become green@|@-ya' -ib räxq'än@
@become hard@|@kowirik@
@become heavier@|@alobik@
@become ill@|@qaj pa yabilal, yawajik@
@become important@|@paqi' -q'ij@
@become infected@|@ch'a'kirik, pujarik@
@become late@|@ok aq'ab@
@become leathery@|@tz'umarik@
@become lost@|@sach -be@
@become manifest@|@k'utwächinik@
@become mentally unbalanced@|@moxirik@
@become midday@|@nik'ajar -q'ij@
@become mired@|@jat'e'k@
@become moldy@|@pusirik@
@become muddy@|@xoq'oltajik, xoq'oltajinaq@
@become nauseated@|@muluw -k'ux@
@become nervous@|@sililik@
@become numb@|@sikirik@
@become obscured by fog@|@sutz'irik@
@become pale@|@ban saq pe'r, saqmaki'k@
@become paralyzed@|@che'chetik, che'rik@
@become preoccupied@|@ok il@
@become rags@|@ki'ynajik@
@become reconciled with someone@|@utzir -uk'@
@become rich@|@q'inomarik@
@become rough@|@mararik@
@become scarce@|@k'isk'obik@
@become scattered@|@tukij qu-ib ri winaq@
@become sick@|@riq yabil, yabinik@
@become silent@|@memarik@
@become slippery@|@pililik@
@become smelly@|@chuwirik@
@become strong@|@kowirik@
@become stupid@|@payirik@
@become thin@|@baqirik, tzajik@
@become toasted@|@wotz'otz'irik@
@become twilight@|@moimatik@
@become unconscious@|@naj -sachi'k@
@become visible@|@q'alajinik@
@become widower@|@malka'nijik@
@become wormy@|@chikopirik@
@become worn out@|@jarik@
@become wounded@|@sokotajik@
@bed@|@ch'at, sokaj@
@bedbug@|@kisiy, xpinko'k@
@bedroom@|@warabal@
@bee@|@us kab, wonon@
@beehive@|@k'o'xbin kab@
@beetle@|@ixpak'pan, susum ixpach, tuktul achaq'@
@before@|@ch-wäch, k'ä maja', kanöq, majoq, nabe kanoq, najtir@
@beg@|@molonik@
@beggar@|@ch'anal, molonel@
@begin@|@jeqenik, tikarik, xumajij@
@begin something@|@chaplej@
@begin to do@|@jeqo@
@begin to work@|@maj ri -chak@
@beginning@|@chaplebal, jeqbal, tikibal, tikiritajik, tikitajik@
@beguile@|@subu@
@begun@|@majim@
@behind@|@ch-ij, kanöq@
@behind the knee@|@-pa -ch'ek@
@being@|@anima', k'u'xaj@
@being useful@|@patanijik@
@bejuco@|@xik'ay kumätz@
@belch@|@pol -anima', qablajik, qalajik@
@belief@|@kojobal, kojonik@
@believe@|@-k'ux ch-ij, jikiba', kojonik, nimaj@
@believer@|@kojonel@
@belittle@|@ch'utinik@
@bell@|@kampana@
@bell striker@|@-baq' kampana@
@bellows@|@xut'ibal q'aq'@
@belly@|@ripiri pam@
@belong to@|@ech@
@belong to group@|@tan-uk', tan ch-xol@
@belongings@|@jastaq@
@beloved@|@loq', loq'alaj@
@below@|@iqim. qaj@
@belt@|@pas, ximibal -pam@
@belt of horse@|@arki'y@
@bench@|@ku'lbal, t'uyulibal, tem@
@bend@|@jech', kotokik, mej@
@bend flexible@|@lut'uwik@
@bend into curved shape@|@q'usu@
@bend over@|@pachaba' -ib, pachi'k@
@bend wire@|@sutij@
@beneath@|@xe'@
@bent@|@jech'ejik, lut'ulik@
@bent door@|@jech'@
@bent over@|@pachalik, pachipik@
@bent over halfway@|@chiqichoj@
@bent up@|@xotoxik@
@bentosiar@|@t'isinik@
@bent-over@|@q'usq'ik@
@beside@|@ch-xkut@
@bestow efficacy on something@|@awasij@
@betray@|@jach@
@better@|@nim -banik@
@between@|@ch-xol@
@between two rivers@|@xola'@
@bewitch someone@|@itzij@
@Bible@|@loq'alaj tz'ibanik, Loq'alaj Wuj@
@biceps@|@ch'o@
@big around@|@yoloyik@
@big bellied person@|@ripiri pam@
@Big Dipper@|@wuqüb kaqix@
@Big Dipper constellation@|@much'@
@big person@|@jusanaj@
@big toe@|@nima u wi aqan@
@bigger than@|@nim ch-wäch@
@bile@|@k'a@
@bind@|@ximo@
@bind something up tightly@|@jat'at'ej@
@bind up@|@yut'@
@binding@|@jat'ibal@
@binoculars@|@ilbal@
@bird@|@awaj aj uwo kaj, chikop, chikop ri cä-ripipik, Tz'ikin@
@bird down@|@pu'yul@
@bird guardabarranco@|@sik'il siwan@
@bird heron@|@atz', sojsol@
@bird quail@|@sajkor, saqko'r, sarawäch, tinturin@
@bird swallow@|@kui kui@
