@English@|@Mari@
@flee@|@kërhëža-, kurža-@
@floor@|@pëndaš, pündaš, püntakš@
@floppy@|@lëška-, lëškëdë, lëšta-, luš, luškëdo, lušte-@
@fly@|@karme@
@foam bubble@|@këwël, kuwël@
@foot bindings@|@äštär, ëštër@
@four@|@näl, nël, nyl@
@fox@|@räwäž, rëwëž@
@fragile@|@raška, rochka, rot liješ@
@front part@|@anzäl, anzälnä, onzäl, onzälno@
@frost@|@këlme, rün@
@full@|@tic@
@furrow@|@kornë, korno@
@gadfly@|@päjälmä, parmë, pëjëlmë, pormo@
@gills@|@našmë, nošmo@
@girdle@|@ä-štä, ü-štö@
@glitter@|@cëlhëža-, cëlhëža- colhëža-, colhä, colhëža-@
@glue@|@lümö@
@god@|@jëmë, jumo@
@good@|@äräž, poro, purë, puro, räž@
@Good day@|@Póro kéche@
@grain@|@sure@
@grave@|@šühar, šühär, šüher@
@green@|@ëžar, užar, žar@
@hack@|@roe-, rue-@
@hair@|@pën, pun, šar, üp, üp@
@halter@|@seermec@
@hand@|@kit@
@handful@|@kormëž@
@handle@|@wërto@
@hang up@|@oktëš, opte-, optëš, optoš@
@hard snow surface@|@jož@
@harrow@|@šor-wondo, šorëm-wondo@
@hat@|@upš, upšo@
@hazelnut@|@pükš@
@head@|@wuj@
@healthy@|@šu@
@heap@|@mëchë-wuj, muco-wuj@
@heart@|@šüm@
@heavy@|@lelä, lele, nelä, nele@
@hedgehog@|@šülä, šulo@
@hemp@|@kâne, käne@
@herd@|@cuca, tüca@
@high@|@kur@
@hill@|@cangha, cëngha, conghä, šungha, šünghä@
@hole@|@ang, äng, äraž, raž, rož@
@hollow@|@koman, körhä, körhö, päl-kom@
@hollow plant stalk@|@pëch, puc, puch@
@honey@|@mü, müj@
@hop@|@cücke-@
@horn@|@šur@
@house@|@kudë, kudo@
@hundred@|@šüdë, šüdö@
@hut@|@mät, mët@
@I@|@män, mëj, mëjë, mën, mëne@
@ice@|@i, ij@
@increase@|@kuška-, kušte-@
@inside@|@pušta, puštä, pušto@
@interval@|@wiš@
@intestine@|@šol, šolo@
@invite@|@küšte-@
@iron@|@kärtni, kürtnö@
@juniper@|@kož, lüme-gož@
@kernel@|@tong, tov@
@kidney@|@wärhä, werhe@
@knee@|@pël-wuj, pul-wuj@
@knife@|@käzä, küzö, küzü@
@lap@|@eltala, eltäle-, elte, eltem, öltala-, öltëš, öltö@
@lath@|@ter, tir@
@leaf@|@äläštäš, läštäš, lëštaš, lištaš@
@leaf of a conifer@|@lüjëš, lüjüš, lüš@
@leg@|@jal, jol@
@lid@|@komdëš, šinca-komdëš@
@limb@|@ježäng, jëžäng, jëžëng@
@lime bast@|@ni@
@lime-tree@|@pistä, pište@
@liquid excrement@|@pëškedä-, puškeda-@
@live@|@lia-, liä-, lija-@
@liver@|@mokš@
@lizard@|@šähäzälä, šäkšälä, šemšàlja, šëngšale šingšale@
@long@|@kužë, kužo, kužu@
@long animal hair@|@wäjä@
@look@|@anže-, once-, onche-@
@louse@|@ti, tij@
@lowland@|@laksak, laksë, landaka@
@lung@|@šodë, šodo@
@lye@|@kon@
@manure@|@šandë, šondo@
@many@|@pülä@
@maple@|@waštar, waštar, woštar@
@marsh@|@lop@
@mead@|@mü, müj@
@meat@|@päzä, pëzë, pize, šäl, šël, šil@
