@dawn@|@ör, örö@
@day@|@üdür@
@daylight@|@gege(n)@
@dead body of animal@|@ulä@
@deaf@|@dülï@
@debt@|@örö(n)@
@deceit@|@mexe@
@decoction@|@šömös, šömösü@
@deep@|@gün@
@defect@|@gem, ö, seb, sebxe, sewxe@
@degree@|@kere, keri@
@deictic particle@|@kü@
@delicate@|@tangxi@
@demon@|@buGu@
@dense@|@nigta@
@depilated skin@|@köm@
@descendant@|@ür, üre@
@desert@|@Guwi, Guwil, këre@
@destroy@|@xudu-@
@detractor@|@Gochi@
@diarrhoea@|@chichaGa@
@different@|@ondön@
@different kinds of wild onion@|@sorisu@
@direct@|@udu-@
@direction@|@žüg@
@dirt@|@bäs(u)@
@dirty time@|@cöb caG@
@dissolve@|@šingge-@
@distinct@|@todo@
@distinguish@|@ilga-@
@divination@|@tölgö@
@dog@|@noxö@
@donkey@|@elžige(n)@
@door@|@üde@
@double bone@|@šïra@
@doubt@|@sežik@
@down@|@nölür, nülür@
@dream@|@žüde@
@dress@|@Gubchas, Gubchasu@
@drove@|@adü@
@dry@|@xürä@
@duck@|@nuGus, nuGusu@
@duck-hawk@|@xuladu@
@dust@|@tös, tösu@
@each@|@büri@
@ear@|@žike(n)@
@ear of needle@|@süwe@
@early@|@erte@
@ear-ring@|@emek, emük, süjxe@
@earth@|@Gažar, šorö@
@edge@|@üžúr, xawirGa@
@educate@|@teže-@
@egg@|@öndögö@
@elbow@|@doxö@
@elbow bone@|@boGto@
@elder brother@|@axa@
@elder sister@|@egechi@
@elevation@|@göbdörü@
@elm@|@xälasu@
@employ@|@žaru-@
@enclosure@|@Gašä, kürë, xorGo, xorö@
@end@|@sül@
@end of arrow@|@žiwe@
@ends of bow@|@gechir@
@enemy@|@dän@
@energy@|@ede@
@enthusiasm@|@urma, urmas@
@entirely@|@chöm@
@entrails of animals@|@sewesu(n)@
@evening@|@orö, üdeši@
@everything@|@bügüde, büxül, büxüli@
@evil spirit@|@ada@
@examine@|@šü-@
@excessively@|@getü, getürxï@
@exchange@|@arilžän@
@excrement@|@argal@
@excrements of sheep@|@xorGol@
@exhausted@|@argi-@
@extreme@|@lab@
@extremely@|@maši@
@extremity@|@möchö, tuil@
@exuviation@|@däxi@
@eye@|@nüdü(n)@
@eye pus@|@lüxa, nüxa@
@eyebrow@|@kömösxö@
@eyelash@|@sormüs, sormüsu@
@face@|@nür@
@facing@|@del@
@fade away@|@möxö-@
@faeces of young animals@|@žungGaG@
@falcon@|@etelge, ötölgö@
@far@|@xolo@
@far away@|@alus@
@far off@|@bujda@
@farrow@|@bädasu@
@fart@|@unggusu@
@fast@|@machaG@
@fat@|@öxö, öxü@
@fat on liver@|@semeži(n)@
@father@|@echige@
@fathom@|@alda@
@fatigue@|@žudek@
@favourable circumstances@|@aja@
@feather@|@örwölgö, üdü@
@felt@|@esegï@
@felt walls covering of a house@|@türGa@
@female animal@|@suwä@
@female of animals@|@ölögchin@
@female of mountain ram@|@argali@
@female shaman@|@udaGan@
@female tick@|@xuwilžaGana@
@fence@|@šiwe@
@fermented milk with water@|@kirma@
@ferocious@|@dogšin, došxin@
@fetters@|@chödör@
@few@|@chökön, chöröm@
@fifty@|@tawi@
@fight@|@žodo-@
@file@|@körö, xürä@
@finger-nail@|@xumusu@
@finish@|@žoGso-@
@fire@|@Gal@
@fire steel@|@gete@
@fire-brand@|@Gälaxu, žuchali@
@first rib@|@boGoni, boGono@
@first snow@|@kirmaG@
@fish@|@žaGasu@
@fish glue@|@chawü@
@fist@|@nudurGa@
@five@|@tawu(n)@
@flame up@|@ördö-@
@flat@|@gäbtägä@
@flea@|@bürge@
@flee@|@güj-@
@fleecy@|@buržuGur@
@flesh between the hips@|@ärcaq@
@flour@|@gulir, guril@
@fly@|@bataGana, nis-@
@foal of a donkey@|@dudurä@
@foal up to one year old@|@unaGa(n)@
@foetus@|@kel@
@fog@|@budang, mana, manäri@
@fold@|@ewxe-, öwödök@
@fontanelle@|@žulä@
@foot@|@köl@
@for the sake of@|@tula@
@ford@|@ulum@
@forehead@|@duxu, mangnä, mänlä@
@foreign@|@xärë@
@forelock of a horse@|@sangmä, sangnä@
@fork@|@sawar@
@fortress@|@balGasu, balGus@
@forty@|@döchi@
@four@|@dörwö@
@fox@|@ünege@
@fragile@|@kewerek@
@fresh@|@serün@
@freshet@|@üjer@
@friend@|@anda, nöxör, sadun@
@frightened@|@ürgü-@
@frog@|@melexï@
@frolic@|@alä@
@front@|@exe@
