@nose@|@qaarq, qangryq@
@nose bridge@|@qavaq@
@not@|@-ma-@
@once more@|@dahi, ta'qi@
@one@|@byr@
@one of a pair@|@syngar@
@onion@|@soxan@
@opening@|@telyk@
@opposite@|@utur@
@other@|@üzge@
@outer side@|@tas@
@ox@|@kus@
@pair@|@qos@
@pale grey@|@qo@
@palm of hand@|@xaja, xajan@
@pass through@|@jüt-@
@pea@|@pyrçaq@
@peel@|@so-, soj-@
@peel off@|@syzyr-@
@peg@|@quzuq@
@people@|@kisi@
@pig@|@dongiz@
@pillow@|@jastyq@
@place@|@oryn@
@plait@|@tulyn@
@play@|@oin, ujin@
@pluck@|@jul-@
@poison@|@aha@
@pole@|@suruq@
@poplar@|@torhaq@
@pot@|@ajaq@
@power@|@kuš@
@precious@|@Rïnjin rin-chen@
@prediction@|@yrq@
@protect@|@saq-, saqy-@
@punishment@|@qyn@
@quiet@|@inžek-tyh@
@rain@|@jahmir@
@ram@|@qužhar@
@ram's blood@|@söl@
@recent@|@am-dö-ko, am-ho@
@recently@|@pija@
@red@|@qizil@
@reed@|@žih@
@respectful address@|@qyz aha@
@right@|@ong@
@ripe@|@pys-@
@rise@|@ün-@
@road@|@jol@
@root@|@jyldys, top, tüp@
@rope@|@pah@
@round@|@doGyr@
@rump@|@uça, uža@
@rust@|@dad@
@sack@|@qap@
@saddle@|@ezer@
@saddleblanket@|@junaq@
@salt@|@duz@
@sand@|@qom, qum@
@scabbard@|@qyn@
@scoop@|@chomyš@
@scrape@|@qyrq-@
@servant@|@qul@
@seven@|@jeti, jiti, žetä@
@shake@|@terwe-@
@sharp of a knife@|@Mïsïr@
@shoot@|@at-@
@short@|@GysGa, qysGa@
@shoulder@|@igen@
@shoulderblade@|@jaryn@
@side@|@jan, jaq@
@silver apricot malachite@|@Yins'iñjis@
@sister of woman@|@açy@
@sister's husband@|@jezde@
@skin@|@tery@
@sleeve@|@jing, žin@
@small river@|@ügüz@
@smear@|@sürt-@
@smoke@|@ys@
@snake@|@jilan@
@soil@|@durvaq@
@sole@|@tawan@
@son@|@ohul@
@song@|@jer, jyr@
@son-in-law@|@kuzehy@
@soot@|@qorym, quryn@
@soul of the deceased@|@ever@
@space between@|@ara@
@speech@|@söz@
@spindle@|@žik@
@spring@|@jaz@
@star@|@juldys@
@stir up@|@polha-, pula-@
@stomach@|@qursqaq@
@stone@|@das@
@stretch out@|@sun-, syn-@
@submerge@|@syng-@
@summer@|@jaj@
@sun@|@kun@
@sun malachite@|@Khunjis@
@sunset@|@qozan@
@sweet@|@tatyh@
@sword@|@qylyš@
@tail@|@Guzuruq@
@tale@|@lomaq@
@tamarisk@|@jolham, julhum@
@tear@|@jas@
@ten@|@on, un@
@tent@|@otah, otax@
@tether@|@küken@
@that (obl.cases)@|@a@
@the essential part@|@üz@
@there is@|@par@
@there is not@|@joq, žoq@
@thick@|@johun, johyn@
@thief@|@ohur@
@thigh@|@javta, jota, jovta, otuq, utuq@
@thin@|@šige@
@thirty@|@otus@
@this@|@bu, go, gu@
@thou@|@sen@
@thousand@|@meng@
@thread@|@jep, jip@
@tick@|@saqartqy, saqatqy, saqyrtqy@
@tie@|@žala@
@time@|@qor@
@to advise@|@kenges-@
@to ask@|@sura-@
@to be@|@er-@
@to be afraid@|@örk-@
@to be beneficial@|@jara-@
@to be jealous@|@kun bol-@
@to be quiet@|@amyra-@
@to be satiated@|@pek-@
@to beat@|@ça'p-@
@to become@|@pol-@
@to become excited@|@tam-@
@to beg@|@qol-@
@to belch@|@kekirt-@
@to bind together@|@tang-@
@to bring@|@elt-@
@to burn (tr.)@|@tam-dyr-@
@to bury@|@köm-@
@to chop@|@çal-, çaly-@
@to close eyes@|@jum-@
@to collect@|@jih-, jiq-, jyh-@
@to come@|@kel-@
@to come to an end@|@tüke-@
@to come together@|@jumut-, jumyt-@
@to cross a mountain@|@as-@
@to crush@|@uh-@
@to cultivate (ground)@|@tary-@
@to cut@|@pyš-@
@to cut into slices@|@torha-@
@to die@|@jül-@
@to drink@|@yš-@
@to dry off@|@sohul-@
@to eat@|@ji-@
@to end@|@put-, pyt-@
@to enter@|@ker-@
@to find@|@tap-@
@to flow@|@aq-@
@to follow@|@ezer-@
@to forget@|@unut-@
@to give@|@per-@
@to go astray@|@az-@
@to grasp@|@tut-@
@to hang@|@as-@
@to hear@|@angna-, tynna-@
@to hide (intr.)@|@pat-@
@to hobble@|@axsa@
@to kill@|@jülyr-@
@to knead@|@johur-, juhur-@
@to know@|@byl-@
@to lean@|@tajan-@
@to lick@|@jahla-, jalha-@
@to make magic@|@arva-@
@to migrate@|@köš-@
@to milk@|@sah-@
@to open@|@aç-@
@to overflow@|@tasy-@
@to patch@|@jama-@
@to perceive by ears@|@tuj-@
