@hollow@|@ach@
@hoof@|@kuš-mul@
@hope@|@muš@
@horn@|@karch@
@horse's main@|@put@
@hot@|@ku'chef@
@house@|@xal@
@human@|@idemi@
@humming-top@|@tabruc@
@hundred@|@baIrš@
@hunger@|@gaš@
@hunting@|@ghIurch@
@i@|@zun@
@ice@|@merk:w@
@imper. plural@|@-aj, -in-aj@
@imperative sing@|@-in@
@imperative sing.@|@-0@
@imperfective infix@|@-r-@
@in empty series@|@-'@
@in filled series@|@-ghI, gh-@
@in front@|@udi-h@
@instrumental@|@-di, -l@
@intestines@|@Ran@
@iron@|@ruq@
@it is high time@|@chewe-ne@
@iterative prefix@|@q-@
@jackdaw@|@ked@
@jar@|@baIti@
@juniper@|@maIržw@
@key@|@gilegw@
@kid@|@mudur@
@kidney@|@gutul@
@kill@|@k'-@
@knee@|@qwaqw@
@knot@|@qurq@
@lamb@|@k:el@
@lamb after 6 months@|@sem@
@lamb less than 1 year old@|@urg@
@large intestine@|@šix@
@lateral series@|@-k, k-@
@lative@|@-di@
@leaf@|@kež, paIž@
@leather rope@|@mufur@
@leather strip@|@chil@
@leave@|@at-@
@left@|@chaIplan-f, gagur-t@
@leg@|@la'k@
@lid@|@qul@
@light@|@'akw, kisal-f@
@lightning@|@ca-rp, cäjälpan@
@linden@|@xird@
@lip@|@kamp-úr, kentw@
@liquid@|@d-ixe-f, š:ume-r@
@liver@|@lek, lekI@
@locative suffix@|@-k:, k:-@
@lock@|@taw@
@long@|@jarxIe-f@
@louse@|@net:@
@lung@|@xudul@
@magpie@|@q:Iaraq:Ial@
@male@|@ile-f, uqar-f@
@malt@|@miki@
@man@|@šuj@
@mange@|@kabk@
@manure@|@furd@
@mare@|@xwar@
@mark@|@irž@
@marten@|@curcul@
@masdar@|@-b@
@meadow@|@xIar@
@measles@|@gimik:@
@measure for flour@|@kwat:@
@meat@|@jak:@
@middle@|@iqI@
@milk@|@nek:@
@milk skin@|@žar@
@mill@|@raX@
@millet@|@duk@
@mint@|@uraj-ar@
@mitten@|@xuxal@
@molar tooth@|@kanch@
@mole@|@tink@
@month@|@waz@
@moon@|@vaz@
@mosquito@|@mizmiz, šit:aj, šit:ilaj@
@moth@|@qabq, urs@
@mother@|@baw@
@mould@|@murs@
@mountain@|@su@
@mountain slope@|@xwan@
@mouse@|@qIul@
@mouth@|@siv@
@nail@|@qwin@
@naked@|@qIacul-f@
@name@|@t:ur@
@narrow@|@ik:e-f, isal-f, k:et:u-f@
@navel@|@xut@
@neck@|@gardan@
@nest@|@mug@
@nettle@|@maIž@
@new@|@cajif@
@night@|@'üš, gIu'sh@
@nine@|@jaIrchu-d@
@nit@|@net@
@no@|@da@
@nominative@|@-0@
@nose@|@qIuqI, x'Iax'Iv@
@not@|@d-@
@now@|@hin-c@
@oak-tree@|@maqIw@
@oat flour@|@musu@
@oath@|@xIuj@
@oats@|@jerg@
@obl. stem@|@-di-, -j-, -ji-, -la-, -na-, -ni-, -ra-@
@old@|@jarse-f@
@one@|@sad@
@one of several wives@|@amš@
@owl@|@buhuj, jinirgwaj@
@ox@|@bec@
@palate@|@läkwa@
@part@|@qis@
@past@|@-di, -ri@
@pasture@|@chir@
@pea(s)@|@xur@
@pear@|@ch:ixIar@
@penis@|@but@
@perch@|@caxun@
@pickaxe@|@gaza@
@piece@|@qat@
@pigeon@|@luf@
@pillow@|@gutaj, Rurdek:in@
@pincers@|@qIac@
@pit@|@urk@
@pitchfork@|@qIuj@
@pivot of a spindle@|@harkil@
@place@|@isw, muq@
@plait@|@kuch@
@plough@|@kutan@
@ploughshare@|@magh@
