@appropriate@|@pristojen@
@approval@|@odobritev@
@approved@|@opravičen@
@approximately@|@približno@
@apricot@|@marelica@
@april@|@april@
@arbitrary@|@poljuben@
@arch (bow)@|@razpon@
@architect@|@arhitekt@
@area@|@področje@
@area (the..)@|@okolica@
@argument@|@utemeljitev@
@ark@|@barka@
@arm@|@roka@
@arm pit@|@pazduha@
@armchair@|@naslanjač@
@armoir@|@omara@
@army@|@vojaški, vojska@
@army term@|@vojaški rok@
@aromatic@|@dišeč@
@around@|@okoli@
@arrival@|@prihod@
@arrive (to..)@|@prispeti, priti@
@arriving (to be..)@|@prihajati@
@art@|@umetnost@
@arthritis@|@artritis@
@article@|@člen@
@artificial@|@umeten@
@artist@|@umetnik@
@artist (painter)@|@slikar@
@as@|@kakor, kot@
@as a result...@|@torej@
@as a rule@|@praviloma@
@as well@|@tudi@
@ascend (to...)@|@iti gori@
@ascend (v)@|@vzpeti@
@ascent@|@vzpon@
@ascertain (v)@|@ugotoviti@
@ash tray@|@pepelnik@
@ashes@|@pepel@
@ask@|@vprašati@
@ask a question (v)@|@zastaviti vprašanje@
@ask for (to..)@|@prositi@
@asparagus@|@beluš@
@asphalt@|@asfalt@
@aspirin@|@aspirin@
@ass@|@osel@
@ass (vulg)@|@rit@
@assemble (to..)@|@sestaviti@
@assembling@|@sestavljanje@
@assembly area (factory)@|@montaža@
@assembly line@|@tekoči trak@
@assert@|@uveljaviti@
@assess (v)@|@oceniti, ugotoviti@
@assessment@|@ocena, ocenjevanje@
@assign to (v)@|@dodeliti@
@assigned to@|@razporejen@
@assistance@|@pomoč@
@assistant (f)@|@asistentka@
@assistant (m)@|@asistent@
@association@|@pridruževanje@
@assume (v)@|@privzeti@
@assumption of duties@|@nastop@
@assure v.@|@zagotoviti@
@astrology@|@astrologija@
@astronaut@|@astronavt@
@at@|@ob, pri@
@at least@|@najmanj@
@at midnight@|@opolnoči@
@at noon@|@opoldne@
@at that time@|@takrat@
@at the bottom of (eg. mountain)@|@vznožje@
@at the embassy@|@na veleposlaništvu@
@at the helm@|@biti pri krmilu@
@at the same time@|@hkrati, istočasno@
@at the train station@|@na železniški postaji@
@atelier@|@delavnica@
@Athens@|@Atena@
@atmosphere@|@vzduh, vzdušje@
@attache case@|@aktovka@
@attached@|@priložen@
@attachment@|@priloga@
@attack@|@napad@
@attacker@|@napadalec@
@attend (school)@|@obiskovati@
@attention!@|@pozor!@
@attentive@|@pazljiv@
@attic@|@podstrešje@
@attract (v)@|@privlačiti@
@attractive@|@privlačen@
@attribute@|@lastnost@
@au revoir@|@na svidenje, nasvidenje@
@aubergine@|@melancana@
@audience@|@občinstvo, publika@
@audio@|@avdio@
@august@|@avgust@
@aunt@|@teta@
@Australia@|@Avstralija@
@Austria@|@Avstrija@
@Austrian (f)@|@Avstrijka@
@Austrian (m)@|@Avstrijec@
@author (f)@|@avtorica@
@author (m)@|@avtor@
@authority@|@organ@
@authorization@|@dovoljenje@
@authorize@|@dovoliti@
@authorized@|@pooblaščen@
@autobody@|@karoserija@
@automatic@|@avtomatičen@
@automobile@|@avto@
@autoroute@|@avtocesta@
@autumn@|@jesen@
@avantageous@|@ugoden@
@avenue@|@ulica@
@avoid (v)@|@izmikati se@
@avoid v.@|@izogibati@
@awake@|@buden@
@aware of (to be..)@|@vedeti@
@awkward position or state@|@zadrega@
@awning@|@nadstrešek@
@ax (e)@|@sekira@
@baby@|@dojenček@
@back@|@hrbet, nazaj@
@back rest (car)@|@naslonjalo (avto)@
@backbone@|@hrbtenica@
@backdrop@|@ozadje@
@background@|@ozadje@
@backpack@|@nahrbnik, nahrbtnik@
@bacon@|@slanina@
@bad@|@slab, zlo@
@bag@|@torba, vreča@
@bag (little..)@|@vrečka@
@baggage@|@prtljaga@
@bagpipe@|@duda@
@bagpiper@|@dudar@
@bake (to..)@|@peči, speči@
@bake shop@|@pekarna@
@baked@|@pečen@
@baked goods@|@pecivo@
@bakery@|@pekarna@
@balcony@|@balkon@
@ball@|@krogla, žoga@
@ball joint@|@končnik, kroglasti sklep, kroglični spoj@
@ball of yarn or wool@|@klobčič volne@
@banana@|@banana@
@band@|@trak@
@band (music)@|@godba@
@bang@|@treska@
@bank@|@banka@
@bank (of a river)@|@obrežje@
@bank account@|@bančni račun@
@banknote@|@bankovec@
@banner@|@zastava@
@bar@|@bar@
@bar (steel)@|@drog@
@barber@|@brivec@
@bark (v)@|@lajati@
@barn@|@skedenj@
@barracks@|@vojaščina@
@barrier@|@pregraja, prepreka@
@bars (music)@|@črtovje (glazba)@
@base@|@baza, podlaga@
@basement@|@klet@
@basic@|@osnoven@
@basis@|@podlaga@
@basket@|@jerbas, koš, košara@
@basketball@|@košarka@
@basoon@|@fagot@
@bass@|@kontrabas@
@bath tub@|@kad@
@bathroom@|@kopalnica@
@baton@|@palica@
@battery (car@|@akumulator@
@battery (electric)@|@baterija@
@battery pole@|@polova sponka@
@battle@|@bitka@
@be (to be)@|@biti@
@be able to (to..)@|@uspeti@
@be against@|@nasprotovati@
@be angry with someone (v)@|@hudovati se@
@be capable of (v)@|@premorati, zmorati@
@be fragrant@|@dišati@
@be it@|@bodisi@
@be late for (to..)@|@zamuditi@
@be painful@|@boleti@
@be pushing off (v)@|@odrivati@
@be trained for (v)@|@usposobiti se@
@be valid (v)@|@veljati@
@be worth (v)@|@veljati@
@beach@|@plaža@
@beam@|@gred@
@beam (construction)@|@tram@
@beam (of light)@|@žar@
@bean@|@fižol@
@bean pole@|@fižolovka, prekla@
@bear@|@medved@
@beard@|@brada@
@beat (music)@|@ritem (glasba), takt (glasba)@
@beat (police)@|@območje@
@beat (to..)@|@biti, tolči@
@beat around@|@otepati se@
@beat around the bush (v)@|@izmikati se@
@beat up (v)@|@pretepsti@
@beaten up@|@pretepen@
@beautiful@|@krasen, lepo@
@beauty@|@lepota@
@because@|@ker, zato, zato ker@
@because of@|@zaradi@
@become (to..)@|@postati@
@become light (v)@|@bledeti@
@become pale (v)@|@bledeti@
@bed@|@postelja@
@bedroom@|@spalnica@
@bee farm@|@čebelnjak@
@beef@|@govedina, goveji@
@beer@|@pivo@
@beet@|@pesa@
@beetle@|@hrošč@
@before@|@pred, preden, prej, prejšnji@
@begin (to..)@|@začeti@
@beginner@|@začetnik@
@beginning@|@začetek@
@begins (he/she/it )@|@začne@
@begonia@|@begonija@
@behind@|@za, zadaj, zadnjica@
@being still@|@mirujoč@
@Belgium@|@Belgija@
@belief@|@vera@
@believe (to..)@|@verjeti@
@bell (small)@|@zvonec, zvonček@
@bell hop@|@postrešček@
@belly@|@trebuh@
@belly button@|@popek@
@belt@|@pas@
@bench@|@klop@
@bend down (v)@|@Skloniti se@
@beneath@|@pod@
@benefit@|@dajatev@
@Berlin@|@Berlin@
@beside@|@ob, poleg, zraven@
@best (the..)@|@najbolje, najboljši@
@best before@|@uporabno do@
@best before date@|@rok trajanja@
@bet@|@stava@
@better@|@bolje@
@better than@|@bolje kot@
@between@|@med@
@between (in..)@|@vmesen@
@bi-annuals@|@dvoletnice@
@bicycle@|@kolo@
@bidder@|@ponudnik@
@big@|@velik@
@bike@|@kolo@
@bill@|@račun@
@bird@|@ptica, ptič@
@bird egg laying area@|@ptičja valilnica@
@bird feed@|@piča@
@bird feeder@|@ptičja krmilnica@
@birth@|@izvor, poreklo, rojstvo@
@birthday@|@rojstni dan@
@biscuit@|@keks@
@bite (insect)@|@pičiti@
@bitter@|@grenak@
@bitumen@|@asfalt@
@black@|@črn@
@blackberry@|@robidnica@
@blackbird@|@kos@
@blackboard@|@tabla@
@blade@|@bilka@
@blade (razor)@|@klina@
@blade of grass@|@bilka@
@blank page-sample@|@predloga@
@blanket@|@deka@
@bleat (v)@|@meketati@
@bleeding@|@krvav@
@blind@|@slep@
@blind man@|@slepec@
@blindworm@|@slepec@
@blinking@|@utripajoč@
@block (bldg)@|@blok@
@block (eng)@|@blok@
@block letters (printing)@|@tiskane črke@
@block or prop up (v)@|@zastaviti@
@blood@|@kri@
@blood donor@|@krvodajalec@
@bloody@|@krvav@
@blossom@|@cvesti, cvet@
@blossom vb.@|@cveteti@
@blouse@|@bluza@
@blow@|@odarec@
@blow (to..)@|@pihati@
@blow (v)@|@zaveti@
@blue@|@moder, sinje@
@blueberries@|@borovnice@
@board@|@deska@
@boat@|@akumulator, barka, ladja@
@boat (oceanliner)@|@brod@
@body@|@telo@
@body (car)@|@karoserija@
@body side moulding@|@bočne varovalne letve@
@bodz@|@trup@
@boletus (mushroom)@|@goban@
@bolt (to lock door)@|@zapah@
@bolt out (v)@|@zbežati@
@bone@|@kost@
@bone frame@|@okostje@
@book@|@knjiga@
@bookstore@|@knjigarna@
@boot@|@škorenj@
@boots@|@škornji@
@border@|@meja@
@boring@|@dolgočasen@
@borrow (to...)@|@izposoditi si@
@boss@|@delodajalec, gospodar, šef@
@bossom@|@prsi@
@both@|@oba@
@bottle@|@steklenica@
@bottom@|@dno, rit, spodaj@
@bottom plate (pc)@|@podstavek@
@bouquet of flowers@|@šopek@
@boutique@|@prodajalna@
@bow@|@lok@
@box@|@škatla, skrinjica@
@boxcar@|@vagon@
@boy@|@fant@
@boyfriend@|@fant@
@bra@|@modrček@
@bracing@|@vezi@
@brake caliper@|@zavorna čeljust@
@brake fluid reservoir@|@rezervoar zavorne tekočine@
@brake lines@|@zavorne cevi@
@brake pads@|@zaviralniki, zavorne ploščice@
@brake pedal@|@zavorni pedal@
@brake piston@|@zavorni valj@
@brake shoes@|@zavorni čeveljci@
@braking system@|@zavorni sistem@
@bran@|@otrobi@
@branch@|@enota, veja@
@brass@|@medenina@
@brass type@|@medeninast@
@brassier@|@modrček@
@Bratislava@|@Bratislava@
@bread@|@kruh@
@break@|@zavora@
@break (to..)@|@zlomiti@
@break (v)@|@počiti@
@break a rule or law (v)@|@kršiti@
@break in half (v)@|@prelomiti@
@break off (v)@|@odkrušiti@
@break through (v)@|@prebijati@
@break up (v)@|@prekiniti@
@breakfast@|@zajtrk@
@breakfast (to be having..)@|@zajtrkovati@
@breaks@|@zavore@
@breast@|@dojka, prsi@
@breast feed - to ...@|@dojiti@
@bridge@|@kobilica (kitara), most, most@
@briefcase@|@aktovka@
@bring (to..)@|@prinesti@
@bring (v)@|@dovajati@
@bring in (v)@|@uvesti@
@bring to one's attention (to..)@|@obvestiti@
@bringing in (v)@|@uvajati@
@brisk@|@okreten@
@Britain@|@Britanija@
@broadcast@|@oddaja@
@broccoli@|@brokoli@
@brochure@|@brošura@
@broken (to pieces)@|@razbit@
@broken down@|@pokvarjen@
@bronze@|@bron, bronast@
@brother@|@brat@
@brother-in-law@|@svak@
@brown@|@rjav@
@brush@|@čopič, krtača, ščet@
@brush (little)@|@ščetka@
