@chalk@|@bor@
@chap@|@jahyr@
@chase@|@ab, av, aw@
@cheek@|@jangaq@
@cheek-pouch@|@adurt, avurt, vurt@
@child@|@bota, kenç@
@city@|@uluš@
@claim@|@çam@
@clan@|@oba@
@clavicle@|@omaža kemihi@
@claw@|@tyrngah, tyrngaq@
@clay@|@balçyq, palçyq@
@clean@|@ary-, aryh@
@clever@|@tetik@
@clinging mud@|@öz@
@cloud@|@bulut@
@clover@|@jönça, jongyçqa, jonža, jorunçha, jorunçqa@
@club-footed@|@majruq@
@coagulated milk@|@jahurt, johrot, juhrut, jurhut@
@coal@|@kimür, kömür@
@cockle@|@qaramuq@
@cold@|@sawuh, sawuq, sohyq, tumlyh@
@collide@|@tul-@
@colostrum@|@ahuz@
@come near to each other@|@jaqyš-@
@come out@|@çyq-@
@come together@|@av-@
@common@|@egil, öksük@
@community@|@toj@
@companion@|@adaš, tuš@
@completely@|@top@
@concubine@|@avyn-çu, quma@
@conscious@|@ajyh@
@consolation@|@abynyq@
@contagious disease@|@kezik@
@conus-shaped@|@subu, suby@
@copper@|@baqyr@
@coquetry@|@erke@
@corner@|@çiv, çyv@
@cotton seed(s)@|@çigit@
@cotton shirt@|@çekrek@
@country@|@el, il@
@courage@|@jürek@
@cover@|@qabah, qapaq@
@cow@|@inek, ingek@
@craftsman@|@uz@
@crane@|@turunja@
@craw@|@boqahu@
@crazy@|@aluq@
@crippled@|@çolaq@
@cross-road@|@qaj@
@cross-roads@|@beltir@
@crow@|@qarha, qarqa@
@cruel@|@qadyr@
@crush@|@soq-@
@cry@|@jyhla-, yh-la-@
@cud@|@keviš@
@cut dried grass@|@qijah@
@cut in slices@|@til-@
@dagger@|@bögde, bügde@
@damage@|@jas@
@dandruff@|@qavaq@
@danger@|@ada, tuda@
@dark brown@|@qonghur, qongur@
@daughter-in-law@|@kelin, keling-ün@
@Day@|@küneš@
@day and night@|@tewlük@
@deadly poison@|@dalau@
@decease@|@ig@
@deed@|@iš@
@deep@|@tereng, tering@
@deep snow@|@kürtük@
@deer@|@soqaq, suqaq, syqaq, žeren@
@deer (male)@|@buhu@
@demolish@|@üz-@
@demon@|@jek@
@dense@|@jigi@
@desert@|@çöl@
@designs embroidered in silk@|@çikin@
@despise@|@terke-, tirke-@
@destroy@|@buz-@
@deviating@|@sapa@
@device@|@al@
@different@|@ögün@
@difficult@|@alp, javlaq, sarp@
@direction@|@bulung, jyngaq@
@dirt@|@kir, saz@
@disappear@|@sön-@
@distant@|@jyraq, yraq@
@ditch@|@jap@
