@grocery store@|@tsi yekhwahninons@
@gun@|@kahonre@
@hailing: it is ~@|@tyowihsonhtyon@
@hair@|@ononhkwise@
@hand@|@ohsnonhse@
@hand towel@|@yontkonhsokewahtha@
@harvest (v.)@|@-yenthokwas@
@hawk@|@karhakonha, karhakonha@
@head@|@onontsi@
@headband@|@atenonhwaranha@
@headdress@|@kahstowa@
@heart@|@aweryahsa@
@heat something (v.)@|@-tarihàtha'@
@hemlock tree@|@onen'ta'onwe@
@heron@|@kentsyokwas@
@hide something (v.)@|@-hsehtha'@
@hill@|@yonontahere@
@hockey rink@|@tsi teyonto'tsinehtahkwa@
@hoe@|@atshòkten@
@honey@|@ohshehs@
@honey bees@|@kontihshehstonnis@
@horse@|@yakohsatens@
@hospital@|@tsi yakoheyon'tayentahkwa@
@hot: it is ~@|@yo'tarihen@
@hotel@|@tsi yohswen'karènton@
@house@|@kanonhsa@
@huckleberries@|@àyok@
@hunt (v.)@|@-torats@
@hunter@|@ratorats@
@ice@|@owise@
@ice skates@|@ato'tsinehta@
@in the spring@|@kenhkwitène'@
@inner ear@|@ohonhsa@
@insect@|@otsi'nowa@
@jackrabbit@|@toanhtaneken@
@January@|@Tsyothorkowa@
@jewelry@|@ohwihstanoronhson'a@
@July@|@Ohyarihkowa@
@June@|@Ohyariha@
@keep (v.)@|@-terakwas@
@kitchen@|@tsi yekhonnyàtha@
@knee@|@okwitsha@
@lacrosse game@|@attsihkwa'e@
@ladder@|@kanekòta@
@lake@|@kanyatare@
@lamp@|@ohahsera@
@last night@|@shiyòkarahs@
@lawn mower@|@kahontya'ks@
@leaf@|@onerahte@
@learn (v.)@|@ewennahnotha'@
@leave (v.)@|@-htentyes@
@leg@|@ohsina@
@lettuce@|@onerahtakate@
@light red@|@kanekwenhtararaken@
@lightnings: it ~@|@tewennine'karahwanyon's@
@lip@|@ohsa@
@liquor@|@kahneka'shatste@
@living room@|@tsi kanonhsiyo@
@longhouse@|@kanonhsehs@
@loose-leaf tea@|@kanerahta'kerha@
@lower (v.)@|@-'senhtha'@
@lower part of the leg@|@orenhsa@
@make (v.)@|@-nis@
@maple syrup@|@wahtha ohshehs@
@March@|@Ennihskowa@
@May@|@Onerahtokkowa@
