@new@|@não@
@night@|@noapte, noapti@
@No@|@nu@
@no one@|@canâ@
@nose@|@nare@
@not@|@nu@
@nothing@|@nitsi@
@number@|@numir@
@of@|@di, ti@
@oil@|@untulemnu@
@old (not new)@|@veclju@
@old (not young)@|@aush@
@olive@|@olivã@
@one@|@un, unâ, unu@
@onion@|@tseapã@
@or@|@icã@
@other@|@altâ, alti, altsâ, altu@
@our@|@noastrâ, nostru@
@owl@|@buf@
@ox@|@bou@
@page@|@frãndzã, padzinâ@
@pain@|@dor@
@paper@|@carte@
@pea@|@grãshac@
@peace@|@irinje@
@peach@|@zãrdeo@
@pear@|@gortsu@
@people@|@popul@
@pepper@|@piper lae@
@person@|@oaminj, om@
@petroleum@|@petrol@
@pig@|@porcu@
@pigeon@|@pãrumbu@
@place@|@loc@
@planet@|@planetã@
@Please@|@Ti-plãcãrsescu (informal), Vã-plãcãrsescu (formal)@
@plum@|@purnã@
@poison@|@fãrmatse@
@potato@|@patatã@
@prayer@|@plãcãrsire@
@problem@|@prublemâ@
@prophet@|@prufit@
@question@|@ãntribare, ântribari@
@rain@|@ploae@
@red@|@arosh@
@religion@|@relighia@
@remain@|@armânâ, armâni, armânu@
@right@|@ândreptu, nãndreptu, ndreptu@
@river@|@arão, arãu@
@road@|@cale@
@rock@|@cheatrã@
@roof@|@citie@
@room@|@odã@
@root@|@zãrtsinã@
@rope@|@fune@
@rose@|@trandafilã@
@round@|@gurguljat@
@run@|@fug@
@salt@|@sare@
@sand@|@arinã@
@school@|@sculie@
@sea@|@amare@
@season@|@sezonã di an@
@second@|@secundã@
@see@|@ved@
@seed@|@simintsã@
@sharp@|@tãljat@
@she had eaten@|@avea mãcatã@
@she will sing@|@va s-cãntã@
@sheep@|@oae, oaie@
@ship@|@pãmpore@
@short@|@shcurtâ, shcurtu@
@should@|@lipseascâ, lipseashti@
@silk@|@sirmã@
@silver@|@asime@
@sing@|@cânti, cãntu@
@single@|@simplu, singuru@
@sister@|@sorã@
@sit@|@šedu@
@six@|@shasi@
@skin@|@chiale, coajã@
@sky@|@tser@
@small@|@njic@
@smoke@|@fum@
@snake@|@niparticã, sharpe@
@snow@|@neao@
@soap@|@sãpune@
@some@|@nishti@
@son@|@hilj@
@Sorry@|@Ãnj-easte jale@
@sound@|@son, sonuri@
@speak@|@zburâm, zburascu, zburashi@
@spider@|@pangu@
@spoon@|@lingurã@
@spring(time)@|@primuvearã@
@star@|@steao@
@state@|@stat, stati@
@stay@|@armãn@
@steel@|@cileche@
@stick@|@virdzeao@
@stone@|@cheatrã, chiatrã@
@storm@|@furtunã@
@straight@|@ãdreptu@
@street@|@sucache@
@sugar@|@zahare@
@summer@|@vearã@
@sun@|@soare@
@swan@|@mielmã@
@sweeten@|@îndultescu@
@symbol@|@semnu@
@table@|@masã, sofrã@
@tail@|@coadã@
@tea@|@ceae@
@Thank you@|@Haristo@
@that@|@atsel, câ@
@the brother@|@frate@
@the brothers@|@fratslji@
@the father-in-law@|@socrulu@
@the fathers-in-law@|@socri@
@the girl@|@feata@
@the son@|@hiljlu@
@the sons@|@hiljli@
@the star@|@steao@
@the stars@|@steale@
@the woman@|@muljarea@
@there@|@aclo@
@they@|@eali, nãsh@
@they will sing@|@va s-cãntã@
@thick@|@gros@
@thin@|@subtsãre@
@this@|@aestâ, aestu, aistu@
@this way@|@ashi@
@three@|@trei@
@through@|@pisti, prit@
@tiger@|@tigru@
@time@|@chiro@
@to@|@pi, si@
@to be@|@eara, earau, easti, escu, eshti, hibâ, suntu@
@to blow@|@suflu@
@to burn@|@ardu@
@to come@|@yin@
@to count@|@numir@
@to cut@|@talju@
@to die@|@mor@
@to dig@|@sapu@
@to drink@|@beau@
@to eat@|@mãc@
@to fall@|@cad@
@to fight@|@mi-batu@
@to flow@|@cur@
@to fly@|@azboairã@
@to freeze@|@ãngljets@
@to give@|@dau@
@to have@|@ai, am, ari, au, avea, aveai, aveam, avem@
@to have (1)@|@aibâ, avea, aveatâ@
@to hear@|@avdu@
@to here@|@ancoa@
@to hit@|@agudescu@
@to hold@|@tsãn@
@to kill@|@nec, vatãm@
@to know@|@shciu@
@to laugh@|@arãdu@
@to lie@|@mi-culcu@
@to lie in a bed@|@stau cãlcatã@
@to play@|@mi gioc@
@to pull@|@trag@
@to rub@|@frec@
@to say@|@dzâc, dzâcâ, dzâtsemu, dzâtsi, spun@
@to scratch@|@scarchinu@
@to see@|@ved@
@to sew@|@cos@
@to sing@|@cãntu@
@to sit@|@shed@
@to sleep@|@dormu@
@to smell@|@anjurdzescu@
@to spit@|@ascuchiu@
@to squeeze@|@stringu@
@to stand@|@stau@
@to suck@|@sug@
@to swell@|@mi umflu@
@to the brother@|@a fratelui@
@to the brothers@|@a fratslor@
@to the father-in-law@|@a socrului@
@to the fathers-in-law@|@a socrilor@
@to the girl@|@a featiljei@
@to the son@|@a hiljlui@
@to the sons@|@a hiljlor@
@to the star@|@a steaoljei@
@to the stars@|@a stealilor@
@to the woman@|@a muljariljei@
@to think@|@minduiescu@
@to throw@|@aruc@
@to tie@|@leg@
@to turn@|@me anvãrtescu@
@to walk@|@imnu@
@to wash@|@spel@
@to wipe@|@ashcergu@
@tobacco@|@tutune@
@today@|@adzâ, azã@
@together@|@deadun@
@tomato@|@dumatã@
@tomorrow@|@mãne@
