@hawk@|@zhinug@
@head@|@uqul@
@heart@|@jik@
@hearth@|@lax@
@heavy@|@juqI-dy@
@hedgehog@|@qIangyr, qIynghIyr@
@heel@|@maqIli@
@heifer@|@lych@
@helminth@|@šar-ak@
@hen@|@kat@
@hit@|@=yxIa-@
@hoar-frost@|@syrsyr@
@hole@|@raxan@
@hoof@|@kwarch@
@hook@|@kych@
@horn@|@kach@
@horse's mane@|@ghIaghIal@
@house@|@xal@
@humming-top@|@kwarse-nej@
@hump@|@xwax@
@hundred@|@waIš, wäš@
@hunger@|@gaš@
@I@|@zy@
@ice@|@myk@
@in front@|@uli-x-ta@
@iron@|@hileg, jileg@
@joint@|@jicyn@
@juniper@|@cyb@
@kel@|@gäl@
@key@|@güläg@
@kidney@|@kutun@
@kill@|@ji=qe-@
@knee@|@qwaq@
@knife@|@kant@
@knuckle-bone@|@kuni@
@lap@|@cec-by@
@last year@|@šäs@
@late@|@yxä@
@leaf@|@quruq@
@leather sack@|@qucur@
@leather strip@|@chil@
@leave@|@s-a=ta-@
@left@|@gagla-d, gychi-d@
@leg@|@ghil@
@light@|@jakw, syl-dy@
@lightning@|@caj-rap, cajalpan@
@lime-tree@|@xyd@
@limpid@|@mät-dy@
@liquid@|@xymi-l-dy@
@liver@|@laq@
@lizard@|@maqIawaqI@
@load@|@xäl@
@locative suffix@|@-k@
@long@|@xuläx-dy@
@loop@|@'Iub@
@louse@|@lix@
@lung@|@xudul@
@magpie@|@q:Iaraq:Ial@
@malt@|@qe@
@man@|@wygyl-dy@
@mane@|@xyri@
@manure@|@xid@
@mare@|@xwar@
@mark@|@izh, lizh@
@marrow@|@majä@
@marten@|@syrycal@
@masdar@|@-n@
@meat@|@jak@
@milk@|@näk@
@mill@|@ruxI@
@mint@|@šydyq@
@month@|@waz@
@mortar@|@qut@
@mosquito@|@šwät@
@moth@|@jis@
@mother@|@nenej@
@mould@|@xul@
@mound@|@gut@
@mountain goat@|@ghIyrch, juxI@
@mountain pass@|@syw@
@mouse@|@qIul@
@mouth@|@gal@
@mouthful@|@xup@
@mulberry@|@zizä@
@naked@|@ghacul-dy@
@name@|@dur@
@narrow@|@ged-dy@
@navel@|@dan@
@nettle@|@maGGul@
@new@|@cindy@
@night@|@huš, wyš@
@nine@|@huchu-d@
@nit@|@nät@
@nominative@|@-0@
@northern slope of a mountain@|@xin@
@nose@|@xex@
@not@|@zh-@
@oak-tree@|@maxIw@
@oat flour@|@su@
@oats@|@gargal@
@obl. stem@|@-ar-@
@obl. stem plural@|@-š-@
@odour@|@il@
@old@|@jis-dy@
@old fogey@|@wak@
@one@|@sa@
@one of several wives@|@qIyj@
@oneself@|@=izh@
@owl@|@tyb@
@ox@|@jas@
@pa@|@sur@
@palate@|@läkwa@
@palm of hand@|@qwanaq@
@part of face@|@buk@
@pass@|@qIach@
@passage@|@kac@
@past conditional@|@-di'in, -din@
@paw@|@kwanch@
@pea(s)@|@xar@
@pear@|@xIyr@
@pen@|@ad:ar@
@penis@|@bylyt@
@pickaxe@|@gajaj@
@piece@|@qat@
@pigeon@|@lirxwaj@
@pillow@|@ghurdigän@
@pimple@|@tur@
@pincers@|@q:Iac@
@pine-tree@|@nikw-näxI@
@placenta@|@nixrä@
@plait@|@qamchäl@
@planking for the ceiling@|@qIar@
@plateau@|@dyl@
@ploughshare@|@magh@
@plural@|@-á, -ä, -ar, -är, -ba, -bä, -ba-r, -bi, -bu-r, -by, -by-r, -ma, -my, -r-ä@
@plural (1)@|@-ma-r, -my-r@
@pond@|@uIr@
@prayer@|@kub, xul@
@pregnant@|@ghIan-dy@
@present conditional@|@-kun@
@present participle@|@-na@
@preserve@|@u=xIa-@
@prick@|@zaz@
@puppy@|@cik@
@quince@|@žim@
@rain@|@maf@
@ram@|@q:arg, wyhyr@
@ramson@|@sur-käš@
@raspberry@|@xur@
@rat@|@jixal@
@red@|@irdy@
@remnants of wool@|@mes@
@rennet@|@gyryg@
@right@|@hIarchä-d, jigi-d@
@river@|@jux@
@road@|@raqI@
@road metal@|@šim@
@road-metal@|@xIaxIal@
@roast@|@=isa-@
@roasted grain@|@magal@
@rock@|@bäl@
@rock layer@|@qIan@
@roof@|@q:aw@
@root@|@ghwab@
@rope@|@tu'I@
@rowan@|@mez@
@rust@|@myqI@
@Rutul language@|@myx'abišdy ch'el@
@rye@|@sykyl@
@salt@|@qäl@
@saw@|@darxilaq@
@scoop@|@turch@
@season@|@er@
@series Ad@|@-xw@
@seven@|@jiwy-d@
@shake@|@s-u=de-@
@shame@|@ryqI@
@shaved head@|@kan@
@sheaf@|@zhwäl@
@sheaf of hay@|@käm-är@
@sheath@|@q:agh@
