@knee@|@poImp@
@lamb@|@baqari, l:al@
@lame@|@lak:a-t:u-@
@last year@|@šwaIš@
@late@|@l:e-t:u-t@
@lative@|@-ši@
@lead@|@teIchu@
@leaf@|@kachi@
@leather strip@|@chot@
@leave@|@a=ti-@
@leech@|@žinžru@
@leg of animal@|@kwiri@
@light@|@ak:on, s:ala@
@lightning@|@parä-la@
@lip@|@kwent@
@liquid@|@hoIlo-t:u-, l:aIma-t:u-@
@load@|@x:al@
@loc. suffix@|@-xu-@
@locative suffix@|@-l:@
@lock@|@l:erum-kul@
@long@|@aqa, láxa@
@long rag@|@mars:i@
@long stick@|@dali@
@louse@|@nac@
@lung@|@xurt:ur-t:i@
@male@|@melle@
@malt@|@bok@
@manure@|@l:wit@
@many@|@qukan@
@mark@|@eIch@
@measure for flour@|@kadi@
@meat@|@al:@
@men@|@lele@
@milk@|@naIl:@
@mill@|@dexIw@
@mirror@|@daxon, daxoni@
@month@|@bac@
@mother@|@buwa, ej-t:ur@
@mountain@|@mul@
@mountain goat@|@bos, boxI@
@mountain pass@|@jarxIi@
@mountain pasture@|@moc:or, sob@
@mouse@|@noqIon@
@mouth@|@s:ob@
@much@|@labx-an@
@nail@|@marqIw@
@name@|@cor@
@near@|@l:wa-k@
@neck@|@oIch-lek:i@
@nest@|@xal@
@nettle@|@mach, urk:i@
@new@|@macat:ut@
@newborn daughter@|@diš-du-r@
@night@|@iš@
@nine@|@uch, ücha-tu@
@nit@|@nat@
@nominative@|@-0@
@northern slope of a mountain@|@x:wan@
@not@|@-chu-gu, -tu@
@oath@|@xwe-t:i@
@obl. stem@|@-ir-, -ir-, -j-, -l-, -m-, -t:ej-@
@obl. stem plural@|@-che-, -rche-, -šu-l@
@of sheep@|@kurch@
@old dry grass@|@molol@
@old person@|@xala-t:u-@
@one@|@os@
@one of the large intestines@|@paIrti@
@oneself@|@inž@
@ox@|@ans@
@palate@|@x:ono@
@palm of hand@|@qwan@
@pastor's lettuce@|@muka@
@pear@|@xIert@
@penis of a boy@|@kacha@
@pick@|@arkwin-@
@pimple@|@tinl@
@pitchfork@|@lol@
@place@|@biqw, mach@
@place for community meetings@|@dori@
@place in front of the house@|@loli@
@plough@|@kutan@
@plur. class marker@|@b@
@plural@|@-mu-l, -om, -ot, -t:u, -ti-l, -til@
@point-tool@|@chet@
@pour@|@chaxI, chaxI bos@
@pregnant@|@qIan@
@present@|@-n, -r@
@present gerund@|@-di, -t:e, -t:i@
@price@|@mas@
@prick@|@cac@
@prohibitive@|@-gi, -rgi@
@puppy@|@koncol@
@rain@|@x:Iel@
@raise@|@exa-s@
@ram@|@baIk@
@ramson@|@pil, s:ap@
@rat@|@jixal@
@raven@|@qIipi-xIan@
@rennet@|@bal@
@rib@|@bars:on@
@right@|@oIrchu-@
@rigid@|@tanq-du-@
@ring stone@|@oc@
@road@|@deqI@
@roast grain@|@sesa-@
@rolling-pin@|@qIarti@
@room@|@nol:@
@rope@|@baIkon@
@rope made of plant stalks@|@duhIu-ni@
@round@|@guk:i@
@rowan@|@bac@
@salt@|@orxIi@
@say@|@bo-@
@scent@|@di@
@scratch@|@g-obx:a-s@
@secretly@|@cix-dí@
@seed@|@l:win@
@series Super@|@-t:-@
@seven@|@wil, wila-tu@
@shame@|@libxI@
@sheep-skin@|@qonq@
@shelf for dishes@|@qas@
@short rain@|@chub:un@
@short-eared ram@|@oIti@
@shoulder@|@qIun@
@shoulder-blade@|@l:ol@
@sickly@|@saqa-t:u=@
@side@|@bakw@
@silver@|@arsi@
@similar@|@l:wána-t:u-@
@sister@|@došdur@
@six@|@dil, dili-jtu@
@skin@|@ili@
@sleeve@|@xala-ci@
@small@|@hoko-t:ut, muqIu, ti@
@smoke@|@huq@
@snot@|@muIl@
@snow@|@marx:äla@
@song@|@lagum@
@soup@|@diq@
@sour cream@|@harq@
@span@|@chwim@
@sparrow@|@noc@
@spider's web@|@kwet-xwarši@
@spindle's pivot@|@tung@
@spoon@|@chaqw@
@squeeze@|@chaIn-@
@stab@|@e=qwVn-@
@star@|@xI:ološ-qIan@
@stick for playing tip-cat@|@kunchul@
@stone@|@chele@
@stone pillar@|@cut@
@stripe of mown grass@|@max@
@study@|@l:a-@
@suddenly@|@wix-taš@
@suffix of abstract nouns@|@-n, -na@
@summer@|@qIit:-iq@
@summer pasture@|@joki@
@sun@|@barq@
@support@|@mol:ol@
@sweat@|@amk@
@sweet@|@ic@
@tail@|@oIch@
@tale@|@maxIu@
@tassel@|@chwal@
@tear@|@nabq@
@temporal gerund@|@-li@
@ten@|@wic@
@that@|@ghu-du, gu-du, gu-du@
@thaw@|@ca-, s:en-@
@thick of liquids@|@t-ugh-du-, t-uq@
@thin@|@kalat:ut@
@third stomach@|@-erx:i, xIošon-erx:i@
@thirsty@|@muq:á-t:u@
@thou@|@un, w-it@
@three@|@leb@
@threshing-floor@|@ci@
@throat@|@hanq, qaqära@
@tick@|@xwimc, xwinc@
@timber@|@cahan@
@to bake@|@char-@
@to be@|@=i, e=, ke-@
@to be able@|@b-eca-@
@to be hungry@|@iq:Ia-t:u=@
@to be ill@|@=ac:a-r@
@to be silent@|@kel-kes, o=l:a-@
@to beat@|@dál-kes, daxi-s@
@to become cloudy@|@daI=šin-@
@to bend@|@gwa-s@
@to break@|@a=qIa-@
@to butt@|@=at:a-, qe-bus@
@to carry@|@x:e-@
@to catch@|@sa-@
@to catch fire@|@exin-, exmus@
@to change@|@x:Ioro=x:Ii-@
@to choose@|@e=ka-@
