@leg@|@luka, lukaa@
@lie@|@soba@
@light@|@hap'p'ii, hap'p'ii, ifa@
@limb@|@humnaa@
@lion@|@marode@
@live long@|@raaga@
@liver@|@tiru@
@long@|@dheera@
@long hair@|@daabee@
@look@|@ilaala@
@lover@|@obbolaa@
@lungs@|@somba@
@make a hole@|@horda@
@make hole@|@hura@
@malaria@|@busaa malaria@
@man@|@nama@
@mane@|@gamma@
@manger@|@moora@
@mare@|@gañña@
@measure of weight@|@daawlaa@
@meat@|@fooni@
@meet@|@sima@
@memory@|@seenaa@
@men@|@daadoo@
@mid-back@|@wiirtuu@
@mid-morning@|@saafaa@
@moan@|@go'a@
@mongoose@|@wawwachoo@
@monkey@|@'al'eessa, 'aldeessa@
@morning@|@barii@
@mosquito@|@faacaa@
@mother@|@haadha@
@mourning@|@a-mutaa@
@mouse@|@antu-ta@
@mouth@|@af-an@
@muddy@|@booruu, bootoo@
@mule@|@gaang-oo@
@munch@|@qaama@
@muscle@|@humnaa@
@name@|@maqa@
@nape@|@qolee@
@nose@|@fuññ an@
@not giving much milk@|@baakkuu@
@not know@|@wal'aala@
@oats@|@omborii@
@observe@|@beeka@
@one-eyed@|@ballaa@
@open@|@ban, fur-@
@oryx@|@säla@
@outside the house@|@diida@
@ox@|@sangaa@
@pack for animals@|@daawlaa@
@palm tree@|@meethii@
@parasite@|@raammoo@
@peck@|@qossa'a@
@pedere@|@dhuufa@
@penis@|@gula@
@people@|@daadoo, warra@
@pierce@|@hura@
@pit@|@booll@
@place@|@kaaya@
@plan@|@mari'-adhdha@
@plane wood@|@sof-@
@plate made of clay@|@täba@
@point@|@qara@
@pool@|@haroo@
@porridge@|@alaa@
@pot@|@horochoo@
@pottery@|@sup'ee@
@power@|@humnaa@
@pregnant@|@riimaa@
@pregnant of animals@|@riimaa@
@press@|@qacha'a@
@property@|@laddaa@
@public hair@|@sap'ii@
@puff-adder@|@büt-ï@
@pull out (hair)@|@bukka@
@purse@|@koro'oo@
@pursue@|@ari'a@
@push@|@dhiiba@
@push down@|@huduma@
@question@|@qora@
@rain@|@booka, rooba@
@receptacle@|@qodaa@
@relatives@|@obbolaa@
@return@|@beebi'a@
@rhinoceros@|@wors-eesa@
@river@|@haroo, laga@
@river palm@|@abru, habru, harbü@
@rivulet@|@kuree@
@roast@|@waada@
@rool up@|@maar-, mar-@
@rotten@|@busaa'a@
@rub@|@haadh-@
@run@|@kaat-@
@run away@|@baqa, baqa, kadhdha@
@run back and forth@|@qora'a@
@run here and there@|@kolla'a@
@sack@|@keeshaa@
@sandal@|@kobe@
@scatter@|@tamsa-'a@
@scent@|@suuf-@
@scrape@|@duug-@
@scrape away@|@fil-@
@scratch@|@hooq-, tarara@
@sea@|@galaana@
@see@|@arga@
@seed@|@garii, saññii@
@send@|@erga@
@send message@|@dham-adhdha@
@set@|@kaaya@
@severe cough@|@qakkee@
@sew@|@erba@
@sharp@|@qara@
@shave@|@haada@
@she@|@isee, ishee, ishii, isii, isiin@
@she-camel@|@halaa@
@she-goat@|@lal-eesa, ree@
@shield@|@gacana, gaccaa@
@shine@|@balag, ifa@
@shoe@|@kobe@
@shoulder@|@gurmu@
@shout@|@iyya@
@shout caused by grief@|@dawaaq-@
@sister@|@obboleettii@
@skin@|@googa@
@skin bucket@|@okolee@
@slave@|@garba@
@slender@|@qal'aa, qallaa@
@small@|@diqqa@
@small bowl@|@killa@
@smell@|@suuf-@
@snake@|@shaawwisa@
@sneezing@|@haththissoo@
@sniff@|@suuf-@
@soak@|@dhuuba@
@society@|@waldaa@
@son@|@ilma, ilmo@
@sparkle@|@balag@
@speech@|@arraba@
@spin@|@dhaw@
@spine@|@wiirtuu@
@spirit@|@lubbuu@
@spit@|@hanchufa, tufe@
@split@|@falatha@
@spoiled@|@busaa'a@
@spread out@|@tamsa-'a@
@spring back@|@futta'a@
@sprout@|@kiccuu@
@star@|@urjii@
@stick@|@ulle@
@straight@|@sirri@
@strength@|@humnaa@
@strike@|@aboota, aboota, tuq-@
@sucks blood from cow@|@cerrii, cirrii@
@summit@|@gubba, qara@
@sun@|@aduu@
@swallow@|@liqim-s-@
@swampy place@|@bubbuka@
@sweep@|@haadh-@
@tail@|@duboo, teeri, teeri@
@take@|@fuudha@
@tall@|@dheera@
@tapeworm@|@minni@
@teacher@|@barsiisaa@
@teachers@|@barsiisoota@
@tear@|@baqaqa@
@temple@|@dhaffora@
@tenuous@|@diqqa@
@the pour one@|@hiyyeettii@
@the rich one@|@dureessa@
@they@|@isaan, isaani@
@thin@|@hap'p'ii, hap'p'ii, qal'aa, qallaa@
@think@|@se'a, yaada@
@thread@|@hodd-@
@threaten@|@ori'a@
@throat@|@khoonkhoo, koonkhoo@
@tick@|@shilm-a, shilm-ii@
@tie@|@hidh-@
@to bite@|@chinïna@
@to hunt@|@adama, hadama@
@tongue@|@arrab@
@tooth@|@ilka@
@trace@|@fana@
@tribal chief@|@angafa, angafu, hangafa@
@tribe@|@daadoo@
@trust@|@aman, amana@
@turn@|@maar-, mar-@
@turn off@|@gora@
@uncle (brother of father)@|@adeer@
@untie@|@fur-, fur-, furra@
@until@|@hamma@
@until the end@|@hamma dhuma@
@upper back@|@duboo@
@vagina@|@gula, teeri@
@vessel@|@qadaada@
@viverra@|@adurree@
@vulva@|@futee@
@waist@|@mudhdhii@
@wall@|@goorroo@
@want@|@haw-@
@wash@|@miich-@
@watch@|@fana, ilaala@
@water bottle@|@koddaa@
@we@|@nu, nu, nu'i, nuti, nuy@
@we bought a house@|@mana binne@
@weep@|@boo-@
@welcome@|@sima, simadda@
@well@|@booll@
@Where is my room?@|@Galmi kiyya eessa?@
@Where is the bar?@|@Mani dhugüti eessa?@
@Where is the beach?@|@Qarqarri biduruu eessa?, Qarqarri lagaa eessa?@
@wife@|@niti@
@wild dog@|@yeeyii@
@wing@|@baala@
@wish@|@haw-@
@witch-doctor@|@bawda@
@woman@|@niti@
@women's hairdo@|@cifra@
@wood beetle@|@qiinqani, qiinqee@
@word@|@arraba, arraba, qaalii@
@worm@|@bïli, bill-acca, siiba@
@year@|@waggaa@
@years@|@waggaawwan@
@yellow@|@boora@
@you (pl.)@|@isin, isini@
@you (sing.)@|@ati, si@
@young bull@|@dib-icca, wellega dibi-cca@
@young person@|@thobbee@

