@cheek@|@bbyam@
@cheese@|@chijeu@
@chemistry@|@hwahak@
@cherry@|@beojji@
@chess@|@cheseu@
@chest@|@gaseum@
@chestnut@|@bam@
@chewing@|@gum ggeom@
@chewing gum@|@ggeom@
@chicken (animal)@|@dak@
@chicken meat@|@dakgogi@
@child@|@eorini@
@chin@|@teok@
@china@|@dojagi@
@China@|@jungguk@
@Chinese (people)@|@junggukin@
@Chinese language@|@junggukeo@
@chocolate@|@chokeolrit@
@chopsticks@|@jeotgarak@
@Christian@|@gidokgyoin@
@Christmas@|@seongtanjeol@
@church@|@gyohoe@
@cigarette@|@dambae@
@circle@|@weonhyeong@
@city@|@dosi, si@
@city centre@|@sinae@
@classmate@|@donggeupsaeng@
@classroom@|@gyosil@
@clock@|@datda@
@closet@|@byeokjang@
@clothes@|@ot@
@coat@|@oetu@
@cob web@|@geomijul@
@coconut@|@yajayeolmae@
@coffee@|@kopi@
@college@|@dangwadaehak@
@comb@|@bit@
@community@|@sahoe@
@company (firm)@|@hoesa@
@competition@|@gyeongjaeng@
@concert@|@eumakhoe@
@cone@|@weonbbul@
@congratulation@|@chukha@
@consonant@|@jaeum@
@contagious@|@jeonyeomseong@
@contaminate@|@oyeomsikida@
@contest (n.)@|@gyeongju@
@contraband@|@milsu@
@contract@|@gyeyak@
@contribution@|@gibu@
@convert (money)@|@don pakuda@
@cook (person)@|@yorisa@
@cook (v.)@|@yorihada@
@cookie@|@gwaja@
@copy@|@beggida@
@corn@|@oksusu, oksusu@
@cost (price)@|@gap@
@cotton@|@som@
@cough@|@gichim@
@courthouse@|@beopweon@
@cousin@|@sacheon@
@cow@|@amso@
@crab@|@ge@
@cracker (biscuit)@|@keuraekeo@
@crane (bird)@|@hak@
@crane (machine)@|@gijunggi@
@crayon@|@keureyong@
@cream@|@keuri-im@
@cricket (insect)@|@gwiddurami@
@crime@|@joe@
@criminal@|@beomjoecha@
@crocodile@|@ageo@
@cruise (sail)@|@sunhanghada@
@cucumber@|@oi@
@cup@|@jan, keop@
@cupboard@|@chanjang@
@curfew@|@tonghaenggeumji@
@cushion@|@bangseok@
@customer@|@gogaek@
@customs (import duties)@|@gwanse@
@daffodil@|@suseonhwa@
@dairy@|@products yujepum@
@daisy@|@silgukhwa@
@dam@|@daem@
@dance@|@chum@
@dancer@|@muyongga@
@dandelion@|@mindeulre@
@danger@|@wiheom@
@dangerous@|@wiheomham@
@dark@|@eodu-un@
@daughter@|@ddal@
@daughter-in-law@|@myeoneuri@
@dawn@|@saebyeok@
@day@|@nal@
@dead@|@jukeun@
@deadly@|@chimyeongjeokin@
@deaf@|@gwimeokeun@
@dean (college)@|@hakjang@
@death@|@jukeum@
@December@|@sipiweol@
@decorate@|@ggumida@
@decoration@|@jangsik@
@deer@|@saseum@
@degree (school)@|@hakwi@
@delicious@|@masitneun@
@democracy@|@minjuju-ui@
@democratic@|@minjujeongcheui@
@dentist@|@chigwaeuisa@
@depart@|@tteonada@
@department store@|@baekhwajeom@
@departure@|@chulbal@
@desert@|@samak@
@desk@|@chaeksang@
@dessert@|@dijeo-eoteu@
@destroy@|@pagoehada@
@detain (keep waiting)@|@gidarigehada@
@dew@|@iseul@
@diameter@|@jireum@
@diamond@|@geumgangseok@
@diaper@|@gijeogwi@
@diarrhoea@|@seolsa@
@diary@|@ilgi@
@dice@|@jusawi@
@dictatorship@|@dokjae@
@dictionary@|@sajeon@
@diet (menu)@|@sigiyeopeop@
@diet (weight loss)@|@salpaeda@
@digestion@|@sohwa@
@dimple@|@bojogae@
@dining@|@siksa@
@dining room@|@sikdang@
@dining table@|@siktak@
@dinner@|@jeongchan@
@diploma@|@joreopjang@
@diplomat@|@wigyogwan@
@direction@|@banghyang@
@dirty@|@deoreoun@
@disaster@|@jaenan@
@discount@|@harin@
@disease@|@byeong@
@dish@|@jeopsi@
@distance@|@geori@
@dizzy@|@eojireoun@
@doctor@|@euisa@
@dog@|@gae@
@donkey@|@dangnagwi@
@door@|@mun@
@dormitory@|@gisuksa@
@downtown@|@beonhwaga, dosimji@
@dozen@|@yeoldugae@
@dragonfly@|@jamjari@
@dress (wear)@|@ipda@
@dresser@|@hwajangdae@
@drink@|@masida@
@drinking glass@|@keop@
@duck (animal)@|@ori@
@dusk@|@ddanggeomi@
@dust@|@meonji@
@dusty@|@meonji tuseongi@
@duty@|@euimu@
@dye@|@mulgam@
@dysentery@|@ijil@
@eagle@|@doksuri@
@ear@|@gwi@
@early@|@ireun@
@earring@|@gwigori@
@earth@|@isesang@
@earthquake@|@jijin@
@earthworm@|@jireongi@
@east@|@dongjjok@
@Easter@|@buhwaljeol@
@eat@|@meokda@
@eclipse (lunar)@|@weolsik@
@eclipse (solar)@|@ilsik@
@eclipse (total)@|@gaegisik@
@economics@|@gyeongjehak@
@economy@|@gyeongje@
@editor@|@pyeonjipja@
@educate@|@gyoyukhada@
@education@|@gyoyuk@
@eel@|@baemjangeo@
@egg@|@gyeran@
@eggplant@|@gaji@
@Egypt@|@ijipteu@
@eight (C)@|@pal@
@eight (K)@|@yeodeol@
@eighteen (C)@|@sippal@
@eighteen (K)@|@yeolyeodeol@
@eighty (C)@|@palsip@
@eighty (K)@|@yeodeun@
@elastic@|@gomujul@
@elbow@|@palggumchi@
@electrician@|@jeongi gisa@
@electricity@|@jeongi@
@elementary school@|@gugminhakgyo@
@elephant@|@koggiri@
@elevator@|@seungganggi@
@eleven (C)@|@sipil@
@eleven (K)@|@yeolhana@
@embark (board)@|@baereultada@
@embark (start)@|@chulbalhada@
@embassy@|@daesagwan@
@emerald@|@emeoraldeu@
@emergency@|@bisangsatae@
@employee@|@goyongin@
@employer@|@goyongju@
@employment@|@goyong@
