@to come@|@tätä'i@
@to cook@|@ta`u, tao@
@to count@|@tärë, tatau@
@to cry@|@tangi@
@to cut@|@kokoti, kootia, motu, tarai, vaaì/a@
@to die@|@mate, po'e@
@to dig@|@keri@
@to dream@|@moemoeaa@
@to drink@|@inu@
@to eat@|@kai-nga@
@to fear@|@iì@
@to flow@|@ta'e@
@to fly@|@rere@
@to grow@|@tupu@
@to hear@|@rongo@
@to hide@|@pi(i)pini, puni@
@to hit@|@paakia, papaki, patu, ta-ia, taa, tuki@
@to hold@|@kuku-a, puke/na, tango@
@to hunt@|@apuapu, kimi@
@to kill@|@kikini, putu, tä, tämate, tämatemate@
@to know@|@kite, maatau@
@to laugh@|@kata@
@to lie down@|@'akatakoto, 'akatïpapa, moe@
@to live@|@mauri, ora@
@to open@|@'akangangata, 'akapu'ata, 'akatü'era'era@
@to plant@|@tanu, tanutanu, tatanu@
@to pound@|@tuki@
@to say@|@araara, karanga, körero, tuatua@
@to scratch@|@raku(raku), raraku@
@to see@|@kite@
@to sew@|@tui@
@to shoot@|@taa/àna@
@to sit@|@no'o@
@to sleep@|@moe@
@to sniff@|@`ongi@
@to spit@|@puaki, tuà, tutuà@
@to split@|@ngaàa, tapaì, vaaì@
@to squeeze@|@romi, tatau@
@to stab@|@pätia, pätiatia, vero, verovero@
@to stand@|@tuu@
@to steal@|@keiaa@
@to suck@|@-ìa, ngote-a@
@to swell@|@'akangë(ngë), 'akapetetue, ë, ngaru, öpuepue@
@to swim@|@kau@
@to think@|@maàra@
@to throw@|@-ìa, maka, peeì-a, tii, tiri@
@to tie up@|@-ìa, -na, ìitiki-a, nati-a, rii, taapeka@
@to turn@|@'akapa'e, 'iki'iki, pa'e@
@to vomit@|@puaki, rua/ki@
@to walk@|@àere@
@to work@|@ànga/ànga@
@to yawm@|@àamama@
@today@|@ki teia ra@
@tongue@|@arero@
@tooth@|@ni`o@
@twenty@|@rua@
@two@|@rua@
@village@|@'oire@
@vocative@|@e@
@want@|@inangaro@
@warm@|@maàna@
@water@|@vai@
@we@|@mätou, tätou@
@we have no more food@|@Käre ä tätou kai toe@
@wedding@|@'akaipoipo@
@wet@|@mä'ü, mä'ü'ü, tärari@
@what?@|@aà, e a'a@
@What's your name?@|@Ko 'ai tou ingoa?@
@when?@|@aa'ea@
@Where is my room?@|@Tei 'ea te pi'a?@
@Where is the bar?@|@Tei 'ea te nga'i oko'anga?@
@Where is the beach?@|@Tei 'ea te ta'atai?@
@where?@|@'ea, tei'ea?@
@white@|@tea@
@Who are we waiting for?@|@Ko'ai tä tätou e tiaki nei@
@who?@|@ài, ko 'ai?@
@why did he/she come?@|@'Ea'a 'aia i 'aere mai ei@
@wide@|@'a'ano, ätea@
@wife@|@va'ine@
@wind@|@matangi@
@wing@|@peeàu@
@woman@|@ìne, va'ine, vaìne@
@woods@|@ngaa/ngaaere, uru/raakau, vao@
@worm@|@toke@
@Wow!@|@Aue!@
@year@|@tau@
@yellow@|@rengarenga@
@yes@|@'e@
@you@|@koe, koorua, kootou@
@you all@|@koutou@
@You saw us@|@Kua kite mai koe ia mätou@
@you two@|@korua@
@zero@|@kare@

