@much@|@dv@
@musk-deer@|@'tò-la@
@name@|@mìng, nìng@
@narrow@|@khíp, xíp@
@near@|@né@
@neck@|@poi, tvk@
@nest day@|@nak@
@new@|@cang, cang'c-, lìm, lìm, ní-, nú-@
@nine@|@ghú@
@nipple@|@n, nu@
@nose@|@nä@
@numerous@|@sä'r@
@offend@|@kúk@
@oil@|@mer@
@one@|@'i, 'it, 'tik-, thik, thk, tk-@
@pack@|@tãk@
@patch@|@'pä, 'pä-n@
@paw@|@brep-co@
@penis@|@bh-lè@
@person@|@mi, mu-r, nam, nap@
@phlegm@|@khák@
@pick@|@chp, chup@
@pig@|@'päk@
@pile up@|@cìr@
@pillow@|@kom, long@
@pinch@|@ñap@
@pit@|@lum@
@placenta@|@jang@
@plant@|@cúk@
@play@|@cãm, cãp, cvt, cvt'c-@
@porcupine@|@'kä-@
@pour@|@jhòr, pén, pét@
@powerful@|@le@
@prohibit@|@krìm@
@pull out@|@lót@
@pus@|@nek@
@put on@|@go, gon@
@rain@|@wä@
@rasp@|@ãt, krãt@
@raven@|@gá, gák@
@recover@|@sat, sats@
@red@|@häl, n'u, n'un@
@remember@|@mìm@
@request@|@ñak@
@rest@|@nã, nãs@
@rice@|@bra-m@
@ripe@|@mìn@
@rise@|@gät, khät, ngo-@
@roar@|@krùk@
@rob@|@khù, khùs@
@rock@|@bräk, räk@
@root@|@sam@
@rope@|@rì@
@round@|@pv, ril@
@rub@|@núk, núks@
@salt@|@rùm@
@sand@|@se-krem@
@say@|@lút@
@scatter@|@bär, bhär'p-@
@scold@|@cìl@
@scoop@|@'k-, kòr@
@season@|@l, lo@
@seed@|@lej, li, r, r, ri, ri, sit@
@seize@|@thùm, thùms@
@send@|@phèng, phèngs@
@separate@|@phák@
@shade@|@kám@
@shadow@|@rìm, rìp@
@shame@|@jak@
@she@|@'ko, 'kon, ko, kon@
@shell@|@khrä'p, sip-präk@
@shift@|@jàng@
@short@|@mo-songpe@
@shoulder@|@bhák@
@side@|@phär, póm, póng@
@sinew@|@sä'@
@sing@|@lu@
@singe@|@läp@
@sink@|@tãm@
@sit@|@pen-, yung-ma'@
@six@|@rúk@
@sjin defect@|@cùr@
@sky@|@näm@
@sleep@|@'im, 'ips, ip@
@slice@|@xlép@
@small@|@'imi-, ci, mi-@
@small bird@|@cík@
@smell@|@'kùn, näm, näm-s@
@smoke@|@mösysom@
@snake@|@phu-, ral-@
@soak@|@mók, móng@
@solid@|@'tèn, thèn@
@son-in-law@|@mak, mäk, mok@
@sour@|@jhùr@
@sow@|@ñep@
@speak@|@brän, brät, lä@
@speech@|@'ka, ka@
@spirit@|@lä'@
@spit@|@'thúk, 'thúks, thúk, thúks@
@spleen@|@bhä'@
@split@|@jhék@
@squeeze@|@'ip@
@stand@|@r'ép@
@star@|@'kar, sang@
@stone@|@lùn@
@strain@|@sur@
@strip@|@khók@
@suck@|@cùp, phíp@
@sun@|@nä'@
@sure@|@thä'k, thä'ng@
@swallow@|@'tùng@
@swam@|@rù@
@sweat@|@ghàl@
@sweep@|@phík@
@sweet@|@lèm@
@swim@|@wa-jak-ma'@
@swing@|@khäl, xäl@
@tail@|@mé@
@taste@|@brang, brangs, mrang@
@that@|@m, mè@
@thick fluid@|@'c, 'cì@
@thin@|@sãm, sãp@
@think@|@min, n'ir, ngvm@
@this@|@'è, tv-@
@thorn@|@cù, cùting@
@thou@|@'inã, ginã@
@three@|@súm@
@through@|@khong@
@throw@|@'äp@
@tick@|@thùng@
@tie@|@'pát, 'pát-n@
@tiger@|@keba@
@time@|@òng, thò, thòng@
@to add@|@ghäm@
@to climb@|@ling, líng@
@to go@|@khwat, lá@
@to loosen@|@plut, plut-s@
@to make@|@cok@
@to pick up@|@'kup, ghup, gup, kup@
@to pull out@|@làt@
@to sink@|@plùm@
@to split@|@'cet@
@to stay@|@mùn@
@tooth@|@ka, kang, wa@
@top@|@'pú-j, thèm@
@touch@|@bän, bhän@
@tree@|@bhvng, bvng, sìng@
@tuck up@|@sing'c-, sing'ch-@
@tumulus@|@bhä'r@
@turn over@|@'puk, khlók, xlók@
@turn round@|@xìr@
@twist@|@'kek, ek@
@two@|@ní, ník@
@uncle@|@k, kù@
@understanding@|@chè-k, chè-n, chè-s@
@upper part of foot@|@'pal, phal@
@urine@|@'ce, 'ces@
@vast@|@bhä, bhäp@
@vomit@|@bas, bha, pa, pas@
@warm@|@lúm, lúp@
@wash@|@sèi@
@water@|@cwa'l, dhì, kù@
@way@|@lam@
@weave@|@'täk@
@weed@|@s@
@weigh@|@thak, thang@
@what@|@he@
@whisper@|@supi-@
@white@|@bù, bùk, kulung om-lö-pa@
@who@|@abo@
@wide@|@lung@
@wind@|@pha-še@
@wing@|@láp, lp@
@woman@|@mè, mèn@
@womb@|@hang, hi-lum, lum, lum, nga, ngal, xang@
@worm@|@'pu, bhu@
@wring@|@sóp@
@yawn@|@kàkam, kàkamä@
@year@|@ning@
@yellow@|@sèl, wä'@
@young@|@sòn@

