@English@|@Finnish@
@database@|@tietokanta@
@datacommunications@|@tietotekniikka@
@date@|@ajoittaa, pvm, päivä, päivämäärä, päivätä, taateli, tapaaminen, treffit, tärskyt@
@date of birth@|@syntymäpäivä@
@dated@|@päivätty@
@datum@|@data@
@daub@|@rapata, sivellä, tahra@
@daughter@|@tytär@
@daughter-in-law@|@miniä@
@daughter-of-law@|@miniä@
@daunt@|@pelästyttää@
@daunting@|@hirmuinen@
@dauntless@|@peloton, urhokas, uskalias@
@daw@|@naakka@
@dawdle@|@aikailla, jäädä jälkeen, kuhnailla, kuhnia, madella, roikkua perässä, viipyä, vitkastella@
@dawdling@|@vitkastelu@
@dawn@|@aamunkoitto, aamunsarastus, aamurusko, auringonnousu, kajastaa, kajo, koi, koittaa, orastus, päivänkoitto, valjeta@
@dawn on@|@valjeta@
@dawning@|@aamunkoitto, auringonnousu, orastus, päivänkoitto@
@day@|@päivä, vuorokausi@
@day after the present@|@huominen@
@day after today@|@huomen, huomenna, huominen@
@day and night@|@yötä päivää@
@day before a holiday@|@aatto, aattopäivä@
@day before yesterday@|@toissapäivä, toissapäivänä@
@day care@|@päiväkoti@
@day care centre@|@päiväkoti@
@day nursery@|@päiväkoti@
@day of judgment@|@tuomiopäivä@
@day of penance@|@katumuspäivä@
@day of reckoning@|@tilinteon päivä@
@daybreak@|@aamunkoitto, auringonnousu, päivänkoitto@
@daycare@|@päiväkoti@
@daydream@|@haaveilla, uneksia, unelmoida@
@dayfly@|@päiväkorento, surviainen@
@daylight@|@päivä, päivänvalo@
@daylight saving time@|@kesäaika@
@daylight-saving time@|@kesäaika@
@dayspring@|@aamunkoitto, auringonnousu, päivänkoitto@
@daytime@|@päivä@
@day-to-day@|@arkinen, arkipäiväinen@
@daze@|@tyrmistyä, ällistyä@
@dazzle@|@häikäistä@
@dazzling@|@heleä, häikäisevä@
@de facto@|@epävirallinen@
@de jure@|@lain mukaan, virallinen, virallisesti@
@dead@|@edesmennyt, eloton, kerrassaan, kuollut, kuolonuhri, rättiväsynyt, täysin, vainaa, vainaja@
@dead and dry tree@|@kelo@
@dead and rotten tree@|@pökkelö@
@dead body@|@kalma, raato, ruho, ruumis, vainaa, vainaja@
@dead calm@|@rasvatyyni@
@dead man@|@vainaa, vainaja@
@dead person@|@vainaa, vainaja@
@dead region@|@katvealue@
@dead space@|@katvealue@
@dead tree@|@kelo@
@dead zone@|@katvealue@
@deadbait@|@syöttikala@
@deadline@|@takaraja@
@deadlock@|@pattitilanne, umpikuja@
@deadly@|@kuolettava, tappava@
@deadpan@|@ilmeetön@
@deaf@|@kuuro@
@deafening@|@hirmuinen, hirmuinen@
@deal@|@afääri, antaa, diili (informal), harkita, hoitaa, jakaa, jako, johtaa, kauppa, kertoa, kirjoittaa, kohdella, kortit, kuusilankku, käsitellä, miettiä, myydä, männystä tai kuusesta tehty, mäntylankku, osittaa, osuus, ottaa esimerkiksi, paljon, pärjätä, sopimus@
@deal out@|@antaa@
@deal with@|@välittää@
@dealer@|@jälleenmyyjä, kauppias, myyjä, vähittäiskauppias@
@dealership@|@valtuutettu jälleenmyyjä@
@dealing@|@jako, liiketoimi@
@dealings@|@liiketoiminta@
@dealings in shares@|@osakekauppa@
@dealt@|@jaettu, jakoi, jakoivat, myi, myivät, myyneet, myyty@
@dean@|@rovasti@
@deanery@|@rovastikunta@
@dear@|@armas, harras, herttainen, kallis, rakas, sydämmellinen@
@dearest@|@armas, rakas@
@dearth@|@kato, nälänhätä, pula, puute@
@death@|@kalma, kuolema, kuolo, loppu, surma, tappo, tuoni@
@death by hanging@|@hirttokuolema@
@death rattle@|@kuolinkorina@
@death sentence@|@kuolemantuomio@
@death stroke@|@kuolinisku@
@deathbed@|@kuolinvuode@
@deathly@|@tappava@
@debar@|@laittaa viralta@
@debase@|@jatkaa, laimentaa@
@debatable@|@arveluttava, epätietoinen, kiistanalainen, kiisteltävä, kyseenalainen, riidanalainen, väiteltävä@
@debate@|@keskustelu, kiista, kiistellä, punnita, väittely@
@debauch@|@elostella, irstailu@
@debauched@|@elosteleva, hurjasteleva, irstas, kevytmielinen, rappioitunut@
@debauchee@|@irstailija@
@debauchery@|@irstailu, irstaus@
@debilitate@|@heikentää@
@debilitated@|@hintelä@
@debit@|@menot, velka, velkoa@
@debris@|@roina, roju, romu@
@debt@|@velka@
@debt-free@|@velaton@
@debtor@|@lainanottaja, luotonottaja, velallinen@
@debug@|@debugata, korjata virheet@
@debugger@|@debuggeri@
@debunk@|@paljastaa@
@debut@|@debytoida, debyytti, ensiesiintyminen@
@decade@|@vuosikymmen@
@decadence@|@irstaus, rappio@
@decadent@|@laho@
@decapitate@|@katkaista kaula@
@decay@|@laho, lahota, mädättää, mätä, rappio@
@decayed@|@laho, mätä, raihnas, ränsistynyt, tunkkainen@
@decaying@|@maatuminen, mätä@
@decease@|@kalma, kuolema, kuolla@
@deceased@|@edesmennyt, kuoli, kuolivat, kuollut, vainaa, vainaja@
@deceit@|@harhaanjohtaminen, harhautus, huijaaminen, huijaus, petollisuus, puijaaminen@
@deceitful@|@katala, kavala, luihu@
@deceive@|@eksyttää, harhaanjohtaa, huijata, huiputtaa, petkuttaa, pettää, puijata, uskotella, viedä harhaan@
@deceiver@|@pettäjä@
@deceiving@|@pettävä@
@decelerate@|@jarruttaa@
@December@|@joulukuu@
@decency@|@säädyllisyys@
@decent@|@asianmukaisesti, kelpo, kelvollinen, kunnolla, kunnollinen, kunnollisesti, kunnon, oikein, osuva, sopiva, sovelias@
@decently@|@asianmukaisesti, kunnolla, kunnollisesti, oikein@
@decentralize@|@hajauttaa@
@decentralized@|@hajautettu@
@deception@|@harhaanjohtaminen, harhautus, huijaaminen, huijaus, puijaaminen, taikatemppu, temppu, vilppi@
@deceptive@|@erehdyttävä, harhaanjohtava, petollinen, pettävä@
@deceptive device@|@konsti, metku, temppu@
@decibel@|@desibeli@
@decide@|@päättää@
@deciding@|@ratkaiseva@
@deciduous tree@|@lehtipuu@
@deciduous wood@|@lehtipuu@
@decimal@|@desimaali, kymmenesosa, kymmenjärjestelmän luku, kymmenkantainen, kymmenys@
@decimal fraction@|@kymmenesosa, kymmenys@
@decimal number@|@desimaaliluku, kymmenjärjestelmän luku@
@decimal number system@|@kymmenjärjestelmä@
@decimal system@|@desimaalijärjestelmä, kymmenjärjestelmä@
@decimate@|@tappaa, tuhota@
@decipherable@|@helppolukuinen, luettava@
@deciphering@|@salauksen purku@
@decipherment@|@purku@
@decision@|@päätös@
@decision maker@|@päättäjä@
@decisive@|@kiistaton, kriittinen, päättäväinen, ratkaiseva, äärimmäinen@
@deck@|@kansi, kate, koristaa, laivan kansi, somistaa@
@deck of cards@|@korttipakka@
@declaration@|@ilmoitus, julistus@
@declaration of independence@|@itsenäisyysjulistus@
@declare@|@ilmoittaa, julistaa, julkistaa, langettaa, tullata@
@declare as one's property@|@omia@
@declared@|@langetettu@
@declination@|@rappio, vietto@
@decline@|@evätä, heiketä, hiipua, huveta, rinne, taantua, viettää, vähentyä, vähetä@
@decline a request@|@evätä@
@declining@|@jyrkästi laskeva, laskeva@
@declivity@|@rinne, vietto@
@decoding@|@purku@
@decolor@|@valkaista@
@decolorise@|@valkaista@
@decolorize@|@valkaista@
@decolour@|@valkaista@
@decolourise@|@valkaista@
@decolourize@|@valkaista@
@decompose@|@hajaantua, hajottaa osiin, mädäntyä, mädättää, osittaa@
@decomposed@|@laho@
@decomposing@|@maatuminen@
@decomposition@|@hajotelma, ositus, tekijöihinjako, tekijöihinjako (math.)@
@decompress@|@purkaa@
@decompression@|@purkaminen, purku@
@deconcentrate@|@hajauttaa@
@decorate@|@koristaa, koristella, somistaa@
@decoration@|@koriste, koristus, kunniamerkki, mitali@
@decorative@|@koristeellinen, sievä, siro, sorea@
@decorum@|@säädyllisyys@
@decouple@|@kytkeä irti@
@decoy@|@houkutella, syötti@
@decrease@|@alennus, alentaa, huveta, kato, vähentää@
@decreasing@|@aidosti vähenevä (math.), laskeminen, vähenevä@
@decree@|@asetus, määrätä, määräys, oikeuden määräys, oikeuden päätös, säädös@
@decrepit@|@raihnas, ränsistynyt@
@decry@|@parjata@
@decryption@|@purku, salauksen purku@
@Dedekind cut@|@Dedekindin leikkaus@
@dedicate@|@luovuttaa, omistautua, vihkiä@
@dedicate to@|@vihkiä@
@dedication@|@omistautuminen, sitoutuminen, uskollisuus, vihkiäiset@
@deduce@|@johtua, päätellä@
@deduct@|@päätellä@
@deduction@|@päätelmä, päättely, vähennys@
@deed@|@asiakirja, luovutuskirja, saantokirja, teko, toimenpide@
@deed of conveyance@|@luovutuskirja, saantokirja@
@deem@|@arvella@
@deem to be@|@nähdä@
@deep@|@hämärä, kaukana, keski-, käsittämätön, matala (ääni), myöhään, paksu, syvä, syvälle, syvällekäyvä, syvällinen, syvällä, syvänne, tumma, vaikeaselkoinen, voimakas, äärimmäinen@
@deep in the bowels of@|@uumenissa@
@deep red@|@syvänpunainen@
@deep sleep@|@sikiuni@
@deeper@|@syvempi, syvällisempi, tummempi@
@deepest@|@syvin, syvällisin, tummin@
@deeply@|@syvälle, syvästi@
@deer@|@hirvi, hirvieläin, kauris, peura@
@de-escalate@|@laannuttaa, supistaa@
@defame@|@häpäistä, panetella, parjata, tahrata@
@default@|@laiminlyödä, vajaus@
@default on@|@laiminlyödä@
@defeat@|@häviö, kukistaa, peitota, päihittää, tappio, turhautuminen, voittaa@
@defecate@|@paskantaa, ulostaa@
@defect@|@epäkohta, haitta, kiro, vajaus, vika@
@defective@|@defektiivinen (math.), huono, kehno, viallinen@
@defence@|@varustus@
@defenceless@|@kehno, puolustuskyvytön, suojaton@
@defences@|@varustus@
@defend@|@ajaa asiaa, puolustaa, puolustella@
@defend one's self@|@puolustautua@
@defend yourself@|@selitellä@
@defendant@|@altavastaaja, syytetty, vastaaja@
@defender@|@puolustaja@
@defense@|@puolustus@
@defenseless@|@suojaton@
@defensible@|@puolustettavissa oleva@
@defensive@|@puolustautuva, puolustava, puolusteleva, puolustus-, suojaava, turvaava@
@defer@|@alistua, lykätä, nöyristellä@
@deference@|@kunnianosoitus@
@defiance@|@kapinointi, tottelemattomuus, uhma@
@defiant@|@uppiniskainen@
@defibrator@|@kuidutin@
@deficiency@|@haitta, kiro, puute, riittämättömyys, vajaus, vaje@
@deficient@|@puutteellinen, riittämätön, riittämätön, vajaa, vajanainen, vajavainen@
@deficit@|@alijäämä, vajaus, vaje@
@deficit spending@|@liikakuluttaminen, ylikuluttaminen@
@defile@|@asettaa epäilyksen alle, kapeikko, pilata, saastuttaa, sola, tahrata, tahria@
@definable@|@selvärajainen@
@define@|@määritellä, määrittää, näkyä, rajata@
@define clearly@|@määritellä tarkasti@
@defined@|@määrätty@
@defining@|@määrittäminen, määritys@
@definite@|@ehdoton, määrätty@
@definite integral@|@määrätty integraali@
@definitely@|@ehdottomasti@
@definition@|@määritelmä@
@definitive@|@ehdoton, lopullinen, ratkaiseva, selvä, äärimmäinen@
@definitive book@|@perusteos, pääteos@
@deflect@|@kääntyä, poiketa, torjua, vetää huomio toisaalle@
@deflection@|@harhautuminen, kieroutuma, poikkeama, poikkeama kurssista, poikkeama suunnasta, poikkeaminen, poikkeus, vääristymä@
@deflexion@|@harhautuminen, poikkeaminen, poikkeus@
@deflower@|@pilata, turmella, tärvellä@
@deform@|@väännellä, vääntää, vääristellä, vääristyä, vääristää@
@deformation@|@irvikuva, väännös, vääristymä@
@deformed@|@rujo, ruma@
@defraud@|@huijata, huiputtaa@
@defrost@|@sulaa, sulattaa@
@deft@|@kätevä, näppärä, taitava@
@deftly@|@taitaen, taitavasti, taiten@
@defunct@|@eloton, vainaa, vainaja@
@defuse@|@purkaa pommi@
@defuse the situation@|@laukaista tilanne@
@defy@|@kestää, sietää, taistella, uhmata, usuttaa, vastustaa@
@degeneracy@|@rappio, tapainturmelus, turmeltuminen, turmeltuneisuus, turmelus@
@degenerate@|@degeneroitunut (math.), hurjasteleva, kevytmielinen, rappioitunut, taantua@
@deglutition@|@nielaisu@
@degradation@|@alennus@
@degrade@|@alentaa, nöyryyttää@
@degraded@|@hurjasteleva, kevytmielinen, rappioitunut@
@degree@|@aste, laatu, määrä, oppiarvo, pykälä, taso, tutkinto, voimakkuus@
@degree Celsius@|@celsiusaste@
@degree of freedom@|@vapausaste@
@dehairing machine@|@karvomiskone@
@dehydrate@|@kuivua@
@dehydration@|@nestehukka@
@de-icing salt@|@tiesuola@
@deity@|@jumala, jumalolento, jumaluus@
@deject@|@lannistaa@
@dejected@|@eloton@
@dejection@|@alakuloisuus, depressio, masennus, synkkyys, uloste@
@delay@|@hidastaa, keskeyttää, kuhnailla, kuhnia, kursailla, lopettaa, lykkäys, lykätä, myöhästyminen, pysäyttää, siekailla, viipymä, viipyä, viive, viivyttää, viivytys, viivästys, viivästyttää, viivästää, vitkastelu@
@delaying@|@vitkastelu@
@delectable@|@herkullinen, viehättävä@
@delegate@|@antaa tehtäväksi, delegoida, edustaja, valtuutettu, valtuuttaa@
@delegation@|@delegointi, lähetystö, valtuuskunta, valtuuttaminen@
@delete@|@poistaa@
@deletion@|@poisotto, poistaminen, poisto@
@deliberate@|@huolellinen, laskelmoitu, mietiskellä, punnita, tahallinen, tietoinen@
@deliberately@|@harkitusti, tahallaan, tarkoituksella, tieten tahtoen, vasiten@
@delicacy@|@herkku, hienotunteisuus, hienovaraisuus@
@delicate@|@aistikas, hauras, hento, herkkä, hienostunut, hintelä, kiperä, norja, siro, solakka, särkyvä, taitava, viehättävä@
@delicatessen@|@valmisruoka@
@delicatessen food@|@valmisruoka@
@delicious@|@herkullinen, hyvä, ihana, maittava, makoisa@
@delight@|@hurmata, ilahduttaa, ilo, iloita, lumota, riemastuttaa, riemu, tehdä hyvin onnelliseksi, viihdyttää@
@delight in@|@iloita, nauttia, nauttia jostakin@
@delighted@|@hyvillään, ihastunut, iloinen, lumoontunut, riemastunut, riemukas@
@delightful@|@ihana, miellyttävä, mieluisa, sievä, viehkeä@
@delimit@|@määritellä, rajata, rajoittaa@
@delimitate@|@määritellä@
@delimitation@|@raja, rajalinja, rajaviiva@
@delineate@|@kuvata, määritellä, piirtää@
@delineated@|@piirretty, piirsi, piirsivät, piirti, piirtivät@
@delineation@|@kuvaus@
@delinquent@|@konna, nuorisorikollinen@
@delirious@|@kiihtynyt@
@delirium@|@houre, houretila, hysteria, vimma, vimmaisuus@
@deliver@|@armahtaa, esittää, jaella, jakaa, luovuttaa, pelastaa, synnyttää, toimittaa, toimittaa perille@
@deliverance@|@pelastus@
@delivery@|@anto, lähetys, pelastus, syöttö, toimitus@
@delivery purchase@|@kaukokauppa@
@dell@|@alho, laakso, notko@
@delta@|@suisto@
@delude@|@eksyttää, harhaanjohtaa, narrata, petkuttaa, pettää, puijata, viedä harhaan@
@deluding@|@eksytys, harhautus, pettävä@
@deluge@|@kaatosade@
@delusion@|@aistiharha, eksytys, harha, harhaanjohto, harhakuva, harhakuvitelma, harhaluulo, harhamielle, harhanäky, harhausko, harhautus, havaintoharha, houre, kuvajainen, lume, lumeilmiö, näky, silmänlume, unikuva, vainoharha@
@delusion of grandeur@|@suuruusharha@
@delusion of persecution@|@vainoharha@
@delve@|@kääntää maata@
@demagog@|@demagogi, kansanvillitsijä, palopuhuja@
@demagogue@|@demagogi, kansankiihottaja, kansanvillitsijä, palopuhuja@
@demagogy@|@demagogia@
@demand@|@edellyttää, karhuta, kehotus, kysyntä, kysyntä (econ.), patistaa, penätä, periä, perätä, tarve, tarvita, tingata, tivata, vaatia, vaatimus, velkoa@
@demand payment@|@velkoa@
@demarcate@|@määritellä@
@demeanor@|@käyttäytymistapa@
@demeanour@|@käyttäytymistapa@
@demersal@|@pohja-@
@demesne@|@maa, maat@
@demise@|@kalma, kuolema, loppu, luovuttaa@
@democracy@|@demokratia@
@democrat@|@demokraatti@
@Democrat@|@demokraatti@
@democratic@|@demokraattinen, kansallinen, kansanvaltainen@
@demodulator@|@ilmaisin@
@demoiselle crane@|@neitokurki@
@demolish@|@haaskata, kukistaa, turmella@
@demon@|@demoni, piru, riivaaja@
@demon spawn@|@pirunsikiö@
@demonic@|@perkeleellinen, saatanallinen@
@demonstrate@|@esitellä, ilmentää, osoittaa, todistaa@
@demonstration@|@esittely, mielenilmaus, mielenosoitus@
@demonstration of power@|@voimannäyttö@
@demonstration project@|@esittelyhanke@
@demonstrative@|@demonstratiivi, ilmeikäs@
@demonstrator@|@mielenosoittaja, tuote-esittelijä@
@demoralise@|@lannistaa@
@demoralising@|@lannistava@
@demoralize@|@lannistaa, nujertaa@
@demoralizing@|@lannistava@
@demote@|@alentaa@
@demotion@|@alennus@
@demure@|@eleetön@
@den@|@luola, pakopaikka, pesä, soppi@
@denary@|@kymmenkantainen@
@denial@|@epäys, epääminen, kielto, kieltäminen, kieltäytyminen, kiistäminen@
@denigrate@|@häpäistä, tahrata@
@Denmark@|@Tanska@
@denominate@|@määrätä@
@denomination@|@laatu, lahko, luokitus, luokka, nimi, nimitys, uskonlahko@
@denominator@|@jakaja (math.), nimittäjä@
@denote@|@ilmoittaa, kertoa, kieliä, kutsua, merkitä, selittää, selitys@
@denounce@|@antaa ilmi, kannella, kieliä, paheksua@
@dense@|@hidasoppinen, sakea, tiheä, tiivis, tiuha@
@densification@|@puristuma, tiivistymä, tiivistys@
@density@|@tiheys@
@density function@|@tiheysfunktio (math.)@
@dent@|@kolhia, kolhu, kolo, lommo, lovi, painauma, painautuma, pykälä@
@dental practitioner@|@hammaslääkäri@
@dentine@|@hammasluu@
@dentist@|@hammaslääkäri@
@dentition@|@hampaisto@
@denudate@|@paljas, riisua paljaaksi@
@denude@|@paljastaa, riisua, riisua paljaaksi@
@denuded@|@paljas@
@denumerable@|@numeroituva (math.)@
@deny@|@eittää, evätä, kieltää, kiistää, torjua@
@depart@|@harhautua, lähteä, poiketa, poiketa@
@depart from@|@poiketa@
@depart secretly@|@livahtaa@
@departed@|@edesmennyt, lähti, läksi, vainaa, vainaja@
@department@|@laitos, lokero, ministeriö, osasto, soppi@
@department of justice@|@oikeuslaitos@
@department store@|@tavaratalo@
@departmental@|@laitos-, osasto-@
@departure@|@ero, lähtö, poikkeama@
@depend@|@luottaa, olla riippuvainen, riippua@
@depend on@|@nojata, riippua, turvautua@
@dependable@|@jykevä, jämerä, luotettava, vakaa@
@dependance@|@luottaminen, luottamus, riippuminen, riippuvaisuus, riippuvuus, roikkuminen, tukeutuminen@
@dependant@|@elätti, huumeriippuvainen, riippuva@
@dependant on@|@riippuvainen@
@depended@|@riippui, riippuivat, riippunut@
@dependence@|@luottaminen, luottamus, riippuminen, riippuvaisuus, riippuvuus, roikkuminen, tukeutuminen, turvautuminen@
@dependency@|@luottaminen, luottamus, riippuminen, riippuvaisuus, riippuvuus, roikkuminen, tukeutuminen@
@dependent@|@alistettu, elätti, huumeriippuvainen, riippuva, riippuvainen@
@dependent on@|@alisteinen, riippuvainen@
@depending@|@luottaen, luottava, riippuen, riippuva@
@depending on@|@riippuvainen@
@depict@|@esittää, ilmentää, kuvata, piirtää@
@depicted object@|@aihe@
@depiction@|@kuvaus@
@deplorable@|@onneton, tuomittava, valitettava@
@deplore@|@harmitella, kaduttaa, katua, pahoitella, surkutella, surra, valittaa@
@deploy@|@levittäytyä, levittää, sijoittaa@
@deplumate@|@kyniä@
@deplume@|@kyniä@
@depopulate@|@autioittaa@
@deport@|@ajaa maanpakoon, käyttäytyä, passittaa@
@deportation@|@karkotus, maastakarkotus@
@deportee@|@maanpakolainen@
@deportment@|@käyttäytymistapa@
@deposit@|@asettaa, esiintymä, karsta, kasauma, kerrostaa, kerrostuma, kerääntymä, käsiraha, laittaa, laskea, laskeuma, laskeutua, luottaa, pankkitalletus, panna, pano, pantti, pohjasakka, poro, porot, rahatalletus, sakka, sakkauma, sakkauttaa, sakkautuma, saostaa, saostua, saostuma, takaus, takuu, tallete, tallettaa, tallettaminen, talletukset, talletus, talletusesine, tilillepano, vakuus, varastoida, vuokraennakko@
@depot@|@asema@
@depraved@|@kunnoton, moraaliton@
@depravity@|@irstaus, rappio, tapainturmelus, turmeltuminen, turmeltuneisuus, turmelus@
@deprecate@|@kehottaa välttämään, paheksua, väheksyä@
@depreciate@|@alentaa arvoa, aleta arvossa, väheksyä@
@depress@|@lannistaa, masentaa@
@depressed@|@allapäin, allapäin oleva, haikea, painunut, synkkä@
@depressing@|@alakuloinen, ankea, lohduton, masentava, synkeä, synkkä@
@depression@|@aallonpohja, depressio, lama, masennus, matalapaine, notko, painaminen, painauma, painautuma, painuma, pula-aika, pulakausi, taantuma, taantumus@
@deprivation@|@riisto@
@deprive@|@köyhentää, riistää, tehdä köyhäksi@
@depth@|@syvyys@
@depute@|@antaa tehtäväksi@
@deputy@|@apulaissheriffi, edustaja, kansanedustaja, sijainen, sijais-, valtiopäivämies, varajäsen, varamies, viransijainen@
@deputy sheriff@|@apulaissheriffi@
@derail@|@suistua@
@derby@|@knalli@
@deregulation@|@sääntelyn purkaminen@
@derelict@|@hylky, irtolainen@
@deride@|@ivata, pilkata@
@derider@|@pilkkaaja@
@derision@|@pilkka@
@derisive@|@kyyninen, pilkallinen, pilkkaava@
@derisory@|@naurettava@
@derivation@|@päätelmä@
@derivative@|@derivaatta, derivaatta (math.), toissijainen@
@derive@|@johtua, päätellä@
@derive from@|@johtua, juontua, lähteä@
@derived function@|@derivaatta@
@derm@|@iho@
@dermal tissue@|@ihokudos@
@dermatisis@|@ihottuma@
@dermatologist@|@iholääkäri@
@dermatopathy@|@ihotauti@
@dermatosis@|@ihotauti@
@dermoid@|@ihomainen@
@dermopathy@|@ihotauti@
@dermoplasty@|@iho muovaus@
@derogative@|@halventava@
@derogatory@|@halventava@
@descend@|@alentua, aleta, langeta, laskeutua, vajota, viettää@
@descend to@|@vajota@
@descendant@|@jälkeläinen@
@descendants@|@jälkeläiset@
@descending@|@laskeminen@
@descension@|@lasku@
@descent@|@jälkeläiset, lasku, rinne, suku, sukujuuret, sukujuuri, syntyperä@
@describe@|@esitellä, ilmentää, kuvailla, kuvata, luonnehtia, nimetä, selittää@
@description@|@kuvaus, luonnehdinta, selite, selitys@
@descriptive@|@deskriptiivinen, kuvaava, kuvaileva@
@desecrate@|@häpäistä, parjata@
@desecration@|@häpäisy@
@desegregate@|@avata kaikille ihmisryhmille@
@desert@|@aavikko, asumaton, asuttamaton, autio, autiomaa, erämaa, hylätä, kaira, korpi, lähteä, salo, salomaa@
@desert wheatear@|@aavikkotasku@
@deserted@|@asumaton, asuttamaton, autio, eloton, hylätty, kolkko@
@deserve@|@ansaita@
@deserved@|@ansaittu, asiaankuuluva, asiaanliittyvä@
@deserving@|@arvoinen@
@desex@|@steriloida@
@desexualize@|@steriloida@
@desiccate@|@kuivua@
@design@|@aie, aikomus, hahmotelma, hahmottaa, järjestely, kaavailla, kaavailu, kaavio, keksintö, keksiä, kuosi, kuvio, kyhätä, malli, piirrustus, piirtää, päämäärä, rakennuspiirrustus, suunnitella, suunnitelma, suunnittelu, tarkoitus@
@designate@|@antaa tehtäväksi, asettaa, ilmaista, ilmentää, kutsua, luokitella, luokittaa, merkitä, määritellä, määrittää, määrätä, nimittää, osoittaa, tarkoittaa@
@designated@|@nimeltä@
@designation@|@luokitus, luokka, määrääminen, nimi, nimitys, näyttäminen, osoittaminen@
@designed@|@kaavailtu, luotu, piirretty, piirsi, piirsivät, piirti, piirtivät@
@designedly@|@tahallaan, tarkoituksella, tieten tahtoen, vasiten@
@designer@|@muotoilija, piirtäjä, suunnittelija@
@designing@|@juonikas, suunnittelu@
@desirable@|@haluttava, haluttu, kelpo, kunnon, mieleinen, suotava@
@desire@|@haikailla, halajata, halu, haluta, havitella, hinkua, kaipaus, kaivata, mieliteko, mieliä, pyyde, tavoitella, toivoa@
@desired@|@haluttu@
@desirous@|@kärkäs@
@desk@|@kassa@
@desktop@|@pöydän päällys, pöytä-, työpöytä (comp.)@
@desolate@|@asumaton, asuttamaton, autio, autioittaa, eloton, hylätty, hylätä, hävitetty, hävittää, karu, kolkko, kolkko, paljas@
@desolated@|@autio, hävitetty@
@desorientiert@|@kesiminen@
@despair@|@epätoivo@
@despairing@|@epätoivoinen, toivoton@
@despatch@|@hoitaa päiviltä, joutuisuus, lähettäminen, lähettää (nopeasti), lähettää joutuin, lähettää matkaan, lähetys, panna menemään, panna päiviltä, päiviltä pano, raportti, tappo, toimitus@
@desperate@|@epätoivoinen, hurjapäinen, lohduton, sankarillinen, toivoton, voitto tai kuolema@
@desperately@|@epätoivoisesti@
@desperation@|@epätoivo@
@despicable@|@viheliäinen@
@despicable price@|@polkuhinta@
@despise@|@halveksia, halveksua, hyljeksiä, hylkiä, syrjiä, vieroa, väheksyä, ylenkatsoa@
@despite@|@huolimatta@
@despite the fact@|@kuitenkin, kumminkin@
@despoil@|@ryöstää@
@despondency@|@epätoivo@
@despot@|@despootti, sortaja@
@despotism@|@despotismi, hirmuvalta, sortovalta@
@desquamate@|@kesiä@
@desquamation@|@kesiminen@
@desquamative@|@kesivä@
@dessert@|@jälkiruoka@
@dessert cream@|@kiisseli@
@destination@|@kohde, maali, matkakohde, määräasema, määränpää@
@destine@|@määrätä@
@destiny@|@kohtalo, osa@
@destitute@|@köyhä, rutiköyhä@
@destitute of@|@vailla@
@destitution@|@hätä@
@destroy@|@kukistaa, murtaa, romuttaa, särkeä, tuhota@
@destroyed@|@hävitetty, tuhottu@
@destroyer@|@hävittäjä, tuhoaja@
@destruction@|@hävitys, tuho@
@destructive@|@katastrofaalinen, tuhoisa, turmiollinen@
@desultory@|@hajanainen@
@detach@|@irrottaa@
@detachable@|@irrallinen, irrotettava@
@detached@|@irrallinen, irto-, irtonainen, vapaa@
@detachment@|@irrotus, osasto@
@detail@|@detalji, kohta, osa, tilapäinen sotajoukko, yksityiskohta@
@detailed@|@hiottu, huolellinen, huoliteltu, seikkaperäinen, taidokas, tarkka, yksityiskohtainen@
@detailed statement@|@erittely@
@detain@|@hidastaa, keskeyttää, lopettaa, pidättää, pysäyttää, viivyttää, viivästyttää, viivästää@
@detect@|@havaita, huomata, äkätä@
@detectable@|@havaittava@
@detecting@|@etsivän työ, rikostutkinta@
@detecting device@|@ilmaisin@
@detection@|@etsivän työ, havainnoiminen, havainnointi, havainto, havaitseminen, huomaaminen, rikostutkinta, selvitys, äkkääminen@
@detective@|@etsivä@
@detective work@|@etsivän työ, rikostutkinta@
@detector@|@ilmaisin, tunnistin@
@detent@|@haka, kolo, lovi, pykälä, säppi, telki@
@detention@|@aresti, vankeus@
@deter@|@karkottaa, pelottaa, vastustaa@
@detergent@|@liuotusaine, pesuaine@
@detergent builder@|@tehoaine@
@deteriorate@|@huonontua, pahentua@
@determinant@|@determinantti, ratkaiseva@
@determination@|@johtopäätös, määräys, päättäväisyys, päätös, sisu@
@determinative@|@ratkaiseva@
@determine@|@antaa suuntaa, asettaa, kiinnittää, kokeilla, muokata, määritellä, määrittää, ottaa selvää, päättää, sopia, tehdä päätös, vaikuttaa, varmistaa@
@determine the price of@|@arvioida hintaa@
@determined@|@päättäväinen, sisukas, tomera@
@determining@|@määrittäminen, määritys, ratkaiseva@
@deterrence@|@voimapolitiikka@
@deterrent@|@haitta, kanki@
@detest@|@vihata@
@detestable@|@iljettävä, inha, inhottava, kuvottava, oksettava, vastenmielinen, ällö (informal), ällöttävä@
@detestation@|@inho@
@detonator@|@nalli@
@detract@|@poistaa@
@detriment@|@haitta@
@detriment harm@|@haitta@
@detrimental@|@haitallinen, haittaava, kolhiva, nurja, pilaava, runteleva, vahingoittava, vammauttava, vaurioittava, vioittava@
@detrition@|@kuluma@
@detritus@|@roina, roju, romu@
@detusk@|@poistaa syöksyhammas@
@devaluate@|@aleta arvossa, devalvoida@
