@English@|@Finnish@
@abstention@|@pidättyvyys@
@abstinence@|@pidättyvyys@
@abstract@|@abstrahoida, abstrakti, kähveltää, käsitteellinen, lyhennelmä, näpistää, pihistää, pääkohdat, selostus, supistelma, tehdä johtopäätös, tehdä yhteenveto, tiivistelmä, vaikeatajuinen, varastaa, yhteenveto, yleiskuva@
@abstraction@|@abstraktio@
@abstruse@|@käsittämätön, vaikeaselkoinen@
@absurd@|@hurja, järjetön, mieletön, mielipuolinen, naurettava, typerä, älytön@
@abundance@|@runsaus@
@abundant@|@kyllin, runsas, viljava, yllin kyllin@
@abundantly@|@runsain mitoin, vaikka lampaat söisi, viljalti, yllin kyllin@
@abuse@|@epäkohta, kaltoin kohtelu, kiduttaa, kohdella huonosti, kohdella kaltoin, käyttää väärin, loukkaus, pahoinpidellä, pahoinpitely, parjata, pidellä pahoin, solvaus, sättiä, vahingoittaa, väärinkäyttää, väärinkäyttö@
@abusive@|@herjaava, kiroileva@
@abutting@|@viereinen@
@abysm@|@pohjaton kuilu, pohjaton syvyys@
@abysmal@|@loputon, pohjaton, rajaton@
@abyss@|@horna, kuilu, nielu, pohjaton kuilu, pohjaton syvyys, rotko@
@Ac@|@aktinium@
@academic@|@akateeminen, opillinen, saivarteleva, sovinnainen@
@academic degree@|@tutkinto@
@academic year@|@lukuvuosi@
@academical@|@akateeminen@
@academician@|@akateeminen@
@academy@|@akatemia, koulu, opisto@
@Academy member@|@akateemikko@
@academy of music@|@musiikkiopisto@
@accede@|@alistua, noudattaa, suostua, tyytyä@
@accede to@|@periä@
@accelerate@|@kiihdyttää, kiihtyä, siivittää@
@accelerated@|@kiihtynyt@
@accelerating power@|@kiihdytyskyky@
@acceleration@|@kiihdytys, kiihtyvyys@
@acceleration lane@|@kiihdytyskaista@
@acceleration voltage@|@kiihdytysjännite@
@accent@|@aksentti, aksenttimerkki, korko, korostaa, korostus, mahtipontisuus, murre, paino, painottaa, tähdentää, yläpilkku@
@accentuate@|@korostaa, tähdentää@
@accentuation@|@paino@
@accept@|@huolia, hyväksyä, kannattaa, kantaa, myöntyä, ottaa, ottaa vastaan, päästää, sietää, tyytyä, uskoa@
@acceptable@|@hyväksytty, hyväksyttävä, kelvollinen, otollinen, tyydyttävä@
@acceptance@|@hyväksyminen, hyväksyntä@
@accepted@|@hyväksytty, tunnustettu, yleinen@
@access@|@pääsy@
@access authority@|@käsittelyvaltuus@
@access control@|@pääsynvalvonta@
@access right@|@käsittelyvaltuus@
@access time@|@käyttöaika@
@accessary@|@rikostoveri@
@accessible@|@altis, käytettävissä oleva, käytettävä, ulottuvissa oleva, yleisölle avoin@
@accessories@|@lisätarvikkeet, tykötarpeet@
@accessory@|@apu-, asuste, lisälaite, lisäosa, lisätarvike, lisävaruste, oheistarvike, rikostoveri, varuste@
@accidence@|@muoto-oppi, sattuma@
@accident@|@onnettomuus, tapaturma@
@accidental@|@muu, odottamaton, satunnainen@
@accidentally@|@vahingossa@
@acclaim@|@osoittaa suosiotaan, suosionosoitukset, suosionosoitus, taputtaa, taputtaa käsiään, taputus, ylistää@
@acclaimed@|@maineikas@
@acclamation@|@suosionosoitukset, suosionosoitus, taputus@
@acclimate@|@mukauttaa, tottua@
@acclimatize@|@mukauttaa, tottua@
@acclivity@|@nousu, rinne, ylämäki@
@accolade@|@hakanen, kunniamerkki, ylistys@
@accommodate@|@järjestää, mahtua, majoittaa, mukaantua, mukauttaa, mukautua, sopia, soveltua, sovitella, sovittaa, sovittaa, toimittaa@
@accommodate oneself@|@mukaantua@
@accommodate with@|@toimittaa@
@accommodate yourself@|@alistua@
@accommodating@|@mukautuva, sopuisa@
@accommodation@|@asumus, mukautus@
@accomodate@|@lopetta@
@accompaniment@|@myötäily, saattaminen@
@accompany@|@liittää, mennä mukana, pitää seuraa, saattaa, seurata@
@accomplish@|@aikaansaada, päästä, saavuttaa@
@accomplishment@|@opittu kyky, suoritus, taidot, taito, tiedot, tieto, toimenpide@
@accord@|@liitto, mukailla, myötämielisyys, sopimus, suoda, valtiosopimus@
@accordance@|@yhtäpitävyys@
@accordant@|@mukainen@
@accordant with@|@mukainen@
@according@|@mukaan@
@according as@|@sikäli kuin@
@according to@|@mukaan, pitkin@
@accordingly@|@niin muodoin, niin ollen, näin ollen, sen tähden, sen vuoksi, siis, siispä, siksi@
@accordion@|@haitari, harmonikka@
@accost@|@kaupata itseään@
@account@|@asiakastili, historia, kertomus, kertomus, kontto, lehtikirjoitus, liikesuhde, pankkitili, puhe, raportti, selonteko, selostus, selvitys, tili, tilinteko, tilittää, tilitys@
@account book@|@tilikirja@
@account for@|@tilittää@
@account number@|@tilinumero@
@accountability@|@kirjanpitovelvollisuus, tilivelvollisuus, vastuu@
@accountable@|@vastuullinen@
@accountant@|@kirjanpitäjä, tilintarkastaja@
@accounting@|@kirjanpito, selittävä, selventävä, tilittäminen, tilittävä@
@accounting period@|@tilikausi@
@accretion@|@vesijättö@
@accrue@|@karttua, kasvaa, koitua@
@accumulate@|@karttua, kartuttaa, kasaantua, kasata, kasautua, kasvaa, kertyä, kerätä, kerääntyä, kokoontua, koota, patoutua@
@accumulation@|@esiintymä, karttuminen, kasa, kasaantuma, kasaantuminen, kasauma, kasautuma, kertyminen, kertymä, kerääntymä, keskittäminen, kokoaminen, kokoelma, kumulaatio, kumuloituminen, paljous@
@accumulation point@|@kasautumispiste@
@accumulative@|@kasautuva, kumulatiivinen@
@accumulator@|@akku, kasaaja, kerääjä, kokooja, laskuri, perijä, rahastaja@
@accuracy@|@tarkkuus@
@accurate@|@herkkä, tarkka, täsmällinen@
@accurately@|@tarkasti, täsmällisesti@
@accusation@|@syyte, syytös@
@accusative@|@akkusatiivi@
@accuse@|@nostaa syyte, syyttää@
@accused@|@altavastaaja, syytetty@
@accuser@|@syyttäjä@
@accustom@|@tottua, totuttaa, tutustuttaa@
@accustom oneself@|@tottua@
@ace@|@haka, ässä@
@acedia@|@laiskuus@
@acerbic@|@karvas@
@acetous@|@kirpeä@
@ache@|@ikävöidä, jomottaa, kivistää, koskea, sattua, särkeä, särky@
@achieve@|@aikaansaada, kostua, päästä, saavuttaa@
@achievement@|@ansio, saavutus, suoritus, toimenpide, vaikutus@
@Achilles tendon@|@akillesjänne@
@achromatic@|@musta@
@acid@|@hapan, happo, karvas@
@ackers@|@raha@
@acknowledge@|@huomioida, kuitata, myöntää, tervehtiä, tunnustaa@
@acknowledgement@|@hyväksyminen, kuittaus@
@acknowledgment@|@tunnustaminen, tunnustus@
@acme@|@lakipiste@
@acne@|@finnit, äkämä@
@acorn@|@tammenterho, terho@
@acoustic@|@akustinen, kuulolääke@
@acoustical@|@akustinen@
@acoustics@|@akustiikka@
@acquaint@|@esitellä, tutustuttaa@
@acquaintance@|@tuttava, tuttu@
@acquiesce@|@tyytyä@
@acquiescence@|@hyväksyntä@
@acquire@|@hankkia, käydä, omaksua, ottaa, saada@
@acquired@|@saatu, sai, saivat@
@acquirement@|@opittu kyky, taidot, taito, tiedot, tieto@
@acquisition@|@hankinta, hankkiminen, opittu kyky, saanto, taidot, taito, tiedot, tieto@
@acquit@|@käyttäytyä@
@acre@|@eekkeri, kirpeä@
@acres@|@maa, maat@
@acrid@|@karvas, kirpeä@
@acrimonious@|@karvas, katkera, kirpeä, kärkevä, piikikäs@
@acronym@|@lyhennys@
@across@|@halki, kautta, läpi, poikki, yli@
@across from@|@vastaan@
@across the country@|@läpi maan, maanlaajuisesti@
@across the nation@|@läpi maan, maanlaajuisesti@
@across-the-board@|@kautta laidan, kokonaisvaltainen@
@act@|@asetus, esiintyä, esittää, käyttäytyä, laki, näytellä, näytös, säädös, tehdä, teko, temppu, toimenpide, toimi, toimia, toiminta, touhu@
@act as an agent@|@välittää@
@act different@|@erottua@
@act irregularly@|@lakkoilla@
@act of revenge@|@kostotoimi@
@act of warfare@|@sotatoimi@
@act on@|@jatkaa asian parissa, vaikuttaa@
@act out@|@näytellä@
@act rashly@|@hätäillä, hötkyillä@
@act the clown@|@ilveillä@
@act tough@|@mahtailla@
@act upon@|@vaikuttaa@
@acting@|@näytteleminen, näyttelevä, virkaa toimittava, virkaatekevä@
@actinium@|@aktinium@
@action@|@säpinä, teko, temppu, tohina, toimenpide, toimi, toiminta, toiminta-, touhu, vaikutus@
@action sphere@|@vaikutusala@
@activate@|@aktivoida, kytkeä päälle, käynnistää, laittaa päälle, touhottaa@
@active@|@aktiivinen, eloisa, etenevä, kiireinen, kokopäiväinen, käytössä oleva, liikkeelle paneva, liikuttava, rankka, raskas, reaktiivinen, säteilevä, tehokas, teon touhussa, tepsivä, toimeen paneva, toimelias, toimen, toiminnallinen, toiminnan, toiminnan touhussa, toiminta-, toimintaa edistävä, toimintaa tuottava, tomera, touhukas, työteliäs, täyspäiväinen, vikkelä, vilkas, vireä@
@active and proper (person)@|@reipas@
@actively@|@aktiivisesti@
@activeness@|@vireys@
@activist@|@aktivisti@
@activities@|@toiminta, touhu@
@activity@|@aktiivisuus, askare, tohina, toimenpide, toiminta, touhu, vaikutus, vireys@
@actor@|@näyttelijä, tekijä, toimija@
@actress@|@näyttelijä, näyttelijätär@
@actual@|@ajankohtainen, perimmäinen, todellinen, tosi-, tosiasiallinen, varsinainen@
@actual occurrence@|@tosi-ilmiö@
@actualise@|@toteuttaa@
@actuality@|@ajankohtaisuus@
@actualize@|@toteuttaa@
@actually@|@-kin, itse asiassa, itseasiassa@
@actually it is@|@onkin@
@actually there is@|@onkin@
@acuate@|@teräväkärkinen@
@acumen@|@vainu@
@acute@|@aksenttimerkki, akuutti, ankara, kriittinen, läpitunkeva, tarkkanäköinen, terävä, terävä-älyinen, teräväkulmainen, teräväkärkinen, veitsenterävä, äkillinen@
@acute accent@|@aksenttimerkki@
@ad@|@ilmoitus, mainos@
@ad hoc@|@tilapäinen, tilapäis-, vartavasten, väliaikainen@
@ad lib@|@vapaasti@
@adage@|@mietelmä, sanonta@
@adamant@|@järkkymätön, timantti@
@adamantine@|@järkkymätön@
@adapt@|@mukaantua, mukailla, mukauttaa, rukata, sovittaa@
@adapt to@|@mukauttaa@
@adaptable@|@mukautuva, soveltuva@
@adaptation@|@mukaelma, mukauttaminen, mukautuminen, sopeuttaminen, sopeutuminen, sopeutus, sovittaminen, sovitus@
@adapted@|@soveltuva@
@adapter@|@adapteri, sovite, soviteosa, sovitin, sovittaja, välikappale, väliosa@
@adaptive@|@mukautuva, soveltuva@
@adaptor@|@adapteri, sovite, soviteosa, sovitin, välikappale, väliosa@
@add@|@antaa, laskea yhteen, lisätä, tuoda, ynnätä@
@add nutrients@|@lisätä ravinteita@
@add on@|@lisätä perään@
@add together@|@laskea yhteen, ynnätä@
@add up@|@laskea yhteen, ylentää, ynnätä@
@add wings to@|@siivittää@
