@father@|@tēvs@
@fatherless@|@bez tēva@
@fearless@|@bezbailīgs@
@February@|@februāris@
@fecund@|@auglīgs@
@fecundity@|@auglība@
@fern@|@paparde@
@fertile@|@ražīgs@
@fiancée@|@līgava@
@filly@|@ķēve@
@fin (subst) (fish)@|@spura@
@finch@|@žubīte@
@finger@|@pirksts@
@fir@|@egle@
@first of all@|@vispirms@
@firstborn@|@pirmdzimtais@
@fish@|@zivs@
@fishbone@|@asaka@
@fisherman@|@zveinieks@
@fishing@|@zveja@
@flail@|@sprigulis@
@flake@|@pārsla@
@flake of snow@|@sniega pārsla@
@flax@|@lini@
@flea@|@blusa@
@flint@|@krams@
@flour@|@milti@
@fluid (adj)@|@šķidrs@
@fly (insect)@|@muša@
@fog@|@migla@
@foggy@|@miglains@
@fog-horn@|@miglas svilpe@
@food@|@barība@
@ford (subst)@|@brasls@
@forefather@|@sencis@
@forehead@|@piere@
@forest@|@mežs@
@forester@|@mežzinis@
@fowl@|@putns@
@friar@|@mūks@
@friend@|@draugs@
@friendship@|@draudzība@
@frigid zone@|@aukstā josla@
@frog@|@varde@
@fruitful@|@auglīgs@
@fruit-tree@|@augļu koks@
@full@|@pilns@
@fungus@|@sēne@
@gad-fly@|@dundurs@
@garden@|@dārzs@
@gardener@|@dārznieks@
@garlic@|@ķiploks@
@gate@|@vārti@
@germ@|@dīglis@
@germinate@|@dīgt@
@giant (subst)@|@milzis@
@gland@|@dziedzeris@
@glass@|@stikls@
@glass wool@|@stikla vate@
@glassy@|@stiklains@
@glen@|@grava@
@glove@|@cimds@
@goat@|@kaza@
@god@|@dievs@
@God with us@|@Dievs ar mums@
@goddess@|@dieviete@
@godless@|@bezdievīgs@
@God's son@|@Dieva dēls@
@God's spirit@|@Dieva gars@
@goitre (medical)@|@kākslis@
@gold@|@zelts@
@gold-dust@|@zelta smiltis@
@goldsmith@|@zeltkalis@
@good (adj)@|@labs@
@good (subst)@|@labums@
@good morning !@|@labrīt !@
@goose@|@zoss@
@goose-flesh@|@zosāda@
@gorse (plant)@|@irbulenes@
@gosling@|@zoslēns@
@grandchild@|@mazbērns@
@granddaughter@|@mazmeita@
@grandfather@|@vectēvs@
@grandmother@|@vecāmāte@
@grandson@|@mazdēls@
@grape@|@vīnoga@
@grass@|@zāle@
@grasshopper@|@sienāzis@
@grassy@|@zālains@
@grave (subst) (death)@|@kaps@
@great@|@liels@
@greatness@|@lielums@
@green (adj)@|@zaļš@
@greenish@|@zaļgans@
@greyhound@|@kurts@
@groin (anatomy)@|@cirksnis@
@grouse@|@rubenis@
@grove@|@birzs@
@guardian@|@sargs@
@guilt@|@vaina@
@guilty@|@vainīgs@
@gum@|@smaganas@
@gut@|@zarna@
@hail (subst) (falling ice)@|@krusa@
@hair@|@mats@
@hairless@|@bez matiem@
@ham@|@šķiņķis@
@hamlet@|@ciemats@
@hammer@|@āmurs@
@hamster@|@kāmis@
@hare@|@zaķis@
@hart@|@briedis@
@hawk (bird)@|@vanags@
@hay@|@siens@
@head@|@galva@
@healthy@|@vesels@
@heart@|@sirds@
@hearth@|@pavards@
@heather@|@virši@
@heaven@|@debesis@
@heavenly body@|@debess ķermenis@
@hedgehog@|@ezis@
@he-goat@|@āzis@
@heifer@|@tele@
@heir@|@mantinieks@
@hellish@|@ellīgs@
@helve@|@kāts@
@hemp@|@kaņepes@
@hen@|@vista@
@henbane (plant)@|@driģenes@
@her husband@|@viņas vīrs@
@herb@|@augs@
@herdsman@|@gans@
@hereditary@|@iedzimts@
@heredity@|@iedzimtība@
@heretic@|@ķeceris@
@heretical@|@ķecerīgs@
@heritage@|@mantojums@
@hernia@|@trūce@
@hero@|@varonis@
@heroic@|@varonīgs@
@heroine@|@varone@
@heroism@|@varonība@
@heron@|@gārnis@
@herring@|@siļķe@
@hide (subst) (skin)@|@āda@
@high@|@augsts@
@high treason@|@valsts nodevība@
@hillock@|@paugurs@
@his mother@|@viņa māte@
@hives (medical)@|@nātrene@
@holster@|@maksts@
@holy@|@svēts@
@Holy Ghost@|@Svētais Gars@
@Holy Writ@|@svētie raksti@
@homelike@|@mājīgs@
@honest@|@godīgs@
@honesty@|@godīgums@
@honey@|@medus@
@honeymoon@|@medusmēnesis@
@hook@|@āķis@
@hop@|@apinis@
@horn@|@rags@
@horror@|@šausmas@
@horse@|@zirgs@
@horseman@|@jātnieks@
@horseradish@|@mārrutks@
@horseshoe@|@pakavs@
@hospital@|@slimnīca@
@hospitality@|@viesmīlība@
@hostage@|@ķīlnieks@
@hot (adj)@|@karsts@
@hot spring@|@karstūdens avots@
@hotel@|@viesnīca@
@house@|@nams@
