@bench@|@bang, bank@
@bend@|@bautim@
@bend or split something@|@brukim@
@beneath@|@ananit@
@bent@|@krungut@
@best@|@gut olgera, gutpela tumas, nambawan@
@betel@|@bilinat, buai, dakanat@
@betel pepper vine@|@daka@
@betel tree flower@|@kavang@
@betelnut@|@buai, kawiwi@
@betelnut (tree & fruit)@|@bilinat@
@better@|@moa beta, moa gut, mobeta@
@between@|@namel@
@Bible@|@Baibel, testamen@
@bicycle@|@baik, wilwil@
@big@|@bikpela@
@big-mouth@|@bikmaus@
@bike@|@baik@
@bird@|@kakaruk, paul, pisin@
@bird of paradise@|@kumul@
@birth hut@|@haus karim@
@birthday@|@krismas@
@biscuit@|@bisket@
@bishop@|@bisop@
@black@|@blak, blakpela@
@black magic@|@posin@
@black man@|@blakman@
@black palm@|@limbum@
@black pepper@|@pepa@
@black person@|@buka@
@blackboard@|@blakbot@
@blackwater fever@|@pispis blut@
@blade@|@resa@
@blame@|@asua, hevi@
@blanket@|@blanket@
@bleed@|@karim blut@
@blended@|@miks@
@blessed@|@santu@
@blessing@|@blesing@
@blind@|@aipas@
@blind (in one eye)@|@matakiau@
@blind (window dressing)@|@blain@
@blind in one eye@|@wanai@
@blind person@|@aipas@
@block (nautical)@|@blok@
@blood@|@blad, blut@
@blood relative@|@wanblut@
@bloody (vulgar expletive)@|@bladi@
@blossom@|@plaua@
@blouse@|@siot@
@blue@|@blu@
@board@|@plang@
@boastful@|@hambak@
@boat@|@bot@
@body@|@bodi, skin@
@boil (sore)@|@buk@
@boiling@|@boil@
@bolt@|@skru@
@bolts@|@mama@
@bomb@|@bom@
@bone@|@bun@
@book@|@buk@
@booklet@|@buk@
@border@|@arere, lain@
@bore@|@boa@
@boss@|@bikbos, bos@
@both@|@tupela@
@both of you@|@yutupela@
@bottle@|@botol@
@bottom@|@as, daunbilo@
@boundary@|@arere, lain@
@boundary marker@|@konaston@
@bow@|@banara@
@bow & arrow@|@banara@
@bow (and arrow)@|@banara@
@bow (of ship)@|@poret, port@
@bow of ship@|@fran@
@bowels@|@bel@
@bowl@|@dis, plet@
@box@|@bokis, kalabus, kes@
@boy@|@boi@
@boy or girl before puberty@|@kulau@
@brace@|@sut@
@bracelet@|@paspas@
@bracket@|@sut@
@braggard@|@bikmaus, hambakman@
@brake@|@brek, brek, kalabus bilong wil, kalabus blong wil@
@branch@|@han@
@branch of tree@|@han bilong diwai@
@brass@|@bras@
@brassiere@|@brasbel, susubanis@
@brave@|@draipela bun, man i no save pret@
@bread@|@bret@
@breadfruit tree@|@kapiak@
@breakfast@|@brekpas@
@breast@|@bros, susu@
@breath@|@win@
@breeze@|@kolwin@
@bribe@|@gris@
