@horse@|@o'ta's@
@hot@|@iksist@
@house builder@|@áókooysskaa@
@how are things?@|@tsániitá'piiwa?@
@how does it taste?@|@tsániitsípokowa?@
@how many kids do you have?@|@tsá niitsítapiyi kóko'siksi@
@how old are you?@|@tsá kaanistsísstoyiimihpa?@
@hundred@|@kekippo@
@husband@|@inaapiim@
@I@|@nistoa@
@i am a compassionate person@|@nitsíkimmapiiyipitsi@
@i am active for my age@|@nitsííksisapitsissi@
@i am brave@|@nitsííyikitapiiyi@
@i am chubby@|@nitsíkohpáttsimi@
@i am crazy@|@nitáttsa'pssi@
@i am depressed over it@|@nitsííkohtsikkihkínii'taki@
@i am embarrassed@|@nitsikohkia'pssi@
@i am flirtatious@|@nitsíípasskata'pssi@
@i am full@|@nikái'tsiisi@
@i am funny looking@|@nitsíkahsinaa@
@i am just getting ready to eat@|@nipíítsiyayáaksoyi@
@i am left-handed@|@iiya'ksisaa@
@i am looking for a girlfriend@|@nitá'painahkimaa@
@i am obsessed with men@|@nitsiiksinaapitsi@
@i am pouting@|@nitóínikksi@
@i am pregnant@|@nitsíístsi'tsaana'pssi@
@i am short@|@nitsí:kkakssi@
@i am sleepy@|@nitáíhtsikssi@
@i am slender@|@nitsíkkstsimi@
@i am thinking of my father@|@nitáíksimsstatawa nínna@
@i am thirsty@|@nitsí'naaki@
@i am very anxious@|@nitsiiksípikkssi@
@i celebrated a birthday@|@nitsííksistsikomi@
@i did it@|@nitsíístotsii'pa@
@i felt challenged@|@nitsíksii'taki@
@i got cold chills@|@nitsíkkstsáánisi@
@i got lost@|@nitsiksíssta'poo@
@i got use to not smoking@|@náóhkssawao'tsisissi, nitsíkitayi'tsii'pa@
@i had a fever@|@nitsííksisto'si@
@i had an illegitimate child@|@nitsííksamaoko'si@
@i have a back ache@|@nitáísttsoohtsátsiksskini@
@i have a cold@|@nítssto'si@
@i have money@|@nitsíínaani@
@i know@|@nítssksinii'pa@
@i love you@|@kitsiikákomimmo@
@i made a commitment@|@nitaahkoomohsi@
@i made a mistake@|@nitsípahtsa'pssi@
@i might go there@|@nááhkamá'pito'too@
@i ran in a race@|@nitsíkkaayayisskattsiiyi@
@i said@|@nitáánii@
@i screamed@|@nitsípi'sskinaósi@
@I slept@|@nítso'kaa@
@i understand blackfoot@|@nitáíitoohtsimi@
@i was drunk@|@nitááttsiyi@
@i was jealous@|@nitsííksisattsiiwaa@
@i went to town@|@nítsstsisoo@
@i wish to eat@|@nááhksoy'ssi, nitsííksstaa@
@i won the prize@|@nitsííkiiki@
@ice cream@|@áísstoyi, isstoowashin, sstónniki@
@i'm always eating@|@nitáísskahsáóoyi@
@i'm sad@|@nitsíkhhihkínii'taki@
@i'm very scared@|@nitsíko'po@
@intestines@|@mottsis@
@it has become a full moon@|@ákaiksístto'simma@
@it is a spirit@|@kayissta'pssiwa@
@it is different@|@noohkíítssima@
@it is hot@|@ksiistóyiiwaaki@
@it is snowing@|@áóhpotaawa@
@it snowed@|@iihpotááwa@
@it tastes funny@|@iiksipístsipokowa@
@it will be very cold@|@áaksiksstoyiwa@
@it will be warm@|@áaksikinniiwa@
@it will snow@|@áakohpotaayiihka@
@it's a fig@|@apssíwa@
@it's an arrow@|@ápssiwa@
@it's mine@|@nitsiná'na, nitsináána@
@jack rabbit@|@omahkááaitistaawa@
@jam@|@míiniaohtaisttsikááhkimao'p@
@january@|@áísstoyiimsstaa, isspssáísskitsimao'p, ómahksíki'somm@
@jerky@|@káyiis@
@june@|@ito'tsisamssootaa, niipiaato's, otsítsipottaatpi pi'kssiiksi@
@kidney@|@mótookis@
@knee@|@mottoksís@
@kootenay tribe@|@kotonáá'wa@
@lance@|@samákinn@
@lark@|@mia'tii@
@larynx@|@mohkíítohksiston@
@lawyer@|@iiyikoyaapiikoan@
@leave@|@asaksiwa@
@left@|@naaw@
@lightning@|@áípapomm@
@lightning flash@|@ipapo@
@lip@|@mootóónis@
@lone fighters clan@|@ni'taiitsskaa@
@lung@|@mohpín@
@male@|@ikoan@
@man@|@nínaa, nínaawa@
@many ghosts@|@akáís ta'ao@
@many graves@|@akáókiinaa@
@march@|@sa'aiki'somm@
@may@|@aapistsísskitsaato's@
@meadowlark@|@soohkiisimsstaan@
@meat stew@|@o'ksisakaoo'si, o'ksisakaoo'sin@
@member of cheyenne tribe@|@kiihtsipimiitapi@
@member of the black horse@|@sikimiota'si@
@member of the nez perce tribe@|@komonóítapiikoan@
@midnight@|@katsiksistó'koyi, tatsikiyaiko'ko@
@milk@|@ónnikis@
@monday@|@issikotoyiiksistsiko@
@moon@|@ko'komíki'somm, ko'komíki'somma@
@moose@|@ponoka@
@mooses@|@ponokaiks@
@morning@|@aksikskanáótonniwa, ikskanaotoni, ksisskanáótonni@
@morning (1)@|@kaikskanáótonniwa@
@mother@|@na'á@
@mother-in-law@|@aakiaahs@
@mountain lion@|@omakatyo@
@muddy@|@pa'ksíkahko@
@muskrat@|@mí'sohpsski@
@my child'll celebrate a birth@|@maa nóko'sa áaksiksistsikomiwa@
@my food@|@nitsówahsini@
@my girlfriend@|@nitáákiikoama@
@my old man@|@nináápiima@
@native american@|@niitsíapi@
@native american males@|@niitsítapiikoan@
@native culture@|@niitsíapia'pii@
@navel@|@móótoyi's@
@neck@|@mohkokin@
@nephew@|@isahkínaim@
@never laughs clan@|@kata'yayimmii@
@never lonesome clan@|@miaawaahpitsii@
@night@|@ákáaksiko'kowa, ákaiko'owa, ko'kó, sipi@
@nine@|@piihkssó, pixkso@
@no@|@saa@
@noon@|@tátsikiaiksistsiko@
@north@|@waapatohs@
@north blackfoot band@|@siksiá@
@north peigan@|@aapátohsipikáni@
@north peigan band@|@skiníípiikani@
@North Piikani@|@Aapátohsipikani@
@nose@|@móhksisís@
@november@|@iitáóhkohtao'p, iitáóhkohtao'p@
@oatmeal@|@pikkiáákssin@
@oats@|@matoyí'nssimaan@
@october@|@mo'kááto's, sa'áiksi itáómatooyi@
@oil lamp@|@pomiáána'kimaa'tsis@
@old@|@omahkitapi@
@old man@|@omahkinaa@
@old woman@|@kipitáaakii@
@older brother@|@i's@
@older sister@|@ínsst, nínsst@
@one@|@ni't, nitokska@
@orange@|@otahko@
@over@|@sox@
@owl@|@sipisttoo@
@paddled saddle clan@|@kootsaakiiyi'taa@
@pancake@|@isttohkihkiitaan@
@pasta@|@áíssinnii'p@
@peach@|@immoyaapasstaamiinaamm@
@pear@|@ómahkínaotohton@
@peas@|@oohkominokoistsi@
@peigan band@|@piikáni@
@pepper@|@pisstaahkaipokoo@
@person of  japanese ancestry@|@tsaapinííkoan@
@person of  mexican decent@|@sspayiikoan@
@person of german decent@|@ksisísttsomo'ki@
@person who lives on prairie@|@isskihtáí'tapiiyiwa@
@please give it to me@|@kippohkókkit@
@please hold the pipe carefully@|@ánni ááhkoyinnimaani@
