@English@|@Indonesian@
@(mark of) honour@|@upacara@
@(me-) lubricate; (me-i) smear s.t; defile@|@lumas@
@(me)n-@|@tonton@
@(me)ng-@|@anggur@
@(me-i) bless s.t.@|@restu@
@(me-kan) celebrate; (pe-an) celebration@|@raya@
@(men-kan) drop s.t. on its face; make s.t. fall down or into a hole; fall into a trap hole@|@jerumus@
@(meny)-i@|@susur@
@(merk) brand@|@merek@
@(n)@|@curang, gumam, juang, kelahi, lengkung, mundur, peluk, perkosa, selisih, serang, siar, susur, tantang, tengkar@
@(n) appeal@|@imbau, himbau@
@(n) group of@|@kerumun@
@(n) help@|@tolong@
@(n) iron@|@setrika@
@(n) kiss@|@kecup@
@(n) need@|@perlu@
@(n) nickname@|@juluk@
@(n) question@|@tanya@
@(n) work; memper-kan@|@kerja@
@(n); ke- cekikikan@|@tawa@
@(n); peny-@|@sokong@
@(nafas) breath@|@napas@
@(nasehat) advice@|@nasihat@
@(naut.) hold of a ship@|@palka@
@(nyebelin) annoying@|@rese@
@(omzet) turnover (in commercial enterprise)@|@omset@
@(original) local people.@|@pribumi@
@(pijit@|@pijat@
@(pol.) party; (sport) event; quantity of (jumlah)@|@partai@
@(pungkir) deny/disavow; renege; me-i/kan@|@mungkir@
@(Rel) presence (of God); female members of the audienci@|@hadirat@
@(rubuh) collapse; me-kan/cause to -/overthrow/bring down; -an/ruins/rubble@|@roboh@
@(rumet); hard/difficult; complex/intriguing@|@rumit@
@(saran) suggest@|@anjur@
@(sembuni) hidden@|@sembunyi@
@(sl) adik@|@dik@
@(sl) big@|@gede@
@(sl) buat@|@bikin@
@(sl) drunk; (Jv) me-i@|@beler@
@(sl) get excited; have a hard-on@|@pumpum@
@(sl) have sex@|@pampam@
@(sl) horny@|@konak@
@(sl) hot (of body@|@gerah@
@(sl) husband and wife@|@laki@
@(sl) I@|@gue@
@(sl) isteri@|@bini@
@(sl) lie@|@bokis@
@(sl) light@|@enteng@
@(sl) like@|@doyan@
@(sl) lost@|@raib@
@(sl) maid@|@pembokat@
@(sl) make; proper bahasa : buat@|@bikin@
@(sl) mudguard@|@slebor@
@(sl) not to be taken seriously@|@hura^2@
@(sl) panas'in@|@panas@
@(Tak ada kasih tanpa -)@|@korban@
@(tampak) appear@|@nampak@
@(-tangan) colleage from the same office@|@jabat@
@(v@|@goreng@
@(v)@|@aus, bacok, bajak, batal, bekal, cemeti, cemooh, cerca, cium, desis, fitnah, gejolak, gelandang, gelegar, geletak, gila, hajat, hancur, jalin, kejap, kemas, kesah, kilap, kucur, larut, layu, limpah, mampet, mungkar, panen, panggang, pel, puja, rias, rusak, rusak, segel, seluruh, seringai, sisir, tahak, tandang, target, tata, tebak, tendang, usul@
@(v)  to rasp@|@parut@
@(v) (Guruh meng- di kejauhan; Thunder rumbled in the distance)@|@geledek@
@(v) (iklan)@|@reklame@
@(v) (needs object)@|@cumbu@
@(v) (reklame); peng-@|@iklan@
@(v) (rengkuh); interesting; ter-@|@tarik@
@(v) age/ripen@|@tua@
@(v) aim@|@arah@
@(v) beam/shine@|@seri@
@(v) become -; ke-an@|@keruh@
@(v) cage s.t.@|@kurung@
@(v) channel@|@alir@
@(v) clean; pem-an@|@bersih@
@(v) cut (off@|@potong@
@(v) do@|@buat@
@(v) empty s.t.@|@kosong@
@(v) fill (up); ter-@|@isi@
@(v) fry; di-@|@goreng@
@(v) help; per-an@|@tolong@
@(v) hire@|@sewa@
@(v) kill; pem-@|@bunuh@
@(v) lash@|@cambuk@
@(v) like@|@betah@
@(v) melt; trickle@|@leleh@
@(v) mention@|@sebut@
@(v) need (butuh); (ke)-an@|@perlu@
@(v) neglect@|@lalai@
@(v) nest@|@sarang@
@(v) not used.@|@gergaji@
@(v) open; ter-@|@buka@
@(v) paralyze@|@lumpuh@
@(v) pinch; men-i@|@cubit@
@(v) pursue@|@kejar@
@(v) question@|@tanya@
@(v) saddle (a horse)@|@pelana@
@(v) spray@|@semprot@
@(v) throw (s.t.); ter-@|@lempar@
@(v) tickle s.o.@|@gelitik@
@(v) to accept@|@terima@
@(v) to fly (s.t.); pen-an@|@terbang@
@(v) to know@|@kenal@
@(v) to send; peng-@|@kirim@
@(v) to surprise/startle s.o.@|@kejut@
@(v) touch@|@sentuh@
@(v) try (in court)@|@adil@
@(v) try; (per)-an@|@coba@
@(v) wash; -an@|@cuci@
@(v) wipe s.t.@|@lap@
@(v) work overtime@|@lembur@
@(v) work; (pe)-an@|@kerja@
@(v); (pen)-an@|@dobrak@
@(v); (sisir)@|@sikat@
@(v); -an@|@pandu, siar, ukir@
@(v); appease/cater to; ter-@|@sanjung@
@(v); baffle/perplex/mystify@|@cengang@
@(v); bandit (- laut@|@bajak@
@(v); be -; -an@|@keringat@
@(v); ber- kesah@|@keluh@
@(v); ber-an@|@pakai@
@(v); consume (time or attention)@|@sita@
@(v); hesitant@|@tangguh@
@(v); -kan@|@gambar@
@(v); ke-an@|@curang@
@(v); me-kan@|@risik@
@(v); mem-kan@|@bentrok@
@(v); men-@|@cumbu@
@(v); meng-kan@|@angsur, oceh@
@(v); men-i@|@tekur@
