@English@|@Indonesian@
@curvature@|@lengkungan@
@curve@|@lengkung@
@curve or bend (in road); make a turn@|@tikung@
@curved; flexible; warped; ke-an@|@lentur@
@cushion@|@bantal utk alas duduk@
@custard@|@gula, makanan dr telur, susu dipanggang/dikukus@
@custodian@|@pemelihara, penjaga gedung, wali@
@custody@|@pemeliharaan, pengamanan, penjagaan, perwalian@
@custom@|@adat, adat, kantor bea cukai, kebiasaan, kebiasaan, langganan@
@custom/tradition; manners/proper behavior; ber-@|@adat@
@custom/usage/fad@|@lazim@
@customary@|@biasa, lazim, sesuai dgn kebiasaan@
@customary/traditonal; well mannered@|@adat@
@customer@|@langganan, nasabah, pelanggan@
@customer/client (klien); pe-@|@langgan@
@customers-house@|@pabean@
@customs office@|@pabean@
@cut@|@be ~ out for:cocok/sesuai utk, be ~ up by:sangat kecil hati, sedih@
@cut & dried@|@sdh siap & diputuskan@
@cut a loss@|@menerima kerugian & mulai lagi@
@cut a tooth@|@mulai tumbuh giginya@
@cut both ways@|@ada baik & buruknya@
@cut cards@|@membagi 2 tumpukan kartu@
@cut down@|@memperkecil, mengurangi, rambah@
@cut down (tree@|@tebang, tembang@
@cut in@|@berbapasan tapi pura2 tdk kenal, bolos, menyela@
@cut into s.t.; (coll.) ke-@|@beler@
@cut into thin slices; blend various proper ingredients into food@|@racik@
@cut off@|@memiisahkan, memu-, menghalangi, menghentikan, menyela, tus@
@cut off (hair@|@pangkas@
@cut off or out@|@papas@
@cut off; mem-I@|@pintas@
@cut out@|@memotong, menggunting@
@cut s.o. short; cut off@|@pintas@
@cut short@|@memendekkan, menyingkat@
@cut up@|@~...up:memusnahkan, memotong kecil2, mengiris@
@cute@|@cerdik, imut, lucu, manis, tangkas@
@cute; sweet@|@mungil@
@cuticle@|@kulit ari@
@cutlass@|@alat pemotong buah coklat/kelapa, pedang pendek@
@cutler@|@potongan daging/ikan mentah yg tebal@
@cutlet@|@potongan daging ikan yg tebal@
@cut-throat@|@berbahaya, mematikan, pembunuh kejam@
@cutting@|@guntingan, menyakitkan hati, pedas, potong, terowongan@
@cyborg@|@cybernetic organism@
@cycle@|@edar@
@cycle (of years); rotation; - haid@|@daur@
@cyclist@|@pengendara sepeda@
@cyclone@|@angin pusar@
@cyclopedia@|@=encyclopedia@
@cymbal@|@alat musik sepasang piring logam@
@cynic@|@org yg sinis, suka mengejek@
@cynicism@|@sinisme@
@cynosure@|@pusat perhatian@
@cypher@|@=chiper@
@cypress@|@pohon cemara daun hijau tua kayu keras@
@cyst@|@kista@
@dab@|@menguaskan cat@
@dab; men-@|@colek@
@dabble@|@berkecimpung, menepuk2 air@
@daddy-long-legs@|@ayak2@
@daffodil@|@bunga kuning daun kecil, leli@
@dagger@|@golok, pisau belati@
@daily@|@hari@
@daintier@|@lebih 'danty'@
@daintiest@|@paling 'dainty'@
@dainty@|@halus, jelita, lembut, lezat, pemilih@
@dairy@|@mentega, telur, tempat menyimpan susu/pembuatan mentega, toko penjual susu@
@dairy farm@|@tempat pemerahan susu@
@dairy maid@|@perempuan yg bekerja di perusahaan susu@
@dais@|@mimbar, panggung kecil@
@daisy@|@bunga berwarna kuning tengahnya putih tumbuh liar@
@dale@|@lembah@
@dalliance@|@=dally@
@dally@|@bermain gila, membuang wkt@
@dam@|@bendung, bendungan, induk@
@dam s.t.; -an@|@bendung@
@damage@|@kerugian, kerusakan@
@damage s.t.; -an@|@rongrong@
@damaged@|@rongsok, rusak@
@damaged/broken/out of order; me-(i/kan)@|@rusak@
@damask@|@cahaya, kain sutera/linen dgn bunga yg kelihatan jika kena@
@dame@|@wanita, wanita (bersuami), wanita ksatria@
@dammit; damned; accursed; rogue; infidel; heathen@|@keparat@
@damn@|@menganggap buruk/tdk bermutu, mengutuk, menyumpah@
@damnable@|@terkutuk@
@damnably@|@scr mengutuk@
@damnation@|@kehancuran, kutukan@
@damp@|@fire ~:gas berbahaya di tambang batu bara, lembab@
@damp down@|@mengecilkan@
@dampen@|@membasahi, menjemukan, menyedihkan, menyusahkan@
@damper@|@lebih lembab, org yg menimbulkan kesedihan, pengatur aliran uda-, ra utk pengapian@
@dampest@|@paling lembab@
@damsel@|@gadis@
@damson@|@pohon berbuah ungu tua@
@dan lain-lain; etc.@|@dll@
@dance@|@joget@
@dandelion@|@tanaman liar berbunga kuning cerah@
@dandle@|@menimang anak@
@dandruff@|@ketombe@
@dandy@|@pria pesolek@
@danger@|@bahaya@
@dangerous@|@berbahaya@
@dangle@|@berayun2, berjuntai, gelantung, gelantung@
@dangle round@|@membuntuti, memburu, mendekati, mengejar@
@dank@|@basah, lembab@
@dapper@|@berpakaian rapi, tampan@
@dapple@|@berbelang2, membuat belang2@
@dare@|@berani@
@dare devil@|@pemberani scr ceroboh@
@dare to do s.t. without proper permission@|@lancang@
@daring@|@(ke)berani(an)@
@dark@|@temaram@
@dark rain cloud; ber-@|@mendung@
@dark.@|@gelap@
@darling@|@sayang@
@darling; - sekali@|@sayang@
@darn@|@menisik kain@
@dart@|@dart, gerakan yg tiba2/tergesa2, lari, mengeluarkan cepat2, menjulurkan, permainan-@
@dash@|@atan, colek, cut a ~:kelihatan kaya, gerakan tergesa2, hancurkan, kegi-, melemparkan, memercikkan, memusnahkan, menerkam, menerpa, meng-, mengecilkan hati, menghalangi, menghempaskan, semangat, tanda -, tenaga@
@dashing@|@bersemangat, gagah, jantan, tampan@
@dastard@|@pengecut yg kejam, penggertak@
@date@|@kurma@
@date; appointment; ber-@|@kencan@
@date; fall out@|@tanggal@
@date-palm@|@pohon kurma@
@dative@|@kasus ke-3@
@daub@|@melumaskan, melumurkan, menco-, mengoleskan, menodai, ret2@
@dauber@|@pelumur, pencoret2, pengoles@
@daunt@|@mengecilkan hati, menghilangkan semangat, menjerakan@
@dauntless@|@berkeras, gigih, tdk gentar@
@davit@|@tangkai besi utk menggantungkan perahu pd kapal@
@dawdle@|@berlalai2, berlengah2, laun, membuang wkt@
@dawdler@|@org yg berlengah2/berlalai2@
@dawn@|@dinihari, fajar, fajar, mulai jelas/terang, permulaan@
@dawn is breaking; awan tlh -@|@singsing@
@day and night@|@siang@
@day of celebration at end of fasting month@|@lebaran@
@day; -an@|@hari@
@daybreak@|@fajar@
@daydream@|@berangan2, melamun, merenung, renung@
@daylight@|@siang, siang hari@
@daylight-saving@|@memajukan jam shg kegelapan mjd lebih lambat@
@day-time; - ini@|@siang@
@daze@|@memabukkan, membingungkan, memusingkan, mengagetkan@
@dazed@|@bengong, bingung@
@dazzle@|@menyilaukan@
@dazzled@|@silau@
@deacon@|@pendeta/pegawai gereja dgn tugas tertentu@
@deaconess@|@=deacon@
@deactivate@|@lumpuh@
@dead@|@betul2, mati, sungguh2, sunyi@
@dead beat@|@sungguh2 lelah@
@dead body@|@mayat@
@dead end@|@buntu, pepet@
@dead shot@|@tembakan tepat pd sasaran@
@deaden@|@mematikan, menghilangkan@
@deadlock@|@gagal dlm menyelesaikan pertikaian, jln buntu@
@deaf@|@tuli@
@deaf (budeg)@|@tuli@
@deaf (tuli)@|@budeg@
@deafen@|@memekakkan telinga, menulikan@
@deafer@|@lebih tuli@
@deafest@|@paling tuli@
@deafness@|@kead tuli@
@deal@|@a square ~:perlakuan adil, berhub dgn, berurusan dgn, great ~:banyak sekali, langi, membagi2, membagikan, membeli dr, memecahkan, memperdagangkan, menanggu-, papan dr kayu cemara, tawar, tawar-menawar@
@dealer@|@pedagang, pembagi kartu, penjual@
@dealt@|@=deal@
@dean@|@dekan, pejabat tinggi gereja@
@deanery@|@kedudukan/rumah pejabat tinggi gereja@
@dear@|@berar-, berharga, bernilai, mahal, mahal, sayang, ti, yg terhormat@
@dearings@|@hub dagang@
@dearly@|@dgn pengorbanan yg bsr, sangat, sekali@
@dearth@|@kejarangan, kekurangan, kelangkaan@
@death@|@kematian, maut@
@death rate@|@angka kematian@
@death trap@|@tempat berbahaya (di jln)@
@death-duties@|@pajak kekayaan org stlh meninggal@
@deathless@|@abadi, kekal@
@deathly@|@pucat, spt mayat@
@debar@|@mencegah, menghalangi, merintangi@
@debase@|@hinakan, meng-, menurunkan nilai/mutu, merendahkan martabat@
@debasement@|@kehinaan, kerendahan, penurunan martabat@
@debate/argue@|@debat@
@debauch@|@melanggar susila, menyesatkan, merusak akhlak@
@debauchery@|@kelakuan tdk senonoh, kerusakan (akhlak), kesesatan@
@debenture@|@smcm oblgasi, surat tanda pinjaman uang@
@debilitate@|@melemahkan@
@debility@|@kelemahan@
@debit@|@(mencatat dlm kolom) hutang@
@debonair@|@gembira, riang hati@
@debris@|@puing2@
@debris; mem-@|@puing@
@debt@|@hutang@
@debtor@|@org yg berhutang@
@debut@|@penampilan pertama (gadis) pd pesta org dewasa, penampilan pertama di pentas@
@debutante@|@gadis yg tampil pertama kali di pesta@
@decade@|@dasa-, dasawarsa@
@decadence@|@kemerosotan@
@decadent@|@menurun martabatnya, merosot@
@decalogue@|@10 firman Tuhan pd Musa@
@decamp@|@pergi mendadak & diam2@
@decant@|@memindahkan dr 1 botol ke botol yg lain@
@decanter@|@botol anggur@
@decapitate@|@memancung, memenggal kepala@
@decarbonize@|@mengeluarkan zat arang@
@decathlon; -warsa@|@dasa-@
@decay@|@kehilangan kekuasaan, memburuk, membusuk, merosot, rusak@
@decease@|@kematian@
@deceased@|@resmi meninggal@
@deceit@|@kecurangan, kedustaan, tipu daya@
@deceit; peng-@|@kecoh@
@deceitful@|@culas@
@deceitful; men-i@|@curang@
@deceive@|@membohongi, mendustai, menipu@
@deceive s.o.; ter-@|@tipu@
@deceived@|@kecoh@
@December@|@Desember@
@decency@|@kepatutan, kesopanan, tata susila@
@decennial@|@dasawarsa@
@decent@|@baik, cukup memuaskan, pantas, patut & sesuai, rendah hati, sopan, tdk memalukan, terhormat@
@deception@|@kedustaan, penipuan@
@deceptive@|@bersifat menipu, tdk dpt dipercaya@
@decide@|@bertekad utk, kesimpulan, memutuskan, memutuuskan, menentukan, mengambil-, menyelesaikan, putuskan, tetap@
@decide/resolve; breakoff/interupt@|@putus@
@decided@|@berkemauan keras, jelas, pasti, tegas@
@decided; persistent@|@tetap@
@decidedly@|@dgn jelas/pasti/tegas@
@deciduous@|@gugur, rontok (musim)@
@decimate@|@membunuh/memusnahkan minimal 1/10 dr@
@decipher@|@membaca dgn susah payah, memecahkan, menafsirkan@
@decision@|@kepastian, keputusan, keputusan, ketegasan, pertimbangan, tetap, tetap@
@decision; -2nya@|@putus@
@decisive@|@mutlak, pasti, tegas, yg menentukan@
@deck@|@clear the ~:bersiap utk suatu kegiatan/pertempuran, geladak kapal, menghiasi@
@declaim@|@melakukan sesuatu dgn penuh perasaan (mbaca sajak)@
@declamation@|@deklamasi@
@declaration@|@nyata@
@declare@|@keheranan/kekagetan, melaporkan, mempermaklumkan, menunjukkan-, menyatakan, menyebutkan@
@declare/assert; ke-an@|@nyata@
@decline@|@condong, mengecil, menolak, menolak, menurun, merosot, surut, turun@
@decline; -an@|@turun@
@declivity@|@landaian, lereng@
@declutch@|@melepas kopling@
@decompose@|@membuusuk, menguraikan@
@decomposed; low@|@busuk@
@decontaminate@|@membasmi kuman, menawar racun@
@decorate@|@memberi tanda kehormatan, menghiasi, pajang@
@decorated@|@hias@
@decoration@|@hias@
@decoration; se- senyum@|@sungging@
@decorous@|@berkenaan dgn sopan santun, patut, sopan@
@decorum@|@sopan santun@
@decoy@|@hewan utk umpan, pemikat, umpan@
@decrease@|@surut, susut@
@decree@|@dekrit, keputusan pegadilan, menentukan, menetapkan@
@decrepit@|@jompo, lemah krn sudah tua, ringkih@
@decrepitude@|@kelemahan krn usia tua@
@decry@|@memperendah, memperkecil, mencela scr terbuka@
@dedicate@|@membaktikan, mempersembahkan, mengabdi, menuliskan-, nama seseorg pd permulaan buku@
@dedication (to a cause)@|@bakti@
@dedication; pem-an@|@bakti@
@deduce@|@menyimpulkan@
@deduct@|@memotong, mengurangi@
@deduction@|@kesimpulan, memotong, mengurangi@
@deductive@|@ttg hal menyimpulkan (bdsrk teori yg ada)@
@deed@|@akte, perbuuatan, tindakan@
@deem@|@mempunyai anggapan, menganggap@
@deep -@|@jurang@
@deep pool in a stream; - hati@|@lubuk@
@deer@|@kijang, kijang, menjangan, rusa@
@deface@|@mencoret2, mengaburkan tulisan, menggores, menghapus@
@defamatory@|@bersifat mencemarkan/mengumpat/memfitnah@
@defame@|@memfitnah, mencemarkan nama baik, mengumpat@
@default@|@ledor, melalaikan kwjb, tdk hadir, tdk melunasi hutang, te-@
@defeat@|@derita@
@defeat; ke-an@|@gagal@
@defeated@|@kalah@
@defeatism@|@sikap pesimis tdk akan menang@
@defecate@|@e'e@
@defecate; feces@|@berak@
@defect@|@cacat, cela, kekurangan@
@defect/flaw/blemish; shortcoming; disgrace/shame; men-@|@cela@
@defection@|@hal meninggalkan@
@defective@|@bercacat, kurang sempurna, lemah@
@defective; untrustworthy@|@cedera@
@defektif@|@cacat, kurang sempurna@
@defend@|@tahan@
@defendant@|@tertuduh@
@defensible@|@dpt dibela/dipertahankan@
@defer@|@menangguhkan, menghormati, mengundurkan, menunda@
@deference@|@keseganan, menghargai, perasaan hormat@
@deferential@|@hormat/segan kpd@
@defiance@|@bantahan, tantangan@
@defiant@|@bersikap menentang/tdk patuh@
@deficiency@|@cacat, kekurangan@
@deficient@|@kekurangan, tdk mencukupi@
@defile@|@mencemari, mengotori, menodai, ngarai di antara gunun@
@define@|@bsr, gsr-, membatasi, menegaskan, mengartikan, menjelaskan@
@definite@|@jelas, pasti@
@definite/certain;mem-kan@|@pasti@
@definition@|@(pem)batasan@
@definitive@|@menentukan, pasti, tetap@
@deflasi@|@runkan harga barang, tindakan mengurangi jml peredaran uang utk menu-@
@deflate@|@mengempiskan, mengurangi jml peredaran uang@
@deflated@|@kempes, kempis@
@deflect@|@memalingkan, membelokkan@
@deform@|@menjadi(kan) cacat@
@deformed@|@cacat@
@deformity@|@kead cacat@
@defraud@|@menipu@
@defray@|@membiayai, menyediakan uang yg diperlukan@
@defrost@|@mencairkan es@
@deft@|@cekatan, tangkas, trampil@
@defunct@|@mati, tdk dipakai lagi@
@defy@|@alan yg tdk dpt diatasi, melanggar, membangkang, membantah, menentang hukum, menimbulkan perso-, tentang@
@degenerate@|@merosot, mjd jahat@
@degrade@|@menghinakan, menurunkan pangkat/derajat/kehormatan@
@degree@|@derajat@
@degree of consanguinity@|@pupu@
@degree; men-kan@|@tingkat@
@degree; rate of exchange@|@harkat@
@dehydrate@|@kering@
@deice@|@membuang es@
@deify@|@memperdewa, memperTuhankan@
@deign@|@berkenan utk, sudi@
@deity@|@dewa, kesucian, sifat keTuhanan, Tuhan@
@deja vu@|@spt ingat kejadian yg belum terjadi@
@dejected@|@masygul, muram, murung, sedih, susah@
@delay s.t.; -2 hari@|@laun@
@delay; ber-@|@tangguh@
@delectable@|@lezat@
@delegate@|@mengutus, mewakilkan, utus@
@delegate); peng-an@|@utus@
@deliberate@|@hati2, lambat & ber, mempertimbangkan, merundingkan, sengaja, sengaja@
@deliberation@|@musyawarah, runding@
@delicacy@|@keenakan, kelezatan@
@delicate@|@halus, khusus/kehati2an, lemah, lembut, lezat, memerlukan keahlian -, peka, ringkih, tajam, tdk menyolok@
@delicious@|@enak, lezat, sedap@
@deliciously oily (and salty) but causing thirst (of fried fish@|@gurih@
@delight@|@menggirangkan, menyenangkan@
@delight in@|@gemar@
@delightful@|@manis, menarik, sangat menggembirakan@
@delineate@|@melukiskan, menggambarkan@
@deliquency@|@hal bersalah/tdk bertanggung jwb@
@deliquent@|@bersalah, tdk bertanggung jwb@
@delirious@|@mengigau@
@delirium@|@kead tdk ingat wkt demam, mengigau@
@deliver@|@antar, melepaskan, membawakan, membebaskan, mengantar, mengarahkan, menyampaikan, menyelamatkan, sampai@
@deliver -; meng-i@|@khotbah@
@deliver; meng-@|@kirim@
@deliverance@|@pembebasan, penyelamatan@
@delivery@|@cara berpidato/mengajar, kirim, penyampaian@
@dell@|@lembah kecil dgn pohon2@
@delude@|@membohongi, menipu, menyesatkan@
@deluge@|@banjir bsr, membanjiri, sesuatu yg tercurah@
@delusion@|@angan2@
@delve@|@menggali, menyelami, menyelidiki@
@delve into@|@menyelami, menyelidiki@
@demagogue@|@pemimpin politik yg menghasut pikiran rakyat@
@demagogy@|@penghasutan rakyat oleh seorg pemimpin politik@
@demand@|@membutuhkan, mendesak, menuntut, menyuruh@
@demand; prosecute; strive for; -an@|@tuntut@
@demand; pursuit; indictment@|@tuntut@
@demand; strive for; men-@|@tuntut@
@demarcate@|@membatasi, menentukan batas@
@deme@|@menganggap@
@demean@|@merendahkan martabat@
@demeanour@|@kelakuan, tingkah laku@
@demented@|@gila, hampir gila krn khawatir/bingung@
@demi-@|@1/2@
@demise@|@kematian, kematian (resmi)@
@demist@|@menghapuskan embun (kaca mobil)@
@demobilize@|@membebaskan stlh menjlni dinas militer@
@democracy@|@masyarakat sama serajatnya, pemerintahan rakyat, rakyat@
@democrat@|@penyokong demokrasi@
@demolish@|@memusnahkan, memuusnahkan, meruntuhkan@
@demolished; -2@|@tandas@
@demon@|@iblis, roh jahat, setan@
@demoralize@|@menurunkan moral@
@demur@|@menyatakan keberatan/menentang@
@demure@|@malu2 kucing, pendiam & sungguh2@
@den@|@kamar belajar, tempat persembunyian@
@denationalize@|@menjadikan milik swasta@
@dengan-@|@baik@
@denger; peril; jeopardy@|@bahaya@
@denial@|@bantahan, penolakan, sangkalan@
@denied/ignored; me-i@|@mungkar@
@denizen@|@org mcm hewan/tumbuhan yg tetap berada di tempat-, yg disebutkan@
@denomination@|@nama yg diberikan pd suatu golongan/agama@
@denominator@|@penyebut pd bil pecahan@
@denote@|@berarti, menandakan, menyatakan@
@denounce@|@mencela terang2an, mengakhiri (janji), mengkhianati@
@dense@|@berjejal2, kental, lebat, padat, pekat, rapat, tebal@
@dense (of foliage@|@rimbun@
@denser@|@lebih padat (dense)@
@densest@|@paling padat (dense)@
@density@|@berat jenis, padat@
@dent@|@=dint, lekuk@
@dental@|@berkenaan dgn gigi@
@dentistry@|@kedokteran gigi, pekerjaan dokter gigi@
@denture@|@gigi palsu@
@denude@|@menelanjangi, menggunduli@
@denunciation@|@celaan terang2an, pengakhiran janji, pengkhianatan@
@deny@|@membantah, mengakui, menolak, menyangkal, sangkal, tdk-, tdk tahu-menahu@
@deny/disavow/go back on@|@ingkar@
@deny; ignore@|@mungkir@
@deodorize@|@menghilangkan bau busuk@
@depart@|@berangkat, meninggalkan, pergi@
@department; gov't service@|@dinas@
@departure@|@keberangkatan, keberangkatan, kepergian, kepergian@
@depend on (kalang)@|@sandar@
@dependable@|@yg dpt dipercaya@
@dependant@|@org yg hidupnya bergantung pd org lain, pembantu rumah tangga, tanggungan@
@dependence@|@hal ketergantungan@
@dependency@|@jajahan@
@dependent@|@bergantung kpd@
@depict@|@menceritakan, menggambarkan@
@deplete@|@menghabiskan, mengosongkan@
@deplorable@|@menyedihkan, patut disesali@
@deplore@|@menyesali@
@deploy@|@berbaris, memanfaatkan, menyebarkan@
@depopulate@|@mengurangi jml penduduk@
@deport@|@baik, berlaku-, mengasingkan, mengusir org dr suatu negara@
@deportment@|@sikap, tingkah laku@
@depose@|@memberikan kesaksian, memecat, menggulingkan@
@deposit@|@membayar uang -, mengendapkan, menitipkan, menyimpan, muka, setor@
@deposit; meng-@|@endap@
@depositor@|@org yg menitipkan uang di bank@
@depository@|@gudang, tampat penyimpanan@
@depraved@|@berakhlak buruk, busuk, jahat@
@depravity@|@keburukan akhlak@
@deprecate@|@memprotes, mencela@
@depreciate@|@menurunkan nilai/harganya@
@depredation@|@perusakan/perampokan harta benda@
@depresi@|@dunia perdagangan serba, kead serba sulit, meleset, sepi/mundur@
@depresing@|@memasygulkan, menyedihkan@
@depress@|@melemahkan, menekan, menurunkan, menyedihkan@
@depressed@|@muram, murung@
@depression@|@depresi, duka cita, kead serba sulit, kemurungan, kesedihan, lekuk, meleset, pelimbahan@
@deprive@|@mengambil/menghalang2i/melucuti seseorg/sesuatu@
@depth@|@dalam, sesuatu yg sukar dimengeri@
@deputation@|@perwklan, pr wkl, utusan@
@depute@|@mewklkan@
@deputize@|@mewakili@
@deputy@|@wkl@
@deputy; agent (me-kan@|@wakil@
@derail@|@menggelincir, menyebabkan keluar jalur (rel)@
@derailment@|@penggelinciran (dr rel)@
@derajah; degree@|@derajat@
@derange@|@gila, gilakan, membingungkan, meng-, mengusutkan, merusakkan pikiran@
@derelict@|@ditinggalkan, terlantar@
@deride@|@mencemooh, mengejek, mentertawakan@
@derision@|@cemoohan, ejekan@
@derisive@|@bersifat mengejek@
@derisive smile@|@gelak@
@derisory@|@main2, olok2, tdk sungguh2@
@derivative@|@berasal dr yg lain, bukan asli@
@derive@|@berasal dr, memperoleh, mendpt@
@derogatory@|@bersifat merugikan/mencemarkan org lain@
@derrict@|@mesin derek/katrol@
@dervish@|@org Islam yg sengaja hidup miskin@
@descend@|@menuruni, mewarisi, turun-temurun@
@descend upon@|@menyerang dgn tiba2, menyerbu@
@descend; decrease@|@turun@
@descend; rapidly; plummet@|@anjlog@
@descendant@|@(ke)turunan, turun, turun@
@descent@|@asal-usul, lereng, nenek moyang, penurunan, serbuan@
@descent; cause@|@benih@
@describe@|@ciri@
@describe (ciri2); -an@|@gambar@
@description@|@gambar@
@descriptive@|@bersifat menggambarkan/menguraikan/melukiskan@
@descry@|@melihat dr jauh, menampak@
@desecrate@|@menajiskan, mencemari@
@desert@|@ganjaran, gurun, izin, melarikan diri (tanpa-, menelantarkan, menggagalkan, menghilang, meninggalkan, pahala, penduduk, tandus, tdk ber@
@deserter@|@anggota tentara yg lari dr dinas@
@desertion@|@hal meninggalkan@
@deserve@|@pantas, patut menerima@
@deservedly@|@sewajarnya, sudah sepatutnya@
@desiccate@|@mengeringkan (makanan padat)@
@design s.t.@|@rangka@
@designate@|@angkat, bakal, calon, menamakan, menandai, meng-, menguntukkan, menunjukkan@
@designate; promote; remove@|@angkat@
@designation@|@gambaran, gelar, pangkat, pengangkatan@
@designation; quotation; meny-@|@sebut@
@designedly@|@dgn sengaja/maksud@
@designing@|@penuh tipu daya@
@desirability@|@hasrat, idaman, keinginan@
@desirable@|@diidamkan, diinginkan, menimbulkan keinginan@
@desire@|@hasrat, idam(an), idaman, ingin sekali, keinginan yg bsr, kepingin, permintaan, permohonan@
@desire s.t.@|@ingin@
@desire v. strongly@|@ngebet@
@desire/hope/aspiration/ideal/ambition; ber-2@|@cita@
@desire/long for@|@cita@
@desire; propensity; - hati@|@hasrat@
@desirous@|@berhasrat bsr@
@desist from@|@berhenti@
@desit; sound of hissing or sizzling; ber-@|@desis@
@desolate@|@dibiarkan rusak & tak terpelihara, didiami, menyedihkan, merana, sunyi, tandus, tdk-, terlantar, terpencil@
@despair@|@putus asa@
@despatch@|@=dispatch, =dispatch@
@desperado@|@penjahat nekat@
@desperate@|@bahaya, ber-, gawat, nekat, putus asa, tdk menghiraukan hukum@
@desperate; despair@|@putus@
@despicable@|@hina, keji, patut dibenci@
@despise@|@memandang rendah/hina/keji, membenci@
@despite@|@meskipun, walaupun@
@despoil@|@merampas, merampok@
@despond@|@murung, putus asa@
@despondency@|@dgn putus asa, kemurungan, kepuutusasaan@
@despondent@|@murung, putus aas@
@despot@|@kepala negara yg sewenang2@
@despotic@|@bengis, kejam, lalim, sewenang2@
@despotism@|@pemerintahan yg kejam/sewenang2@
@dessert@|@pencuci mulut (buah)@
@destination@|@tuju@
@destination; aim@|@arah@
@destined@|@ditakdirkan@
@destiny@|@nasib, suratan takdir@
@destitute@|@miskin, papa@
@destitute (slang); Gue lagi -nih@|@bokek@
@destitute of@|@kekurangan, tanpa, tdk mempunyai@
@destroy@|@lumat, punah@
@destroyed; annihilated; exterminated@|@tumpas@
@destructible@|@mudah/dpt dihancurkan/dibinasakan@
@desultory@|@acak2an, tanpa sistem, tdk ada ujung pangkal, tdk karuan, tujuan/aturan@
@detach@|@memisahkan, menceraikan@
@detached@|@berdiri sendiri, tdk memihak@
@detachment@|@hal memisahkan, pasukan yg ber-, pendirian yg teguh, tindak sendiri@
@detail;(per) -an@|@rinci@
@detailed; continue (terus); me-kan@|@lanjut@
@details@|@rinci@
@details; complications@|@seluk@
@details; insignificant addition@|@embel^2@
@detain@|@menahan, menghambat, menyuruh menunggu@
@detect@|@tahu@
@detention@|@hambatan, penahanan@
@deter@|@mencegah, menghalang2i, menghalangi@
@deteriorate@|@menurunkan nilainya, merosotkan@
@determinate@|@pasti, terbatas, tetap@
@determination@|@kepastian, ketetapan hati, tekad, tetap@
@determine@|@memastikan, memutuskan, menentukan, menyelesaikan@
@determine/ascertain; ke-an@|@pasti@
@determine/define; -an@|@patok@
@determine/establish; Dia orang yg sangat -. He is the decision maker@|@tentu@
@determine; declare; maintain@|@tetap@
@determined@|@bertekad, tabah@
@determined to do s.t. despite the consequences; strong will@|@tekad@
@determined to do s.t. no matter what@|@nekat@
@deterministik@|@serba dpt dipastikan lebih dulu@
@deterrent@|@lihat deter, penghalang, rintangan@
@detest@|@membenci@
@detestable@|@menimbulkan kebencian, menjijikkan@
@dethrone@|@menurunkan dr tahta@
@detonate@|@meledak(kan)@
@detonation@|@peledakan@
@detour@|@pemutaran (jln), penyimpangan@
@detract from@|@memperkecil, mengurangi@
@detractor@|@org yg mengata2i org lain utk memperburuk org tsb@
@detriment@|@hal merugikan, kerusakan@
@detrimental@|@merugikan, merusak@
@Deuteronomy@|@Ulangan@
@devastate@|@membinasakan, menghancurkan@
@developing country@|@negara@
@development@|@kembang@
@development; blooming; expansion; peng-@|@kembang@
@deviate@|@menyimpang, seleweng@
@deviation/irregularity/corruption@|@seleweng@
@device@|@akal, alat, lambang, muslihat, rencana, tanda@
@devil@|@iblis, setan, setan@
@devilish@|@bengis, jahat, kejam, spt setan@
@devious@|@berbelit2, berkelok2, tdk terang2an@
@devise@|@mendptkan, merancang, merencanakan@
@devitalize@|@melemahkan, menghilangkan tenaga@
@devoid@|@hampa, kosong@
@devolve@|@beralih kpd, meneruskan, menyerahkan (tugas), mewkli@
@devote@|@membaktikan, mencurahkan, menghabiskan, menumpukan@
@devoted@|@sangat sayang/setia/taat@
@devotee@|@pemuja@
@devotee of@|@minat@
@devotion@|@bakti, kasih sayang yg mendlm, kesetiaan, ketaatan, pemuja, setia, taat@
@devotion; service; faith@|@bakti@
@devour@|@makan dgn lahap, membinasakan@
@devout@|@alim, jujur, saleh, sungguh2, taat agama@
@dew@|@embun@
@dew; condensed vapour; haze@|@embun@
@dexterity@|@kecekatan, ketangkasan, ketrampilan@
@dexterous@|@cekatan, tangkas, trampil@
@dhow@|@kapal bertiang layar tunggal (Arab)@
@di-@|@dilarang, larang, pecat, serempet, todong@
@dia…he@|@beliau@
@diabolic@|@sangat jahat, spt iblis@
@diabolical@|@sangat jahat, spt iblis@
@diagnosa deferensial@|@diagnosa yg membedakan 2 penyakit yg mirip@
@diagonal; crossbeam@|@alang@
@dial@|@memu-, permukaan jam/timbangan yg ada pengukurnya, tar nomor telepon@
@dialect@|@logat@
@dialogue@|@dialog@
@diametrically@|@langsung, sama sekali, tepat@
@diamond@|@bentuk belah ketupat, berlian, intan, wajik@
@diaphanous@|@tembus chy, tipis sekali@
@diaphragm@|@lap antara dada & perut, lapisan tipis (di speaker)@
@diarrhoea@|@berak2@
@diatribe@|@caci-maki, serangan kata2@
@dibubuhi perangko@|@tempel@
@dice@|@berjudi, dadu, mengiris kecil2 spt dadu@
@dicility@|@hal menurut, kejinakan@
@dictatorial@|@berkenaan dgn/spt diktator@
@diction@|@gaya bicara/menulis, pilihan/penggunaan kata2@
@dictionary@|@kamus@
@didactic@|@bersifat spt guru, mengandung pengajaran@
@die@|@cetakan uang/medali/dll dr logam@
