@English@|@Haitian creole@
@cradle@|@bèso@
@craft@|@batiman@
@crafty@|@abil, mètdam, rize@
@cram@|@bachote, noure@
@cramps@|@mal 3@
@crank shaft@|@vilbreken an@
@crash@|@fraka, kraze, pile@
@crate@|@gro bwat@
@craving@|@anvi a@
@crawl@|@ranpe@
@crayfish@|@kribich@
@crazy@|@anraje, fou, tèt li vire, varye 2@
@crazy (woman)@|@fòl@
@crazy ant@|@foumi fou@
@crazy people@|@moun fou@
@crazy talk@|@langaj@
@creak@|@krake@
@cream@|@krèm@
@creased@|@pliye@
@create@|@kreye@
@creature@|@kretyen, kreyati@
@credit@|@kredi, kredite@
@credit card@|@kat kredi@
@creed@|@kredo, kwayans la@
@creek@|@lans la, rivyè@
@creep@|@glise, ranpe@
@Creole@|@kreyòl@
@crew@|@ekip@
@crib@|@bèso@
@crime@|@fòfè a, krim, vis la 2@
@cringe from fear or shyness@|@akokiye, rakokiye@
@cripple@|@enfim@
@crippled (hand)@|@pòk@
@crisis@|@ka a 2, kriz la@
@crisp@|@sèk@
@crochet@|@kroche a@
@crockery@|@vesèl la@
@crook@|@chat de pye, chat dis dwèt, visye, vòlè a, vòlò a@
@crooked@|@kochi, krochi, visye 2@
@crop@|@rekòlt@
@cross@|@kwa, kwaze, travèse@
@cross eyed@|@je veron, je vironn@
@crossroads@|@kalfou@
@crosswise@|@an travè, antravè@
@crotch@|@fouk la@
@crouch@|@akoukouman, koukouman, rakokiye 2@
@crouched@|@akoukouman, koukouman@
@crow@|@kònèy@
@crowd@|@foul, foul la, popilas la@
@crowd in@|@anvayi@
@crowding@|@ankonbreman an@
@crowing@|@chante a@
@crucify@|@krisifye@
@crude@|@grosye, kri@
@cruel@|@kriyèl, kyiyèl, mechan, mechanste a, michan@
@cruelty@|@mechanste a 2@
@cruise@|@kwazyè@
@crumb@|@krout, myèt@
@crumble@|@anfale, anfondre@
@crunch@|@krip krip, krip krip@
@crust@|@krout@
@cry@|@hèl, kriye, rèl@
@cry baby@|@pòpòt la@
@cry for help@|@anmre, anmwe@
@cry out@|@kriye, rele@
@cry-baby@|@rechiya@
@Cuba@|@Kiba@
@cuckoo@|@varye 2@
@cult@|@kilt@
@culture@|@kilti, koutcha@
@cumbersome@|@anbarasan@
@cunning@|@malen, rèd, rizèz@
@cup@|@gode, tas la@
@cupcake@|@ponmkèt la@
@cupping glass for extracting poisens from body@|@vantouz la@
@curd@|@lètkaye@
@curdled milk@|@lèt kaye@
@cure@|@geri, gerizon an, remèd, swanye, tretman@
@curiosity@|@kiryozite@
@curious@|@kirye@
@curl@|@pli@
@currency@|@lajan@
@current@|@kouran, kouran elektrik@
@current with@|@okouran@
@curse@|@joure, malediksyon, modi, va a@
@curtain@|@rido@
@curve@|@koub@
@curved@|@kochi@
@cushion@|@kousen@
@custody@|@suveyans@
@custom@|@abitid, abitid la, labitid la, prensip@
@cut@|@koupe@
@cut capers@|@taye banda@
@cut grass under s o s feet@|@rache zèb anba pye@
@cut up@|@tchake@
@cute@|@bèl@
@cutlass@|@frenn nan 2@
@cycle (bicycle)@|@bisiklèt@
@dabble@|@babote@
@daddy@|@papa@
@daft@|@bèt, idyo@
@dagger@|@frenn nan 2, ponya a@
@daily@|@toulejou@
@dally@|@lanbinen@
@dam@|@baraj@
@damage@|@domaj, domaje@
@damn@|@modi@
@damn it@|@fout 2@
@damned@|@pran nan twa wa@
@damp@|@mouye, mwat@
@dance@|@dans, danse@
@dandruff@|@kap la@
@danger@|@danje@
@dare@|@bay gabèl, defye, pèmèt@
@daring@|@lodas, odas la@
@dark@|@fonse, nwa@
@darkness@|@tenèb la@
@darling@|@cheri, toutou, toutou a, toutous la@
@darn@|@reprize@
@dart@|@flèch, javlo, plonje@
@dash@|@detale, kouri, priz@
@dash (line)@|@tirè a@
@dash in@|@kouri antre@
@data@|@done, eleman@
@date@|@dat@
@daughter@|@pitit, pitit fi, tifi@
@daunt@|@dekouraje, entimide@
@dawdle@|@flannen, lanbinen, ranse@
@dawn@|@avanjou, devanjou@
@day@|@jou, jounen, lajounen@
@day after tomorrow@|@apre demen, apredemen@
@daybreak@|@joukase@
@daydream@|@rèv je klè@
@daylight@|@lajounen@
@daytime@|@lajounen@
@dazzle@|@avegle (pete) je, eblouyi@
@de facto@|@defakto@
@dead@|@mouri@
@dead in marbles@|@mò@
@dead person@|@mò a@
@deaden@|@amòti, mouri@
@deadlock@|@enpas@
@deaf@|@soud@
@deal@|@aji, bay 3, distribye, fè fas 2@
@deal with@|@abòde, fas@
@dealer@|@pratik la@
@dealing@|@fè fas 2@
@dear@|@shè, sheri@
@dear (Dear sir)@|@chè@
@dear sister@|@chè se@
@dearth@|@dizèt, famin, grangou@
@death@|@ka a 2, lanmò, mò a@
@death spell@|@mò@
@debase@|@abese, avili@
@debased@|@rabesan@
@debate@|@debat, diskite@
@debauch@|@debòch@
@debt@|@dèt@
@decade on the rosary@|@dizèn nan@
@decay@|@dekonpoze, pouri@
@deceitful@|@foub la@
@deceive@|@bay koutba, desevwa, vire 2@
@deceive w subterfuge@|@reze@
@deceived@|@pran tèt, te pran tèt, twonpe tèt nou@
@December@|@desanm@
@decentralize@|@desantralize@
@deception@|@desepsyon@
@decide@|@deside@
@decision@|@desizyon@
@deck@|@platfòm, pon@
@declare@|@deklare@
@decline@|@bese, refize@
@decorate@|@dekore@
@decoy@|@payas@
@decrease@|@diminye, redui, redwi@
@decree@|@dekrè@
@deed@|@ajisman an, ak la 2, aksyon, akt la 2, zak la@
@deep@|@fon, gwo 2, pwofon@
@deep (color)@|@fonse@
@deep within@|@lakay 2@
@deeper@|@pwofon@
@deer@|@sèf@
@defame@|@afiche 2@
@default@|@defo@
@defeat@|@bat, venk@
@defect@|@defo, defo fabrik@
@defend@|@defann@
@defendant@|@akize a@
@defense@|@defans@
@defer@|@ranvwaye@
@definite@|@definitif@
@definitely@|@nèt@
@deflect@|@pare@
@deft@|@ajil@
@defy@|@defye, pini@
@degrading situation@|@voksal 2@
@degree@|@degre, diplòm, grad@
@delay@|@retade@
@delegate@|@delege@
@delete@|@efase@
@deliberate@|@debat, esprè, reflechi@
@delicate@|@delika, frajil@
@delicious@|@bon gou, kalite 2@
@delight@|@plezi@
@delighted@|@anchante@
@delirious@|@delala, fou@
@deliver@|@delivre, depoze@
@delivery@|@akouchman an@
@delve@|@fouye@
@demand@|@demann, mande@
@demean@|@rabese@
@democracy@|@demokrasi@
@democratic@|@demokratik@
@demolish@|@demoli@
@demon@|@satan an@
@denotes action with the following noun@|@kout 2@
@denounce@|@ba 3, ban 3, bay 4@
@denounced@|@denonse@
@dense@|@epè@
@denture@|@fo dan@
@deny@|@renye@
@depart@|@vole@
@department@|@depatman@
@depend@|@depann@
@depend upon@|@konte sou@
@depending on@|@selon@
@depict@|@dekri, demontre@
@deport@|@depòte@
@depose@|@dechoke@
@deposit@|@depo, depoze@
@depot@|@depo@
@deprave@|@detounen@
@depress@|@peze@
@depressed@|@afese@
@depth@|@fon an, fondè a, profondè, profondè a, pwofondè@
@descend@|@desann@
@descent@|@la desant, ladesant@
@describe@|@dekri@
@deserve@|@merite@
@design@|@desen, desine@
@desire@|@ansi, anvi, anvi a, vle@
@desk@|@biwo@
@despair@|@dezespere, dezespwa@
@desperate@|@atoufè, dezespere@
@despite@|@malgre@
@dessert@|@desè@
@destiny@|@avni, destine, lavni@
@destroy@|@abime, detrui, fin, fini, kraze@
@destroy (with rage)@|@detwi@
@detach@|@detache@
@detachable collar@|@fokòl la, fokole a@
@detail@|@detay, detaye@
@detain@|@arete, kenbe@
@detect@|@detekte, rekonèt@
@deter@|@anpeche@
@deteriorate@|@abime@
@determination@|@volonte@
@determine@|@chèche konnen@
@determined@|@antete, detèmine@
@determiner used after the nasal vowels an@|@an 1@
@detest@|@deteste, rayi@
@detour@|@detou@
@devastate@|@devaste@
@develop@|@develope@
@development@|@developman@
@device@|@aparèy la, enstriman@
@devil@|@demon, diab, dyab, lougarou@
@Devil@|@Ledyab@
@devout@|@devwe, relijye@
@dew@|@larouze@
@dezire@|@dezi@
@diagreeable@|@dezagreyab@
@dialogue@|@koze@
@diarrhea@|@brikouri, tchouloulout la, tchoulouou a, vant kouri, vant mennen, vant pase, vavit la@
@diary@|@jounal pèsonèl@
@dictatorial@|@lwijanboje@
@dictionary@|@diksyonè@
@did@|@gen 3@
@did not@|@pa fè@
@did not   yet@|@potko@
@did not have any effect@|@pa fe efe@
@did not want to work@|@pa vle travay@
@did they@|@sa yo@
@didn't you@|@nèspa@
@die@|@mouri@
@diesel@|@dizèl@
@differ@|@pa dakò@
@different@|@diferan@
@difficult@|@difisil, rèd 2@
@difficulties@|@anbarasman an@
@difficulty@|@angajman an, antrav la 2, difikilte, traka@
@dig@|@fouye@
@dig with a pick@|@kout pikwa@
@digest@|@dijere, ekstrè@
@digger@|@fouyè a@
@digging@|@fouy la@
@dignity@|@diyite@
@digress@|@divage@
@diligent@|@debouya@
@dilute@|@delye@
@dim@|@pal@
@dinner@|@dine@
@dip@|@plonje@
@dipper@|@louch la@
@direct@|@dirèk, dirije, drèt, dwat, dwat@
@direction@|@direksyon@
@director@|@direktè@
@dirt@|@kras, pousyè, salte@
@dirty@|@move, sal@
@dirty old man@|@granmoun kannay@
@disable@|@andikape, deranje, enfim@
@disagree@|@pa dakò@
@disagreeable@|@tchak@
@disagreement@|@diskisyon, kont 2@
@disappear@|@disparèt, fonn@
@disappoint@|@desevwa@
@disapproval@|@any@
@disapprove@|@dezaprouve@
@disarray@|@tètchaje@
@disaster@|@dezas@
@disburse@|@debouse@
@discard@|@jete@
@discern@|@dekouvri, disène@
@discharge@|@vide@
@disciple@|@disip@
@discipline@|@disiplin@
@discontent@|@mekontantman@
@discontinue@|@sispann@
@discord@|@dezakò, zizani@
@discourage@|@dekouraje@
@discourse@|@diskou@
@discourteo@|@maleve@
@discover@|@dekouvri, jwenn@
@discredit@|@diskredite@
@discrete@|@disrè@
@discretion@|@diskresyon@
@discuss@|@diskite@
@discussion@|@altèkasyon an, diskisyon@
@disdain@|@deden@
@disease@|@maladi@
@disembowel@|@netwaye 3@
@disengage@|@degaje@
@disgrace@|@dezonè, ront, wont@
@disguise@|@digizmann@
@disgust@|@degou@
@disgusting@|@rebitan@
@dish@|@asyèt, plat@
@dishonest@|@odasye, vakabon2, visye 2, visyèz@
@dismiss@|@lage, ranvwaye@
@dismissal@|@revokasyon an@
@disobdient@|@redong, redonn, rondong@
@disobedient@|@reditil@
@disorder@|@dezòd@
@disown@|@deposede@
@dispensary@|@dispansè@
@displacement of the sternum causes vomit@|@biskèt tonbe@
@display@|@parèt 2, tann 2@
@display window@|@vitrin nan@
@displayed@|@parèt 2@
@displeased@|@mekontan@
@disposition@|@dispozisyon, dispozisyon an, jan@
@dispute@|@kont la 2@
@disqualify@|@diskalifye@
@disregard that@|@pase sou sa@
@dissatisfaction@|@mekontantman, mekontantnan an@
@dissatisfied@|@mekontan@
@dissension@|@zizani@
@dissipate@|@gaye@
@dissoulute@|@lan vis@
@distance@|@distans@
@distinct@|@disten, klè@
@distinguish@|@distenge@
@distort@|@defòme@
@distract@|@distrè@
@distress@|@fe lapenn, lapenn@
@distribute@|@ba 3, ban 3, bay 3, distribye@
@district@|@deranje@
@distrustful@|@demefyan, mefyan@
@disturbed@|@toumante 2@
@ditch@|@ravin, rigòl la, twou@
@ditchdigger@|@fouyè a@
@divan@|@divan@
@dive@|@plonje@
@divel bar@|@louchèt la@
@diver@|@dayiva@
@diverse@|@divès@
@divide@|@fann@
@divide into lots@|@lote@
@division in arithmetic@|@divizyon an@
@divorce@|@divòs@
@dizziness@|@etoudisman an, toudisman an, vètij la@
@dizzy@|@gen vètij, tèt li vire@
@do@|@fabrike@
@do as you please@|@se lekòl lage@
@do away with@|@anfèje@
@do it@|@mete kran@
@do not@|@pa 3, pa fè, piga, pinga@
@do not be shy@|@pa fe jèn, pa fè jèn@
@do not bother@|@pa jennen w@
@do not bother about@|@pa okipe@
@do not bother with@|@pa okipe@
@do not forget@|@pa bliye@
@do not knock on the door@|@pa frape lan pòt la@
@do not make@|@pa gen 4@
@do not mix your drinks@|@pa fe melanj@
@do not move@|@pa fè mowman@
@do not play favorites@|@pa fe patipri, pa fè patipri@
@do not take sides@|@pa fe patipri, pa fè patipri@
@do not want to come@|@pa vle vine@
@do not want to have@|@pa vle gen@
@Do not worry.@|@pa bat kò w@
@do one@|@fon 2@
@do your thing@|@boule boula ou@
@dock@|@waf la@
@document@|@dokiman@
@does not@|@pa 3@
@does not like@|@pa vle wè@
@does not mean@|@pa di, pa vle di@
@does not obey@|@pa vle obeyi@
@does not will not do not or did not have or make@|@pa gen@
@dog@|@chen, chyen an@
@doily@|@napon, napron an@
@doll@|@pope a, poupe@
@dollar@|@dola@
@domain@|@domèn@
@domestic@|@lavaltay, peyi, restavèk, valtay@
@Dominican Republic@|@Dominikani@
@done@|@fèt 2@
@donkey@|@bourik@
@dont bother me@|@pa anmède m@
@dont get excited@|@mete dlo nan diven w@
@don't mention it@|@pa gen dekwa@
@dont push me@|@ban m van pou m al Lagonav@
@doom@|@fayit@
@door@|@pòt la@
@dormant@|@angoudi@
@dormitory@|@dòtwa@
@dot@|@pwen, tach@
@double@|@doub, double@
@doubt@|@dout, doutans la@
@dough@|@pat farin@
@dove@|@pijon@
@dove plum@|@rezen maron@
@down@|@afese, anba, desann@
@down there@|@anba-a@
@down with (  )!@|@aba@
@downpour@|@tanpèt@
@downstairs@|@anba@
@downtown@|@lavil@
@draft@|@kourandè@
@drag@|@trennen@
@drain@|@egou, rigòl la, vide@
@drastic@|@rèd 3@
@draw@|@rale@
@draw near@|@aproche, proche, pròche, pwoche@
@drawback@|@dezavantaj@
@drawing@|@tiraj la@
@drawn in@|@redi@
@dread@|@freyè a@
@dream@|@rèv@
@dreary@|@sonm, tris@
@dregs@|@vidanj la@
@dress@|@abiye, rad, ròb@
@dressed@|@abyè@
@dresser@|@veselye a@
@dried meat@|@taso a@
@drift@|@flote@
@drifting@|@a la driv, aladriv@
@drill@|@antrènman an, dril, fè egzèsis, mèch la@
@drill bit@|@mèch la@
@drink@|@bwè, bweson@
@drinking cup@|@tenbal la@
@drip@|@degoute@
@drive@|@fè a, kondui, promenad@
@driver@|@chofè, kondiktè@
@drizzle@|@farinen@
@drop@|@gout, lage@
@drought@|@chechrès, sechrès@
@drug@|@dròg@
@druggist@|@apotikè a@
@drum@|@droum@
@drummer@|@tanbourinè a, tanbouye a@
@drumstick@|@agida a@
@drunk@|@anbrenzeng, sou 3, sou brenzeng@
@drunkard@|@bwasonyè@
@dry@|@sèk@
@dry spell@|@chechrès, sechrès@
@dry wood@|@bwa chèch@
@duck@|@kanna@
@due to@|@poutèt@
@due to the fact@|@lefètke@
@dugout@|@bwa fouye, bwa ron@
@dull@|@mat@
@dumb@|@enbesil, gaga, sòt@
@dumbell@|@mayoyo a@
@dumbfounded@|@yo retè dyòl ouvri@
@dummy@|@mànken an, sòt@
@dump@|@jete, pil fatra@
@dune@|@pilsab@
@dung@|@fimye@
@durable@|@di@
@during@|@pandan@
@during the last two years@|@pandan twa dènye ane-yo@
@dusk@|@anjelis la, labrin, lanjelis la@
@dust@|@pousyè@
@Dutch@|@olande, olandè@
@Dutchman@|@olande, olandè@
@duty@|@dwa, sèvis, taks@
@dwarf@|@tinen@
@dwelling@|@kay@
@dyab@|@satan an@
@dye@|@kolore@
@dying@|@ap mouri@
@each@|@chak@
@each of them@|@yo chak@
@each other@|@lòt 2, youn  lòt@
@each other.@|@Youn...lòt@
@eager@|@apòy, enterese@
@eager for@|@aplim@
@eagerness@|@anpresman@
@eagle@|@èg, malfini@
@ear@|@zòrèy@
@ear of corn@|@epi mayi a, zepi a@
@early@|@annavans, bonè@
@earn@|@fè lajan, genyen 2, genyen 2, posede@
@earn (interest)@|@fè pitit 2@
@earnest@|@bònfwa@
@earnings@|@apwentman an, gen an@
@earring@|@zanno@
@earth@|@latè, latè a, tè@
@earthen@|@an tè, antè@
@earthen pot@|@pòt tè@
@earthquake@|@tranbleman tè@
@earthworm@|@vètè, vètè a@
@ease@|@lèz@
@easier@|@fasil@
@easily@|@alèz, ezeman, fasil@
@easily moved@|@evapore, vapore 2@
@east@|@lès@
@East Asia@|@Azi de Lès@
@Easter@|@pak@
@Eastern Europe@|@Ewèp de Lès@
@easy@|@fasil@
@easy and free@|@konsa konsa 3@
@easy going@|@fasil@
@eat@|@manje@
@eat plenty@|@manje vant deboutonnen@
@echo@|@eko@
@economy@|@ekonomi@
@edge@|@bò, bout, kwen@
@Edge@|@rebò@
@edible vegetable must be cooked@|@aki a@
@edit@|@edite@
@edition@|@edisyon an@
@editor@|@editè@
@educate@|@edike@
@educated@|@edike, eklere 2, klere 3@
@educated person@|@moun lespri@
@education@|@ansèyman, edikasyon, edikasyon an, etid la, ledikasyon an@
@educator@|@anseyan@
@eel@|@angi a, zangi, zangi a@
@efface@|@efase@
@effect@|@efè a@
@effective@|@ki bay bon rezilta, reyèl@
@effectively@|@efektivman@
@effort@|@efò, fòs, jefò@
@egg@|@ze@
@egg shell@|@po ze@
@eggplant@|@berejenn@
@eight@|@uit@
@eight pounds@|@ui liv@
@eight times@|@ui fwa@
@eighteen@|@dizuit@
@eighth@|@uityèm@
@eighty@|@katreven@
@either@|@keseswa, kiyès, nenpòt, nenpòt kilès, nonplis, oswa, youn ou lòt@
@either one@|@nenpòt kilès, youn ou lòt@
@ejaculate@|@vini, voye@
@eject@|@chase, pouse soti, retire@
@elaborate@|@elabore, konplike@
@elbow@|@koud@
@elder@|@granmoun@
@elderly woman used as a title@|@lamè@
@elect@|@chwazi, eli@
@election@|@eleksyon@
@electoral@|@elektoral@
@electric bulb@|@anpoul la@
@electric socket@|@priz la@
@electro-chemistry@|@elektwochimi@
@elegant@|@an penpan, anpenpan (adj), chik@
@elegantly dressed@|@anplimdezwa@
@elementary@|@elemantè@
@elephant@|@elefan@
@eleven@|@onz@
@elf@|@moun anbetan@
@eligible@|@elijib@
@eliminate@|@elimine@
@else@|@dòt, lezòt, lòt, osinon@
@elsewhere@|@lòt kote@
@emaciate@|@cheche, seche@
@emaciated@|@mèg@
@embalm@|@anbonmen, bonmen@
@embark@|@anbake@
@embarkment@|@anbakman an@
@embarrass@|@anbarase, jennen 2@
@embarrassed@|@anbarase 2@
@embarrassing@|@anbarasan@
@embarrassment@|@anbara a, jenn@
@embassy@|@anbasad@
@embers@|@tizan@
@embolden@|@bay kouraj@
@embrace@|@bo, kwoke, vlope@
@embroider@|@brode@
@embroil@|@anbouye@
@emergency or hand brake@|@fren a men@
@emit@|@emèt, fè sikile@
@emotion@|@emosyon@
@Emperor@|@lanperè, lanpèrè, lanprè@
@employ@|@djòb@
@employee@|@anplwaye a@
@employment@|@djòb la, dyòb la@
@empower@|@otorize@
@empty@|@vid, vide@
@empty sack@|@sak vid@
@emptying@|@vidanj la@
@en@|@an 1@
@encias@|@jansiv la@
@enclose@|@bouche, fèmen@
@enclosure@|@antiray la, antouray la, lantiray la, lantouray@
@encounter@|@rankontre@
@encourage@|@ankouraje, pyete@
@encouragement@|@ankourajman an@
@end@|@bout, fen@
@end of patience@|@abou, abou@
@end of the world@|@lafendimonn@
@end up@|@abouti 2, chwe, echwe@
@end up with@|@fin, fini@
@endearing term@|@chètout@
@endurance@|@andirans@
@endure@|@dire@
@enemy@|@lenmi@
@energetic@|@frengan@
@energy@|@enèji, fè a@
@engage@|@angaje, anplwaye, foure@
@engage the gears@|@anbreye@
@engagement with the devil@|@anjandreman an@
@engine@|@machin, motè@
@engine fan@|@vantilatè a@
@English@|@angle@
@English language@|@angle, anglè a@
@englishman@|@angle a@
@englishwoman@|@angle a@
@enigma@|@enigm, kont la, magouy@
@enjoy@|@benefisye, jiwi, rejwi@
@enjoy oneself@|@anmize, banboche@
@enlargement@|@agrandisman an@
@enlist also spelled anwole@|@anrole@
@enormous@|@enòm, gro, gro anpil, gwo, menmen, papa, voksal@
@enough@|@ase, ase (adj), kont@
@enrage@|@agase, enève@
@enraged@|@anraje@
@enroll@|@anrole, rekrite@
@enroute@|@an rout, anrout@
@ensemble@|@ansanm nan@
@ensure@|@asire@
@entangle@|@anbouye, makònen, makonnen, melanje, mele@
@entchò@|@bourik etyò@
@enter@|@antre@
@enter in@|@antre nan@
@enterprise@|@antrepriz@
@enterprising@|@antreprenan@
@entertain@|@amize, anmize@
@entertainment@|@amizman, anmizman an@
@entice@|@andjoze, andyoze, enstige, fè lasisiy, tante@
@enticed@|@pran tèt@
@entire@|@anke, antye, tout@
@entire family or tribe@|@nachon, nanchon, nasyon@
@entirely@|@an antye, annantye, antyèman, nèt 2@
@entrails@|@zantray@
@entrance@|@antre 2, pòt la, pòtal la@
@entrust@|@anchaje@
@entyò@|@bourik etyò@
@envelope@|@anvlòp, vlope@
@envious@|@anvye@
@environment@|@anviwènman, anviwònman@
@envy@|@anvi, anvi a@
@epilepsy@|@maladi tonbe@
@epoxy@|@kòlfòt@
@equal@|@egal, egale, pòy la 2@
@equally@|@mèmman, menmman@
@equip@|@ekipe@
@equipment@|@ekipman@
@equivocal relationship@|@akwentans la@
@erase@|@efase@
@eraser@|@efas la@
@erect@|@drese, dwat, monte, vètikal@
@errand@|@lomisyon@
@error@|@erè, fòt, fòt la@
@erupt@|@eklate, pete@
@eruption@|@eklatman@
@escapade (furtive)@|@fòlòp la@
@escape@|@sove@
@escort@|@eskòte, konpayon@
@especial@|@espesyal@
@especially@|@espesaylman, sitou@
@espionage@|@espyonaj@
@esquire@|@avoka@
@essence@|@sans@
@establish@|@etabli, tabli@
@established@|@anrasinen@
@estate@|@latè a@
@esteem@|@estim@
@estimate@|@estime, valye@
@et cetera@|@eksetera, esetera, etc, etsetera@
@etc@|@etsetera@
@etc or products)@|@abònen@
@etc)@|@abòne, fri sèk, soti ( ) rive@
@etc.@|@eksetera, esetera, etc, ponpe 3@
@etc. also spelled kwobot@|@kròbòt@
@eternal@|@etènel, nètale@
@eternally@|@vitametènam@
@evacuate (body worms)@|@jete 2@
@evade@|@evade, sove@
@evaluation@|@evalyasyon@
@evangel@|@levanjil@
@evangelize@|@preche@
@evaporate@|@vante 2@
@even@|@ata, egal, jis, jouk, menm, menm 2@
@even if@|@alòmenm, menm si, menmsi@
@even though@|@ak tout, aktout, atout@
@even when@|@alòmenm@
@even with@|@ra 2@
@even worse@|@pi grav@
@even you@|@ata oumenm, jouk ou tou@
@evening@|@aswè, swa, sware@
@event@|@evenman@
@eventho@|@tou 2@
@ever@|@jamè, janm, janmen, toutan@
@every@|@chak, tout@
@every Haitian@|@tout ayisyen@
@every minute@|@chak minit@
@every morning@|@le maten, tou lè maten@
@everybody@|@tout moun, toutmoun@
@everything@|@tout bagay, toutbagay@
@everything included@|@fèt e founi, fètefouni@
@everywhere@|@patou, toupatou@
@evict@|@chase@
@evidence@|@prèv, temwayaj@
@evident@|@aklè, evidan@
@evidently@|@aklè@
@evil@|@lemal, mal, mechan, michan, move@
@evil deed@|@fòfè a@
@evil eye@|@move lèy@
@evil spell@|@djòk la, dyòk la@
@evil spirit@|@mò, move zè, movezè@
@evil ways@|@adipopo a 3, adjipopo a 3, azipopo a 3, djipopo a 3@
@evolution@|@evolisyon@
@ex@|@ansyen@
@exacerbating@|@tiyatwa, touyatwa@
@exact@|@egzak, menm@
@exactly@|@tapan@
@exaggerate@|@egzajere@
@exaggerated@|@abizif@
@examine@|@egzamine, kontrole@
@examine a house@|@vizite you kay@
@examine thoroly@|@fouye 2@
@example@|@egzanp@
@exceed@|@depase, eksede@
@exceedingly@|@a mò, amò@
@excellent@|@fò pa plis, fòpaplis@
@except@|@eksepte, sòf@
@exception@|@eksepsyon@
@exceptional@|@eksepsyonèl@
@excess@|@eksè a@
@excessively curious@|@antchouprèt, antchoutchout, antoupwèt, antyoupwèt, antyoutyout, fouyapòt, friyapòt@
@exchange@|@echanj, twòk@
@excite@|@eksite@
@excited@|@an demon, andenmon, antchouprèt, antchoutchout, antoupwèt, antyoupwèt, antyoutyout, evapore, vapore 2@
@excitement@|@ajitasyon an@
@exclamation denoting joy@|@ago@
@exclamation denoting suddenness@|@voup@
@exclamation meaning scram@|@Ale ou vouzan, vouzan@
@exclamation meaning what a pity@|@podyab, pòv dyab@
@exclamation meaning what is the use@|@a kwa bon, akwabon@
@exclamation of disgust@|@any@
@exclamation of surprise@|@komabo, koumabo@
@exclamation showing admiration@|@ah@
@exclude@|@eskli, retire@
@excrement@|@tata a@
@excuse my french@|@orespe, orespè@
@execute@|@akonpli, egzekite@
@exemplary@|@egzanplè@
@exempt@|@egzan@
@exercise@|@egzèsis@
@exert@|@demontre, fè egzèsis, fose@
@exert oneself@|@boule 2@
@exhale@|@egzale, rann souf@
@exhause (auto)@|@echapman an@
@exhaust@|@mòflè@
@exist@|@egziste@
@expande@|@elaji@
@expect@|@alatant, tann, tann@
@expectancy@|@esperans la@
@expectation@|@esperans la@
@expected@|@atann@
@expecting@|@ansent, atann, gwòs@
@expel@|@chase, ranvwaye@
@expense@|@depans, frè a 2@
@expensive@|@chè, tet nèg@
@expensive suit@|@gro po@
@experience@|@eksperyans@
@experienced@|@eklere 2, klere 2@
@expert@|@ekspè@
@expire@|@fin, fini@
@explains@|@fè konnen 3@
@explanation@|@eksplikasyon@
@explicit@|@ekslisit, klè@
@explode@|@eklate, eksploze, pete@
@explore@|@chèche, eksplore@
@explosion@|@eklatman, eksplozyon@
@export@|@ekspòtasyon, ekspòte@
@expose@|@ekspoze@
@exposed@|@denonse@
@exposition@|@ekspozisyon@
@express@|@bay 4, eksprime@
@expressly@|@toutespre@
@extend your hand@|@pare men ou@
@extensive@|@gro, gwo@
@extent@|@limit@
@extention@|@estansyon@
@exterior@|@deyò, eksteryè@
@exterminate@|@fin 2, fini 2, genyen@
@extinguish@|@tchwe, tìye, touye@
@extort@|@peze@
@extra@|@ankò@
@extract@|@ekstrè, esans, rale@
@extraordinary@|@ante, ekstraòdinè, estraòdinè, estrawòdinè, estròdinè@
@extreme@|@akstrèm@
@extremely@|@onnpepli@
@extremely large@|@kokenn@
@extremely poor@|@pye a tè@
@extricate@|@rache@
@eye@|@je, zye@
@eye glasses@|@vè a 2@
@eyebrow@|@sousi@
@eye-glass frame@|@bwa linèt@
@eyeglasses@|@linèt@
@eyelid@|@po je, poje a, popyè, pòpyè a@
@eyes@|@je@
@eyes that turn inward@|@je vironn@
@fable@|@fab, istwa, listwa@
@face@|@afwonte, djòl la, dyòl la, fas, fè fas 2, figi, gade (anfas), gyòl la@
@face to face@|@fas a fas, fas pou fas, je pou je@
@facile@|@fasil@
@facinate@|@pran nanm@
@facing@|@an fas, anfas, fè fas 2@
@fact@|@fè a, fèt la, verite@
@factory@|@izin nan, lizin@
@faculty@|@anseyan@
@fad@|@kapris@
@fade@|@disparèt, fennen@
@faded clothes@|@blaze@
@faded out person@|@blaze@
@fail@|@al bannann, boule, fay, flay 2, rate@
@failing@|@ansibreka, defo@
@faint@|@pal@
@fair@|@ekitab, klè 2@
@fairwell@|@adje, adjo, adye 2, adyo@
@fairy tale@|@kont la@
@faith@|@afwa, fwa, kapwonnen, konfyans, kwayans la@
@fake@|@djanni, fo, krizokal, valeryann@
@faking@|@valeryann@
@fall@|@otòn nan, vide 2@
@fall down@|@anfale@
@fall into (the habit of)@|@tonbe nan@
@fall throu@|@echwe@
@fall through@|@chwe@
@falls@|@tonbe@
@false@|@fo, manti, pa vre@
@false name@|@fo non@
@false weight@|@fo pèz@
@faltering@|@an bès, anbès@
@fame@|@renome@
@family@|@fanmi@
@famine@|@dizèt, famin, grangou@
@famous@|@enpòtan, gran@
@fan@|@amatè a, anmatè a, souflè, vantilatè@
@fan of a celebrity@|@fanatik@
