@English@|@Haitian creole@
@abroad@|@aletranje, lòtbò dlo@
@abrupt@|@a pik, apik, brid sou kou, bridsoukou@
@abscess@|@absè, abse a, apse a@
@absence@|@absans@
@absent@|@absan, absan, apsan, apsan@
@absent from work@|@òf@
@absent minded@|@absan, apsan@
@absentmindedly@|@lwen 2@
@absinthe (a plant); type of beverage@|@absent la, labsent la, lapsent la@
@absolute@|@absoli@
@absolutely@|@absoliman, apsoliman, nèt 2@
@absolve@|@absoud@
@absorb@|@absòbe@
@abstain@|@abstrenn@
@abstract@|@abstrè@
@abundance@|@abondans la, abondans la, bondans la, bondans la, labondans la, labondans la@
@abundant@|@abondan@
@abuse@|@abi a, abi a@
@abusive@|@abizif@
@abusive (person)@|@abizan@
@abyss@|@abim nan, labim nan@
@acacia tree@|@akasya@
@accelerate@|@akselere@
@accelerate the rhythm@|@bay vinèg@
@accelerator@|@akseleratè a@
@acceptable@|@akseptab@
@accident@|@aksidan an@
@accomplish@|@akonpli@
@accomplishment@|@akonplisman@
@accord@|@akò a, dizon@
@according to@|@selon@
@according to his wish@|@selon voulwa l@
@accordion@|@akòdeyon an@
@account@|@istwa, kont la 2, listwa@
@accusation@|@akizasyon@
@accuser@|@akizatè@
@accustom@|@abitye@
@acertain@|@konstate@
@ache@|@doulè, mal 3, mal la 2, mo@
@achieve@|@fè@
@achievement@|@akonplisman@
@acknowledge@|@rekonèt@
@acknowlege@|@avwe@
@acne@|@vèble a@
@acquiesce@|@reziyen@
@acrobat@|@akrobat la@
@across@|@an travè, antravè@
@across from@|@an fas, anfas@
@act@|@ajisman an, ak la, ak la 2, aksyon, akt la, akt la 2, men, zak la@
@act as@|@mete 2@
@acted@|@aji@
@acting@|@aji@
@action@|@ajisman an, ak la, aksyon, akt la@
@active@|@aktif, frengan@
@activities@|@frapman an@
@activity@|@ak la, akt la, aktivite a@
@actor@|@aktè a@
@actress@|@aktris la@
@acts@|@aji@
@actual@|@reyèl, vre@
@actual ly@|@vrè@
@actually@|@an reyalite, dizon di, ofèt@
@Adams apple@|@pòmdadan an@
@add inslt to injry@|@se apse met sou klou@
@add your two cents worth@|@foure bouch, mete bouch@
@addition@|@adisyon an@
@additionally@|@an plis, anplis@
@address (of a house)@|@adrès la@
@adhesive tape@|@adezif la@
@adieu@|@adje, adye 2@
@administrator@|@administratè@
@admiration@|@admirasyon an@
@admission@|@antre 2@
@admit@|@aksepte@
@adoration (church term)@|@adorasyon an@
@adroit@|@maton@
@adult@|@granmoun@
@adultery@|@adiltè a@
@adv upstairs@|@anro 3@
@advantage@|@profi, pwofi@
@advantageous@|@pwofitab@
@Adventist@|@advantis la@
@adversity@|@touman@
@advice@|@konèy@
@advisor@|@konseyev@
@affable@|@afab@
@affair@|@afè a, kesyon, lyezon, zafè a@
@affect@|@afekte, touche, trouble@
@affection@|@afeksyon an@
@affirm@|@afime, deklare@
@affirms@|@fè konnen 2@
@affix@|@plake@
