@English@|@Selkup@
@interval@|@kot, kota, kotä, qot@
@intestinal worm@|@qä@
@intestines@|@chat@
@jaw@|@aakaj@
@knee@|@puule, puuli, puulsej@
@knot@|@pakte, paqte, sizi@
@knot on wood@|@tärröngko, twer@
@land@|@karetja-, qarti-@
@language@|@së, šë, sée@
@large@|@ära, ärá, ärà, iir, íir, iirä, ira, irá, ïrà, irí@
@left hand@|@kuädähä, kuedägi, kuedege, kuetege@
@light@|@šäbek, šäpe, šëpeng, seppu@
@lip@|@päptal, peptei, peptéi, peptej, peptelj@
@liver@|@met, mîîda, mït, mïte, mïti, mûida@
@lizard@|@chöš, tüši, tüusi, tyssa, tyssä@
@long@|@perg, përg, përga, pirga, pirgä, pirge, piri, pürg@
@look@|@äda-, ati-, attua-@
@lowland@|@lämdek, lamdukka@
@lung@|@tyymäktä, tyymiekto@
@marsh@|@limpä@
@marten@|@loqa, löqa, närmäk@
@middle@|@tjonds, tjondš@
@midge@|@njeuré, njimaräa, nüurä@
@morning@|@kar, qaret@
@morning dawn@|@kuetj, kuetje, kyetj@
@moss@|@kîch, kîn, kît, qech@
@mother@|@ämä, awa, äwä, ëmi@
@mound@|@mäktä, mäkte, mekte@
@mountain@|@kée, kêê, maka, makka, makka, qee@
@mouth@|@hoi, hoj, huoj, soi, sói, suolj@
@much@|@ära, äral, eräl, irá, irael, ïrakota, iral, irél@
@name@|@nep, nëp, nim@
@nape@|@nog, nög, nöga, nug, nukka@
@narrow@|@tetjekal@
@negative particle@|@a-ša, a-ssa, assa, ê-k, ê-kkä, i-g, î-ki, ii-g@
@negative particle (1)@|@ä, aha, ass@
@nest@|@pet, pite, pïti, pitta, pïtta@
@night@|@üutit, ÿ.d, yyd, ýydä, yyde@
@odor@|@äpta, apte, äpte@
@old woman@|@ë.ma, ema, emá, ima@
@on top@|@enné, i-nnä, inné@
@palm of hand@|@pïngka@
@penis@|@man, mane@
@person@|@kop, kum, kun, kup@
@piece@|@morel-, morena-, morna-, morru, murälta-@
@pine@|@tädäk, tädäk, tädek, tädik, tëdêng, tîteng, titik@
@pine (1)@|@kye chwé, sö, tjö, tjööl-pu, tjye@
@pit@|@qoqqa@
@place@|@pen-, pin-, pön-@
@place across@|@koopt, köpti, kuopta, kuopte, kuupt, qoopt@
@plait@|@paniš, panpa-, par-@
@polar duck@|@ú, uu@
@pole@|@haldš, sald, saldš, saldse, yy@
@pond@|@to, tú, tü@
@present@|@qös, qöse, qosi@
@promontory@|@soq@
@push@|@qati-@
@raven@|@kulä, küläa, kulé, kylä@
@reindeer@|@sjaera@
@revolve@|@purolda-, püroltä, pyrruoldša-@
@ring@|@pörök, püure, pyr@
@river@|@chaqi, kî, kïkä@
@root@|@konch, konddsa, konddse, kondšä@
@run@|@pakta-@
@run away@|@küná-, kuuna-, kúuna-@
@scoop@|@kö, kujak@
@scrape@|@pörkäw-@
@sell@|@märeng-, me-, mertä, mi-, mí-, mïreng-, mirte@
@separate@|@chaka-, pooca-, poochälna-, potälna-, tjaka-@
@separate (1)@|@tjakka-@
@shaft@|@ner, nir, pak, pängka, paq@
@shallow@|@cakka-, chaga-, cheka-, têka-, tëkki-@
@shank@|@paqtur@
@ship@|@paata, pacha@
@shit@|@tüt, tyde-, tyt, tytti@
@shoot@|@narh, närqi, njärg, njärga@
@shore@|@konné, konnéä, moor, moorónd, mor, mör, muur@
@side@|@konä, päläk, paläl, piläng@
@sift@|@têak, tenge-, tuak, tuek@
@sinew@|@cän, chat, chên, chêt, tsän@
@sister-in-law@|@šäl, šeli@
@ski@|@-iš, taat-, taiše, takeš, takeš, tängeš, tangis, tat-@
@skin@|@tuija, tuja, tuuja@
@skin from the feet of deer@|@pónds, poonds, puondš@
@sleeping hole in snow@|@köpte, köpti, kuopt, kuopta, kuopto, kuupt@
