@few@|@veška, vežince, viška@
@field@|@paksja@
@fight@|@sudo-, sudu-, tur'e-, ture-@
@fill@|@topafto-, topavte-, topode-@
@finger@|@sur@
@fir@|@kuz@
@fire@|@päjä, tol@
@fish@|@kal@
@fish scales@|@sav@
@fist@|@mokšenda, mokšna@
@five@|@vätä, vetä, vete@
@flank@|@ird'es, ird'is@
@flat@|@lapš, lapuža@
@flea@|@chichav, chuchav, šichav@
@flee@|@kurok, orgode-, vorgode-@
@flexible@|@nura-, nuram@
@floor@|@säd, sed@
@fly@|@karu, karvo@
@fog@|@suv@
@foot@|@pilgä, pilge@
@force@|@tongo-@
@fork@|@charkode-, charkude-, šäRkede@
@four@|@nilä, nile@
@fox@|@rives@
@fresh@|@sjvezhoj@
@frozen@|@tarde-@
@fruitless@|@äšter, ekšter, jakšter@
@gadfly@|@promo, purom, puromo@
@gall@|@säpä, sepe@
@glitter@|@cildor@
@glowing@|@kumoka, kumuxa@
@go@|@chašto- šanšne, šanchk, šašto-@
@go through@|@pachk, pachkidi-, pachkode-, pachkode-@
@god@|@jumi-ši-pas@
@good@|@para, paro@
@grain@|@judma, juv, juvodo-, sure@
@grave@|@kalma, kalma-, kalmo@
@grouse@|@suvoze, suvozej, suvozi, suzi, suzij@
@gulp@|@sime-, simo-@
@hair@|@cher, kalga, kalgo, pona, šäjär@
@hammer@|@uzer, vizir@
@hand@|@käd, käpä, ked, kedj, kepe@
@handle@|@nedj@
@hang up@|@afto-, aftoma, aftuma@
@hard@|@kalgodo, kalguda, kalgudo, kemä, keme@
@hare@|@numol, numolo@
@hazel-hen@|@pov, povnä, povo@
@hazelnut@|@päšks, päštä, pešche, pešks, pešte@
@he@|@son@
@head@|@pä, pe, pire, ujfte-@
@healthy@|@-an, chiv, chiva@
@heart@|@sede, sedej, sedi@
@heat@|@pisi@
@hedgehog@|@sejel@
@here@|@taka, teke, tete, tija, tijä, titä@
@hew@|@sande-@
@high@|@kuRka@
@hill@|@conga@
@hit@|@kära-, käro-, kera-, kere-@
@hole@|@oj-kst, on-kst, ov-ks@
@hollow hand@|@sech, sich, šit@
@hollow of breast@|@unda, undo@
@hollow of hand@|@komor, komoro@
@hollow plant stalk@|@pochka, pochko@
@hook@|@changga, sangga, sanggo@
@horn@|@sura, suro@
@horse@|@išme, lišmä, lišme@
@hot@|@pisi@
@house@|@kud, kudo@
@how@|@koda@
@hundred@|@sada, sado@
@I@|@mon@
@ice@|@äj, ej, eng, ev, ij, jäj, jej@
@increase@|@kaso-, leza, leze@
@interval@|@jutka, jutko, keska@
@intestinal worm@|@sezal, suzal@
@intestine@|@sula, sulo@
@iron@|@kšne, kšni@
@it@|@son@
@joining@|@jav, kijaks-j.@
@joke@|@nalko-, naLko-@
@kernel@|@tong, tov@
@kiss@|@palaj@
@knee@|@kumanža pulmanžä, polmanža, pulaza, pulza, pumaža@
@knot@|@pakš, pakškä, pakške, sulma, sulma-, sulmo@
@language@|@käl, kel, kelj@
@lap@|@äl, el, elest, jäl@
@lazy@|@nola@
@lean@|@chova, chovine, šuva, šuvanä@
@leech@|@bedli, pälij, pedlej@
@leg@|@jalga, jalgo@
@let loose@|@tuvto-@
@lid@|@kunda, kundo@
@lie@|@udo-@
@life@|@erjamo@
@limb@|@äznä, ezne, jäznä@
@lime bast@|@lenggä, lengge@
@lime-tree@|@päšä, pekše@
@lip@|@torva, turva@
@liquid excrement@|@peskize-, pskize-@
@live@|@läfks, levks@
@liver@|@maksa, makso@
@lobby@|@kav@
@long@|@kuva.ka, kuvaka, kuvalmo, kvalma@
@look@|@näje-, neje-, nii-, vano-@
@loose@|@lafcha, lavšo@
@lowland@|@landa-@
@lung@|@tevilav, tevlal, tevlav@
@make@|@teje-, tije-, tun@
