@English@|@Latin@
@encourage@|@alloquor, erigo, foveo, hortor@
@encouragement@|@allocutio, consolatio@
@end@|@alio, desino, exitus, expletio, extremitas, extremitas, finis, finis, peractio, terminus@
@end a war@|@debello@
@endanger@|@periclitor@
@endangered@|@periclitatus@
@endeavor@|@conor, nisus@
@ending@|@finis@
@endlessnes@|@infinitas infinitio@
@endow@|@ditata, dito@
@endowed@|@ditata, locupletatus@
@endowment@|@talentum@
@ends of the earth's axis@|@cardo duplex@
@endurable@|@patibilis@
@endurance@|@patientia@
@endure@|@consto, duro, maneo, obduro, patior, perfero, permaneo, sustineo, teneo, tolero@
@enduring@|@diutinus, durus@
@enduringly@|@firmiter@
@enemy@|@adversarius, hostis@
@energy@|@navitas@
@enervate@|@castro@
@enfold@|@foveo@
@engage oneself@|@promitto@
@engagement@|@certamen, fides@
@engender@|@genero, progenero@
@engraved@|@sculpta@
@engross@|@absorbeo@
@enigma@|@ænigma, griphus@
@enjoy@|@occupo, usurpo@
@enjoy to the full@|@perfruor@
@enjoying@|@usura@
@enjoyment@|@delectatio, fructus fructus@
@enlarge@|@amplifico, augeo, laxo, relaxo@
@enlargement@|@auctus, autus@
@enlightener@|@illustrator@
@enlist@|@inscribo@
@enmity@|@hostilitas@
@ennervate@|@debilito@
@enough@|@satis@
@enraged@|@bacchatus@
@enrich@|@augeo@
@enriched@|@locupletatus@
@ensnare@|@decipio (deceptus), impedio, impedo@
@ensuing@|@subsequens@
@entagles@|@impeditus@
@entangle@|@impedio@
@enter@|@infero, ingredior ingredi ingressus, intro, invado, penetro@
@enter (in a register)@|@refero@
@enter in an account@|@imputo@
@enter into@|@incedo@
@entering@|@ingressus@
@enterprise@|@expeditio, inceptum@
@enthrall@|@evinco@
@enthusiastic@|@fanaticus@
@entice@|@abducere, lacto, pertraho, prolicio prolixi@
@enticement@|@lactatio, lenocinium@
@entire@|@totus, totus, universa, universus@
@entirely@|@omnino, penitus (adverb)@
@entitle@|@inscribo@
@entrails@|@viscus@
@entrance@|@aditus, foris, ostium, porta@
@entreat@|@obtestor, oro, precor@
@entreat successfully@|@exoro@
@entreating@|@supplex@
@entreaty@|@prex, prex precis@
@entrenchment@|@vallum@
@entrust@|@mandatum, mando@
@enumerate@|@enumero@
@envelope@|@theca@
@enveloped@|@indutus@
@envious@|@invidus@
@envoy@|@legatus, orator@
@envy@|@fascino, invidia@
@epic poem@|@epos@
@epidemic@|@pestis pestis@
@epigram@|@lemma@
@episcopal@|@episcopalis@
@epistle@|@epistola, epistula, litterae (pl.)@
@epoch@|@tempus temporis@
@equal@|@exaequo exequo, par, parilis@
@equality@|@parilitas@
@equally@|@iuxta, iuxtim, pariter@
@equestrian@|@equester (-stris, stre)@
@equilibrium@|@pondera@
@equine@|@equinus@
@equip@|@armo, suborno@
@equipment@|@apparatus, ornamentum, ornatus, paratus@
@equipped@|@instructus (from instruo), paratus@
@equitable@|@iustus, justus@
@equity@|@iustitia, justicia@
@era@|@aetas, tempus temporis@
@-era@|@gibber@
@erase@|@deleo, deleo (deletum )@
@erase writing@|@induco@
@erect@|@condo, extollo, molior@
@-ere-di sum@|@ostendo@
@erode@|@attero@
@err@|@erro, erro, palor (dep.), pecco@
@error@|@erratum, error, error, lapsus, mendum menda, peccamen@
@ertswhile@|@quondam@
@-erum@|@gibber@
@erupt@|@erumpo@
@escape@|@aberro, elabor, evado, evolo, fuga, fugio, pretereo, subterlabor@
@esp carry upstream@|@subveho@
@esp of monks/nuns@|@religio@
@esp. cithara@|@psallo@
@especially@|@imprimis, maxime, praecipue, praecipue, precipue, precipue, presertim praesertim@
@especially a sheep@|@pecus@
@especialy@|@singulariter@
@essay@|@rudimentum@
@essence@|@substantia@
@essential@|@necessarius@
@essentials@|@alimonium@
@establish@|@comprobo, condo, constituo, fundo, statuo@
@establish a siege@|@includo@
@established@|@statutum tempus@
@establishment@|@condita@
@estate@|@fundus, praedium, vicus, villa@
@estate steward@|@servile villicus@
@esteem@|@dilectio, duco, duco, gratia, honor, honor, pendo, suspicio@
@esteem highly@|@diligo@
@estimate@|@æstimare, appretiare, censeo, penso, taxare@
@estimate/prune@|@deputo@
@estrange@|@alieno, distraho (persons)@
@etc@|@adeo (adverb), calamus, illata, veho (in the passive)@
@etc)@|@occasus@
@etc.@|@basilica@
@etc. etc@|@succedo@
@etc.) without + part@|@quin@
@eternal@|@æternus, aeternus eternus, sempiterna@
@eternally@|@intemporaliter@
@eternity@|@infinitas infinitio@
@ether@|@aer@
@Ethiopian@|@Æthiops@
@eunuch@|@eunuchus@
@Euxine Sea@|@Pontus@
@evade@|@abscedere, vitare@
@evaluate@|@censeo@
@evasion@|@tergiversatio@
@even@|@campester, etiam, vel@
@even (to)@|@usque@
@even as@|@velut@
@even foliage@|@scaena, scena@
@even if@|@etiamsi, etsi (acsi), tametsi@
@even now@|@adhuc@
@even once@|@semel@
@evening@|@conticinium, vesper, vesper@
@evening prayer@|@vespera@
@evening star@|@vesper@
@event@|@casus, eventus, res, vicis@
@ever@|@semper, umquam@
@ever since@|@ab, abs@
@ever so much@|@quamvis@
@everlasting@|@aeternus eternus, perennis@
@ever-watchful@|@pervigil@
@every@|@omnis, sulum@
@every day@|@cotidie@
@everyday life@|@medium@
@everything@|@panton@
@everywhere@|@alicubi, passim, undique@
@evidence@|@argumentum, indicium, testimonium@
@evident@|@evidens, liquidus, perspicuus@
@evidently@|@scilicet@
@evil@|@maleficus, malum, malus peior pessimus, nocens, pravus@
@evil deed@|@scelus@
@Evroul@|@Uticensium@
@ewe@|@agna@
@exacerbate@|@exulcero@
@exact@|@exigo@
@exalt@|@attollo, extollo, glorifico@
@examine@|@inquiro, perlustro, perquiro, perscrutor, probatur@
@example@|@exemplar, exemplum, exempoator, proplasma@
@exasperate@|@irrito@
@exasperated@|@turbatus@
@excavate@|@cavo, effodio@
@excavation@|@cavum@
@exceeding@|@validus@
@exceedingly@|@maxime, singulariter, summopere, valde, valde, vehementer@
@exceedingly sharp@|@perscitus@
@excel@|@anticipo, vinco, vinco vici victum@
@excell@|@praesto@
@excellence@|@excellentia, eximietate, virtus@
@excellent@|@eximius, exquisitus, palmarium, praecellens, praeclarus, precipuus@
@except@|@absque (+ ablative), excipio (excepi exceptum ), nisi@
@except; prep. + acc.@|@praeter@
@exceptional@|@eximius@
@excess@|@redundo@
@excessive@|@immodicus@
@excessively@|@nimis, nimis (adv.), nimium (adv.), per (prefix to an adjective)@
@exchange@|@muto, verto@
@excite@|@accendo, attollo, commoveo, concito, irrito, percello, suscito@
@exclaim@|@exclamo@
@exclude@|@excludo@
@exclusively@|@proprie, solum@
@excsuing@|@purgatio@
@excuse@|@excusatio, excuso, indulgeo@
@execrable@|@detestabilis, nefarius@
@execrate@|@devoveo@
@execute@|@fungor, fungi, functus@
@execution@|@carnificina, commissio, effectus@
@executioner@|@carnifex@
@executive officer@|@executor@
@exempt@|@immunis, libero@
@exercise@|@exerceo@
@exert oneself@|@nitor@
@exert oneself in@|@insudo (with ablative)@
@exertion@|@apparatus, conatus, intentio, labor, nisus@
@exhalation@|@respiratio@
@exhaust@|@adficio, debilito@
@exhibit@|@prae se ferre, pre se ferre@
@exhilaration@|@effusio@
@exhort@|@cohortor, hortor@
@exhortation@|@admonitus@
@exigency@|@necessitas@
@exile@|@exsilium, exsul, pello pepulli pulsum@
@exist@|@exsisto, sum fui futurus@
@exit@|@abitus, exitus@
@expand@|@cresco (cretum), dilato@
@expansion@|@laxamentum@
@expansiveness@|@laxitas@
@expect@|@exspecto, specto@
@expectation@|@praestolatio prestolatio@
@expedient@|@tutus@
@expedition@|@expeditione@
@expel@|@expello (expuli expulsum )@
@expend@|@erogo, impendo, prodigo@
@expenditure@|@erogatio@
@expense@|@impensa, sumptus@
@expenses@|@sumptus@
@expensive@|@carus, carus@
@experience@|@experior (experiri, expertus, sentio, usus@
@experienced@|@callidus, exertus, expertus@
@expert@|@gnarus, peritus, professor@
@expertly@|@gnare@
@expire@|@acquiescere, necare@
@explain@|@declaro, demonstro, evolvo, expedio, explico, expono (exposui expositum ), persolvo@
@explanation@|@explicatus, solutio@
@exploit@|@praemium@
@explore@|@rimor@
@expose@|@arguo, expono (exposui expositum ), patefacio@
@exposed@|@expositus, patesco@
@exposition@|@explicatus@
@expound@|@explico, persolvo@
@express@|@effor@
@express oneself@|@eloquor@
@expression of the face@|@vultus@
@expressly@|@nominatim@
@exquisite@|@exquisitus@
@exraneous@|@extraneus@
@extend@|@dilato, laxo, pando, pertingo, profero, prolato, promineo, tendo@
@extended@|@fusus (from fundo)@
@extension@|@prolatio, tractus@
@extensive@|@amplus, latus, rotensus@
@extensively@|@late@
@extensively.@|@protense@
@extent@|@ambitus@
@extent of competence@|@iurisdictio@
@external@|@externus, extrarius@
@externally@|@extrinsecus@
@extoll@|@laudo@
@extort@|@extundo@
@extort by force@|@extorqueo@
@extortion@|@concussio@
@extra@|@supervacuus, susicivus@
@extra esto@|@exesto@
@extract@|@extraho extraxi extractum@
@extraordinarily@|@mirifice@
@extraordinary@|@eximius, eximius, mirus, novus, precipuus@
@extravagance@|@luxuria, luxus@
@extravagant@|@prodigus@
@extreme@|@extremus@
@extremely@|@valde@
@extremely eloquent@|@archidictus@
@extricate@|@evolvo, extrico@
@exudations from some plants@|@lacrima@
@exude@|@lacrimo@
@exult@|@exsulto@
@exultingly@|@ovanter@
@exussum@|@extermino@
@eye@|@oculus@
@f@|@apertio, discessio, fundatio-onis, interfectio-onis, resurrectio, vinea@
@F@|@aperito@
@f.p.p@|@fiendo@
@fable@|@fabula, fabula@
@face@|@facies, facies, visio, vultus@
@facetious@|@ridiculus@
@facing@|@adversus (adj.), adversus (prep. + acc.)@
@fact@|@res@
@factor@|@officina@
@fading@|@pallor@
@fail@|@aegroto, concido, deficio@
@fail in duty@|@delinquo@
@faint-hearted@|@timidus@
@faintly@|@infirme@
@faintly deny@|@subnego@
@faintly gleaming@|@sublustris@
@faintly glimmering@|@sublustris@
@faintly obscene@|@subobscenus@
@fair@|@iustus, mediocris, pulcher pulchra pulchrum@
@fairly@|@iuste@
@fairness@|@iustitia@
@faith@|@fides, fides@
@faithful@|@fidelis@
@faithless@|@malefidus, perfidiosus@
@faithless [ones]@|@infideles@
@faithlessly@|@infideliter@
@faithlessnes@|@infidelitas@
@faithlessness@|@inconstantia, perfidia@
@faling headlong@|@cernuus@
@fall@|@caedo, decido, lapsus, occasus@
@fall back@|@inclino@
@fall back upon@|@redeo@
@fall dead@|@decido, occumbo@
@fall forward@|@prolabor@
@fall in with@|@incido@
@fall into@|@decumbo@
@fall off@|@degenero@
@fall upon@|@invado@
@falling down@|@ruinosus@
@false@|@falsus, reproba@
@falsehood@|@subjectio@
@falsely@|@perperam@
@falso conclusions@|@sophismata@
@fame@|@celebritas, divulgamen, fama, gloria, laus@
@familiar acquaint@|@consuetudo@
@family@|@familia, familia, prosapia@
@family name@|@cognomen@
@famine@|@fames@
@famous@|@celebrer, clarus, illustris, inclutus inclitus, praeclarus@
@fancies@|@deliciae@
@fancy@|@somnium, somnium@
@far@|@longe, procul, recedentia@
@far and wide@|@longe lateque@
@far apart@|@rarus@
@farewell@|@ave@
@farm@|@ager (agri), vicus, villa@
@farmer@|@agricola (masc.)@
@farming@|@agrarius@
@farming taxes@|@redemptio@
@farther@|@ulterius@
@farthest part@|@extremitas@
@fashion@|@effingo, formo@
@fashioner@|@formator@
@fashioning@|@formatura@
@fast@|@celer, ieiunium, velox@
@fasten@|@infigo, necto, obfirmo, pango@
@fasten down@|@defigo@
@fastened@|@aptus@
@fastening@|@nexus@
@faster@|@ocius@
@fastidious@|@fastidiosus@
@fat@|@arvina, crassus, nitidus, pinguis@
@fatal@|@letalis@
@fatal deadly@|@exitiabilis exitialis exitosu@
@fatally@|@letaliter@
@fate@|@eventus, fas, fatum, fortuna@
@fated@|@fatalis@
@fateful@|@abominosus@
@father@|@abbas, abbas abbatis, gigno (genuit), pater, sator@
@father in law@|@socer@
@fatherland@|@patria, patria@
@father's sister@|@amita@
@fatigue@|@fatigo, labor@
@fatness@|@pinguitudo@
@fatty@|@crassus@
@fault@|@crimen, crimen, culpa, culpa, culpa, erratum, lapsus, macula, mendum menda, naevus, peccamen, vitium@
@faulty@|@mendosus@
@favor@|@annuo, antepono (+ dat.), beneficium, gratia, incumbo, venia, venia, ventus@
@favorable@|@complacitus, prolixus, propitius, prosper, volens@
@favorable condition@|@commodum@
@favorable moment@|@occasio@
@favorer@|@fautor@
@favour@|@venia@
@fawning@|@adulatio@
@fear@|@formidilosus, formido, metus, terror, timor, vereor@
@fear of God@|@religio@
@fearful@|@formidolosus, timidus@
@fearlessly@|@audacter, audaciter@
@feasibility@|@facultas@
@feast@|@epulae, epulo, epulum@
@feast on@|@epulor@
@feather@|@penna, penna, pinna, pluma, pluma@
@featherbed@|@pluma@
@feckless@|@improvidus@
@federate@|@foedero@
@feebkeness@|@infirmitas@
@feeble@|@consenesco, fragilis, frigidus, infirmus, tenuis@
@feebly@|@gelide@
@feed@|@nutritor@
@feel@|@contrecto@
@feel pity@|@compatior@
@feeling@|@sensus@
@feeling of shame@|@verecundia@
@feeling sorrowful@|@luctuosa@
@feigned@|@fictus@
@felicity@|@beatitas@
@fellow@|@socius, vir@
@fellowship@|@societas, sodalitas@
@fence@|@sepes@
@fenced@|@cautus@
@ferocious@|@trux@
@ferocity@|@ferocia@
@fertile@|@facundia, fecunda, fertilis, fructuarius, pinguis, uber@
@fertility@|@facunditas, fertilitas, laetitia letitia leticia, ubertas@
@fertilize@|@fecundo@
@festival@|@solemnitas@
@festive@|@festivus, solemnis@
@fetch@|@adducere, arcesso, accerso, deporto@
@fetch out@|@depromo@
@fetter@|@vinculum@
@fetters@|@catena, compes@
@feudal holding@|@tenura@
@few@|@pauci@
@fickle@|@inconstans, levis@
@fickleness@|@infirmitas, levitas@
@fidelity@|@fidelitas@
@field@|@ager, ager (agri), arvum, campus@
@field of wheat@|@seges@
@fields@|@ager@
@fierce@|@acer, asper, efferus, ferus, ferus@
@fiercely@|@feriter, truculenter (adv.)@
@fiercely hating@|@exosus@
@fierceness@|@asperitas@
@fiery@|@fervidus, fervidus, igneus, impirius@
@fifteen@|@quindecim@
@fifteen times@|@quindeciens@
@fifth@|@diapente, quintus@
@fiftieth@|@quinquagesimus@
@fifty@|@quinquaginta@
@fig@|@ficus@
@fig tree@|@ficus@
@fight@|@certo, dimicare, litis, macto, pugna, pugnare@
@fight back@|@adversor@
@fight out@|@debello@
@fight to the finish@|@decerto@
@fighter@|@proeliator preliator@
@fighting man@|@bellator@
@figure@|@instar@
@fil up@|@onero@
@file@|@lima, vicis@
@fill@|@complere, effercio, reficio, repleo@
@fill in@|@complere@
@fill up@|@complere, expleo explevi expletum, repleo@
@fill up again@|@repleo@
@filled@|@plenus, repletus@
@fillet@|@infula@
@filling@|@fartim@
@film@|@membrana@
@filth@|@feculentia, fimus, inquinamentum, purgamentum, sordes, spurcamen@
@filthy@|@obscoena, spurcus@
@finally@|@demum, denique, extremo, tandem, tandem@
@find@|@invenio, reperio, reperio, utor@
@find again@|@reperio@
@find fault with@|@accuso@
@find good@|@probo@
@find out@|@comperio, expiscor@
@find out with certainty@|@comperio@
@find pleasure in@|@adamo@
@fine@|@elegans, eximius, exquisitus, formosus, honestus, lautus, multo, muto, pulcher, pulcher pulchra pulchrum, teres@
@fine flour@|@pollen@
@fine meal. (also pollis )@|@pollen@
@finely@|@puchre@
@finely formed@|@formosus@
@fineness@|@pulchritudo@
@finger@|@digitus@
@finish@|@consumo, exigo, exitus, expleo, expleo explevi expletum, expletio, perago@
@finish a war@|@debello@
@finished@|@perfectus@
@finishing@|@peractio@
@fir@|@abies@
@fire@|@flamma, ignis, incendia@
@fire-god@|@Vulcanus@
@firm@|@constans, destinatus, firmus, inconcussus, obstinatus, pertinax, stabilis@
@firmly@|@constanter, statim@
@firmness@|@constantia, pertinacia, pondus, stabilitas@
@first@|@primitus, primo, primo, primoris, primoris, primus@
@first beginning@|@primordium@
@first name@|@prænomen@
@first of all@|@primo@
@first part of the night@|@conticinium@
@first place@|@principatus@
@first principle@|@elementum@
@firstly@|@primo@
@fish@|@piscis@
@fisherman@|@piscator@
@fit@|@apto, commodus, competo, congruus, decorus, habilis, opportunus, opportunus@
@fit out@|@armo, struo@
@fit together@|@concordare@
@fithly@|@foedis-e@
@fitly@|@opportune@
@fitness@|@oportunitas, opportunitas@
@fitted@|@aptus@
@fitted out@|@aptus@
@fitting@|@aptus, decet, idoneus@
@fitting out@|@paratus@
@fittingly@|@decens, decenter@
@five@|@quinque@
@five hundred@|@quingenti@
@five years old@|@quinquennis@
@fix@|@condico, defigo, destino, redintegro@
@fix firmly@|@defigo@
@fix in@|@planto@
@flabby@|@puter@
@flag@|@vexillum@
@flame@|@flamma@
@flank@|@latus -eris@
@flash@|@mico@
@flashing@|@coruscus (a), fulgens, micans@
@flat@|@campester@
@flatter@|@lenocinor, palpo@
@flatterer@|@assentator@
@flattering@|@blandus@
@flattery@|@adulatio@
@flatulence@|@inflatio@
@flaw@|@macula@
@flax@|@carbasa (-orum, n.)@
@flaxen@|@carbasa (-orum, n.)@
@flay@|@excorio@
@fleeing@|@profugus@
@fleet@|@celox, pennipes, velox@
@fleeting@|@fragilis, labilis, volatilis@
@Fleming@|@flandrensis@
@flesh@|@caro, caro (carnis f.), pulpa, viscus@
@fleshly@|@corporeus@
@flexible@|@lentesco, mollis@
@flight@|@fuga@
@flighty@|@volaticus@
@fling@|@proicio@
@flit about@|@volito@
@float@|@natare, no (nare, navi)@
@flock@|@caterva, grex@
@flock together@|@recolligo@
@flog@|@verbero@
@flogged@|@vapulus@
@flood@|@eluvies, fluctus, inundantia, redundo@
@floor@|@solum@
@flow over@|@superfluo@
@flow under@|@subterlabor@
@flower@|@flos@
@flower-garland@|@corollarium@
@flowering@|@nitidus@
@flowing@|@liquidus@
@fluency@|@eloquentia@
@fluent@|@eloquens, facundus, volubilis (of speech)@
@fluently@|@facunde, volubiliter@
@fluid@|@liquidus, liquor@
@flutter@|@volito@
@fly@|@no (nare, navi), volare@
@fly away@|@evolo@
@flying@|@volaticus, volatilis@
@flying creature@|@volucris@
@foam@|@exaestuo, ferveo@
@foaming@|@fervidus@
@foe@|@inimicus@
@fog@|@caligo, nebula@
@foggy@|@nebulosus@
@fold@|@sinus@
@folish@|@puerilis@
@folk@|@populus@
@follow to the end@|@exsequor exequor@
@follower@|@secuutus@
@following@|@comitatus, posterus, postremo, secundum (+ inf.), sequax, stipatores, subsequens@
@folly@|@insania@
@fom behind@|@tergo (a tergo )@
@fond of fighting@|@pugnax@
@fond of gain@|@quaestuosus questuosus@
@font@|@pelvis@
@food@|@alimentum, alimonium, diaria, epulae, esca, esca, nutrimens, victus@
@food for animals@|@cibo@
@food for men and animals@|@cibus@
@foodstuffs@|@victualia@
@fool@|@baceolus, balatro, baro, cuculus, cucurbita, cucus, fossor@
@foolhardy@|@audax@
@foolish@|@blennus, demens (dementis ), fatua, inasnum, insanum, laevus levus, puerilis, stultus, stultus@
@foolish nonesense@|@somnium@
@foolishly@|@pueriliter, stulte@
@foolishness@|@somnium@
@foot@|@pes, pes pedis@
@foot-path@|@bicallis, semita@
@foot-soldier@|@pedes, pedis@
@footstep@|@vestigium@
@for@|@enim, nam, nam, pro (+ abl.), pro (+ abl.)@
@for a bit@|@parumper@
@for a little while@|@parumper, paulisper@
@for a long time@|@diu, diu@
@for a long time now@|@olim@
@for a long while@|@dudum@
@for a moment@|@parumper@
@for a short time@|@parumper, paulisper@
@for another purpos@|@alio@
@for example@|@nam@
@for how much@|@quanti@
@for indeed@|@etenim, namque@
@for my part@|@equidem (adv)@
@for nothing@|@nusquam@
@for preference@|@magis@
@for sake of@|@præ@
@for such a long time@|@tamdiu@
@for that purpose@|@idcirco@
@for that reason@|@idcirco, ideo, inde@
@for the fermentation of beer@|@matera, mairia@
@for the first time@|@primitus, primum, semel@
@for the most part@|@plerumque@
@for the present@|@impraesentiarum, in praesentia@
@for the rest@|@cetera@
@for the sake of@|@causa (in the abl.), gratia@
@for this reason@|@igitur, pro eo@
@for which reason@|@quamobrem@
@forage@|@pasco@
@foray@|@incursio@
@forbearance@|@clementia, patientia@
@forbid@|@prohibeo, vetare@
@forbidden@|@inconcessus@
@forbidding@|@prohibitio@
@force@|@coactum, compello, construprare, vis, vis, vis vires (pl.)@
@force out@|@exigo, expello (expuli expulsum )@
@forcefully@|@acriter, vehementer@
@forces@|@copiae copie@
@forcibly conduct@|@pertraho@
@forciously@|@ferociter@
@ford@|@vadum@
@forefather@|@abavus@
@forehead@|@frons@
@foreign@|@advena, alienigena, alienus, allophylus, barbaricus, exter, externus, externus, extraneus, extrarius@
@foreign resident@|@incola, ae@
@foreigner@|@advena, advena, barbarus, barbarus, hospes, peregrinus@
@foremost@|@primoris, primoris@
@forerunner@|@praecursor, prodromus@
@foresake@|@desero, desero, desolo@
@foresight@|@cautio, providentia, prudentia@
@forest@|@silva, silva@
@forested@|@nemorosus@
@foreswearing an oath@|@periurium@
@foretelling (s)@|@praedicatio@
@forethought@|@provisio@
@forge@|@suppono subpono@
@forgery@|@subjectio@
@forget@|@alieno@
@forgetfulness@|@oblivio@
@forgive@|@dimitto, indulgeo@
@forgiveness@|@venia@
@form@|@formo, planto, vultus@
@forma@|@forma@
@formal@|@formalis@
@formal papal document@|@bulla@
@former@|@praevius, priscus, pristinus, quondam@
@formerely@|@prius@
@formerly@|@ante, antea (adv.), olim, per antea, quondam@
@forming@|@formatura@
@formless@|@informis@
@formula@|@formula@
@forsake@|@relinquo@
@fort@|@castellum, castrum@
@forthwith@|@continuo@
@fortification@|@castellum, castrum, munimen, munimentum, propugnaculum@
@fortifications@|@munita@
@fortifications of a city@|@moenia@
@fortified@|@munitus@
@fortified encampment@|@castrum@
@fortifying@|@munitio@
@fortress@|@castellum, castrum, castrum, pugnaculum@
@fortuitous@|@casualis, fortuitus@
@fortunate@|@beatus, felix, felix felicis, fortunatus, fortunatus, prosper@
@fortunately@|@fortunate@
@fortune@|@casus, dapes, fors fortis, fortuna, ops, sors@
@forty@|@quadraginta@
@forty (Indecl.)@|@quadraginta@
@forty winks@|@intervigilium@
@forward@|@porro, prorsus, protinus@
@foster-father@|@altor@
@foster-son@|@filiolus@
@foul@|@foedis-e, immunda, immundus, turpis@
@foulness@|@squalor@
@fouly@|@foede@
@found@|@constituo, instituo, solum@
@found a colony@|@deduco@
@found out@|@evestigatus@
@foundation@|@basis, condita, crepido (-inis), fundatio-onis, radix, substructio@
@founder@|@creator, fundator@
@founder of a family@|@progenitor@
@four@|@quattuor@
@four (indecl.)@|@quattuor@
@four times@|@quater@
@four-horse team@|@quadrigae@
@fourteen@|@quattuordecim@
@fourth@|@diatesseron, quartus@
@four-wheeled baggage wagon@|@carrus@
@four-wheeled carriage@|@carruca@
@fowler@|@volator@
@fox@|@vulpes@
@fracas@|@litis@
@fragile@|@fragilis@
@fragility@|@fragilitas@
@fragrant@|@odorifera@
@frailness@|@fragilitas@
@frailty@|@fragilitas, fragilitas@
@franchise@|@suffragium@
@Frankish@|@Francisca@
@Frankish people@|@Francigeni@
@frankly@|@aperte, libere@
@frankness@|@ingenuitas, libertas@
@Franks@|@Franci@
@frantic@|@attonbitus@
@fraud@|@dolus, fraudatio, fraus@
@free@|@extrico, immunis, liber, liber libera, liberum, licens, solvo@
@free birth@|@ingenuitas@
@free from@|@purus, vacuus@
@free from care@|@securus@
@free time@|@otium@
@free-born@|@ingenuus@
@freedom@|@libertas, libertas, licentia@
@freely@|@expedite, grate, libere@
@freeze@|@congelo@
@freezing@|@gelidus@
@freezing cold@|@gelu@
@frenzied@|@fanaticus@
@frenzy@|@furor, oestrus, rabies, rabies@
@frequency@|@frequentatio@
@frequent@|@creber, crebra, obsideo@
@frequent abode in a place@|@conversatio@
@frequently@|@frequenter, pluries, sæpe, saepius sepius@
@fresh@|@crudus, novus, repens, vegetus@
@friend@|@amica, amicus, amicus@
@friendly@|@benignitas, comis, comis, familiaris, lepidus@
@friendly manner@|@comiter@
@friendship@|@amicitia, amicitia, hospitium@
@frighten@|@territo@
@frightened@|@formido@
@frightfulness@|@atrocitas, immanitas@
@friight@|@terror@
@frolic@|@petulans@
@frolicsome@|@petulans@
@from@|@ab, abs, de (prep. + abl.), e, ex, foris@
@from a distance@|@eminus, procul@
@from above@|@desuper, superne@
@from abroad@|@foris@
@from all sides@|@undique@
@from anywhere@|@alicunde@
@from both sides@|@utrimque@
@from different directions@|@hinc inde@
@from every quarter@|@undique secus@
@from generation to generation@|@progenierum@
@from heaven@|@caelitus@
@from here@|@abhinc@
@from infero to cause@|@illata@
@from probo-are@|@probatur@
@from somewhere@|@alicunde@
@from that place@|@deinde@
@from the outside@|@extrinsecus@
@from there@|@inde@
@from this place@|@hinc@
@from where@|@unde@
@from whom@|@unde@
@front@|@frons@
@frontier@|@limes@
@frost@|@gelu, gelu@
@frosty@|@gelidus@
@frozen@|@glacialis@
@frugal@|@tenax@
@frugality@|@frugalitas@
@fruit@|@fructus fructus, pomum@
@fruitful@|@fertilis, fructuarius, genitalis, uber@
@fruitful and abundant supply@|@copia cornu@
@fruitfulness@|@fertilitas@
@fruitlessly@|@nequiquam@
@fruits of the earth@|@frux, frux, frugi@
@frustrate@|@preoccupo@
@fugitive@|@profugus@
@fulfil@|@compleo, expleo, impleo@
@fulfill@|@exsequor, praesto presto@
@full@|@plenus, plenus, repletus@
@full consideration@|@consulatio@
@full of bustle@|@tumultuosa@
@full of confidence@|@credulus@
@full of dust@|@pulverulentus@
@full of faults@|@mendosus@
@full of glory@|@glorificus@
@full of ice@|@glacialis@
@full of mistakes@|@mendiosus@
@full of vice@|@vitiosus@
@full of wind@|@ventosus@
@fuller's earth@|@creta@
@fully@|@copiose, plene (adv.)@
@fumbling@|@balbus, confusim@
@fume@|@stomachata@
@function@|@munus@
@funds@|@crumens@
@funeral oration@|@epitaphium@
@funeral rites@|@obsequium funeris@
@funereal rites@|@iusta@
@furious@|@animosus, furibundus, saevus, vehemens@
@furiously@|@rabiose@
@furnace@|@clibanus@
@furnish@|@adorno, do, instruo, orno, paro@
@furniture@|@ornamentum@
@further@|@iam, incumbo, porro@
@further on@|@protinus@
@furthermore@|@exinde@
@fury@|@furor, rabies@
@future@|@posterus, postremo@
@future infinitive of sum@|@fore, forem@
@gag@|@iocus@
@gage@|@pignus@
@gain@|@acquiro, expugno, lucrum, mereo@
@gain an injunction@|@interdico@
@gain strength@|@convalesco@
@gainful@|@lucrosus@
@gainiing@|@quaestus questus@
@gainsay@|@contradico@
@gait@|@incessus@
@gale@|@procella@
@gall@|@bilis, peruro perussi perustum@
@gamble@|@ausus@
@gambler@|@aleator@
@game@|@ludicrum, ludus, venatio, venatus@
@game of chess.@|@scaccarium@
@gaming board@|@tabula@
@gangway of a ship@|@forus@
@garb@|@induviae, vestio@
@garden@|@hortus, hortus ortus@
@garland@|@stemma@
@garlic@|@alium, allium@
@garment@|@supparum, velamen, vestimentum, vestis@
@garret@|@cella, cenaculum@
@garrison@|@praesidium@
@garrison of a fortress@|@castellani@
@garrison troops@|@praesidium@
@garrulous@|@garrulus@
@gasping@|@singultus@
@gate@|@ianua, porta@
@gather@|@coire, colligere, concludere, convenire, recolligo@
@gather around@|@stipo@
@gather together@|@colligo@
@gathering@|@gelamen@
@Gaul@|@Gallia, Gallus@
@gaunt@|@angularis, angulatus, angulosus@
@gauntness@|@macies@
@gave vengeance@|@punio@
@gay@|@hilaris@
@gaze@|@obtutus@
@gaze at@|@aspicio, intueor@
@gear@|@apparatus@
@gelded@|@curtus@
@gem@|@gemma@
@Gembloux@|@Gemblacensis@
@general@|@catholicus, communis, ductor, dux ducis, imperator@
