@English@|@Latin@
@a cypress-wood casket@|@cupressus@
@a dark garm@|@pullus@
@a dart@|@runa@
@a demand@|@postulatio@
@a depth@|@profundum@
@a design@|@propositum@
@a destroyer@|@eversor@
@a digger@|@fossor@
@A disease where the body is curved backward@|@opisthotonos@
@a disgrace@|@turpe@
@a dish@|@patina@
@a distinguishing@|@distinctus@
@a diver@|@urinor@
@a door@|@foris@
@a doze@|@intervigilium@
@a dragging@|@tractus@
@a dream@|@somnium@
@a drop (of liquid)@|@stilla@
@a dwarf@|@pumilius pumilio@
@a dying@|@mortalitas@
@a face@|@vultus@
@a falling@|@casus@
@a fee for using a pasture@|@pastoricium (med.)@
@a fermented fish sauce@|@garum@
@a festival of mysteries@|@orgia@
@a few@|@pauci@
@a fiftieth part@|@quinquagesimus@
@a fine@|@damnum, miseratio@
@a fishing net@|@everriculum@
@a flogging@|@verberantia@
@a flowing over@|@eluvies@
@a following@|@stipatio@
@a fool@|@stultus@
@a force@|@vis (sing.)@
@a foreigner@|@barbaricus, extraneus@
@a forge@|@caminus@
@a fork@|@furca@
@a form@|@instar@
@a former@|@formator@
@a gang of@|@latrocinium@
@a gathering together@|@coadunatio@
@a goblet with handles@|@carchesium@
@a god@|@caelestis@
@a going back@|@recessus@
@a good deal@|@aliquantum (noun)@
@a grain measure@|@modio@
@a great number@|@plerusque@
@a green twig@|@virga@
@a greenish-yellow color@|@galbinus@
@a growing up@|@proventus@
@a hairband@|@comptus@
@a handle@|@ansa@
@a harp@|@citara@
@a head-dress@|@comptus@
@a heap@|@acervus@
@a holding@|@tenor@
@a hole@|@lacuna@
@a hollow@|@cavum, lacus@
@a joining@|@iunctura@
@a journey@|@viaticus@
@a killing@|@interfectio-onis@
@a kind of@|@quidam quaedam quedam quidam@
@a kind of crab@|@caris (-idia f.)@
@a kiss@|@basium@
@a lamenter@|@plorator@
@a large concourse@|@frequentia@
@a large number@|@vis (sing.)@
@a large part@|@plerusque@
@a laurel branch@|@laureola@
@a leather bag@|@follis@
@A life is enriched BY THESE (friendships)@|@his (fem. plur. abl), illis (fem. plur. abl)@
@a line limiting a field by agrim@|@cardo@
@a little@|@aliquantulus@
@a little box@|@pyus pyxidis@
@a little knife@|@cultellus@
@a little lip@|@labellum@
@a little or small work@|@opusculus@
@a little slow@|@lentulus@
@a long time ago@|@diu@
@a long while ago@|@dudum@
@a lot@|@multus plus plurimum@
@a mare@|@equa@
@a meeting@|@congressus, occursus@
@a metal helmet@|@cassida, cassis@
@a mimic@|@ethologus@
@a moment@|@articulus (of time)@
@a movement inland@|@escensio@
@a nap@|@intervigilium@
@a natural science@|@physiologus@
@a net@|@casses@
@a nobleman@|@patricius@
@a nod@|@nutus@
@a nodding@|@nutus@
@a nourishing one@|@alma@
@a painter's brush@|@penicullus@
@a pair@|@iugum@
@a pale yellow color@|@gilvus@
@a penitent@|@penitens (penitentis)@
@a period of three days@|@triduum@
@a pike@|@stilus@
@a pimple@|@papula@
@a pit@|@fovea@
@a plain@|@campester@
@a plant@|@paliurus@
@a plant blight@|@uredo@
@a plow with wheels@|@currus@
@a point@|@punctum@
@a pot or jar@|@orca@
@a pound's weight@|@pondus@
@a pouring form@|@effusio@
@a predecessor@|@decessor@
@a prick@|@punctum@
@a private person@|@privatus@
@a projection@|@prominens@
@a promise@|@pollicitus, promissio@
@a promiser@|@promissor@
@a public building for law cases@|@basilica@
@a purchase@|@emptio@
@a quiver@|@pharetra@
@a race@|@cursus@
@a rad to beat children with@|@ferula@
@a rash@|@scabies@
@a rattle@|@crepitaculum@
@a reader@|@legens (-entis)@
@a relation in the male line@|@agnatus@
@a resting place@|@quies@
@a retreat@|@decessio@
@a ribbon@|@lemiscus@
@a rival@|@subnuba@
@a royal circuit@|@progressus@
@a running@|@curriculum, cursus@
@a running down@|@decursus@
@a saying@|@dictus dictus@
@a scream@|@quiritatio@
@a second time@|@denuo, iterum@
@a selection@|@legio@
@a servant@|@famulus@
@a shaking@|@quassatio@
@a sharp point@|@mucro@
@a shock@|@perculsus@
@a shout@|@clamor@
@a siege engine@|@ballista, trebuchettum@
@a signal to march@|@bellicum@
@a sin@|@piaculum@
@a single hair@|@pilus@
@a single head of cattle@|@pecus@
@a single time@|@semel@
@a slave@|@venalis@
@a slight stain@|@labecula@
@a slipping or sliding@|@prolapsio@
@a slope@|@declive (-is)@
@a small bed@|@lectulus@
@a small book@|@opusculus@
@a small oven@|@fornacula@
@a small property@|@peculium@
@a small staff@|@bacillum@
@a small washing vessel@|@labellum@
@a soldier in armor@|@ferratus@
@a solemn statement@|@oraculum@
@a sort of@|@quasi@
@a source of profit@|@quaestus questus@
@a space@|@patulum@
@a spade@|@rutila@
@a speaking against@|@contradictio@
@a spear@|@curis quris@
@a speech@|@dictus dictus@
@a spendthrift@|@decoctor@
@a sponge@|@peniculus@
@a square@|@quadratus, quadrum@
@a stake@|@asser@
@a stink@|@foetor@
@a stylus for writing@|@stilus@
@a summing up@|@coadunatio@
@a taking away@|@ademptio@
@a team of oxen@|@iugum@
@a tearing@|@laceratio, laniatus@
@a temple or church with the land around it@|@fanum@
@a thief by night@|@vispilio@
@a thin rope@|@funiculus@
@a thousand@|@mille@
@a thousand times@|@millies milies@
@a thrower@|@iaculator@
@a timber@|@traba@
@a touch@|@contages@
@a toy@|@crepundia@
@a trap@|@dolus@
@a trebuchet@|@trebuchettum@
@a tree branch (especially olive)@|@termes@
@a tree with an aromatic bark@|@casia@
@a trifle@|@pilus@
@a turning aside@|@declinatio@
@a twelfth@|@uncia@
@a uniting@|@coadunatio@
@a vessel for drinking@|@calix@
@a victim@|@piaculum@
@a vineyard planted with trees@|@arbustum@
@a wandering@|@erratio@
@a web@|@tela@
@a weighing out@|@pensio@
@a wheel rut@|@orbita@
@a widening@|@laxamentum@
@a wise man@|@sapiens (subs.)@
@a workhouse for slaves@|@ergastulum@
@a wrinkle@|@ruga@
@a written reply@|@responsiva@
@a yard@|@cohors@
@abacus@|@abacus@
@abandon@|@abicere, derelinquo, desero, destituo, dimitto, dimitto, prodo, proicio@
@abandoned@|@desolo@
@abase@|@abicere@
@abase oneself@|@provolvere se@
@abbess@|@abbatissa@
@abbey@|@abbatia, abbatia, monasterium@
@abbot@|@abbas, abbas abbatis, prepositus@
@abbot's mitre@|@diadema@
@abbreviate@|@abbreviare, curto@
@ABC@|@abecedarium@
@abdicate@|@abdico@
@abdication@|@abdicatio@
@abdomen@|@abdomen, alvus, venter@
@abduction@|@abactus, abductio@
@abductor@|@abactor@
@aberration@|@error@
@abet@|@concitare@
@abhor@|@abominare@
@abhorrence@|@abominatio@
@abide@|@commoror, habito, mansurus, possideo@
@ability@|@facultas, facultas, potestas@
@abject@|@abiectus@
@abjuration@|@abrenuntiatio@
@abjure@|@abiurare, abrenuntiare, abrogare@
@ablative@|@ablativus@
@able@|@ingeniosus, polleo, potens, valens, validus@
@abnegate@|@abiurare, abnegare, abrenuntiare@
@abnegation@|@abnegatio@
@abnormal@|@abnormis@
@abode@|@domus@
@abolish@|@aboleo, abolere, abrogare@
@abolition@|@abolitio, abrogatio@
@abominable@|@dirus, nefandus@
@abominably@|@diriter@
@abominate@|@abominare, abominor@
@abomination@|@abominamentum, abominatio@
@abortion@|@abortio, abortus@
@abound@|@exubero, exundo@
@abound in@|@prodigus@
@abounding in@|@abundans, celebrus@
@abounding in chalk@|@cretosus@
@about@|@circa, de, de (prep. + abl.), erga (+ acc.), ferme, fere, inter@
@above@|@super, super (adv.), superne, supernus, superus superior supremus or, supra (+ acc.)@
@above-board@|@probus@
@abrasive@|@acer, acutus@
@abrdiged@|@arto@
@abridge@|@abbreviare@
@abridgement@|@epitoma, epitome@
@abroad@|@foris@
@abrogate@|@abolere, abrogare@
@abrogation@|@abolitio, abrogatio@
@abrupt@|@abruptus, abscisus, arduus@
@abruptly@|@abrupte@
@abscond@|@abripere@
@absence@|@abscessus@
@absent@|@absens, absens, absentis (adj.)@
@absent onself@|@abætere, abitere, abscedere@
@absolute@|@absolutus@
@absolute ruler@|@tyrannus@
@absolution@|@absolutio@
@absolve@|@absolvere@
@abstain@|@abstinere@
@abstinence@|@ieiunium@
@abstract@|@abdere, concludere@
@absurd@|@absurdus, futurus, inconcinnus@
@absurdity@|@alogia@
@abundamce@|@copia@
@abundance@|@abundantia, affluencia, facultas, fertilitas, mammona, opes (pl.), ubertas@
@abundant@|@abundans, benignitas, uber@
@abundant supply@|@copia@
@abundantly@|@abunde, uberte@
@abundantly provided@|@copiosus@
@abundantly supplied@|@exaggeratus@
@abuse@|@absumptio, abusio, abuti, maledictio, probrum@
@abyss@|@abruptum, abyssus, abyssus, barathrum, profundum, vorago@
@Abyssinian@|@Æthiops@
@acacia@|@acacia, acanthus@
@accelerate@|@accelerare, accelero, propero@
@accent@|@accentus@
@accept@|@accipere, accipio, recipero, suscipio, suscipio@
@accept wholeheartedly@|@accredo@
@acceptable@|@acceptabilis@
@acceptance@|@acceptatio@
@acceptor@|@acceptator@
@accessible@|@expositus@
@accident@|@casus, casus@
@accidental@|@casualis, fortuitus@
@accidentally@|@forte, fortuito (used as adverb), fortuitus@
@acclaim@|@acclamare, acclamatio, applaudere@
@acclamation@|@acclamatio@
@acclimate@|@consuefacio@
@acclivity@|@clinamen, clivus@
@accommodate oneself@|@accommodo@
@accompanied@|@comitatus@
@accomplish@|@facesso, impetro, peracto, perago, perago (-ere), perpetro, pervenire, proficio@
@accomplished@|@artificiosus@
@accomplishment@|@factum@
@accord@|@placitum@
@accordant@|@conveniens@
@according to@|@prout, secundum (+ inf.)@
@according to classes@|@generatim@
@according to order@|@ordinarius@
@according to reason@|@consequens@
@according to the canons@|@canonicus@
@accordingly@|@ergo (adv.), secundum@
@account@|@ratio@
@account of slight value@|@floccipendo@
@accoutrement@|@ornamentum@
@accumulate@|@accumulo, exaggero@
@accumulated@|@exaggeratus@
@accumulation@|@exaggeratio@
@accurately@|@penitus (adverb), sagaciter@
@accursed@|@maleficus, sacer, scelerata, scelestus@
@accursed deed@|@scelus@
@accusation@|@accusatio, ciminatio, crimen, criminatio, querimonia@
@accusative@|@accusativus@
