@English@|@Mansi@
@tongue@|@neeläm@
@top@|@cakä.l, saxäl, sokäl@
@trace@|@naawl-, nawl-, niwl-@
@tramped winter soil@|@sahrt-@
@tree@|@jiw@
@tree juice@|@il, ol@
@two@|@kitih@
@uncle@|@šäš, sasih, šäššäm@
@village@|@paawäl, pawäl, peel, peewäl@
@warm@|@isäm@
@wash@|@pähl-, päwl-, puwl-@
@water@|@wit@
@watery@|@oraaj, oräj, uuraj, wuräj@
@we@|@maan, meen@
@what@|@manär@
@when@|@xun@
@where@|@xot@
@whip@|@astä.r, aster, oostär@
@who@|@xoongxa, xotjut@
@wife of an elder relative@|@aan, aaneekoa, aanii, oon, unnäm@
@wind@|@woot@
@wing@|@pangkä.l, pongokäl, pongxäl@
@with@|@jot@
@woman@|@nee@
@wood grouse@|@paltaa, poltä, poolt, poolta@
@woodworm@|@sau@
@worm@|@nikuuj, ningoko, nix, nixo, përk@
@year@|@aarem, arem, oarem, taal@
@yellow@|@wošram@
@you@|@nang@
@you (plural)@|@naan, neen@

