@English@|@Serbian@
@bump off@|@ubiti sa predumišljajem@
@bumpkin@|@neotesan momak@
@bumptious@|@samopouzdan@
@bumpy@|@izriven, neravan put@
@bun@|@kolač, slatka zemička, zekan@
@bunch@|@buket, struk, svežanj, veza@
@bundle@|@breme, naramak, snop, svežanj, zamotati, zamotuljak@
@bundle off@|@otarasiti se, oterati@
@bung@|@zapušač@
@bungalow@|@kuća, letnjikovac@
@bungle@|@loša izrada, pobrkati, pokvariti@
@bungler@|@loš radnik@
@bunk@|@koještarija, krevet, ležište@
@bunker@|@bunker@
@bunkhouse@|@zgrada za smeštaj radnika@
@buoy@|@bova, ohrabriti, plutača@
@buoy up@|@ohrabriti@
@buoyant@|@plivajući@
@bur@|@čičak, nametljiv čovek@
@burbot@|@manić (riba)@
@burden@|@breme, natovariti, teret, težina@
@burden of proof@|@teret dokazivanja@
@burdensome@|@tegoban@
@bureau@|@biro, nadleštvo, pisaći sto@
@bureaucracy@|@birokratija@
@burglar@|@lopov, obijač@
@burglary@|@krađa, noćna provala@
@burial@|@pogreb, sahrana@
@burlesque@|@burleska, parodija@
@burly@|@krupan, razvijen, zdrav@
@burmese@|@burmanac, burmanka, burmanski@
@burn@|@goreti, izgoreti, opekotina, peći, spaliti, znak@
@burnish@|@politirati, politura, sjaj@
@burnt@|@p.p. od burn, past. od burn@
@burrow@|@jama, jazbina, kopati jamu, rupa, skrivati se@
@burst@|@eksplozija, izliv, kratak i žestok napor, planuće, prasak, puknuti, rasprskavanje@
@burst out@|@izbiti@
@bury@|@sahraniti, ukopati@
@bus@|@autobus@
@bush@|@žbun, žbunje@
@bushel@|@oko 36 litara@
@business@|@posao, zanimanje@
@bust@|@grudi, poprsje, prsa@
@bustle@|@jurnjava, komešanje, požurivati, tumaranje, turnir, žurba, žuriti se@
@busy@|@dati posao, radan, vredan, zaposlen, zaposliti, zauzet@
@busybody@|@onaj koji svuda zabada nos, trčkaralo@
@busyness@|@preduzimljivost, zauzetost@
@but@|@ali, iako, no, osim, samo@
@butch dyke@|@muškobanjasta@
@butcher@|@kasapin, mesar@
@butchering@|@klanje@
@butchery@|@klanica@
@butt@|@iverak, nastavak, pikavac, veliko bure@
@butter@|@maslo, puter@
@buttercup@|@ljutić (cvet)@
@butterfly@|@leptir@
@buttermilk@|@bućkanje putera@
@buttock@|@zadnjica@
@button@|@dugme, zakopčati@
@buttonhole@|@rupica za dugme@
@buxom@|@lepuškast, punačak@
@buy@|@kupiti, kupovati@
@buzz@|@glasine, klevetati, muvati se oko, ogovarati, vesti, zujanje, zujati@
@by@|@blizu, dalje, kod, od, ovde, po, pomoću, pored, uz@
@by and by@|@ubrzo, uskoro@
@bye-bye@|@buji-paji, zbogom@
@by-election@|@dopunski izbori@
@bygone@|@prošao, zastareo@
@bylaw@|@pravilnik, uredba, zakon@
@by-law@|@ustav@
@byline@|@ime autora teksta@
@by-name@|@nadimak@
@bypass@|@kružni rov, obilaženje, oivičiti, okružiti, zaobilaziti, zaobilazni put@
@byplay@|@epizoda@
@by-product@|@nusprodukt, sporedni proizvod@
@bystander@|@očevidac, posmatrač, svedok, zaštitnik@
@by-stander@|@posmatrač@
@by-way@|@drugorazredni put@
@byword@|@poslovica, urečica@
@by-work@|@sporedno zanimanje@
@cab@|@kočija, kola (s konjem)@
@cabal@|@smutnja, spletka@
@cabbage@|@kupus@
@cabin@|@kabina, kućica, soba za rad, sobica@
@cabinet@|@kabinet, poverljiv@
@cabinetmaker@|@stolar@
@cable@|@kabl, konopac, telegram@
@cabman@|@kočijaš, vozač taksija@
@caboose@|@zadnji vagon@
@cacao@|@kakao@
@cache@|@skrovište, tajno mesto@
@cachet@|@pečat, žig@
@cackle@|@kokodakati, razmetati se@
@cad@|@gad, kukavica@
@cadaver@|@leš@
@cadaverous@|@mrtvački@
@caddy@|@kutija za čaj@
@cadet@|@kadet, mlađi sin, pitomac@
@cadge@|@moljakati, prosjačiti, torbariti@
@cadre@|@okosnica, okvir, šema@
@cafe@|@kafana@
@cage@|@kavez, zatvor@
@cagey@|@snalažljiv@
@caisson@|@keson, municijska kola@
@caitiff@|@podlac@
@cajole@|@izmoliti@
@cake@|@grudva, kolač@
@calaboose@|@buvara, tamnica@
@calamitous@|@razoran@
@calcium@|@kalcijum@
@calculate@|@računati@
@calculus@|@kamen@
@calendar@|@kalendar@
@calf@|@lane, mladi kit, priglup čovek, tele, teleća koža@
@calico@|@pamučna tkanina@
@calk@|@klin potkovice, potkivati@
@call@|@obaveza, poseta, posetiti, uzvik, vikati, zvati@
@call by name@|@prozvati@
@call for@|@doći po, zahtevati@
@call girl@|@kolgerla@
@calling@|@zanimanje@
@callosity@|@zadebljanje, žulj@
@callous@|@neosetljiv, oguglao, tvrd, žuljevit@
@callousness@|@neosetljivost@
@callow@|@go, neiskusan, nezreo@
@callowness@|@nezrelost@
@call-up@|@vojni poziv@
@callus@|@zadebljanje, žulj@
@calm@|@staložen, tišina, umiriti se@
@caloric@|@kalorija@
@calorie@|@kalorija@
@calumniate@|@opadati, panjkati@
@calumniator@|@klevetnik@
@calumny@|@kleveta, kleveta, klevetanje@
@calve@|@oteliti se@
@calves@|@pl. od calf@
@cam@|@palac (točka)@
@camber@|@nadvišenje@
@cambric@|@fina tkanina@
@came@|@proš. od come@
@camel@|@kamila@
@cameo@|@nakit od lave@
@camera@|@foto aparat@
@camomile@|@kamilica@
@camouflage@|@kamuflaža@
@camp@|@logor@
@campaign@|@borba, kampanja, ratni pohod@
@camphor@|@kamfor@
@camping@|@kampovanje@
@campus@|@studentski grad@
@can@|@biti u stanju, konzervirati, limena kanta, limenka, moći@
@canadian@|@kanađanin, kanadski@
@canal@|@jaz, kanal, prokop, rov@
@canard@|@lažna vest, novinarska patka@
@canary@|@kanarinka@
@cancel@|@izbrisati, povući, precxrtati@
@cancer@|@rak@
@candid@|@otvoren@
@candidate@|@kandidat@
@candle@|@sveća@
@candour@|@otvorenost, sloboda@
@candy@|@slatkiš@
@candyfloss@|@šećerna vuna@
@cane@|@prut, trska@
@canine@|@pseći@
@canine tooth@|@očnjak@
@canister-shot@|@sačma@
@canker@|@čir, rak, rak rana@
@canned@|@konzerviran, snimljen na traci@
@cannibal@|@ljudožder@
@cannon@|@kanon, sveštenik, top@
@cannot@|@i can not@
@canny@|@oprezan, zakopčan@
@canoe@|@kanu@
@canopy@|@nadstrešnica, streha@
@cant@|@kosina, licemerno fraziranje, žargon@
@cantankerous@|@zajedljiv@
@canteen@|@kantina@
@canter@|@kasati, laki galop@
@cantilever@|@prosta greda@
@canton@|@okrug, srez@
@canvas@|@šatorsko platno, slikarsko platno@
@canvass@|@pretresti, vrbovati@
@canyon@|@kanjon, klisura@
@caoutchouc@|@kaučuk@
@cap@|@kapa, kapisla, kapisla, klobuk pečurke, krunisati, nadmašiti, pokriti, završiti@
@capability@|@mogućnost, prilike@
@capacious@|@prostoran@
@capacitor@|@kondenzator@
@capacity@|@kapacitett, produktivnost, sposobnost, svojstvo@
@cape@|@ogrtač, plašt, rt@
@caper@|@ispad, ludorija, nestašluk, skakati@
@capillary@|@kapilaran, tanak@
@capital@|@glavni, glavni grad, kapital, početno slovo, smrtan@
@capital assets@|@poslovni fond@
@capitalism@|@kapitalizam@
@capitation@|@oporezivanje@
@capitol@|@kapitol@
@capitulate@|@predati se@
@capitulation@|@predaja@
@caprice@|@ćud, hir, kapric@
@capsize@|@prevrnuti se@
@capsule@|@čaura, kapsula@
@captain@|@kapetan, kapiten@
@caption@|@hapšenje, naslov, natpis, zaglavlje@
@captivate@|@očarati, osvojiti, zaneti@
@captive@|@rob, zarobljenik@
@captivity@|@ropstvo@
@captor@|@koji zarobljava@
@capture@|@hvatanje, zarobljavanje@
@car@|@auto, kola@
@carafe@|@bokal@
@caramel@|@karamela, prženi šećer@
@carat@|@karat@
@caravan@|@karavan@
@caraway@|@kim@
@carbine@|@karabin, kratka puška@
@carbolic@|@karbolni@
@carbon@|@ugljen, ugljenik@
@carburettor@|@karburator@
@carcass@|@lešina, mrcina@
@card@|@karta, karta, posetnica@
@cardboard@|@karton@
@cardiac@|@srčani@
@cardigan@|@vunena jakna, vuneni džemper@
@cardinal@|@bitan, glavni, kardinal, prost (broj), svetlocrven@
@care@|@briga, brinuti se, nega, staranje@
@care of@|@na adresu@
@careen@|@naglo skrenuti, nagnuti (brod), zateturati se@
@career@|@galop, galopirati, karijera, karijera, trka@
@carefree@|@bezbrižan@
@careful@|@brižan, brižljiv, obazriv@
@careless@|@bezbrižan, nehatan, neobazriv@
@caress@|@milovanje, poljubac@
@care-worn@|@izmučen brigama@
@cargo@|@brodski teret, tovar@
@caricature@|@karikatura@
@carillon@|@zvona za zvonjenje melodije@
@carious@|@truo@
@carnage@|@pokolj, tuča@
@carnal@|@čulan, požudan, puten@
@carnation@|@crvena boja, crveni karanfil, karanfil@
@carnival@|@karneval@
@carnivorous@|@mesožder@
@carol@|@cvrkut ptica, himna, pesma, vesela pesma@
@carousal@|@bančenje, pijančenje, vrteška@
@carp@|@šaran, zakerati, zanovetati@
@carpenter@|@drvodelja, stolar@
@carpentry@|@tesarstvo@
@carpet@|@pokriti tepihom, pokrivač, tepih, zastirač@
@carpetbag@|@putnička torba@
@carriage@|@cena za vožnju, kočija, kola, prevoz, vožnja@
@carrier@|@kliconoša, nosač, poštar, vozač@
@carrion@|@mrcina, strvina@
@carrot@|@šargarepa@
@carry@|@doneti, nositi, odneti, voziti@
@carry out@|@izneti, sprovesti@
@cart@|@dvokolice, kola@
@cartel@|@kartel@
@cart-horse@|@tovarni konj@
@cartilage@|@hrskavica@
@cartilaginous@|@hrskavičav@
@cartoon@|@crtež, karikatura@
@cartoonist@|@karikaturista@
@cartridge@|@metak@
@carve@|@deljati, rezbariti@
@cascade@|@kaskada, vodopad@
@case@|@događaj, kofer, kutija, stanje@
@case-hardened@|@prekaljen@
@case-history@|@anamneza@
@casement@|@prozor, prozorski ram@
@cash@|@gotovina, promeniti novac, u gotovom@
@cashier@|@blagajnik, kasir@
@cask@|@bačva, bure@
@casket@|@kutija, urna sa pepelom@
@casque@|@kaciga@
@cassation@|@kasiranje, poništaj@
@casserole@|@lonac, šerpa@
@cassock@|@mantija@
@cast@|@bacanje, baciti, odbaciti@
@cast iron@|@liveno gvožđe@
@castaway@|@brodolomnik, izgnanik@
@caste@|@društvena klasa, kasta@
@castigate@|@kazniti, oštro kritikovati@
@castigation@|@bičevanje, kazna, oštra kritika@
@castiron@|@čeličan, nesavitljiv, tvrd@
@castle@|@dvorac, grad, kula, zamak@
@castor@|@ricinusovo ulje@
@castrate@|@uštrojiti@
@castway@|@obračun@
@casual@|@povremen@
@casualty@|@nesrećan slučaj@
@cat@|@mačka@
@catalogue@|@cenovnik, katalog, spisak@
@cataract@|@jaka kiša, katarakt, slap@
@catarrh@|@katar@
@catastrophe@|@katastrofa@
@catcall@|@zviždanje, zvižduk@
@catch@|@dobitak, lov, sčepati, uhvatiti@
@catchword@|@duhovitost, prihvaćen izraz@
@categorical@|@kategoričan, odlučan@
@category@|@kategorija, klasa, razred@
@cater@|@razonoditi, snabdeti (hranom)@
@caterer@|@dostavljač, namirnica@
@caterpillar@|@gusenica@
@caterwaul@|@maukanje@
@catgut@|@gudački instrument, žica@
@cathedral@|@katedrala@
@cathode@|@katoda@
@catholic@|@katolički, sveobuhvatan@
@cattle@|@marva, stoka@
@caucasian@|@belac, kavkazski@
@caught@|@p.p. od catch, proš. od catch@
@cauldron@|@kotao@
@cauliflower@|@karfiol@
@caulk@|@katranisati, zatvoriti pukotine@
@causal@|@kauzalni, uzročni@
@causative@|@kauzativan, uzročan@
@cause@|@prouzrokovati, razlog, uzrok@
@causeway@|@bedem, mostić, pločnik@
@caustic@|@jedak@
@caution@|@obazrivost, pažnja@
@cavalcade@|@konjička parada@
@cavalier@|@kavaljer, vitez@
@cavalry@|@konjica@
@cave@|@izdubiti, pećina, upasti@
@caveat@|@upozorenje@
@cavern@|@kaverna, pećina@
@caviar@|@ikra  (riblja)@
@cavil@|@cepidlačenje@
@cavity@|@duplja, šupljina, udubljenje@
@cavort@|@skakati tamo-amo@
@caw@|@graktanje, graktati@
@cease@|@završiti se@
@ceaseless@|@besprekidan, neprestan@
@cedar@|@kedar@
@cede@|@dati, prestati, ustupiti@
@ceiling@|@plafon, tavanica@
@celebrate@|@proslaviti, slaviti@
@celebration@|@proslava@
@celebrity@|@slavna ličnost@
@celerity@|@brzina@
@celery@|@celer@
@celestial@|@božanski, nebeski@
@celibacy@|@beženstvo, celibat@
@celibate@|@neženja@
@cell@|@ćelija, sobica@
@cellar@|@podrum@
@cellular@|@mobilni telefon@
@cellule@|@ćelija, stanica@
@cellulose@|@celuloza, stanično tkivo@
@cement@|@cement, cementirati, kit, lem, lepilo@
@cemetery@|@groblje@
@cenotaph@|@spomenik@
@censer@|@kadionica@
@censor@|@cenzor, sudija@
@censorship@|@cenzura@
@censure@|@nepovoljan sud, ukor@
@census@|@popis@
@cent@|@stoti deo dolara@
@centenarian@|@stogodišnjak, stogodišnji@
@centenary@|@stogodišnji, stogodišnjica@
@centigrade@|@sto stepeni@
@centimeter@|@santimetar@
@centipede@|@stonoga@
@central@|@centralan, glavni, središni, vodeći@
@centralism@|@centralizam@
@centralistic@|@centralistički@
@centralization@|@centralizacija@
@centre@|@središte@
@centrifugal@|@centrifugalan@
@centripetal@|@centripetalan@
@centrism@|@centrizam@
@century@|@stoleće, vek@
@ceramic@|@keramika@
@cereal@|@žitarica@
@cerebellum@|@mali mozak@
@cerebral@|@intelektualno izazovan, moždani@
@cerebrum@|@mozak@
@ceremonial@|@ceremonija, obred, obredan, svečanost, zvaničan@
@ceremonious@|@neprirodan@
@ceremony@|@obred, svečanost@
@certain@|@izvestan, određen@
@certainty@|@izvesnost, tačnost@
@certificate@|@svedočanstvo@
@certify@|@overiti, posvedočiti, potvrditi@
@certitude@|@izvesnost, pouzdanje@
@cervix@|@grlić (materice), vrat (anat.)@
@cessation@|@odmor, prekid, prestanak@
@cession@|@prepuštanje, ustupanje@
@cesspool@|@nužnička jama@
@chafe@|@nadražaj@
@chafer@|@grušt, gudelj@
@chaff@|@blagi podsmeh, mekinje, otpaci, sečka@
@chaffinch@|@zeba (ptica)@
@chagrin@|@razočaran, razočarati@
@chain@|@lanac, venac (planinski)@
@chair@|@mesto, stolica@
@chairman@|@predsednik, pretsedavajući@
@chaise@|@kola na 2 točka, poštanska kola@
@chalk@|@kreda@
@challenge@|@izazov, izazvati@
@chamber@|@dvorana, komora, soba@
@chambermaid@|@sobarica@
@chameleon@|@kameleon@
@chamfer@|@žleb@
@chamois@|@divokoza@
@champ@|@mljackanje@
@champagne@|@štampanjac@
@champaign@|@ravnica@
@champion@|@pobednik, šampion, zaštitnik@
@chance@|@iznenađenje, pokušati, rizikovati, slučajnost@
@chancel@|@oltar, svetilište@
@chancellor@|@kancelar@
@chancery@|@arhiv, sud časti@
@chandelier@|@viseća lampa@
@change@|@berza, menjati, sitnina@
@channel@|@kanal@
@chant@|@melodija, pesma, pevati@
@chaos@|@haos, nered@
@chaotic@|@haotičan, ispreturan@
@chap@|@čovek, momče, osoba@
@chapel@|@kapela@
@chaperon@|@pratilica@
@chaplain@|@kapetan@
@chaplet@|@brojanice, traka, venac@
@chapter@|@glava, poglavlje@
@char@|@ugljenisati se@
@character@|@karakter, ličnost, narav@
@characteristic@|@karakterističan@
@charade@|@šarada@
@charcoal@|@ćumur@
@charge@|@cena, metak, natovariti, opteretiti, optužba, optužiti, punjenje, staranje, zaceniti, zaduženje@
@chariot@|@kola@
@charitable@|@bolećiv, dobrotvoran@
@charity@|@dobročinstvo, mislosrđe@
@charlatan@|@varalica, vrač@
@charm@|@čar, ljupkost, zanos@
@charming@|@bajan, krasan, prekrasan@
@chart@|@crtati mapu, karta, mapa, pomorska mapa@
@charter@|@dokument, povelja, povlastica, stari rukopis, ugovor, ustav, uzeti u zakup@
@chartism@|@čartizam@
@charwoman@|@nadničarka, služavka@
@chase@|@goniti, gonjenje, lov, loviti, plen, potera@
@chasm@|@bezdan, jaz, ponor, provalija@
@chassis@|@postolje, šasija@
@chaste@|@častan, čedan, čist, nevin@
@chasten@|@kazniti, pročistiti, profiniti, ukoriti, ukrotiti@
@chastise@|@izgrditi, kazniti, tući@
@chastity@|@čednost, čistota, devičanstvo, strogost stila@
@chat@|@čavrljanje, pričati, razgovor@
@chatter@|@ćaskanje, cvrkutanje, torokati, zveketanje@
@chauffeur@|@kofer, šofer, vozač@
@chauvinisim@|@šovinizam@
@chauvinism@|@šovinizam@
@chauvinist@|@šovinista@
@chauvinistic@|@šovinistički@
@cheap@|@jevtin@
@cheapskate@|@cicija@
@cheat@|@obmanjivati@
@check@|@ček, provera, proveriti, šah kralju, zapečatiti, zastoj@
@checkmate@|@šah-mat@
@cheek@|@bezobzirnost, obraz, samopouzdanje@
@cheekbone@|@jagodica, jagodična kost@
@cheek-bone@|@jabučica, jagodica@
@cheeky@|@bezobrazan@
@cheep@|@pištanje@
@cheer@|@aplauz, bodrenje, klicanje, veseliti se, veselost@
@cheerful@|@raspoložen@
@cheese@|@sir@
@cheesecake@|@slatki kolač od sira@
@cheesy@|@lošeg kvaliteta, nalik na sir@
@cheetah@|@gepard@
@chef@|@glavni kuvar@
@chemical@|@hemijski@
@chemise@|@ženska košulja@
@chemist@|@apotekar, hemičar@
@chemistry@|@hemija@
@chequered@|@promenljiv (fig.)@
@cherish@|@bdeti nad, negovati@
@cherless@|@očajan, tmuran@
@cherry@|@trešnja@
@cherry-stone@|@koštica višnje@
@cherub@|@heruvim@
@chess@|@šah@
@chest@|@grudi, kovčeg, sanduk@
@chestnut@|@kesten@
@chest-trouble@|@plućno oboljebje@
@chew@|@preživanje, žvakati@
@chewing@|@žvakanje@
@chewing-gum@|@žvakaća guma@
@chic@|@elegancija, šik@
@chicanery@|@prigovaranje@
@chick@|@pile@
@chicken@|@pile@
@chicory@|@cikorija, vodopija@
@chide@|@gunđati, koriti@
@chief@|@glavni, vođa, zapovednik@
@chieftain@|@poglavica, starešina@
@chilblain@|@promrzlina@
@child@|@dete@
@child prodigy@|@čudo od deteta@
@childern@|@mn. od child@
@childish@|@detinjast@
@chill@|@hladnoća, smrznuti se@
@chilly@|@hladno@
@chime@|@crkvena zvona, zvoniti@
@chimeny@|@dimnjak@
@chimney@|@kamin, odžak, ognjište@
@chimpanzee@|@šimpanza@
@chin@|@brada (deo lica ), podbradak@
@china@|@porcelan@
@chinaman@|@kinez@
@chinawoman@|@kineskinja@
@chinese@|@kineski@
@chink@|@pukotina@
@chintz@|@cicani, vrsta cica@
@chip@|@iver, krhotina@
@chips@|@strugotina@
@chiropody@|@manikir, pedikir@
@chirp@|@cvrkut@
@chisel@|@dleto, sečivo, vajanje@
@chit@|@detence, dostava, karakteristika@
@chit-chat@|@spletke@
@chivalrous@|@viteški@
@chivalry@|@viteštvo@
@chlorine@|@hlor@
@chloroform@|@hloroform@
@chock@|@klin, podupirač@
@chocolate@|@čokolada@
@choice@|@izvor, odabran@
@choir@|@hor, hor@
@choke@|@zagušiti se, zagušiti se, zatisnuti@
@choler@|@bes, gnev@
@cholera@|@kolera@
@choleric@|@koleričan, ljut@
@choose@|@birati, više voleti@
@chop@|@seći, seckati@
@chopper@|@kontrolor@
@choppy@|@u naletima@
@choral@|@horski@
@chord@|@harmonija, sklad, struna, žica@
@chortle@|@blago se smejati@
@chorus@|@hor@
@chose@|@proš. od choose@
@chouse@|@podvaljivati, varati@
@christ@|@hristos@
@christian@|@hrišćanski@
@christianity@|@hrišćanstvo@
@christmas@|@božić@
@christmas-tree@|@božićna jelka@
@chronic@|@hroničan, okoreo@
@chronicle@|@hronika, letopis, upisati (u hroniku)@
@chronicler@|@hroničar@
@chronological@|@hronološki@
@chronology@|@hronologija@
@chronometer@|@hronometar@
@chub@|@klen (riba)@
@chubby@|@bucmast@
@chuck@|@klada, panj, potapšati, trupac@
@chuckle@|@prigušen smeh zadovoljstva@
@chug@|@brektanje@
@chukle@|@smeškati se@
@chum@|@drug, prisni prijatelj@
@chump@|@balvan@
@chunk@|@kriška@
@church@|@crkva, crkveni, religija@
@churchgoer@|@osoba koja ide u crkvu@
@churl@|@neotesanac, prostak, tvrdica@
@churn@|@bućkalica@
@chute@|@nizbrdica, strmina@
@chutzpah@|@neskriven bezobrazluk@
@cicatrice@|@brazda, ožiljak@
@cicatrize@|@isceliti, zalečiti@
@cicerone@|@vodič@
@cider@|@jabukovača, sok od jabuke@
@cigar@|@cigara@
@cigarette@|@cigareta@
@cinch@|@osigurati, sigurna stvar@
@cinchona@|@kinin@
@cinder@|@pepeo, šljaka@
@cinderella@|@pepeljuga@
@cinema@|@bioskop@
@cinnamon@|@cimet@
@cipher@|@broj, šifra@
@circle@|@društvo, krug@
@circuit@|@kruženje, obilaženje, strujanje@
@circular@|@cenovnik, kružan, kružeći, reklama@
@circulate@|@kružiti@
@circulation@|@cirkulacija, kruženje, krvotok, opticaj@
@circumcision@|@obrezivanje@
@circumference@|@obim, periferija@
@circumlocution@|@okolišanje, rečitost@
@circumscribe@|@ograničiti, označiti krug@
@circumspect@|@oprezan, razborit@
@circumstance@|@okolnost, prilika, slučaj@
@circumvent@|@nadmudriti@
@circus@|@cirkus@
@cistern@|@bazen za vodu, cisterna@
@citadel@|@grad, tvrđava@
@citation@|@citiranje, navođenje@
@cite@|@citirati, navoditi, pozvati (na sud)@
@citizen@|@građanin, varošanin@
@citizenship@|@državljanstvo, građanstvo@
@city@|@veliki grad@
@civic@|@građanski@
@civil@|@građanski, uglađen@
@civilian@|@građansko lice@
@civility@|@učtivost@
@civilization@|@civilizacija@
@clack@|@lupa, tresak@
@clad@|@proš. od clothe@
@clade@|@biološka grupa istog porekla@
@claim@|@polagati pravo, pravo, zahtev@
@clairvoyance@|@pronicljivost, vidovitost@
@clamber@|@pentranje@
@clammy@|@lepljiv, smolast@
@clamor@|@buka, vika@
@clamour@|@vika, zahtev@
@clamp@|@spajati, spojnica@
@clan@|@pleme, rod, rodbina@
@clandestine@|@skriven, tajan@
@clang@|@jeka, zveket@
@clannishness@|@grupašenje@
@clap@|@gonoreja, pljesak, pljesati, udar@
@clapper@|@čegrtaljka, klatno zvona, zvečka@
@claptrap@|@bombasta fraza@
@claque@|@klaka@
@claret@|@bordo boja@
@clarify@|@razjasniti@
@clarinet@|@klarinet@
@clarity@|@bistrina, jasnoća, prozračnost@
@clash@|@sudar, sudariti se@
@clasic@|@klasičan@
@clasp@|@kopča, obuhvatiti, spona@
@class@|@klasa, razred@
@classic@|@klasičan, klasik@
@classification@|@klasifikacija@
@classify@|@razvrstati@
@classroom@|@učionica@
@clatter@|@galama, graja, lupa@
@clause@|@član, paragraf@
@claw@|@grebati kandžama, kandža, nokat@
@clay@|@glina, ilovača@
@clayey@|@glinen, od ilovače@
@clean@|@čistiti@
@cleaner@|@hemijsko čišćenje@
@cleanse@|@čistiti, čistiti, isčistiti, isčistiti@
@clear@|@nevin, objasniti, pojmljiv, razvedriti@
@clearance@|@raščišćavanje, razrešnica@
@clear-sighted@|@pronicljiv@
@cleave@|@rascepiti@
@clef@|@ključ (muz.)@
@cleft@|@proš. od cleave@
@clemency@|@milosrđe, mlakost@
@clement@|@milosrdan, mlak@
@clench@|@stezanje zuba, zakivanje@
@clergy@|@sveštenstvo@
@clergyman@|@sveštenik@
@clerk@|@činovnik, pisar@
@clew@|@ključ zagonetke, klube@
@click@|@škljocnuti@
@client@|@klijent@
@cliff@|@vrlet@
@climate@|@klima, podneblje@
@climb@|@penjanje, penjati se, uzbrdica@
@climb down@|@sići, spustiti se@
@clinch@|@dohvatiti, zgrabiti@
@cling@|@prilepiti se@
@clinic@|@bolnica, klinika@
@clinical@|@bolnički@
@clink@|@tamnica@
@clip@|@karika, odseći, šišanje@
@clipper@|@kliper@
@clippers@|@makaze@
@clipping@|@isečak (iz novina)@
@clique@|@klika@
@cloak@|@maska, ogrtač, plašt@
@cloakroom@|@garderoba@
@clobber@|@razbiti (protivnika) u tuči@
@clock@|@čas, časovnik, sat@
@clod@|@gruda, grumen@
@clog@|@klompa, začepiti, zapušiti@
@cloister@|@manastir@
@close@|@gladak (fig.), intiman, usredsređen, veran (prevod), zaključiti (posao), zatvoriti@
@close call@|@spasavanje za dlaku@
@close in@|@približiti se nekome@
@close up@|@zatvoriti@
@closely@|@gusto, pažljivo, temeljito, tesno@
@closet@|@sobica, šupa, zidani orman@
@close-up@|@gro plan, krupni plan, snimak iz blizine@
@closing@|@završni@
@closure@|@približavanje nekom cilju, zatvaranje@
@clot@|@grudvica, loptica, ugrušak@
@cloth@|@štof, tkanina@
@clothe@|@odenuti se@
@clothes@|@odeća, rublje@
@clothing@|@odeća, odelo@
@cloud@|@naoblačiti se, oblak, zamračiti@
@clout@|@snaga, udar, udariti@
@clove@|@češanj (luka), karanfilić@
@cloven@|@p.pr. od cleave@
@clover@|@detelina@
@clown@|@klaun, komedijaš@
@cloy@|@prezasititi@
@club@|@klub, motka, tref, udruženje@
@club soda@|@soda voda@
@cluck@|@kokodakanje@
@clue@|@šlagvort, znak@
@clump@|@gruda, grumen, grupa (drveća)@
@clumsiness@|@nesklad, nespretnost@
@clumsy@|@nespretan@
@clung@|@p.p. od cling@
@clunky@|@neumesan@
@cluster@|@grozd, načičkati se, sazvežđe (astro.), skupina (ljudi), skupina sličnih stvari@
@clutch@|@hrvanje, kandže, leglo, šape, zahvat, zgrabiti@
@clutter@|@gungula, jurnjava, paničiti@
@coach@|@kola, učitelj, vagon@
@coachman@|@kočijaš@
@coagulate@|@koagulisati, prevrnuti se, zgrušati se@
@coagulation@|@koagulacija, zgrušavanje@
@coal@|@ugalj@
@coalesce@|@spasti se, spojiti se@
@coalition@|@koalicija, združenje@
@coal-mine@|@rudnik uglja@
@coal-pit@|@šahta@
@coarse@|@hrapav, sirov@
@coast@|@obala@
@coat@|@kaput, obojiti, obući@
@coat of arms@|@porodični grb@
@co-author@|@koautor, saradnik@
@coax@|@laskati, nagovoriti, pridobiti@
@cobble@|@kaldrma, oblutak@
@cobbler@|@obućar@
@cobweb@|@paučina@
@cock@|@oroz, petao, vetrokaz@
@cockade@|@kokarda, značka@
@cockchafer@|@gundelj, hrušt@
@cocker@|@maziti, ugađati@
@cockle@|@jestiva školjka, nedostatak, neravnina@
@cockney@|@londonac, londonski@
@cockpit@|@međupaluba, pilotska kabina@
@cockroach@|@bubašvaba@
@cocksure@|@samopouzdan, samosvestan@
@cocktail@|@koktel@
@coco@|@kokosova palma@
@cocoa@|@kakao@
@cocoon@|@čaura, larve@
@cod@|@bakalar@
@coddle@|@maza, razmaziti, tetošiti@
@code@|@zakonik, zbornik zakona@
@codger@|@osobenjak, starac@
@codify@|@šifrirati@
@cod-liver@|@jetra bakalara@
@codpiece@|@zalistak na čakširama@
@co-ed@|@studentkinja@
@coefficient@|@koeficijent@
@coerce@|@primorati, prinuditi@
@coercion@|@prinuda@
@coercive@|@prinudan@
@coeval@|@savremenik, vršnjak@
@coexist@|@koegzistirati@
@coexistence@|@koegzistencija@
@coffee@|@kafa@
@coffee bean@|@zrno kafe@
@coffee cake@|@kolač od oraha i suvog grožđa@
@coffee cup@|@šolja za kafu@
@coffee shop@|@kafić@
@coffeepot@|@džezva@
@coffer@|@kofer, sanduk@
@coffin@|@mrtvački sanduk@
@cog@|@vršak, zubac@
@cogency@|@neospornost, ubedljivost@
@cogent@|@neodoljiv, ubedljiv@
@cogged@|@zupčast@
@cogitate@|@premišljati@
@cognac@|@konjak, vinjak@
@cognate@|@rođak, srodne reči, srodni jezici@
@cognition@|@poznavanje, saznanje@
@cognizable@|@prepoznatljiv@
@cog-wheel@|@zupčanik@
@cohabit@|@živeti zajedno@
