@English@|@Dutch@
@corps@|@corps, korps, legerkorps@
@corpse@|@kadaver, kreng, lijk@
@corpulent@|@dik, lijvig@
@corpuscle@|@pilletje@
@corral@|@paardestal, stal@
@correct@|@correct, goed, juist@
@correspond@|@corresponderen@
@corridor@|@baan, gang, overloop, rijstrook@
@corridor-train@|@D-trein@
@corroborate@|@bekrachtigen, bevestigen, erkennen@
@corrode@|@aantasten, bijten, corroderen@
@corrugate@|@onduleren@
@Corsica@|@Corsica@
@Corsican@|@Corsicaans@
@cosmos@|@heelal, kosmos@
@cost@|@kosten@
@costly@|@kostbaar, waardevol@
@costume@|@costuum, dracht, gewaad, klederdracht@
@cot@|@kinderbed@
@coterie@|@kliek, kongsi, pal, troep@
@cottage@|@huisje, hut@
@cotton@|@katoen, katoenen weefsel@
@cotton-wool@|@watten@
@couch@|@divan, rustbank, Turkse staatsraad@
@couch-grass@|@hondsgras, kweek, kweekgras@
@cough@|@hoesten@
@council@|@raad, raadgevend lichaam@
@counsel@|@aankondigen, adviseren, bekendmaken@
@counsellor@|@adviseur, mentor, raadgever@
@count@|@in aanmerking komen, meetellen@
@counterfeit@|@vervalsing@
@countermand@|@afbestellen@
@countless@|@ontelbaar@
@country@|@open veld, platteland@
@countryman@|@boer, landman, plattelander@
@countryside@|@open veld, platteland@
@county@|@graafschap@
@coupé@|@compartiment, coupé, treincoupé@
@couple@|@echtelieden, echtpaar@
@coupon@|@bon, coupon, kaartje, voucher@
@courage@|@dapperheid, durf, lef, moed@
@courageous@|@boud, dapper, kloek, koen, moedig@
@courgette@|@courgette@
@course@|@cursus, koers, leergang, route, tracé@
@court@|@het hof maken, scharrelen, vrijen@
@courteous@|@beschaafd, welgemanierd, wellevend@
@Courtrai@|@Kortrijk@
@courtroom@|@rechtszaal@
@courtyard@|@binnenplaats, erf, hof, plaats@
@cousin@|@nicht@
@cover@|@bedekken, beleggen, dekken, toedekken@
@cow@|@koe@
@cowardice@|@lafhartigheid, lafheid@
@cowboy@|@cowboy@
@cower@|@hurken, in elkaar duiken@
@cowl@|@capuchon, huik, kap, mantelkap@
@coyote@|@coyote, prairiewolf@
@crab@|@krab@
@crack@|@barst@
@cracked@|@gebarsten@
@crackle@|@kletteren, knapperen, knetteren@
@cradle@|@wieg@
@cramped@|@benauwd, eng, krap, nauw@
@cramp-iron@|@muuranker@
@crane@|@hijskraan, kraan@
@crawl@|@kruipen@
@crayfish@|@kreeft, rivierkreeft, zoetwaterkreeft@
@craze@|@bestseller, furore@
@crazy@|@dol, dolzinnig, gek, krankzinnig@
@creak@|@knarsen, piepen@
@cream@|@vla@
@crease@|@frommelen, kreukelen, verfomfaaien@
@create@|@creëren, scheppen@
@creature@|@wezen@
@credential@|@geloofsbrief@
@credit@|@credit, creditzijde, krediet, tegoed@
@credulous@|@lichtgelovig@
@creep@|@kruipen@
@cremate@|@cremeren, verassen@
@cremation@|@crematie, lijkverbranding, verassing@
@Cretaceous@|@Krijt@
@Cretan@|@Kretenzer@
@Crete@|@Kreta@
@crevice@|@barst@
@crew@|@bemanning@
@crib@|@afkijken, spieken@
@cricket@|@krekel, kriek@
@crime@|@misdaad, misdrijf@
@Crimea@|@Krim@
@criminal@|@crimineel, misdadig, snood@
@crimson@|@donkerrood, karmozijn@
@crippled@|@gebrekkig, verminkt@
@crisis@|@crisis@
@crisp@|@croquant, knapperig@
@critical@|@hachelijk, kritiek@
@criticism@|@aanmerking, beoordeling, kritiek@
@criticize@|@beoordelen, keuren, kritiseren@
@croak@|@krassen@
@Croat@|@Kroaat@
@Croatia@|@Kroatië@
@Croatian@|@Kroatisch@
@crockery@|@aardewerk@
@crocodile@|@krokodillen@
@crocus@|@krokus@
@Cronus@|@Cronus@
@crook@|@boef, ellendeling, ploert, schavuit@
@cross@|@kruisen, over elkaar slaan@
@crossways@|@kruiselings@
@crosswise@|@kruiselings@
@crouch@|@hurken, in elkaar duiken@
@crow@|@bonte kraai, kraai@
@crowbar@|@hefboom, koevoet, spaak@
@crow-bar@|@hefboom, koevoet, spaak@
@crowd@|@boel, drom, hoop, massa, menigte@
@crown@|@bekronen, kronen@
@crucifix@|@crucifix, kruisbeeld@
@crucify@|@kruisen, kruisigen@
@crude@|@bot, cru, grof, onbehouwen, onbewerkt@
@cruel@|@barbaars, wreed, wreedaardig@
@cruise@|@kruisen, kruisen (van schip)@
@crumb@|@broodkruimel, kruimel@
@crumble@|@afbrokkelen, gruizelen@
@crunchy@|@croquant, knapperig@
@crush@|@aandrang, run, toeloop@
@crutch@|@kruk@
@cruzeiro@|@cruzeiro@
@cry@|@kreet, roep, schreeuw@
@crystal@|@kristalhelder, kristallen@
@Cuba@|@Cuba@
@Cuban@|@Cubaans, kubiek, kubusvormig@
@cube@|@blok, derde macht, dobbelsteen@
@cuckoo@|@koekoek@
@cucumber@|@komkommer@
@cuddle@|@knuffelen@
@cuddlesome@|@aanhalig@
@cuddly@|@aanhalig@
@cuff@|@manchet@
@cul-de-sac@|@doodlopende weg@
@culprit@|@dader, schuldige@
@cult@|@cultus, eredienst, verering@
@cultivate@|@bebouwen, bewerken, kweken@
@culture@|@beschaving, bouw, cultuur, teelt@
@cultured@|@geleerd, ontwikkeld@
@cunning@|@doortrapt, gewiekst, listig, slim@
@cunt@|@kut, vulva@
@cup@|@kop, kopje@
@cupboard@|@kast@
@cupcake@|@koekje, mop@
@Cupid@|@Amor, Cupido@
@cupola@|@koepel@
@Curaçao@|@Curaçao@
@cure@|@behandelen, cureren@
@curiosity@|@nieuwsgierigheid, weetgierigheid@
@curious@|@curieus, typisch, vreemd@
@curl@|@krullen@
@currant@|@aalbes, bes@
@currant-bush@|@aalbes, aalbesseboompje@
@currant-jam@|@aalbessenjam@
@currant-leaf@|@aalbesseblad@
@currency@|@muntsoort, valuta@
@current@|@actueel@
@currently@|@tegenwoordig@
@curry@|@kerrie@
@curse@|@godlasteren, ketteren, vloeken@
@cursor@|@cursor@
@curtail@|@inkrimpen, korten, verkorten@
@curtain@|@doek, gordijn, overgordijn, scherm@
@curtsy@|@buigen, een buiging maken, nijgen@
@curve@|@bocht, curve, kromme@
@curved@|@gebogen, krom@
@cushion@|@kussen@
@cuspidor@|@kwispedoor, spuugbak, spuwbak@
@cuss@|@godlasteren, ketteren, vloeken@
@custom@|@gebruik, gewoonte, usance@
@customary@|@gebruikelijk, gewoon@
@customer@|@afnemer, cliënt, klant@
@custom-house@|@douanekantoor, grenskantoor@
@customs@|@douane@
@cut@|@maaien@
@cuticle@|@nagelriem@
@cutlass@|@hartsvanger@
@cutlet@|@karbonade, kotelet, rib, ribstuk@
@cybernetics@|@cybernetica@
@Cyclades@|@Cycladen@
@cycle@|@fietsen, wielrijden@
@cycle-bag@|@fietstas@
@cyclone@|@cycloon, wervelstorm@
@cylinder@|@cilinder, rol@
@cynical@|@cynisch@
@cypres@|@cipres, cypres@
@Cypriot@|@Cypriotisch@
@Cypriote@|@Cypriotisch@
@Cyprus@|@Cyprus@
@czar@|@tsaar@
@czarina@|@tsarina@
@Czech@|@Tsjechisch@
@Czechoslovak@|@Tsjechoslowaaks@
@Czechoslovakia@|@Tsjechoslowakije@
@Czechoslovakian@|@Tsjechoslowaaks@
@dabbler@|@amateur, dilettant, knutselaar@
@Dacca@|@Dacca@
@dad@|@pa, pappa, pappie@
@daddy@|@pa, pappa, pappie@
@Dagestan@|@Dagestan@
@dagger@|@dolk@
@Daghestan@|@Dagestan@
@Dagon@|@Dagon@
@dahlia@|@dahlia@
@Dahomey@|@Dahomey@
@daily@|@alledaags, daags, dagelijks@
@dainty@|@beminnelijk@
@dairy@|@melkinrichting, zuivelfabriek@
@daisy@|@madeliefje, meizoentje@
@Dakar@|@Dakar@
@Dalmatia@|@Dalmatië@
@Dalmatian@|@Dalmatiër@
@dam@|@afsluiting, barrière, dam, sperdam@
@damage@|@schade aanrichten, schaden@
@damaged@|@defect, gehavend, kaduuk, kapot, stuk@
@Damascus@|@Damascus@
@dame@|@dam, jonkvrouw, lady, vrouw@
@damn@|@godverdomme, verdomd, verdomme@
@Damocles@|@Damocles@
@damp@|@vochtig@
@dampen@|@bevochtigen, vochtig maken@
@dance@|@bal, danspartij@
@dancer@|@danseres@
@dandelion@|@leeuwetand, paardebloem@
@dandruff@|@roos@
@dandy@|@dandy, fat, kwast, saletjonker@
@Dane@|@Deen@
@danger@|@gevaar, hachelijkheid@
@dangerous@|@gevaarlijk, hachelijk, link@
@Danish@|@Deens@
@Danube@|@Donau@
@daphne@|@peperboompje@
@Daphne@|@Daphne@
@Dardanelles@|@Dardanellen@
@dare@|@wagen, zich vermetelen@
@daring@|@brutaal, gedurfd, stout, stoutmoedig@
@dark@|@donker, somber@
@darken@|@donker worden, versomberen@
@darkness@|@donker, duister, duisternis@
@darling@|@liefje, lieveling, lieverd, schat@
@darn@|@bliksems, deksels, sakkerloot@
@dash-board@|@beschot, dashboard, instrumentenbord@
@data@|@grondstof, materiaal, materieel@
@date@|@dactylus, dadel@
@date-palm@|@dadelpalm@
@daughter@|@dochter@
@David@|@David@
@davy@|@mijnlamp@
@dawn@|@aurora, morgenlicht, morgenrood@
@day@|@dag@
@daybreak@|@aanbreken van de dag, dageraad@
@daydream@|@dromen, mijmeren@
@day-dreamer@|@dromer, mijmeraar@
@daylight@|@daglicht@
@day-ticket@|@dagkaart@
@dazed@|@bedremmeld, beduusd, beteuterd@
@dazzle@|@blind maken, verblinden@
@D-chord@|@D-snaar@
@deacon@|@diaken@
@dead@|@dodelijk, doods@
@deaden@|@afbetalen, aflossen, afschrijven@
@deadly@|@dodelijk, moorddadig@
@deaf@|@doof@
@deal@|@ronddelen, rondgeven, uitdelen@
@dean@|@decaan, deken@
@dear@|@geacht, gezien@
@death@|@dood, overlijden, sterfgeval@
@debatable@|@aanvechtbaar, betwistbaar@
@debate@|@debat@
@debauch@|@aan de rol zijn, boemelen, brassen@
@debauchery@|@uitspatting@
@debit@|@debet, debetzijde@
@debris@|@afval, prullaria, puin, rommel@
@debt@|@schuld@
@debugger@|@debugger@
@decade@|@decennium@
@decanter@|@decanteren@
@decay@|@verval@
@decayed@|@aftands, bouwvallig, gammel@
@deceive@|@bedriegen, misleiden@
@December@|@december, wintermaand@
@decent@|@betamelijk, fatsoenlijk@
@decently@|@behoorlijk, naar behoren, netjes@
@decide@|@beslissen, besluiten, uitmaken@
@decipher@|@ontcijferen, ontraadselen@
@decision@|@beslissing, besluit, uitspraak@
@decisive@|@beslissend, cruciaal, finaal@
@deck@|@dek, scheepsdek, verdek@
@declaim@|@declameren, voordragen@
@declaration@|@declaratie, verklaring@
@declare@|@declareren@
@decline@|@afnemen, dalen, kleiner worden@
@decoction@|@afkooksel@
@decode@|@decoderen@
@decor@|@decor, decoratie, onderscheiding@
@décor@|@decor, decoratie, onderscheiding@
@decorate@|@versieren@
@decoration@|@decor, decoratie, onderscheiding@
@decoy@|@lokken@
@decrease@|@afdraaien, verlagen@
@decree@|@decreteren, verordenen@
@decrepit@|@aftands, bouwvallig, gammel@
@dedicate@|@opdragen, spanderen, spenderen@
@deduce@|@abstraheren, afleiden, deduceren@
@deduct@|@afhalen, rissen, ritsen, wegnemen@
@deem@|@geloven, houden voor, menen@
@deep@|@laag, zwaar@
@deer@|@hert@
@defeat@|@nederlaag@
@defecate@|@kakken, ontlasting hebben, poepen@
@defence@|@afweer, defensie, verdediging, weer@
@defend@|@opkomen voor, verdedigen, verweren@
@defendant@|@aangeklaagde, beklaagde, beschuldigde@
@defense@|@afweer, defensie, verdediging, weer@
@defiance@|@trots@
@defiantly@|@in weerwil van, niettegenstaande@
@deficit@|@deficit, kastekort, tekort@
@defile@|@ontheiligen, ontwijden, profaneren@
@define@|@bepalen, definiëren, omschrijven@
@definite@|@definitief, onherroepelijk@
@definitely@|@definitief, voorgoed@
@definition@|@bepaling, definitie, omschrijving@
@definitive@|@definitief, onherroepelijk@
@deformed@|@mismaakt, misvormd@
@defraud@|@frauderen, knoeien, zwendelen@
@defy@|@tarten, trotseren, uitdagen, uittarten@
@degenerate@|@degenereren, ontaarden, verbasteren@
@degrade@|@degraderen, verlagen@
@degree@|@graad, mate, trap@
@delay@|@vertraging@
@delegate@|@afvaardigen, delegeren@
@delegation@|@afvaardiging, delegatie@
@delete@|@uitvegen, uitwissen, wegvagen@
@Delft@|@Delft@
@Delhi@|@Delhi@
@deliberately@|@expres, met opzet, moedwillig, wetens@
@delicacy@|@lekkernij, snoep, snoepgoed@
@delicate@|@delicaat, gevoelig, iel, kies@
@delicious@|@heerlijk, kostelijk, overheerlijk@
@delight@|@in verrukking brengen, verrukken@
@delighted@|@verrukt@
@delightful@|@beeldig, betoverend, heerlijk@
@delirious@|@van een delirium@
@delirium@|@delirium@
@deliver@|@afleveren, bestellen, leveren@
@delivery@|@aflevering, inlevering, levering@
@Delphi@|@Delphi@
@delta@|@delta@
@delude@|@begoochelen, illusies wekken bij@
@deluge@|@zondvloed@
@deluxe@|@luxueus, weelderig@
@demand@|@eisen, opeisen, rekenen, vereisen@
@Demeter@|@Demeter@
@democracy@|@democratie@
@democrat@|@democraat@
@democratic@|@democratisch@
@demolish@|@afbreken, afgeven op, afkammen@
@demolition@|@afbraak, ontmanteling, sloop@
@demon@|@demon, duivel@
@demonic@|@demonisch, satanisch@
@demonstrate@|@demonstreren, vertonen@
@demonstration@|@bewijs, demonstratie, vertoning@
@demonstrative@|@aanwijzend voornaamwoord@
@den@|@grot, hol, holte, krocht, spelonk@
@Dender@|@Dender@
@Denmark@|@Denemarken@
@denounce@|@aanbrengen, aangeven, klikken@
@dense@|@dicht, dik, gebonden@
@dental@|@getand, tand-@
@dentist@|@tandarts@
@deny@|@ontkennen@
@depart@|@afreizen, op reis gaan@
@department@|@departement@
@departure@|@uittocht, vertrek@
@depend@|@afhangen, afhankelijk zijn@
@dependence@|@afhankelijkheid@
@dependent@|@afhankelijk, onderhorig@
@depict@|@afbeelden, uitbeelden, verbeelden@
@deport@|@deporteren@
@deportment@|@gedrag, houding, wandel@
@deposit@|@afgeven, deponeren, in bewaring geven@
@depress@|@deprimeren, neerdrukken@
@depression@|@depressie@
@depth@|@diepte, kolk@
@depute@|@afvaardigen, deputeren@
@deputy@|@plaatsvervangend, subsidiair@
@derivation@|@afgeleid woord, afleiding@
@derive@|@aftappen@
@descend@|@afdalen, naar beneden gaan@
@descent@|@afdaling@
@describe@|@beschrijven@
@description@|@beschrijving, schildering, tafereel@
@desert@|@wildernis, woestenij, woestijn@
@deserve@|@toekomen, verdienen, waard zijn@
@deserving@|@eerzaam, waar, waardig@
@design@|@schets, tekening, werkje@
@desire@|@begeren, trek hebben in, verkiezen@
@desk@|@lessenaar, lezenaar@
@desolate@|@naargeestig, somber, troosteloos@
@despair@|@vertwijfelen, wanhopen@
@despairingly@|@uitroepen@
@desperate@|@radeloos, wanhopig@
@despise@|@minachten, verachten@
@despite@|@in weerwil van, niettegenstaande@
@despot@|@despoot, dwingeland@
@dessert@|@dessert, nagerecht, toespijs, toetje@
@destine@|@bestemmen, uittrekken@
@destiny@|@bestemming, lot, lotsbestemming@
@destroy@|@vernielen, vernietigen, verwoesten@
@destructible@|@afbreekbaar@
@destruction@|@vernietiging@
@detachable@|@afneembaar@
@detached@|@afstandelijk@
@detachment@|@afdeling, detachement, team@
@detail@|@bijzonderheid, detail, item@
@detailed@|@ampel, gedetailleerd, in het klein@
@detain@|@detineren, ophouden, reserveren@
@détante@|@ontspanning@
@detective@|@detective, rechercheur@
@detention@|@aanhouding, arrestatie@
@deter@|@afschrikken, verjagen@
@detergent@|@afwasmiddel@
@determine@|@determineren, nauwkeurig bepalen@
@deterrence@|@afschrikking, verjaging@
@deterrent@|@afschrikwekkend@
@detrimentally@|@nadelig@
@Deuteronomy@|@Deuteronomium@
@develop@|@doen ontstaan, formeren, maken@
@development@|@evolutie, ontwikkeling@
@Deventer@|@Deventer@
@device@|@apparaat, hulpmiddelen, inrichting@
@devil@|@boze, droes, drommel, duivel@
@devilish@|@drommels, duivelachtig, duivels@
@Devon@|@Devoon@
@devote@|@opdragen, spanderen, spenderen@
@devoted@|@aanhankelijk, gehecht@
@devotedly@|@met overgave@
@dew@|@dauw@
@dexterous@|@bedreven, behendig, bekwaam, handig@
@dharma@|@dharma@
@diabetes@|@diabetes, suikerziekte@
@diabolical@|@drommels, duivelachtig, duivels@
@diagram@|@afbeelding, beeld, figuur@
@dial@|@wijzerplaat@
@dialect@|@dialect, tongval@
@dialog@|@dialoog, tweegesprek, tweespraak@
@dialogue@|@dialoog, tweegesprek, tweespraak@
@diameter@|@diameter, middellijn@
@diamond@|@diamant@
@Diana@|@Diana@
@diarrhoea@|@buikloop, diarree@
@diary@|@dagboek, journaal@
@dice@|@fijnhakken@
@dictate@|@dicteren@
@dictator@|@dictator@
@dictatorship@|@dictatuur@
@dictionary@|@woordenboek@
@die@|@doodgaan, overlijden, sterven@
@diehard@|@keihard@
@diesel@|@diesel, dieselmotor@
@diet@|@dieet@
@dietary@|@diëet-@
@differ@|@schelen, uiteenlopen, verschillen@
@difference@|@onderscheid, verschil@
@different@|@uiteenlopend, verschillend@
@differentiate@|@onderscheid maken, uit elkaar houden@
@differently@|@anders@
@difficult@|@lastig, moeilijk, slim, zwaar@
@difficulty@|@bezwaar, moeilijkheid, strubbeling@
@dig@|@opgraven, rooien@
@digest@|@digereren, verduwen, verteren@
@digestion@|@digestie, spijsvertering@
@digit@|@cijfer, nummer@
@dignified@|@deftig, waardig, zichzelf respecterend@
@dignity@|@waardigheid, zelfgevoel, zelfrespect@
@dike@|@dijk, waterkering@
@dilapidated@|@aftands, bouwvallig, gammel@
@dilemma@|@dilemma@
@dilettante@|@amateur, dilettant, knutselaar@
@diligent@|@ijverig, naarstig, nijver, vlijtig@
@dilute@|@aanlengen@
@Diluvium@|@Diluvium@
@dim@|@schemerig@
@dimension@|@bestek, grootte, omvang@
@diminish@|@afnemen, verminderen@
@diminution@|@afname@
@diminutive@|@gering, karig, klein, luttel, min@
@din@|@herrie, lawaai, leven, ophef, rumoer@
@dining-room@|@eetzaal@
@Dinkel@|@Dinkel@
@dinner@|@diner, middageten, middagmaal@
@dip@|@indompelen, indopen, soppen@
@diploma@|@akte, brevet, bul, diploma@
@diplomat@|@diplomaat@
@direct@|@besturen, dirigeren, mennen, richten@
@direction@|@koers, leiding, richting, richtlijn@
@directions@|@aanwijzing, consigne, instructie@
@directly@|@direct, overeind, rechtop@
@director@|@bestuurder, directeur@
@directory@|@adresboek@
@dirtiness@|@morsigheid, onreinheid, viesheid@
@dirty@|@morsig, onrein, smerig, vies, vuil@
@dis-@|@im-, in-, on-@
@disabled@|@gebrekkig, invalide@
@disadvantage@|@minpunt, nadeel, schaduwzijde@
@disadvantageous@|@nadelig@
@disappear@|@verdwijnen, wijken@
@disappearance@|@verdwijning@
@disappoint@|@ontgoochelen, tegenvallen@
@disappointment@|@leed, smart, verdriet@
@disapprobation@|@afkeuring, verwerping, wraking@
@disapproval@|@afkeuring, verwerping, wraking@
@disapprove@|@verwerpen, wraken@
@disarm@|@ontwapenen@
@disc@|@discus, grammofoonplaat, plaat, schijf@
@discard@|@afdanken@
@discharge@|@ontslaan, ontzetten, royeren@
@disciple@|@discipel@
@disciples@|@aanhang, leden@
@discipline@|@discipline, tucht@
@discomfort@|@ongemak, ongerief@
@discount@|@disconto@
@discourage@|@afschrikken, verjagen@
@discover@|@ontdekken@
@discovery@|@ontdekking@
@discrete@|@bescheiden, discreet, onopvallend@
@discrimination@|@discriminatie@
@discus@|@discus@
@discuss@|@bespreken, discuteren@
@discussion@|@bespreking, discussie@
@disease@|@aandoening, kwaal, ziekte@
@disembark@|@van boord gaan@
@disgust@|@afkeer, misselijkheid, walg, walging@
@disgusting@|@misselijk, onsmakelijk, stuitend@
@dish@|@schaal, schotel@
@dishevel@|@in de war brengen, verfomfaaien@
@disinfect@|@desinfecteren, ontsmetten@
@disintegrate@|@scheiden@
@disk@|@discus, grammofoonplaat, plaat, schijf@
@diskette@|@diskette@
@dislike@|@afkeer, antipathie, hekel, tegenzin@
@dislocate@|@ontwrichten, verrekken, verstuiken@
@dismay@|@onthutsen, ontstellen, ontzetten@
@dismiss@|@ontslaan, ontzetten, royeren@
@dismount@|@afstijgen@
@disorder@|@disorde, janboel, rommel, rotzooi@
@dispassionately@|@koel, lauw, lusteloos@
@dispatch@|@verzenden@
@disperse@|@uiteendrijven, uiteenjagen@
@display@|@paraderen, pralen, prijken, pronken@
@disposal@|@aanvechting, lust, neiging, zin@
@disposition@|@beschikking@
@dispute@|@disputeren, krakelen, twisten@
@disquiet@|@storing veroorzaken@
@dissect@|@doorsnijden, sectie verrichten@
@dissemble@|@huichelen, veinzen@
@disseminate@|@uitstrooien, uitzaaien@
@dissipation@|@uitspatting@
@dissolve@|@opgelost worden, oplossen@
@distance@|@afstand, eind@
@distant@|@ver, ververwijderd, verwijderd@
@distil@|@branden, distilleren, overhalen@
@distinct@|@helder, klaar, uitgesproken@
@distinction@|@onderscheiding@
@distinctive@|@karakteristiek, zich onderscheidend@
@distinguish@|@onderkennen, onderscheiden@
@distract@|@verstrooien@
@distracted@|@afgetrokken, verstrooid@
@distraction@|@afleiding, verstrooiing@
@distribute@|@ronddelen, rondgeven, uitdelen@
@distribution@|@uitreiking, verdeling@
@distributor@|@verdeler@
@district@|@arrondissement, district, gouw@
@disturb@|@belemmeren, hinderen, storen@
@disturbance@|@storing@
@ditch@|@gracht, greppel, groef, groeve, kuil@
@divan@|@divan, rustbank, Turkse staatsraad@
@dive@|@duiken@
@diver@|@duiker@
@diverse@|@menigvoudig, menigvuldig, verschillend@
@diversion@|@afleidingsmanoeuvre@
@divert@|@afleiden, verstrooien@
@divide@|@afscheiden, afzonderen, scheiden@
@divine@|@goddelijk@
@diving-bell@|@duikerklok@
@division@|@divisie, legerafdeling@
@divorce@|@echtscheiding, scheiding@
@divorced@|@gescheiden@
@dizziness@|@duizeligheid, duizeling@
@dizzy@|@duizelig@
@dizzying@|@duizelingwekkend@
@Djakarta@|@Batavia, Djakarta, Jakarta@
@Djibouti@|@Djibouti@
@DNA@|@DNA@
@do@|@aanmaken, bedrijven, doen, maken@
@dock@|@dok@
@doctor@|@doctor@
@document@|@acte, akte, bedrijf, dokument, stuk@
@dog@|@hond@
@dogma@|@dogma, leerstelling, leerstuk@
@doll@|@pop, tonnetje@
@dollar@|@dollar@
@Dollard@|@Dollard@
@Dolomites@|@Dolomieten@
@dome@|@koepel@
@domestic@|@binnenlands, inheems, inlands@
@domesticated@|@huis-@
@dominate@|@de baas zijn, meester zijn@
@Dominican@|@Dominicaans@
@dominion@|@dominion@
@Don@|@Don@
@donate@|@cadeau geven, schenken@
@done@|@afgelopen, afgewerkt, beëindigd, klaar@
@Donetz@|@Donjets@
@donkey@|@ezel@
@door@|@deur, portier@
@doorway@|@deuropening@
@Dordrecht@|@Dordrecht@
@Dorian@|@Dorisch@
@Doric@|@Dorisch@
@dose@|@dosis@
@dossier@|@bestand, dossier@
@dot@|@oog, punt, spikkel, stip@
@double@|@dubbel, duplex, tweeledig, tweevoudig@
@doubt@|@dubben, in dubio staan, twijfelen@
@doubtful@|@discutabel, dubieus, twijfelachtig@
@dough@|@beslag, deeg, pasta@
@dove@|@duif, tamme duif@
@down@|@dons, nesthaar, waas@
@download@|@downloaden@
@downstairs@|@beneden, daarbeneden@
@dowry@|@bruidsschat, huwelijksgift@
@dozen@|@dozijn, twaalftal@
@draft@|@cambio, wissel@
@drag@|@trekken@
@dragon@|@draak, vlieger@
@dragonfly@|@juffertje, libel, waterjuffer@
@drain@|@afdruipen, neerdruipen@
@drainer@|@afdruiprek, druiprek@
@dram@|@aperitief, borrel@
@drama@|@drama, toneelstuk@
@drape@|@draperen@
@drastic@|@drastisch, sterk werkend@
@draw@|@aanlokken, bekoren, toelachen@
@drawer@|@la, lade, schuiflade@
@drawers@|@onderbroek@
@drawing@|@schets, tekening, werkje@
@drawing-paper@|@tekenpapier@
@dreadful@|@ijselijk, schrikaanjagend@
@dream@|@dromen, mijmeren@
@dreamer@|@dromer, mijmeraar@
@dreamland@|@dromenland@
@dreary@|@afschuwelijk@
@dress@|@een verband omleggen@
@dress-coat@|@rok@
@dresser@|@commode, ladenkast@
@dressing-gown@|@kamerjas@
@drift@|@afdrijven, drijven, op drift zijn@
@drill@|@boren@
@drink@|@drinken, pimpelen, zuipen@
@drinking-water@|@drinkwater@
@drip@|@droppelen, druipen, druppelen@
@drive@|@oprijlaan, oprit@
@driver@|@bestuurder, conducteur@
@driving-licence@|@rijbewijs@
@drizzle@|@motregenen@
@droop@|@hangen@
@drop@|@druppel, waterdruppel@
@droplet@|@druppel@
@drown@|@verdrinken, vergaan, verloren gaan@
@drowsy@|@druilerig, slaperig@
@drug@|@dope, drogerij, drug, kruid@
@drugstore@|@apotheek@
@drum@|@bus, rol, trom, trommel@
@drummer@|@tamboer, trommelaar, trommelslager@
@drunk@|@beschonken, dronken, zat@
@drunkenness@|@roes@
@dry@|@dor, droog@
@dryness@|@dorheid, droogheid, droogte@
@dual@|@dubbel, duplex, tweeledig, tweevoudig@
@duck@|@eend@
@dude@|@dandy, fat, kwast, saletjonker@
@duenna@|@chaperonne@
@dues@|@bijdrage, contributie@
@duke@|@hertog@
@dull@|@dom, flauw, onnozel, simpel@
@dumb@|@sprakeloos, stom@
@dump@|@stortplaats@
@dun@|@aanmanen, manen@
@dung@|@drek, drol, keutel, ontlasting@
@Dunkirk@|@Duinkerken@
@dunning-letter@|@maanbrief@
@duplicate@|@multipliceren, verveelvoudigen@
@during@|@gedurende, staande, terwijl@
@dusk@|@halfdonker, schemer, schemerdonker@
@dust@|@stof@
@dusty@|@stoffig@
@Dutch@|@Hollands@
@Dutchman@|@Hollander@
@duty@|@plicht, verplichting@
@dwarf@|@dwergachtig, minuscuul@
@dwell@|@gevestigd zijn, huizen, resideren@
@dwelling@|@kwartier, logies, onderkomen, woning@
@dwelling-place@|@domicilie, woonplaats@
@dye@|@verf@
@dynamite@|@dynamiet@
@dyspepsia@|@indigestie, slechte spijsvertering@
@dyspnea@|@ademnood, kortademigheid@
@dyspnoea@|@ademnood, kortademigheid@
@Dzungaria@|@Dzjoengarije@
@each@|@al, alleman, elk, ieder, iedere@
@eagle@|@adelaar, arend@
@ear@|@oor@
@earl@|@graaf@
@early@|@pril, vroeg, vroegtijdig@
@earmark@|@bestemmen, uittrekken@
@earn@|@behalen, verdienen, winnen@
@earnest@|@bona fide, ernstig, serieus, stemmig@
@Earnewald@|@Eernewoude@
@earphone@|@hoorn, telefoonhoorn@
@earring@|@oorring@
@earth@|@aanaarden@
@earthen@|@aarden, klei-, van klei@
@earthenware@|@aardewerk@
@earthing@|@aarding, aardleiding@
@earthly@|@aarden, aards@
@earthquake@|@aardbeving@
@earthworm@|@aardworm, pier, regenworm, worm@
@easel@|@bank, bok, ezel, rek, schraag@
@easily@|@allicht, met gemak@
@east@|@oosten, oriënt@
@East@|@oosten, oriënt@
@Easter@|@Pasen@
@Eastermar@|@Oostermeer@
@eastern@|@oostelijk, oosters@
@East-Indian@|@Oostindisch@
@easy@|@licht, makkelijk, vlot@
@eat@|@bikken, eten, gebruiken, vreten@
@eavesdrop@|@afluisteren@
@ebb@|@eb-@
@Ebro@|@Ebro@
@ecclesiastic@|@geestelijk, kerkelijk@
@echo@|@echoën, naklinken, weergalmen@
@Echo@|@Echo@
@E-chord@|@E-snaar@
@economical@|@economisch@
@economics@|@economie@
@economy@|@economie, spaarzaamheid@
@ecstasy@|@extase, geestvervoering, vervoering@
@ecstatic@|@extatisch, zwijmeldronken@
@Ecuador@|@Ecuador@
@Ecuadorian@|@Ecuadoriaans@
@Edam@|@Edam@
@edelweiss@|@edelweiss@
@Eden@|@Eden@
