@to come back@|@xärë-@
@to complain@|@ža-@
@to cover@|@nambëžo-@
@to curse@|@xëra-@
@to defecate@|@ba-@
@to die@|@fgu-, hgude-@
@to divide@|@Gua-@
@to drink@|@ö-, u-, ü-@
@to eat@|@nde-@
@to embrace@|@tere-@
@to enter@|@orë-@
@to fall@|@na-, nä-@
@to follow@|@daGa-, degë-@
@to forget@|@martë-@
@to freeze@|@gondë-@
@to gape@|@angGi-@
@to get drunk@|@soxte-@
@to give@|@oke-@
@to go out@|@xär-, xarë-@
@to have a dream@|@žodele-@
@to heat@|@xalë-, xalGë-@
@to herd@|@adal-, adëlë-@
@to invite@|@ure-@
@to kill@|@ale-, alë-@
@to know@|@made-, mede-@
@to lay@|@desë-@
@to lead@|@kutel-@
@to let loose@|@andaGa-@
@to lick@|@dolë-@
@to listen@|@chonglë-@
@to make@|@gië-, ke-@
@to milk@|@sä-@
@to mix@|@doGë-@
@to move@|@gudal-, gudel-@
@to mow@|@Gadë-@
@to nail@|@Gadë-@
@to open@|@ne-@
@to pierce@|@cholë-, chorë-@
@to pinch@|@chongGë-@
@to pound@|@nëdë-@
@to prepare@|@bëldë-@
@to press down@|@da(r)-@
@to pull@|@dë-@
@to reach@|@kur-@
@to rest@|@hamër-, hamera-@
@to rot@|@hu-@
@to saddle@|@toxë-@
@to say@|@kele-@
@to search@|@Gui-@
@to see@|@nže-@
@to shoot from a bow@|@xurë-@
@to sit@|@seu-, sü-@
@to sleep@|@tera-@
@to smell@|@hun-de-@
@to sneeze@|@nitë-@
@to spin@|@tomël-@
@to stamp@|@chixë-@
@to step@|@bu-, bü-, halGolë-, xalGë-@
@to swallow@|@žalxë-@
@to take@|@ab-, an, apë-@
@to trot@|@žongdong, žudong@
@to tuck up@|@surë-@
@to urinate@|@šie-@
@to wait@|@säGe-@
@to walk@|@hže-, ju-, šže-@
@to walk submerging into water@|@mba-@
@to wash@|@Gua-@
@to wish@|@kuse-@
@to wrap@|@horë-@
@toe@|@Gor, xur@
@together@|@hamdë@
@tooth@|@(š)dong, hdong@
@top of head@|@xoro@
@track@|@mor@
@trade@|@dandë-@
@tree@|@mortong, mutong@
@trousers@|@mëdong@
@twenty@|@xorong@
@two@|@Guar@
@upwards@|@odë@
@urine@|@šiesong@
@vacant@|@sëla@
@variegated@|@alëG@
@vegetables@|@noGong@
@wall@|@Ganžong@
@warm@|@xolong@
@wart@|@xëuzy@
@water@|@se@
@we@|@bede, man-@
@weak@|@žulang@
@weep@|@la-, lä-@
@what@|@jang@
@whip@|@mela@
@white@|@chixang@
@who@|@ha-, kang@
@wind@|@ki@
@winter@|@nggong, nggung@
@without@|@gi@
@wolf@|@china, chyna@
@woman@|@eme@
@wool@|@noGosung, noxsong@
@work@|@le@
@woven basket@|@arGong, aroG@
@year@|@hong, xong@
@year of life@|@nasong@
@yellow@|@šira@
@you (pl.)@|@ta@
@younger sibling@|@dëu, du@

