@English@|@Kinyarwanda@
@convent@|@zu n. y'ababikira/abihayimana@
@convey@|@ohereza v. [k-]@
@cook@|@teka v. [gu-]@
@cook n.@|@tetsi n. [umu-aba-]@
@cooking oil@|@vuta n. [ama-] yo gutekesha@
@cooking pot@|@ungo n. [s. icy- pl. iby-]@
@copiousness@|@kungu n [ubu-], kungahaz(w)e n. [ubu-]@
@copulation@|@huzabitsina n. [i-], bonano n. mpuzabitsina@
@copycat@|@igannyi n. [umw- ab-] (rb rtd)@
@core@|@zi n. [umu-], shingiro n. [i-]@
@cork@|@pfundikizo n. [igi- ibi-]@
@corn@|@gori n. [s. iki- pl. ibi-]@
@corn cob@|@coricori n. [igi-], coricori n. [s. igi- pl. ibi-], gorigori n. [s. iki- pl. ibi-], tiritiri n. [s. igi- pl. ibi-]@
@corn oil@|@vuta n. [ama-] y'ubuto@
@correct@|@kosora v. [gu-]@
@cost a fortune@|@kosha v. [gu-], henda v. [gu-]@
@cost an arm and a leg@|@kosha v. [gu-], henda v. [gu-]@
@costly@|@henda adj.[preceded by n. cl.]@
@couch potato@|@kundateleviziyo n. [ink-]@
@cough@|@korora v. [gu-], korora n. [in-]@
@countryman@|@nyacyaro n. [umu- aba-]@
@court@|@rwa  n. [s. umu- pl. imi-]@
@covenant@|@sezerano n. [i- ama-]@
@cover@|@gando n. [s.&pl. in-], ringiti n. [iki- ibi-], pfundikizo n. [umu- imi-], funiko n. [igi- ibi-], funikisho n. [igi- ibi-]@
@craftman@|@makanika n.@
@cranium@|@hanga n. [igi-]@
@create@|@rema v. [ku-]@
@creation@|@remwa n. [s. i-], hangwa n. [s. i-]@
@credit@|@enda n. [s.umw-pl.imy-], emezo n.[s.icy-pl.iby-]@
@crotch@|@tsina n. [igi- ibi-]@
@crucifixion@|@bambwa n. [s. i-]@
@cry@|@rira v. [ku-]@
@cry of alarm@|@duru n. [s.&pl. in(r)-]@
@cungamahirwe n. [i-]@|@probability@
@cup@|@kombe n. [igi- ibi-], kopo n. [igi- ibi-]@
@cup (SPO)@|@kombe n. [igi- ibi-]@
@cupboard@|@kabati n. [aka-utu-]@
@curtain@|@rido n. [Ø- ama-]@
@curved@|@hete adj. [bu-]@
@curving@|@hete adj. [bu-]@
@cusin@|@mubyara n. (wawe)@
@cut down (tree)@|@ca v. [gu-], tema v. [gu-], tsinda v. [gu-]@
@cylinder@|@iburungushure n. [s. umw-]@
@cyo kuyindi si@|@extraterrestral@
@cypher@|@zeru n.@
@dactyl@|@toki n. [s. uru- pl. in-]@
@dad@|@papa, papa@
@daddy@|@papa@
@daemon@|@dayimoni n. [i- ama-], shitani n. [i- ama-], uka n. [imy-] mibi@
@daimon@|@dayimoni n. [i- ama-], shitani n. [i- ama-]@
@damage@|@angiza v. [kw-]@
@Damaliscus lunatus@|@nyemera n. [i-]@
@dance@|@byina v. [ku-]@
@dance hall@|@byiniro n. [uru-]@
@dark@|@ijima n. [s. umw- pl. imy-], ijima n. [umw-]@
@darken@|@irabuza v. [kw-] (shy)@
@darkness@|@ijima n. [s. umw- pl. imy-], ijima n. [umw-]@
@data@|@kusanyijwe n. [pl. ibya-]@
@daughter@|@ana n. /umwâana/ umw- pl. aba-, kobwa n. [s. umu- pl. aba-], kobwa n. [umu- aba-]@
@day@|@manywa n. [a-]@
@daze@|@hu n. [igi- ibi-]@
@dear@|@henda adj.[preceded by n. cl.]@
@death@|@herezo n. [only in s. i-], herezo n. [pl. ama-]@
@debut@|@tangiriro n.[s.&pl.in-]@
@deceive lightly@|@beshyeshya v. [ku-]@
@December@|@Ukuboza, ukwezi kwa cumi n'abiri@
@declarative sentence@|@teruro n. [s.&pl. in-] yemeza@
@declension@|@bandantego n [i-] (rb Bz)@
@decreed@|@emewe adj. n'amategeko@
@dege n. [in-]@|@plane@
@degree@|@dogere n.@
@dejection@|@byi n. [ama-]@
@denominator@|@ita n. [s. icy- pl. iby-]@
@dental consonant@|@nyamenyo n. [i-]@
@dental n.@|@nyamenyo n. [i-]@
@deny@|@hakana v. [gu-], hakanira v. [gu-]@
@depart (train)@|@genda v. [ku-]@
@depend on@|@shingira v. [gu-]@
@depend upon@|@shingira v. [gu-]@
@deprive@|@kenesha v. [gu-]@
@desert@|@ta v. [gu-], tererana v. [gu-]@
@dessert spoon@|@yiko n. [iki- ibi-]@
@detente (POL.)@|@ruhuko n. [s.aka- pl. utu-]@
@deterrent example@|@somo n. [s. i- pl. ama-]@
@develop@|@sobanura v. [gu-]@
@Devil@|@Shitani, Sekibi, Satani, Shitani n., Sekibi n., Satani n.@
@devote o.s. to@|@ibanda v. [kw-]@
@dexterity@|@hanga n. [ubu-], genge n. [ubu-]@
@diagonal@|@huzampembe n. [s.&pl. im(p)-]@
@diagram@|@bonerahamwe n. [s.&pl. im-]@
@diameter@|@rambararo n. [s. umu-]@
@dictating@|@andikisha n. [iy-] (rb Bz)@
@dictation@|@andikisha n. [iy-] (rb Bz), andikwa n. [icy- iby-] (rb Bz)@
@dictionary@|@koranyamagambo n. [s.&pl. in-]@
@diet@|@ryo n. [in(d)-]@
@digit@|@toki n. [s. uru- pl. in-], toki n. [in-]@
@disappearance of a (voiced) phoneme@|@zimira n. [i-](rb Bz)@
@disc@|@disiki n. [i- ama-]@
@discipline@|@kosora v. [gu-]@
@discus@|@gasire n. [in-]@
@dish antenna@|@ntene n. [a-] paraboliki@
@disorder (that hinders work)@|@dugararo n. [s. umu- pl. imi-]@
@distributor@|@gemuzi n. [umu- aba-]@
@district@|@rere n. [s. aka- pl. utu-]@
@distrust@|@keka v. [gu-]@
@divide@|@tandukanya v. [gu-]@
@diving-board@|@bashuro n.(SPOR.)s.aka-pl.utu-@
@division@|@cakubiri n. [ama-], gabanya n. [i-]@
@divisor@|@gabanya n. [s. iki- pl. ibi-]@
@do it@|@rongorana v. [ku-]@
@do quickly@|@fangura v. [gu-]@
@do sthg secretly@|@ca v. ruhinganyuma (expr.)@
@documentation@|@shyinguranyandiko n. [i-]@
@dog@|@bwa n. [im-]@
@dogere n.@|@degree@
@domestic dog@|@bwa n. [im-]@
@door@|@ugi n. [uru- inz-]@
@dorsal@|@nyamugongo n. [i-](rb Bz)@
@dorsal consonant@|@nyamugongo n. [i-](rb Bz)@
@dorso-palatal consonant@|@nyamusenge n. [i-](rb Bz)@
@double-crosser@|@hemu n. [umu- aba-], tati n. [in-]@
@double-dealer@|@tati n. [in-]@
@doubt@|@keka v. [gu-]@
@doze@|@hunikira v. [gu-]@
@dramatist@|@andikamikino n.[umw-aba-](shy)@
@draw@|@shushanya v. [gu-]@
@drawers@|@kariso n. [i- ama-]@
@drawing@|@shusho n. [s. i- pl. ama-]@
@dream@|@zozi n. [s.&pl. in-]@
@dribble@|@konda n. [in-]@
@drink@|@rahuri n. [iki- ibi-], nywa v. [ku-]@
@drink (animal)@|@shoka v. [gu-]@
@drinking trough@|@bumbiro n. [iki- ibi-]@
@drivel@|@teshwa n. [ama-], konda n. [in-]@
@drool@|@teshwa n. [ama-], konda n. [in-]@
@drop out@|@hara v. [gu-]@
@drowse@|@hunikira v. [gu-]@
@drug@|@ti n. [umu- imi-]@
@duct@|@tuba n. [igi- ibi-]@
@duskiness@|@ijima n. [umw-]@
@ear@|@twi n. [s. ugu- pl. ama-]@
@eardrum@|@goma n. y'ugutwi@
@earth@|@taka n. [pl. ubu-]@
@Earth@|@si n. [s. i- pl. ama-]@
@earthquake@|@tingito n. [umu- imi-] w'isi@
@Easter@|@Pasika@
@eat@|@rya v. [ku-]@
@echo@|@nyiramubande n. [s.&pl.]@
@eclipse@|@irakabiri n. [ubw-]@
@economics@|@kungu n. [pl. ubu-]@
@eff@|@rongorana v. [ku-]@
@effective@|@nogeye adj. [ki-], boneye adj. [ki-]@
@egg@|@gi n. [i- ama-]@
@eighteenth letter of Kinyarwanda alphabet@|@s@
@eighth letter of Kinyarwanda alphabet@|@h@
@ejaculate@|@sohoro n. [ama-]@
@eland@|@nimba n. [i-]@
@elder@|@dukuriye n. [s. udu- pl. aba-]@
@electric light@|@mpuru n. [a-]@
@electricity@|@shanyarazi n. [pl. ama-]@
@eleventh letter of Kinyarwanda alphabet@|@k@
@elsewhere@|@ahandi adv.@
@e-mail@|@baruwa n. [i- ama-] nyurabyuma@
@embryo@|@soro n. [uru-]@
@end@|@dunduro n. [s.&pl. in-], herezo n. [only in s. i-], herezo n. [pl. ama-], sozo n. [s. umu-], tunganya v. [gu-], herezo n.[pl.ama-], dunduro n.[s.&pl. in-], mara v@
@ending@|@dunduro n. [s.&pl. in-], herezo n. [only in s. i-]@
@endlessly@|@ziraherezo n.@
@engine oil@|@vuta n. [ama-] ya moteri@
@engineer@|@kanishi n. [umu- aba-], makanika n.@
@England@|@ongereza n. [Ubw-]@
@English@|@Ongereza n. [s. icy-], ongereza n.[s.umw-pl.ab-]@
@enigma@|@findo n. [ubu-], bazomenamutwe n. [iki- ibi-]@
@enjoy@|@rongorana v. [ku-]@
@enlarge@|@agura v. [kw-]@
@enquiry@|@shakashatsi n. [ubu-]@
@enterpriser@|@rwiyemezamirimo n.@
@entrance@|@injiro n. [umw-] (rb Bz)@
@entrenchment@|@ugushinga imizi@
@entrepreneur@|@rwiyemezamirimo n.@
@entry@|@injizo n. [s. umw- pl. imy-], injiro n. [umw-] (rb Bz), injiriri n. [umw-] (rb rtd)@
@enumerate@|@rondora v. [ku-]@
@envelope@|@bahasha n. [i- ama-]@
@environment@|@kikije n. [pl. ibi-]@
@envy@|@shyari n. [s. i- pl. ama-]@
@epidemic@|@orezo n. [s. icy- pl. iby-]@
@epitome@|@camake n. [in-]@
@equation@|@ganyagaciro n. [s.&pl. in-]@
@equilateral triangle@|@mpandeshatu ndinganire n.@
@Equus caballus@|@koronko n. [in-]*@
@erectness@|@hagarare n. [ubu-] (shy)@
@erosion@|@suri n. [i-]@
@escheat@|@zungura n. ritagira nyiraryo@
@especially@|@ihariko adv. (by'umw-)@
@espouse@|@rongor(w)a v. [ku-]@
@establish@|@syiraho v. [gu-]@
@etc.@|@n'ibindi@
@Eureka!@|@Navumbuye!@
@Europe@|@Uburayi@
@European@|@zungu n. [s. umu- pl. aba-]@
@Eva@|@Eva@
@even number@|@bare n. igabanyika na 2@
@evening@|@goroba n. [umu- imi-]@
@example@|@somo n. [s. i- pl. ama-]@
@except for@|@uretse loc. prep., usibye loc. prep.@
@excrement@|@byi n. [ama-]@
@Exodus@|@yimukamisiri n. [I], Kuva@
@exonerate@|@guhanaguraho icyaha@
@exonerated@|@uguhanagurwaho icyaha@
@expand@|@agura v. [kw-]@
@expensive@|@henda adj.[preceded by n. cl.]@
@explain@|@sobanura v. [gu-]@
@explain the sense of sth@|@futura v. [gu-]@
@explicate@|@sobanura v. [gu-]@
@exploited@|@ibasiwe adj. [cy-]@
@explore@|@shakashatsi n. [ubu-]@
@Explorer@|@Muvogeramasi n.@
@exponent@|@bwikube n.@
@express joy@|@seka v. [gu-]@
@express mirth@|@seka v. [gu-]@
@extension@|@nyongera n. [i-]@
@extensive@|@sesuye adj. [s. gi- pl. bi-]@
@extol the virtues of@|@izihiza v. [kw-]@
@extra@|@kandi adv.@
@eye@|@jisho n. [s. i-]@
@eye(s)@|@so n. [pl. ama-]@
@fabric@|@tambaro n. [igi- ibi-]@
@fabricate@|@cura v. [gu-], cura v. (amatiku/inkuru)@
@factory@|@ganda n. [uru- in-]@
@faeces@|@byi n. [ama-]@
@fall@|@gatebegatoki n.@
@fame@|@amamare n. [s. icy- pl. iby-]@
@famed@|@kimenyabose n.[iki-ibi-], rangirire n.[iki-ibi-]@
@famous@|@menyabose n. [iki- ibi-]@
@famous person@|@amamare n. [s. icy- pl. iby-]@
@farewell@|@ngaho, urabeho, ni ah'ikindi gihe, ku mana@
@farsightedness@|@bonakure n. [im-]@
@fast@|@vuba adv., siba v. [gu-] kurya, iyiriza v. [kw-], igomwa v. [kw-]@
@fasting@|@igomwa n. [s. ukw-]@
@fastly@|@vuba adv.@
@father@|@data, dawe@
@fatherland@|@hugu n. kavukire@
@feaces matter@|@byi n. [ama-]@
@feature (distinguishing)@|@karango n. [aka- utu-](rb Bz)@
@February@|@Gashyantare, ukwezi kwa kabiri@
@fecal movement@|@byi n. [ama-]@
@feces@|@byi n. [ama-]@
@feel blue@|@rakara v. [ku-]@
@feel unhappy@|@rakara v. [ku-]@
@female child@|@kobwa n. [s. umu- pl. aba-]@
@female genitalia@|@tuba n. [igi- ibi-]@
@feudalism@|@hake [pl. ubu-]@
@fiction@|@himbano n. [s. igi- pl. ibi-]@
@field@|@buga n. [s. uru-], rima n. [s. umu- pl. imi-]@
@fifteenth letter of Kinyarwanda alphabet@|@o@
@figure@|@shusho n. [s. i- pl. ama-], bare n. [umu- imi-]@
@file@|@shyinguranyandiko n. [in-], dosiye n. [i-]@
@fille@|@kobwa n. [umu- aba-]@
@film@|@filimi n. [s. i- pl. ama-]@
@finality@|@herezo n. [pl. ama-]@
@financier@|@nyemari n. [umu- aba-]@
@finger@|@toki n. [s. uru- pl. in-], toki n. [in-]@
@fire up@|@shyushya v. [gu-]@
@firebrand@|@gashozamvururu n., gashozantambara n., fumba n. [i- ama-]@
@firmament@|@rere n. [iki-]@
@first@|@mbere adv.@
@first Kinyarwanda noun class for persons@|@mu@
@first letter in Kinyarwanda alphabet@|@a@
@fish@|@fi n. [i- ama-]@
@five@|@gatanu@
@flag@|@bendera n. [s. i- pl. ama-], bendera n.(SPOR.)s.aka- pl.utu@
@flat@|@shashe adj. [s. gi- pl. bi-]@
@flatter@|@cacura v. [gu-], ryoshyaryoshya v. [ku-]@
@flower@|@rabyo n. [uru- in(d)-], rabo n. [uru- in(d)-]@
@fluid@|@sukika n. [igi- ibi-]@
@flute@|@irongi n. [umw- imy-]@
@fog@|@hu n.[igi- ibi-]@
@fold@|@hina v. [gu-]@
@fond regard@|@kundo n. [uru-]@
@fondle@|@syushyanya v. [gu-]@
@food@|@ryo n. [ibi-], eza n. [am-]@
@fool@|@beshyeshya v. [ku-]@
@foot@|@renge n. [iki- ibi-]@
@for@|@kubera@
@force@|@shobozi n. [pl. ubu-], baraga n. [im-]@
@foreign@|@aduka n. [s. inz-], aduka adj. [icy-]@
@foreigner@|@nyamahanga n. [s.umu- pl.aba-]@
@forge@|@cura v. [gu-]@
@form@|@papuro n. [uru- im-]@
@formula@|@tanganzira n. [in-]@
@forsake@|@ta v. [gu-], tererana v. [gu-]@
@fortified camp@|@gerero n. [uru- in-] (rb rtd)@
@forward@|@sibo n. [s. i-]@
@found@|@syiraho v. [gu-]@
@foundation@|@singi n.[umu-imi-], shingiro n.[i-], fatiro n.uru@
@four@|@kane@
@fourteenth letter of Kinyarwanda alphabet@|@n@
@Fr.more@|@bariro n. [aka- utu-] (rb Bz)@
@fraction@|@gabane n. [s. umu- pl. imi-]@
@franc@|@faranga n. [s. i- pl. ama-]@
@frequently@|@kenshi@
@fricative consonant@|@kubyi n. [in-](rb Bz)@
@Friday@|@ku wa gatanu@
@from@|@i prep.@
@front (LING)@|@mbere adv. [cy'i-](rb Bz)@
@front room@|@ganiriro n. [uru-] (rb rtd)@
@front vowel@|@nyajwi n. y'imbere@
@frontal@|@hanga adj. [cyo mu-]@
@fruit@|@buto n. [uru- im-]@
@fuck@|@rongorana v. [ku-]@
@fuddle@|@nywa v. [ku-]@
@fuel@|@canywa n. [igi- ibi-]@
@full point@|@bago n. [aka- utu-] (rb Bz)@
@full stop@|@bago n. [aka- utu-] (rb Bz)@
@fun at@|@cyocyora v. [gu-]@
@fungus@|@humyo n. [igi- ibi-], yege n. [imi-]@
@fungus [BOT.]@|@humyo n. [s. igi- pl. ibi-]@
@fur coat@|@koti n. ry'imbeho@
@furthermore@|@kandi adv.@
@futher@|@kure adj.@
@futuzi n. [im-] ndafutura@|@a/an@
@fuzz@|@satsi n. [s. umu- pl. imi-]@
@gabane n. [s. umu- pl. imi-]@|@fraction@
@gabanya n. [i-]@|@division@
@gabanya n. [s. iki- pl. ibi-]@|@divisor@
@gabanyo n. [s. iki- pl. ibi-]@|@quotient@
@gabanywa n. [iki-]@|@dividend@
@ganyagaciri n. [s.&pl. in-]@|@equation@
@gas@|@uka n. [umw- imy-]@
@gather@|@aha v. [kw-]@
@gazelle@|@sha n. [i-], geragere n. [in-]@
@gazette@|@gazeti n. [i- ama-]@
@gear@|@feri n. [s.Ø- pl. ama-]@
@gender@|@tsina n. [igi- ibi-]@
@genesis@|@tangiriro n.[s.&pl.in-], tangiriro n. [in-]@
@genila organ@|@tsina n. [igi- ibi-]@
@Genocide@|@tsembambaga n. [i-], jenoside n.@
@gently@|@buhoro adv., buhoro buhoro adv.@
@genuinely@|@mu by'ukuri@
@genuineness@|@vugakuri n. [i-], erura n. [iy-]@
@geography@|@menyi n. [pl. ubu-] bw'isi, menyahantu n. [ubu-]@
@geometry@|@jewometiri n.@
@get@|@gera v. [ku-]@
@get going@|@shyira v. nzira@
@get hitched with@|@rongor(w)a v. [ku-]@
@get hold of@|@kacira v. [gu-]@
@get it on@|@rongorana v. [ku-]@
@get laid@|@rongorana v. [ku-]@
@get married@|@rongor(w)a v. [ku-]@
@get out of hand@|@nanirana v. [ku-]@
@get up@|@byuka v. [ku-]@
@ghetto@|@jagari n. [s. aka- pl. utu-]@
@girl@|@kobwa n. [s. umu- pl. aba-], kobwa n. [umu- aba-]@
@girwamwashi n. [s.in-]@|@parallelogram@
@give a hand@|@fasha v. [gu-]@
@give birth@|@byara v. [ku-]@
@give lodging to@|@cumbikira v. [gu-]@
@give up@|@hara v. [gu-], higama v. [gu-], ta v. [gu-]@
@give way@|@higama v. [gu-]@
@glass@|@rahuri n. [s. iki- pl. ibi-], rahuri n. [iki- ibi-]@
@go@|@genda (ku) v. /kwugjeenda/, genda v. [ku-]@
@go against@|@hinyura v. [gu-]@
@go behind someone's back@|@ca v. ruhinganyuma (expr.)@
@go in for@|@ibanda v. [kw-]@
@go up (rocket)@|@genda v. [ku-]@
@goal@|@roko n. [ubu-], kasho n., gereza n., funga v. [gu-]@
@goat@|@hene n. [s. i- pl. i-]@
@God@|@mana n. [I]@
@God (Almighty)@|@mana n. [s. I- pl. I-]@
@good@|@iza adj. [cy-]@
@goodness@|@gwaneza n. [ubu-]@
@goose@|@bata n. [s.&pl. im-]@
@gospel@|@kuru n. [I] Nziza@
@gossip@|@zimwe n. [ama-]@
@gossiper@|@nyamazimwe n. [umu- aba-]@
@governor@|@yobozi n. [s. umu- pl.aba-]@
@grade@|@nota n. [i- ama-]@
@grammar@|@bonezamvugo n. [s. iki-]@
@grass@|@atsi n. [s. aka], atsi n. [s. icy- pl. iby-]@
@grass roots@|@banze n. [i-], fondasiyo n.@
@green@|@atsi n. [s. icy- (colour)]@
@grief@|@shavu n. [i-], unamo n. [icy-]@
@grip@|@varisi n. [i- ama-]@
@groundnut oil@|@vuta n. [ama-] y'ubuto@
@group@|@tsinda n. [s. i- pl. ama-]@
@grouping@|@tsinda n. [s. i- pl. ama-]@
@grown-up@|@kuze adj. [gi-], hamye adj. [gi-], kuru adj. [gi-]@
@guiltless@|@zirakarengane n. [in-]@
@gulf@|@nyenga n. [s. i-]@
@gush@|@nyara v. [ku-]@
@H2O@|@azi n. [s. ama-]@
@hail@|@bura n. [s.&pl. uru-]@
@hair@|@satsi n. [s. umu- pl. imi-], satsi n. [umu- imi-], oya n. [ubw-]@
@half-brother(on the f.'s side)@|@vandimwe n. [umu- aba-]@
@half-hearted@|@zuyazi adj. [s.aka- for pers.]@
@half-sister (on the f.'s side)@|@mushiki n. wawe@
@half-time@|@ruhuko n. [s. aka- pl. utu-]@
@hammer@|@cura v. [gu-]@
@hand@|@ganza n. [s. iki- pl. ibi-], ganza n. [iki- ibi-]@
@hand on heart@|@ntakubeshye (expr.), mu by'ukuri (expr.)@
@hand over@|@subiza v. [gu-]@
@happen@|@ba v. [ku-]@
@harvest@|@aha v. [kw-]@
@hat@|@gofero n. [in-]@
@have a bee in your bonnet@|@rarikira v. [ku-]@
@have a go at it@|@rongorana v. [ku-]@
@have a pee@|@nyara v. [ku-]@
@have a poo@|@nnya v. [ku-]@
@have a wash@|@karaba v. [gu-]@
@have intercourse@|@rongorana v. [ku-]@
@have it away@|@rongorana v. [ku-]@
@have it off@|@rongorana v. [ku-]@
@have kittens@|@hangayika v. [gu-], gira v. umutima uhagaze@
@have sex@|@rongorana v. [ku-]@
@have your hands full@|@huga (ze) v. [gu-]@
@haze@|@hu n. [igi- ibi-] (shy)@
@he@|@we pron.  pers.@
@head@|@shu n. [s. i- pl. ama-], twe n. [s. umu- pl. imi-]@
@headquaters@|@icaro n. [icy- iby-]@
@health@|@zima n. [s. ubu-]@
@heart@|@tima n. [umu- imi-]@
@heart attack@|@rwara n. y'umutima@
@heat@|@shyushya v. [gu-]@
@heat up@|@shyushya v. [gu-]@
@heaven@|@juru n. [s. i- pl. ama-], juru n. [i- ama-]@
@heavens@|@rere n. [iki-]@
@hell@|@riro n. [s. umu-] utazima, nyenga n. [i-]@
@help@|@fasha v. [gu-], kunga n. [in-]@
@Help (COMP.)@|@Mufasha n., Muvunyi n.@
@help out@|@fasha v. [gu-]@
@helper@|@giraneza n. [umu- aba-]@
@herbivore@|@ryabyatsi n. [in(d)-]@
@here@|@aha adv.@
@here is/are@|@reba@
@hexagon@|@mpandesheshatu n.@
@hide-out@|@vumo n. [ubu-]@
@him@|@we pron.  pers.@
@hinduranya v. [gu-]@|@alternate@
@hinge upon@|@shingira v. [gu-]@
@hippodrome@|@buga n.[uru-]rw'amafarasi rtd)@
@history@|@teka n. [pl. ama-]@
@hive@|@agika v. [kw-]@
@hold up to ridicule@|@cunaguza v. [gu-]@
@holy oils@|@vuta n. [ama-] matagatifu@
@homeland@|@hugu n. kavukire@
@homograph@|@andikwakimwe n. [iny-] (rb Bz)@
@honesty@|@vugakuri n. [i-]@
@hook up with@|@rongor(w)a v. [ku-]@
@hooked@|@hete adj. [bu-]@
@horizontal@|@tambitse adj. [gi-]@
@hormone@|@semburo n. [umu- imi-]@
@host@|@mashinibuhuniko n.[i-]@
@hot up@|@shyushya v. [gu-]@
@hour@|@saha n. [s. i- pl. ama-]@
@house@|@cumbikira v. [gu-], zu n. [s. in- pl. ama-]@
@house built on stilts@|@guryi n. [uru-] (rbrtd)@
@house bult on piles@|@guryi n. [uru-] (rbrtd)@
@how@|@te adj. [gu- n- mu- bi-...]@
@however@|@ahubwo, nyamara@
@HQ@|@icaro n. [icy- iby-]@
@hubby@|@gabo n. washatse, ganji n. [umu- aba-]@
@hue and cry@|@amo n. [s. urw-]@
@human@|@nyamuntu adj.@
@human being@|@muntu n. [s. umu- pl. aba-], ntu n. [umu- aba-]@
@human foot@|@renge n. [iki- ibi-]@
@humidity@|@hehere n. [ubu-]@
@hump@|@rongorana v. [ku-]@
@huriro n. [i-]@|@intersect@
@huro n. [umu-]@|@proportion@
@husband@|@gabo n. washatse, ganji n. [umu- aba-]@
@huzampembe n. [s.&pl. im(p)-]@|@diagonal@
@hymn@|@ririmbo n. yubahiriza igihugu@
@hyperonyme@|@akira n. [iny-] (rb Bz)@
@hyponym@|@akirwa n. [iny-] (rb Bz)@
@hypotenuse@|@bereranguni n. [umu- imi-]@
@I@|@njye pron. pers.@
@iburungushure n. [s. umw-]@|@cylinder@
@icon@|@shusho n. [s. i- pl. ama-]@
@idiom@|@shoberamahanga n. [s.&pl. in-]@
@if@|@iyo, iyo, niba@
@ignite@|@shyushya v. [gu-]@
@ignorant@|@tamenya n. [in-]@
@ikube n. [umw-]@|@sqare root@
@ill-used@|@ibasiwe adj. [cy-]@
@illustration@|@shusho n.[s.i-pl.ama-], shushanyo n.[s.igi-pl.ibi]@
@image@|@shusho n. [s. i- pl. ama-]@
@imbibe@|@nywa v. [ku-]@
@imitator@|@igannyi n. [umw- ab-] (rb rtd)@
@immerse o.s. to@|@ibanda v. [kw-]@
@immunity@|@hangarwa n. [ubuda-]@
@immure@|@funga v. [gu-]@
@impala@|@mpala n. [i-]@
@impersonator@|@igannyi n. [umw- ab-] (rb rtd)@
@implementation@|@ishyirwa mu bikorwa@
@implore@|@senga v. [gu-], inginga v. [kw-]@
@imploring@|@inginga n. [iy-], ingingiriza n. [iy-]@
@impoverish@|@kenesha v. [gu-]@
@impoverishment@|@kene n. [ubu-]@
@impressario@|@ishingira n.[umw-ab-] (rb rtd)@
@imprison@|@funga v. [gu-]@
@in@|@mu prep., mwo prep.@
@in advance@|@mbere@
@in form of arch@|@heto adj. [bu-]@
@in front of@|@mbere adv. [i-]@
@in hand@|@cunzwe adj. [gi-], rinzwe adj. [ki-]@
@in Kigali@|@i Kigali@
@inane/mindless/asinine/fatuous remark@|@futi n. [s. i- pl. ama-]@
@incandescent lamp@|@mpuru n. [a-]@
@incarcerate@|@funga v. [gu-]@
@incessantly@|@dasiba n. [ubu-], datuza n. [ubu-]@
@incisor@|@enyo n. ry'imbere@
@indent@|@ka n. [s. aga- pl. udu-]@
@index@|@marere n.@
@India@|@Ubuhindi@
@inequality@|@sumbane n [ubu-]@
@inequation@|@sumbanyagaciro n. [in-]@
@inexperienced@|@tamenya n. [in-]@
@infectious disease@|@rwara n. zandura@
@inflexibility@|@ukutava ku izima, zima n. [s. i-]@
@information@|@kuru n. [pl. ama-]@
@iniquity@|@ijima n. [umw-]@
@initial@|@banza adj. [iki-] (rb Bz)@
@inner ear@|@twi n. kw'imbere@
@innocent@|@zirakarengane n. [in-]@
@insead of@|@ho adj. clause [a-]@
@insect@|@nigwahabiri n. [i-]@
@insert@|@sesekamo v. [gu-], ongeramo v. [kw-]@
@inside@|@mbere adv. [i-]@
@instigant@|@gashozantambara n., gashozamvururu n.@
@institute@|@syiraho v. [gu-]@
@instrumental phonetics@|@igamajwi n. nyabyuma@
@insurance@|@ishingizi n. [pl. ubw-]@
@interaction@|@koranire n. [s. imi-]@
@intercourse@|@huzabitsina n. [i-], bonano n. mpuzabitsina@
@interminable@|@daca n. [s. uru-]@
@international@|@mpuzamahanga adj., huzamahanga n. [m(p)-]@
@international alphabet@|@tonde n. mpuzamahanga (rb Bz)@
@International Phonetic Alphabet@|@tonde nyejwi mpuzamahanga(shy)@
@Internet@|@Interineti, sobekerane-mpuzamasi n. [uru-]@
@Internet service@|@koresharusobempuzamasi n. [i-]@
@Internet user@|@koresha n. Interineti@
@interrogation point@|@bazo n. [aka- utu-]@
@interrogative@|@baza adj. [ki-](rb Bz)@
@intersect@|@huriro n. [i-]@
@interval@|@bezi n. [iki- ibi-] (rb Bz)@
@intestine@|@ra n. [uru-/ubu- ama-]@
@introduction@|@tangiriro n.[s.&pl.in-], injiro n. [umw-] (rb Bz)@
@invent@|@cura v. (amatiku/inkuru)@
@invention@|@himbano n. [s. igi- pl. ibi-]@
@invertebrate@|@nyangoro n. [iki- ibi-]@
@investigation@|@shakashatsi n. [ubu-]@
@investment@|@shyirwaho n. [i-]@
@invitation@|@tumire n. [pl. ubu-]@
@invoice@|@emezabuguzi n. [iny-], fagitire@
@invoke@|@iyambaza v., tabaza v., shingikiriza v. [kw-]@
@IPA@|@tonde nyejwi mpuzamahanga(shy)@
@irakabiri n. [ubw-]@|@eclipse@
@irregular verb@|@shinga idakurikiza amategeko@
@irrigate@|@vomerera v. [ku-] imyaka@
@irritate s.o.@|@rakaza v. [ku-], kora v. mu jisho, sembura v. [gu-]@
@isogloss@|@bibi n. [iki- ibi-] (rb Bz)@
@isosceles triangle@|@mpandeshatu nyampanga n.@
@ita n. [s. icy- pl. iby-]@|@denominator@
@italic@|@garagaza n. [s.&pl. in-]@
@itemisation@|@tondeko n. [in-]@
@itemize@|@rondora v. [ku-]@
@jack off@|@ikinisha v. [kw-]@
@jail@|@roko n. [ubu-], kasho n., gereza n.@
