@English@|@Kinyarwanda@
@advisor@|@jyanama n. [umu- aba-], gishwanama n. [umu- aba-]@
@aerial@|@anteni n., nteni n. [a-]@
@aeroplane@|@dege n. [in-]@
@affection@|@kundo n. [uru-]@
@affirmation@|@yemeza n. [i-]@
@affirmative@|@emeza adj. [ny-] (rb Bz)@
@affix@|@omeke n. [iny-](rb Bz), uzuza v. [ku-]@
@affricate (LING)@|@turike nkubyi n. [in-](rb Bz)@
@affricative consonant@|@gomajwi n. y'inturike nkubyi@
@Afganistan@|@Afuganisitani@
@Africa@|@Afurika@
@African@|@nyafuruka adj.@
@African alphabet@|@tonde n. nyafurika@
@after@|@nyuma adv.@
@afterward@|@nyuma adv.@
@afterwards@|@bukeye, nyuma adv.@
@age@|@aka n. [s. umw- pl. imy-]@
@agency@|@shami n. [i- ama-]@
@agenda@|@ibiri ku murongo w'ibyigwa, ibiteganyijwe@
@agent@|@nyagukora n. (rb Bz)@
@agreement@|@sezerano n. [s. i- pl. ama-], sanisha n. [i-]@
@ahead@|@mbere adj. [i-], mbere@
@aid@|@fasha v. [gu-], kunga n. [in-]@
@AIDS@|@SIDA@
@air@|@uka n. [umw- imy-]@
@air pollution@|@humana n. ry'umwuka@
@airplane@|@dege n. [in-]@
@Albania@|@Alubaniya n.@
@alcoholism@|@sinzi n. [ubu-]@
@Algeria@|@Alijeriya n.@
@alien@|@nyamahanga n. [s.umu- pl.aba-], cyo kuyindi si@
@align@|@tondeka v. [gu-]@
@alignment@|@tondekanya n. [s. i-]@
@all@|@ose adj. [byo-]@
@allegy@|@furut(w)a n. [i-]@
@alleluia!@|@aleluya@
@allomorph@|@zibukirana nyantego n. [in-]@
@allophone@|@zibukirana nyejwi n.(rb Bz)@
@allot@|@guha uburenganzira@
@allow@|@ha v. [gu-] uburenganzira@
@Almighty@|@shoborabyose n. [U-]@
@alphabet@|@tonde n. [i-](rb Bz)@
@altar@|@eza n.[am]ya Nyagasani, alitari n., tambiro n.uru-@
@alternation@|@hinduranya n. [s. i-]@
@alveolar consonant@|@nyeshinya n. [i-] (rb Bz)@
@always@|@buri gihe@
@American@|@cyo muri Amerika@
@American continent@|@Amerika@
@amiable@|@gwaneza adj. [u-]@
@amount@|@ngano n. [s. i-]@
@ample@|@sesuye adj. [s. gi- pl. bi-]@
@amplifier@|@ongeramuriro n. [iny-]@
@amuse a child@|@beshyeshya v. [ku-]@
@analogy@|@so n. [in-](rb Bz)@
@analysis@|@sesengura n. [i-](rb Bz)@
@anchor@|@kingi n. [ink-]@
@and@|@na conj.@
@andiko n. [s. umw- pl. imy-]@|@text@
@angel@|@malayika n. [umu- aba-], ziranenge n. [umu- aba-]@
@angle@|@furuka n. [s.&pl. im-]@
@animal@|@nyamaswa n. [in-], koko n. [igi- ibi-], simba n. [igi- ibi-]@
@animate@|@kiyega adj. (rb Bz)@
@animate (LING)@|@kiyega adj. (rb Bz)@
@animated@|@kiyega adj. (rb Bz)@
@ankle@|@gombambari n. [s.aka- pl.utu-], bumbambari n. [s.aka- pl.utu-]@
@annex@|@nyongera n. [i-]@
@annexe@|@nyongera n. [i-], gereka n. [umu-](rb Bz)@
@annihilate@|@rimbura v. [ku-], senya v. [ku-]@
@answer the call of@|@ituma v. [kw-]@
@anterior@|@mbere adv. [cy'i-](rb Bz)@
@anthem@|@ririmbo n. yubahiriza igihugu@
@anthrax@|@shyute n. [igi- ibi-]@
@antibody@|@rindamubiri n. [in(d)-], bamizi n. [im-]@
@Antidorcas euchore@|@hongo n. ubwoko bw'im(p)-@
@Antidorcas marsupialis@|@hongo n. ubwoko bw'im(p)-@
@antipathy@|@ango n. [urw-], nyange n. [i-]@
@antonym@|@nyuranyo n. [s. iki- pl. ibi-], busane n. [im-](rb Bz)@
@apart from@|@usibye loc. prep., uretse loc. prep.@
@ape@|@igannyi n. [umw- ab-] (rb rtd)@
@aper@|@igannyi n. [umw- ab-] (rb rtd)@
@aperture@|@yatu n. [i-](rb Bz)@
@apical consonant@|@nyesonga n. [i-]@
@apico-alveolar consonant@|@nyesongashinya n. [i-](rb Bz)@
@apico-dental conson.@|@nyamenyo n. [i-]@
@apocope@|@giganyuma n. [i-](rb Bz)@
@apostrophe@|@kato n. [s. aga- pl. udu-], kato n. [aga- udu-](rb Bz)@
@apparition@|@boneka n. [i-], bonekerwa n. [i- ama-]@
@appear suddenly@|@aduka v. [kw-]@
@appease@|@ryoshyaryoshya v.[ku], cogoza v.[gu], cururutsa v.@
@append@|@uzuza v. [ku-]@
@appointed@|@emewe adj. n'amategeko@
@appointment@|@shyirwaho n. [i-]@
@approach@|@egera v. [kw-], hana n. [s. umu- pl. imi-], yaduka n. [s. i-]@
@April@|@Mata, ukwezi kwa kane@
@Arabia@|@Arabiya@
@arc@|@heto n. [s. umu- pl. imi-], heto n. [aga- udu-]@
@arched@|@hete adj. [bu-]@
@architecture@|@bakanabuhanga n. [s. iyu-]@
@are you kidding?@|@urakina?, urankinisha?@
@area@|@rere n. [s. aka- pl. utu-], so n. [pl. ubu-]@
@arise@|@byuka v. [ku-], vuka v. [ku-]@
@arithmetic@|@hiriko n. [umu- imi-]@
@arm@|@boko n. [uku- ama-]@
@armpit@|@aha n. [s. ukw- pl. am-]@
@arrival@|@yaduka n. [s. i-]@
@arrive@|@gera v. [ku-], sohora v. [gu-]@
@arse@|@buno n. [iki- ibi-]@
@art@|@geni n. [pl. ubu-]@
@artery@|@misha n. [umu- imi-]@
@article@|@futuzi n. [s.&pl. im-], curuzwa n. [s.igi-pl.ibi-], gingo n. [in-]@
@articulation@|@atura n. [iy-] (rb Bz)@
@articulatory phonetics@|@igamajwi n. nyakanwa@
@artificer@|@makanika n.@
@Asia@|@Aziya@
@aside from@|@uretse loc. prep., usibye loc. prep.@
@aside n.@|@acid@
@ask@|@baza v. [ku-]@
@assist@|@fasha v. [gu-]@
@assistance@|@kunga n. [in-]@
@assurance@|@ishingizi n. [pl. ubw-]@
@at@|@i prep.@
@at first@|@mbere na mbere, ubwa mbere@
@at Gisenyi@|@ku Gisenyi@
@at home@|@imuhira@
@at Kigali@|@i Kigali@
@at Ruhengeri@|@mu Ruhengeri@
@at the biginning@|@ku isoko@
@at the market@|@ku isoko@
@at the royal court@|@ami n. [i-]@
@at the source@|@ku isoko@
@Atlantic@|@Atalantika@
@atmosphere@|@rere n. [ik-]@
@attachment@|@kundo n. [uru-], ihambira n. [ukw-], imariramo n. [ukw-]@
@attend to the call of nature@|@ituma v. [kw-]@
@attribute@|@ranga adj. [ibi-]@
@augment@|@domo n. [i-](rb Bz)@
@August@|@Kanama, ukwezi kwa munani@
@aunt@|@senge n. [ma/nyogo-]@
@auricle@|@twi n. [s. ugu- pl. ama-]@
@Australia@|@Ositaraliya@
@authority@|@basha n. [pl. ubu-]@
@auto@|@modoka n. [im-]@
@automation@|@koreshabyumabwenge n. [i-]@
@automobile@|@modoka n. [im-]@
@auxiliary verb@|@shinga n. [s.&pl. in-] mfasha@
@average@|@huzandengo n. [s. im(p)-]@
@axe@|@kingi n. [s.&pl. in-]@
@B.C.@|@mbere ya Kirisito@
@backbone@|@kingi n. [ink-]@
@backside@|@nyuma n. [i-]@
@bag@|@kapu n. [igi- ibi-]@
@bagatelle@|@ntakavuro n.@
@baggy@|@sesuye adj. [s. gi- pl. bi-]@
@balanced diet@|@ryo n. yuzuye@
@baldachin@|@tabashwa n. [iki-]@
@banana plantation@|@toki n. [s. uru- pl. in-]@
@bandit@|@bandi n. [i- ama-], jura n. [umu- aba-]@
@bandy@|@hete adj. [bu-]@
@bang@|@rongorana v. [ku-]@
@baptism@|@batizo n. [s. umu- pl. imi-], Batismimu@
@bara n. [s. iki- pl. ibi-]@|@numerator@
@bare n. [imi-] y'ikiromani@|@Roman numerals@
@bare n. igabanyika na 2@|@even number@
@bare n. nyakamwe@|@prime number@
@bark@|@moka v. [ku-], kankama v. [gu-]@
@barwa n. [umu- imi-] nyakamwe@|@odd number@
@base@|@saso n. [i- ama-] y'igitanda@
@bat (in ping-pong)@|@manuzo n.(SPOR)[s.aka-pl.utu-]@
@battery@|@batiri n., bikamuriro n. [im-], batiri n. [Ø- ama-]@
@bauble@|@ntakavuro n.@
@be@|@ba v. [ku-]@
@be a long time coming@|@shyira v. kera@
@be born@|@vuka v. [ku-]@
@be caught red-handed@|@fatirwa v. mu cyuho@
@be famous@|@amamara v. [ku-]@
@be independent@|@igenga v. [kw-], haza v. [kw-]@
@be intimate@|@rongorana v. [ku-]@
@be pleintful@|@gwira v. [ku-]@
@be received@|@akirwa v. [kw-]@
@be very busy@|@huga (ze) v. [gu-]@
@be very nervous about sthg@|@hangayikwa v. [gu-]@
@be wrong@|@ibeshya v. [kw-]@
@beaker@|@kombe n. [igi- ibi-]@
@bear@|@byara v. [ku-]@
@because@|@kubera ko, kubera@
@become extremely angry@|@bisha v. [ku-], hinduriza v. [gu-], gira v. urukara@
@become impossible to manage@|@nanirana v. [ku-]@
@become lax/laxer@|@tezuka v. [gu-]@
@bed@|@riri n. [s. ubu-], tanda n. [igi- ibi-], riri n.[s.ubu-], tanda n.[igi-ibi-], tara n.[uru], rongorana v. [ku-]@
@bed base@|@saso n. [i- ama-] y'igitanda@
@bed sheet@|@shuka n. [i- ama-]@
@bee@|@yuki n. [s. uru- pl. inz-]@
@beehive@|@vumbu n. [uru-] (shy)@
@Beelzebub@|@Belizebuli n.@
@before@|@mbere adv. [i-]@
@beforehand@|@mbere@
@beg@|@senga v. [gu-], saba v. [gu-], sabiriza v. [gu-]@
@begger@|@sabirizi n. [umu- aba-]@
@begging@|@sabiriza n. [i-], kutiriza n. [i-]@
@begin@|@tangira v. [gu-]@
@beginning@|@tangiriro n.[s.&pl.in-]@
@behind@|@nyuma n. [i-]@
@below@|@hepfo, munsi@
@benefactress (f.)@|@giraneza n. [umu- aba-]@
@benefctor (m.)@|@giraneza n. [umu- aba-]@
@bereavement@|@unamo n. [icy-]@
@bereranguni n. [umu- imi-]@|@hypotenuse@
@besides@|@kandi@
@betrayer@|@hemu n. [umu- aba-], tati n. [in-]@
@beware of the dog@|@Hari imbwa iryana!@
@bewilder@|@mena v. [ku-] (amatwi)@
@Bible@|@Bibiliya n.@
@bicycle@|@gare n. [i- ama-]@
@bike@|@gare n. [i- ama-]@
@bilabial consonant@|@nyaminwa n. [i-](rb Bz)@
@bilabial n.@|@nyaminwa n. [i-](rb Bz)@
@bill@|@fagitire, emezabuguzi n. [iny-]@
@biology@|@menyi n. bw'ibinyabuzima@
@bird@|@nyoni n. [i-]@
@birth@|@vuka n. [i- ama-], byara v. [ku-]@
@birthe@|@byara v. [ku-]@
@bishop@|@musenyeri n., episikopi n. [s. umw- pl. ab-]@
@bitterness@|@isharirize n. [ubw-]@
@blackbuck(Antilope cervicapra)@|@hongo n. ubwoko bw'im(p)-@
@blandish@|@shimagiza v. [gu-] n'uburyarya@
@blanket@|@ringiti n. [iki-ibi-], rangiti n. [ubu-]@
@blindly@|@humyi adj. [bu-]@
@blood@|@tuku n. [s. umu- pl. imi-], raso n. [pl. ama-]@
@blood relations@|@fitanye v. [aba-] isano@
@blood vessel@|@heha n. y'amaraso@
@bloomers@|@kariso n. y'abagore@
@blue@|@ruru n. [ubu-]@
@BM@|@byi n. [ama-]@
@body@|@biri n. [s. umu pl. imi-], bumbe n.[s.umu-pl.imi-]@
@body lotion@|@vuta n. [ama-]@
@boil@|@byimba n. [iki- ibi-]@
@bone@|@guf(w)a n. [i- ama-]@
@bonk@|@rongorana v. [ku-]@
@book@|@tabo n. [s. igi- pl. ibi-], tabo n. [igi- ibi-]@
@boor@|@nyacyaro n. [umu- aba-]@
@booze@|@nywa v. [ku-]@
@botany@|@menyi n. bw'ibimera@
@both of you/them@|@mbi n. [pl. mwe- bo- yo-...]@
@bottle@|@cupa n. [s. i- pl. ama-], cupa n. [i- ama-]@
@bottom@|@diba n. [s.&pl.], hasi, buno n. [iki- ibi-]@
@bow@|@hete adj. [bu-]@
@bowel movement@|@byi n. [ama-]@
@bowl (made of wood)@|@behe n. [s.&pl. im-]@
@boy@|@hungu n. [s. umu- pl. aba-]@
@brain@|@onko n. [ubw-]@
@break@|@tanya v. [gu-]@
@break someone's heart@|@babaza v. mugenzi wawe, shavuza v. [gu-], tera v. intimba@
@break up@|@tandukana v. [gu-], tana v. [gu-], tanya v. [gu-]@
@brean-teaser@|@findo n. [ubu-], bazomenamutwe n. [iki- ibi-]@
@breast@|@bere n. [s. i- pl. ama-]@
@brigand@|@jura n. [umu- aba-]@
@bring (sthg/s.o. to sb)@|@shyira v. [gu-]@
@bring before the assembly@|@shyira v. mu rubuga@
@bring down@|@manura v. [ku-]@
@bring in conflict@|@shyamiranya v. [gu-]@
@bristle@|@oya n. [ubw-]@
@broth@|@fa n. [s. umu-]@
@brother@|@furere n. [umu- aba-]@
@browser@|@jagajaga n. [in-]@
@brutal adj.@|@hubutsi n. [igi-] (shy)@
@brute@|@hubutsi n. [igi-] (shy)@
@bud@|@twetwe n. [s. umu- pl. imi-]@
@bug s.o.@|@rakaza v. [ku-], kora v. mu jisho, sembura v. [gu-]@
@bulb@|@mpuru n. [a-]@
@bumbe n. [umu- imi-]@|@sphere@
@burn (of fire)@|@aka v. [kw-]@
@burungushura n. [i-]@|@rounding@
@bush@|@sya n. [in-]@
@bushbuck(Tragelaphus scriptus)@|@hongo n. [im(p)-]@
@but rather@|@ahubwo@
@butter@|@vuta n. [pl. ama-]@
@butter churn@|@sabo n. [igi- ibi-]@
@buttock@|@buno n. [s. i- pl. ama-], buno n. [iki- ibi-]@
@button@|@buto n. [Ø- ama-], rugongo n.@
@bwikube@|@exponent@
@cabbage@|@shu n. [s. i- pl. ama-]@
@cafeteria@|@samuriro n. [uru- in-](rb rtd)@
@cakubiri n. [pl. ama-]@|@division@
@calendar@|@indangaminsi, kalendari, rangaminsi n. [in(d)-], kalendari n.@
@call@|@akura v. [ku-], hamagara v. [gu-], ita v. [kw-]@
@call upon@|@itabaza v., yambaza v., tabaza v.@
@calm down@|@cururutsa v. [gu-], cururuka v. [gu-], tuza v. [gu-]@
