@short@|@pukupuku@
@shy@|@maa, mamaa@
@six@|@ono@
@sky@|@lagi@
@small@|@liki, pukupuku@
@smoke@|@au@
@some@|@ne, ni@
@son@|@tamatangata@
@sow@|@puaka fafine@
@space between two things@|@va@
@spider@|@leveleve, pogaa, pogaaleveleve@
@star@|@fetuu@
@sticks@|@lakau@
@stone@|@fatu@
@strong@|@mafi@
@tail@|@velo@
@teeth marks@|@tunga nifo@
@ten@|@angafulu, gafulu, sefulu@
@that away from us@|@tela@
@that house yonder is theirs@|@Te lotou fale tela@
@that I may not give@|@Ke se tuku ne au@
@that is Luao's father@|@Tena te tamana o Luao@
@that is my house@|@Ko toku fale tena@
@that near you@|@na, tena@
@thatch@|@ato@
@the@|@a, te@
@the bottom@|@lalo@
@the brother of my father@|@Te taina o toku tamana@
@the canoe house@|@te fale vaka@
@the first born@|@Te toekimua@
@the first item@|@Te mea mua@
@the fish@|@te ika@
@the front@|@mua@
@the inside@|@loto@
@the large house@|@te fale lasi@
@the outer side@|@tua@
@the outside@|@fafo, fofo@
@the present@|@nei@
@the quickness@|@te vave@
@the rear@|@muli@
@the sea shore@|@tai@
@the second@|@Te lua@
@the sound@|@te ngangana@
@the strength@|@te mali@
@the third@|@Te tolu@
@the third person@|@Te tokotolu o tangata@
@the top@|@lunga@
@The wife (husband) of whom?@|@Te avanga o ai?@
@their@|@a latou, a laua, te la, te lotou@
@their children@|@La tama@
@their house@|@Te lotou fale@
@their houses@|@Olotou fale@
@their land@|@Te la manafaa@
@their lands@|@La manafa@
@their stick@|@Te la lakau@
@There are not any long sticks@|@Se ai ne lakau loa i konei@
@these are my children@|@Konei aku tama@
@These hats-whose are they?@|@A pulou konei-e o ai?@
@these houses@|@te fale nei@
@These lands-whose are they?@|@A manafa konei-e o ai?@
@these near me@|@nei@
@they@|@latou, laua@
@They are mine@|@E a aku@
@they gave@|@Ne tuku ne latou@
@they give@|@E tuku ne latou@
@they shall give@|@Ka tuku ne latou@
@thick@|@maatolu@
@thin@|@manifi, pakapaka@
@thirteen@|@angafulu ma tolu, sefulu tolu@
@thirty@|@tolu ngafulu@
@this house@|@te fale nei@
@this is a good house@|@Se fale lelei tenei@
@this is he@|@Ko ia tenei@
@this near me@|@tenei@
@This stick is longer@|@E loa aka (ake) te lakau nei@
@those away from us@|@kola@
@Those canoes-whose are they?@|@A vaka kola-e o ai?@
@Those gardens-whose are they?@|@A umanga kola-e o ai?@
@those near you@|@kona@
@thou@|@ke, koe@
@three@|@tolu, tolu@
@Three@|@E tokotolu@
@three canoes@|@Vaka e tolu@
@three each@|@Takitolu@
@thunder@|@fatitili@
@thy@|@au, tau@
@thy canoes@|@Ou vaka@
@thy wife@|@Tou avanga@
@to blow@|@agi, puhi@
@to breathe@|@maanava@
@to burn@|@tutu, tuugina@
@to chew@|@lamu@
@to choose@|@fili@
@to cook@|@tunu@
@to count@|@lau, tau@
@to creep@|@o totolo@
@to cut@|@he, hele, ihi, motu, talai@
@to die@|@mate@
@to dig@|@keli, kenu@
@to dream@|@miti@
@to drink@|@inu@
@to eat@|@kai@
@to fall@|@higa, too@
@to fear@|@mataku@
@to fly@|@eva, kopa@
@to grow@|@homo, tupu@
@to happen@|@O tupu@
@to hide@|@mmuni@
@to hit@|@paa, patu, taa, tuki@
@to hold@|@puke, tago@
@to hunt@|@tu, tuli@
@to know@|@iloa, kkafi, matau@
@to laugh@|@kata@
@to lie@|@o pepelo@
@to live@|@ola@
@to open@|@ta, tala@
@to place@|@O tuku@
@to pound@|@tuki@
@to scratch@|@alati@
@to sew@|@tui@
@to shoot@|@fana@
@to sit@|@nofo@
@to sleep@|@moe@
@to snif@|@hohongi@
@to spit@|@anu, puaki@
@to split@|@faa, ma@
@to stab@|@ho, hoka, huki@
@to stand@|@tuu@
@to steal@|@kaiaa, kamo@
@to stick@|@aakau@
@to suck@|@miti@
@to sueeze@|@kukumi, tau@
@to swell@|@fe, fete, fu, fula@
@to swim@|@kakau@
@to the top of@|@ki lunga ki@
@to think@|@manatu@
@to throw@|@pei, tupe@
@to tie up@|@fa, fau, lii, noa@
@to turn@|@ui@
@to vomit@|@lua@
@to walk@|@saale@
@to what are you listening?@|@E fakalongo koe ki te a?@
@to whom did you give it?@|@Ne tuku ne koe ki ai?@
@to whom?@|@Ki ai?@
@to wipe@|@o sosolo@
@to work@|@haga, O ngalue@
@to yawn@|@maavava@
@tongue@|@alelo@
@tooth@|@nifo@
@twelve@|@angafulu ma lua, sefulu lua@
@twenty@|@Iua ngafulu, lua sefulu@
@two@|@lua@
@two canoes@|@Vaka e lua@
@two persons@|@tokolua@
@upon@|@i lunga, i lunga i@
@warm@|@fana, ma@
@water@|@vai@
@we@|@maa, maa, matou, maua, t, tatou, taua, tou@
@we gave@|@Ne tuku ne matou, Ne tuku ne maua, Ne tuku ne taua@
@we gave (1)@|@Ne tuku ne tatou@
@we give@|@E tuku ne maua@
@we give (dual inclusive)@|@E tuku ne taua@
@we give (pl. exlusive)@|@E tuku ne matou@
@we shall give@|@Ka tuku ne matou, Ka tuku ne maua, Ka tuku ne tatou, Ka tuku ne taua@
@wet@|@hihiu, siiu, sisiu@
@what are you running for?@|@E tele koe.i te a?@
@what are you speaking about?@|@E faipati koe ki te a?@
@what is that lime for?@|@E fai mo te a te lase na?@
@What is the name of that?@|@Se a te ingoa o te mea na?@
@What is your name?@|@Ko ai tou ingoa?@
@what is your opinion?@|@Se a tou taofl?@
@what place?@|@fea?@
@what?@|@aa@
@What?@|@Se a?, te a?@
@when?@|@aafea@
@Where is my canoe?@|@Te fea toku vaka?@
@Where is my room?@|@Tefea taku "room"?@
@Where is the bar?@|@Tefea te "bar"?@
@Where is the beach?@|@Tefea te laukele?@
@where?@|@fea@
@which is the canoe he built?@|@fea te vaka ne ta ne ia?@
@Which?@|@Te fea?@
@white@|@tea@
@Who are banded here above?@|@Koi kautia mai lunga nei?@
@who is that person?@|@Ko ai te tama tena?@
@who is there?@|@Ko ai na?@
@who?@|@ai@
@Whosc homeland is it?@|@E o ai te fenua?@
@Whose actions?@|@Faifainga a ai?@
@Whose adzes?@|@Toki a ai?@
@Whose ancestors?@|@Tupuna o ai?, Tupuna o ai?@
@Whose are those canoes?@|@E o ai vaka kola?@
@Whose are those children?@|@E a ai tamaliki kola?@
@Whose are those coconut shells@|@E a ai a fangongo kona?@
@Whose are those houses?@|@E o ai fale kola?@
@Whose canoe?@|@Te vaka o ai?@
@Whose canoes?@|@Vaka o ai?@
@Whose child?@|@Tama a ai?@
@Whose children are those?@|@E a ai tamaliki kola?@
@Whose children?@|@Tamaliki a ai?@
@Whose departure?@|@Te olonga a ai?@
@Whose father?@|@Te tamana o ai?@
@Whose fish are these?@|@E a ai ika konei?@
@Whose flight?@|@Te teleatunga a ai?@
@Whose garden?@|@E o ai te umanga?@
@Whose hat is this?@|@E o ai te pulou nei?@
@Whose homeland?@|@Te fenua o ai?@
@Whose is that canoe?@|@E o ai te vaka na?@
@Whose is that food?@|@E a ai te meakai na?@
@Whose is the adze?@|@E a ai te toki?@
@Whose is the fish?@|@E a ai te ika?@
@Whose is the house?@|@E o ai te fale?@
