@gift@|@tunerk@
@gives@|@pimayarpok, tunisiyok, tuniyok@
@gives back to owner@|@satortok@
@gnashes teeth@|@aglerolarpok@
@gnaws@|@mikkakpok@
@goes afar to visit folks@|@tuyurmiarpok@
@goes ahead@|@imgiarpok, ingiarpok, ingiarpok, sivudlerpok@
@goes and hides@|@iyerartorpok@
@goes around@|@awalukpok, uivarpok@
@goes by airplane@|@tingmisorpok@
@goes elsewhere@|@assianuarpok@
@goes far away@|@awadlerpok@
@goes fast@|@nakkertok@
@goes faster and faster@|@nakkersarpok@
@goes first@|@sivulingayok@
@goes home@|@aiwok@
@goes inland with whole family@|@taggiarpok@
@goes out to see if some one is coming@|@itsuarpok@
@goes out to see if someone is coming@|@iktortok@
@goes straight ahead@|@tukiliarpok@
@goes to and fro@|@awamurpok@
@goes to the edge of ice@|@sinaliarpok@
@good bye (to those staying home.)@|@togvawutit@
@good speaker@|@okratsiak@
@good worker@|@pilerigayuktok@
@grace@|@saimarnert@
@great thinker@|@issumadguyok (Padl)@
@grey colour@|@siarnak@
@guards@|@mianersiyok@
@guides@|@tassiorpok@
@hair fallen from skin@|@pilu@
@happiness@|@kuviasungnerk@
@happy@|@kuviasukpok@
@has a good reputation@|@piktauyoriyauyok@
@has a good sight@|@takpikpok@
@has confidence@|@okpigosukpok, tatiriyok@
@has finished@|@areoyok@
@has hiccups@|@simmiktartok@
@has his mouth open@|@aitangayok@
@has no end: eternal@|@issukangitok@
@has no equal@|@nadlikangirtok@
@has no memory@|@puigodguyok (Padl.)@
@has no trouble@|@kranoengitok@
@has not been touched@|@pissimaitok@
@has strong arms@|@talleriktok@
@has to be worked@|@piyarealik@
@he quarrels@|@aivayok@
@hesitates@|@kollarpok@
@hides face in hands@|@tallungmiyok@
@hides self@|@iyerpok@
@hinders no one@|@agvaerpok@
@hinders others@|@agviarpok@
@holds head leaning on one side@|@manangayok@
@holds his own@|@angutiriyok@
@holds on (afraid to fall)@|@pinaimiyok@
@hope@|@nerriungnerk@
@hops@|@kiggertarpok, kregertarpok, okrigisertok@
@how nice!@|@adja! (avi)@
@how slow!@|@warayar!@
@howls@|@miorpok@
@howls (dog)@|@miagorpok@
@iceberg@|@pikaluyak@
@imitates@|@adjiliwok, idjuarsiwok, pingoarpok@
@in full activity@|@wayartok, wayok (Padl.)@
@in good humour@|@kriptaerpok@
@inclined to revenge@|@akkiyomawok@
@inseparable@|@awisuitok@
@insistent beggar@|@krenutuyok@
@intelligence@|@sila, silatunerk@
@intelligent@|@illituyok, iparsiwok (Okk.), issumadguyok (Padl), kakituyok@
@is a beginner@|@pigiorpok@
@is a coward@|@kussuyok@
@is a good walker@|@pissualayok@
@is a great talker@|@okradlorikpok@
@is able to do much@|@pikarikpok@
@is absent minded@|@okkojiyok@
@is adopted@|@tiguangoyok, tiguark@
@is afraid@|@erksiwok, kapiasukpok, nangiarpok@
@is always home@|@awinesuitok@
@is ambitious@|@piomitartok, piyomittartok, ungatarpok@
@is anxious@|@niviorpok, opagiarpok, pingigarpok@
@is ashamed@|@kangusukpok@
@is at a long distance@|@sivituyok@
@is at a short distance@|@sivikiktok@
@is at work@|@wayartok, wayok (Padl.)@
@is avaricious@|@tigumayok, uivituyok@
@is awake@|@erkromayok, tupakpok@
@is bad@|@piktaungitok@
@is bent (to hide from game)@|@puktok, pungayok@
@is busy@|@suliwok@
@is calm@|@auimaitok@
