@English@|@Malay@
@a medicinal herbal plant@|@bakawali@
@a metal box@|@tepak@
@a meter (measuring device)@|@jangka@
@a method of execution@|@salang@
@a moan@|@keluhan@
@a moan or groan@|@erangan@
@a moment@|@sebentar, sejenak, sejurus, sekejap, seketika@
@a mosque drum@|@tabuh@
@a mould@|@acuan@
@a murmur@|@bisikan@
@a Muslim call to prayer@|@azan@
@a Muslim man who has fulfilled the pilgrimage to@|@haji@
@a Muslim woman who has fulfilled the pilgrimage t@|@hajah@
@a note@|@catatan@
@a number of@|@sebilangan@
@a paddle@|@pengayuh@
@a page boy@|@kundang@
@a pair@|@sekelamin, sepasang@
@a patch@|@tampalan, tampung@
@a pedal@|@pengayuh@
@a perm or artificial wave in the hair@|@kerinting@
@a person who sieves@|@pengayak@
@a personality@|@tokoh@
@a person's looks or appearance@|@roman@
@a pickpocket@|@pencopet@
@a picnic@|@perkelahan@
@a piece@|@keratan, potong@
@a pile@|@longgok@
@a pin@|@semat@
@a pinch@|@cubitan@
@a pinch (very small amount)@|@secubit@
@a pinch of@|@sejemput@
@a place for stopping@|@perhentian@
@a plan@|@rancangan@
@a plaster@|@tampalan@
@a play@|@lakonan@
@a plea@|@rayuan@
@a pledge@|@gadaian@
@a plough@|@bajak, tenggala@
@a poem with two lines@|@bait@
@a poin@|@titik@
@a pole's length@|@sepenggalah@
@a poultice@|@tampalan@
@a preface@|@pendahuluan@
@a preparation of noodles@|@laksa@
@a prisoner@|@tawanan@
@a protest@|@bantahan@
@a proverbial verse@|@gurindam@
@a puff@|@hembusan@
@a puncture@|@pancit@
@a push@|@tolakan@
@a quarrel@|@pergaduhan, perkelahian@
@a quarter@|@suku@
@a question@|@soalan@
@a raid@|@serbuan@
@a rake@|@garu@
@a ration@|@catuan@
@a ray@|@sinar, sinaran@
@a rebel@|@pemberontak@
@a rebellion@|@pemberontakan, rusuhan@
@a recording@|@rakaman@
@a report@|@laporan@
@a reshuffle@|@rombakan@
@a response@|@sahutan@
@a revolt@|@pemberontakan@
@a riddle@|@teka-teki@
@a riot@|@rusuhan@
@a roar@|@deruan@
@a roll@|@gulungan@
@a room@|@ruang@
@a round@|@pusingan@
@a rub@|@geselan@
@a sacrifice@|@pengorbanan@
@a sail@|@layar@
@a salute@|@tabik@
@a scale@|@tangga@
@a scoop@|@pencedok, sauk@
@a score (twenty)@|@kodi@
@a screen or partition@|@pendinding@
@a screening@|@tayangan@
@a secret agent@|@pengintip@
@a section only@|@separa@
@a set-square@|@siku-siku@
@a share@|@saham@
@a shield@|@perisai@
@a ship's hold@|@peraka@
@a shoot or sprout@|@pucuk@
@a shoot-out@|@tembak-menembak@
@a short loud cheer@|@tempik@
@a short nap@|@kerlap@
@a shout@|@laungan@
@a shout for attention@|@oi@
@a shove@|@tolakan@
@a shovel@|@sungkur@
@a show@|@tayangan@
@a show or display@|@tontonan@
@a show or event (cultural@|@temasya@
@a sieve@|@pengayak@
@a sigh@|@keluhan@
@a sketch@|@lakaran, rang@
@a skin condition@|@gelegata@
@a slap@|@tamparan@
@a slash@|@tetakan@
@a slice@|@hirisan, keratan, potong@
