@English@|@Malay@
@cloth knapsack@|@buntil@
@cloth tied above the bosom@|@kemban@
@clothes@|@baju, pakaian@
@clothes hung out to dry@|@jemuran@
@clothes-line@|@ampaian@
@clothing@|@pakaian@
@cloud@|@awan@
@clouded@|@redup@
@cloudy@|@berawan, mendung@
@cloudy (of liquid)@|@keruh@
@clove (spice)@|@cengkih@
@clown@|@badut, peran@
@club@|@belantan, kelab@
@club used for fighting@|@gada@
@club-footed@|@cepoh@
@clumsy@|@canggung, kekok@
@cluster@|@kelompok@
@cluster (of bananas@|@tandan@
@clutch@|@cengkaman@
@clutch at@|@cekau@
@coach@|@jurulatih, jurulatih@
@coach or cart@|@gerobak@
@coagulation@|@pembekuan@
@coal@|@batu arang, lombong@
@coalesce@|@cantum@
@coarse or rough i@|@kesat@
@coarseness@|@kekasaran@
@coast@|@pantai, pinggir laut@
@coax@|@bujuk@
@coaxing@|@belai, belaian@
@cob (of maize)@|@tongkol@
@cobble@|@bubul@
@cobbler@|@tukang kasut@
@cobra@|@tedung@
@cobweb@|@sawang@
@cockatoo@|@kakaktua@
@cock-fighting@|@sabungan@
@cockle@|@kerang@
@cockroach@|@lipas@
@coconut@|@kelapa, nyiur@
@coconut dregs@|@hampas kelapa@
@coconut husk@|@hampas kelapa@
@coconut leaf@|@lelai@
@coconut milk@|@santan@
@coconut shell@|@tempurung@
@code of ethics@|@tatasusila@
@code of law@|@kanun@
@coffee@|@kopi@
@coffee shop@|@kedai kopi@
@coffin@|@keranda@
@cohere@|@jerekit@
@coiffure@|@dandan, dandanan, sanggul@
@coil@|@gelung@
@coiled@|@berbelit-belit, puntal, terbelit@
@coiled up@|@bergelung@
@cold@|@dingin, sejuk, sejuk@
@cold (flu)@|@selesema@
@coldness@|@kedinginan@
@colic@|@mulas@
@collapse@|@tumbang@
@collar@|@kajai@
@colleague@|@jawat, sejabat, sejawat@
@collect@|@himpun, kumpul, kutip@
@collection@|@himpunan, kumpulan, pungutan@
@collector@|@pengumpul@
@college@|@maktab@
@collide@|@laga@
@colonialism@|@penjajahan@
@colonialist@|@penjajah@
@colonise@|@jajah@
@coloniser@|@penjajah@
@colony@|@jajahan, rantau, tanah jajahan@
@colossal@|@gadang@
@colossus@|@lingga@
@colour@|@corak, warna@
@column@|@ruangan@
@column (e.g. of troops)@|@lajur@
@comb (of fowl)@|@balung@
@comb one's hair in anger@|@geragas@
@combination@|@campuran, gabungan@
@combine@|@gabung@
@come@|@datang@
@come or arrive@|@datang@
@come together@|@cantum@
@comedian@|@badut@
@comedy@|@lawak@
@comestibles@|@juadah@
@comfortable@|@selesa, senang@
@comical@|@lucu, seloroh@
@coming suddenly and unexpectedly@|@serempak@
@command@|@amar, arahan, perintah@
@commander@|@hulubalang, panglima@
@commendation@|@amanat@
@commentator@|@juruulas@
@commerce@|@perdagangan@
@commission@|@komisen, panitia, suruhanjaya, tauliah@
@commissioner@|@pesuruhjaya@
@committee@|@jawatankuasa, panitia@
@commodity@|@barangan@
@common@|@am, awam@
@common sense@|@akal budi@
@commoner@|@jelata@
@common-sense@|@budi bicara@
@commotion@|@onar@
@communicable (of disease)@|@menjangkitkan@
@communicate@|@hubung@
@community@|@kaum@
@community hall@|@balai raya@
@compact@|@padat, rapat, tumpat@
@compact disc@|@cakera padat@
@companion@|@kawan, rakan, saing, teman@
@company@|@syarikat, syarikat@
@comparable@|@sebanding@
@compare@|@banding@
@compared with@|@berbanding@
@comparison@|@perbandingan, tamsilan@
@compartment@|@pangsa, petak@
@compass@|@pedoman@
@compassion@|@belas, perikemanusiaan@
@compatible@|@cocok, rasi, sebintang, secocok@
@compelling force@|@desakan@
@compendium@|@ikhtisar@
@compensation@|@gantirugi, pampas, pampasan@
@compere@|@juruacara, pengacara@
@compete@|@adu, saing@
@competence@|@kecekapan@
@competent@|@cekap, layak@
@competition@|@saingan@
@competitor@|@pesaing@
@complain@|@adu@
@complainant@|@pendakwa, pengadu@
@complaint@|@aduan, pengaduan@
@complete@|@genap, khatam, lengkap, mutlak, sempurna, utuh@
@completed@|@habis, selesai, siap@
@complex@|@majmuk@
@complication@|@kekusutan@
@compliment@|@jambak@
@compose@|@gubah, karang@
@composed@|@tenang, tercipta@
@composer@|@penggubah@
@composition@|@gubahan, karangan@
@compound@|@halaman, majmuk@
@comprehension@|@fahaman@
@compress@|@mampat@
@compulsion@|@paksaan@
@compulsory@|@wajib@
@compute@|@kira@
@comrade@|@rakan, saudara@
@concave@|@cekung@
@concave lens@|@kanta cekung@
@concavity@|@lekuk@
@conceited@|@besar kepala, congkak, megah, sombong@
@concentration@|@semadi@
@concert@|@anekarama, sandiwara@
@concise@|@ringkas@
@conclude@|@khatam@
@conclusion@|@natijah, penghabisan, penghujung@
@conclusive@|@akhir@
@concrete@|@nyata@
@concubine@|@gundik@
@condemn@|@kutuk@
@condemnation@|@kutukan@
@condensation@|@pejalwapan@
@condiment@|@rencah@
@condition@|@keadaan, syarat, syarat@
@condolence@|@takziah@
@conduct@|@kendali, lagak@
@confederation@|@perikatan, sanggama@
@conference@|@muktamar@
@confession@|@akuan, pengakuan@
@confidence@|@akidah@
@confident@|@yakin@
@confidential@|@sulit@
@confine@|@kurung@
@confines@|@batas@
@confiscated@|@sita@
@confiscated goods@|@sitaan@
@confiscation@|@sitaan@
@conflict@|@guam, guaman, percanggahan, perguaman@
@conflicting@|@bercanggah, bercanggahan@
@confluence of rivers@|@kuala@
@confused@|@bingung, gawal, keliru, sasar, selirat, terkeliru@
@confusion@|@kalut, kebingungan, kekeliruan, kekusutan@
@congested@|@sesak@
@conglomeration@|@gumpalan@
@congratulations@|@tahniah@
@congregation@|@jemaah@
@congress@|@muktamar@
@conical coop@|@serkup@
@conical fish-trap@|@serkap@
@conjecture@|@dugaan, sangkaan@
@connected@|@taup@
@connected series or sequence@|@rantaian@
@connection@|@gait, gaitan, hubungan, kena-mengena, penggait, perhubungan, perkaitan, sambungan, tambatan@
@conscience@|@suara hati@
@conscious@|@sedar@
@conscious of@|@perasan@
@conscription@|@kerahan@
@consent@|@akur, izin, perkenan@
@consequence@|@akibat, ekoran, natijah@
@conserve@|@awet@
@consider@|@hitung@
@consideration@|@perhitungan@
@consignment@|@kiriman@
@conspicuous@|@ketara, sergam@
@conspiracy@|@komplot, komplotan, pakatan, sekongkol@
@constant@|@malar@
@constellation of stars@|@buruj@
@constipated@|@sembelit@
@constipation@|@sembelit@
@constituent substance@|@unsur@
@constitution@|@piagam@
@constraint@|@kekangan@
@constrict@|@jerut@
@construct@|@bina@
@construction@|@pembinaan@
@consultant@|@pakar runding@
@consumer@|@pengguna@
@contact@|@sentuhan@
@contagious@|@tular@
@contain@|@ada, kandung@
@container@|@bekas, cembul@
@contaminated@|@cemar, tercemar@
@contamination@|@pencemaran@
@contemplation@|@renungan@
@contemptible@|@hina, keji@
@contented@|@puas@
@contents@|@isi, kandungan@
@continent@|@benua@
@continuation@|@lanjutan, sambungan@
@continuous@|@lanjut, malar@
@continuously@|@terus-menerus@
@contract@|@akad, kecut, kuncup, perjanjian@
@contrary to@|@kebalikan@
@contribution@|@sumbangan, sumbangsih@
@contrivance@|@helah@
@control@|@kawal@
@controller@|@pengamat@
@contusion@|@memar@
@convection@|@olakan@
@convenient@|@mudah@
@convent@|@biara@
@conversation@|@bualan, perbualan, percakapan@
@converse@|@bual@
@convex@|@cembung@
@convex lens@|@kanta cembung@
@convey@|@angkut@
@convict@|@banduan@
@convince@|@umbuk@
@convoy of travellers@|@kafilah@
@cook@|@masak, tukang masak@
@cooked rice@|@nasi@
@cooked rice packed in palm leaves@|@ketupat@
@cookery@|@masakan@
@cookie@|@kuih@
@cooking pot@|@periuk@
@cool@|@sejuk@
@coop@|@kurungan@
@cooperation@|@gotong-royong, kerjasama@
@copper@|@tembaga, tembaga merah@
@copra@|@kelapa kering@
@copulation@|@jimak@
@copy (of a book etc)@|@naskhah@
@copy or trace@|@jiplak@
@copyright@|@hak cipta@
@coquettish@|@keletah@
@coral@|@batu karang, karang@
@cordial@|@ramah@
@core@|@teras@
@core of a boil@|@punat@
@coriander@|@ketumbar@
@cork@|@gabus, sumbat@
@corm (underground stem)@|@umbi@
@corn@|@jagung@
@corn (hardened area of skin)@|@kematu@
@corner@|@bucu, ceruk, di bucu, pelosok, penjuru, sudut@
@corolla@|@saribunga@
@corporation@|@perbadanan, syarikat@
@corpse@|@jenazah, mayat@
@correct@|@benar, betul, betul, jitu, piawai@
@correction@|@pembaikan, pembetulan@
@correlate@|@kait@
@correlation@|@kaitan@
@corrugated iron@|@ayan@
@corset@|@bengkung@
@cortege@|@arak-arakan@
@cost@|@biaya, ongkos@
@cotton@|@kapas@
@cotton tree@|@kabu, kekabu@
@cough@|@batuk@
@council@|@dewan, majlis, sidang@
@count@|@bilang, hitung, kira@
@count mentally@|@congak@
@counted@|@terbilang@
@counteracting@|@anti@
@counterfeit@|@tiruan@
@country@|@negara, negara, negeri@
@countryside@|@desa@
@couple@|@kelamin, pasangan@
@couplet@|@bait@
@coupling@|@gandingan@
@course@|@haluan@
@course (of study)@|@kursus@
@court@|@gelanggang@
@court hearing or trial@|@perbicaraan@
@court maiden@|@dayang@
@court of law@|@mahkamah@
@court page@|@juak@
@courteous@|@beradab, berajar, berbahasa, sopan@
@courtesy@|@adab, sopan santun@
@cousin@|@sepupu@
@cover@|@kambus, katup, lingkup, sampul, sarung, selubung, tudung@
@cover or catch something with the palm@|@cekup@
@coverage@|@liputan@
@covered (with blanket)@|@gelimun@
@covered and concealed@|@litup@
@covered with earth@|@terkambus@
@covering@|@palut@
@covet@|@inding@
@cow@|@lembu@
@cow or bull@|@sapi@
@coward@|@pengecut@
@cowardice@|@kebaculan@
@cowardly@|@bacul@
@cowl@|@kerudung@
@cow's moo@|@boh@
@crab@|@ketam@
@crabbed (of handwriting)@|@karkas@
@crack@|@lekah@
@crackers or chips (usually made from shrimps)@|@keropok@
@cracking (from heat)@|@lekang@
@cradle@|@endul@
@cradle (of telephone)@|@gagang@
@crafty@|@licik@
@craggy@|@kasap@
@cram@|@asak@
@cram or stuff@|@enjal@
@crammed@|@berasak-asak@
@cramming@|@asakan@
@cramp@|@kejang@
@cramps@|@kekejangan@
@crane@|@bangau@
@crane (bird)@|@keria@
@crane-fly@|@ayak-ayak@
@crank of a machine@|@engkol@
@crate@|@keranjang@
@crater@|@genahar, kawah@
@crave@|@idam@
@craving@|@idaman, teringin@
@craze@|@kegilaan@
@craziness@|@kegilaan@
@crazy@|@gila, sasar@
@crazy about someone@|@gila bayang@
@crazy for power@|@gila pangkat@
@cream-coloured@|@putih kuning@
@crease@|@kedut, kedutan@
@create@|@cipta@
@created@|@tercipta@
@creation@|@bikinan, ciptaan, pembentukan@
@creator@|@pencipta@
@creature@|@khalayak@
@credible@|@munasabah@
@credit@|@piutang@
@creek@|@rantau@
@creel@|@kembu@
@creep@|@jalar@
@crescent@|@bulan sabit@
@crest@|@jambul@
@cretin@|@kerdil@
@cretinous@|@kerdil@
@crevice@|@celah@
@crevice (e.g. in wood)@|@lekah@
@cricket or cicada (insect)@|@cengkerik@
@crime@|@jenayah@
@crimina@|@geladak@
@criminal@|@penjenayah@
@cringe;cower@|@jongkok@
@crippled@|@incut, tempang@
@crisis@|@kemelut@
@crisp@|@garing, rangup@
@criss-crossing@|@simpang-siur@
@critical (of illness or injury)@|@parah@
@critically ill@|@tenat@
@criticise@|@bidas, gugat@
@criticise severely@|@kecam@
@criticism@|@celaan, kecaman, teguran@
@croak@|@kuak, uak@
@crochet@|@kait@
@crockery@|@pinggan mangkuk@
@crocodile@|@buaya@
@crook@|@geladak, kelok@
@crooked@|@bengkok, herot, serong@
@croon@|@ulit@
@crop@|@tembolok@
@cross for crucifixion@|@salib@
@crossbar@|@palang@
@crossbeam@|@alang@
@cross-beam@|@bendul@
@cross-bred@|@kacuk@
@cross-roads@|@simpangan@
@crotch@|@kelangkang, pukang@
@crow@|@gagak, kokok@
@crowbar@|@alabangka@
@crowd@|@asakan, himpitan@
@crowded@|@sesak, tumpat@
@crown or top part of the head@|@ubun@
@crown prince@|@Raja Muda@
@crucial@|@genting, kegentingan@
@crucial or critical@|@kemelut@
@crude@|@kasar@
@crude-mannered@|@kesat@
@cruel@|@bengis, berhati binatang, kejam, zalim@
@cruelty@|@kekejaman@
@crumb@|@remah@
@crumble@|@derai@
@crumpled@|@renyuk-renyik@
@crunch noisily with the teeth@|@kerkah@
@crush@|@gilas@
@crushed@|@hempap, remuk-redam, terhimpit@
@crushed to powder@|@luluh@
@crushing@|@berhimpitan@
@crust (e.g of bread)@|@kerak@
@crust or clotted blood on a wound@|@keruping@
@cry@|@menangis@
@cry of a sheep@|@embek@
@crying@|@tangisan@
@crystal@|@hablur@
@cubic black stone building in the mosque in Mecca@|@Kaabah@
@cucumber@|@mentimun, timun@
@cue or signal@|@isyarat@
@cuff (of sleeve)@|@mansit@
@culture@|@budaya, kebudayaan, peradaban@
@cultured@|@berbahasa@
@cultured person@|@budayawan@
@cummin@|@jintan putih@
@cunning@|@licik, pintar@
@cup@|@cawan, piala@
@cup for collecting latex@|@calung@
@cupboard@|@almari, gerobok@
@cur@|@geledak@
@curdle@|@dadih@
@curl@|@kendi@
@curly@|@ikal, keriting, keriting@
@currency@|@mata wang, matawang, wang@
@current (flow) of water@|@arus@
@current or flow@|@aliran@
@curry@|@gulai, kari@
@curse@|@kutuk, sumpahan@
@cursed@|@terkutuk@
@curt@|@konyong, sekonyong-konyong@
@curtain@|@langsir, tabir, tirai@
@curvature@|@lengkungan@
@curve@|@kelok, keluk, lengkok, lengkung, selekoh@
@curve of a kris@|@lok@
@curved@|@berkelok@
@custody@|@jagaan@
@custom@|@adat, kebiasaan, resam@
@customary@|@beradat@
@customary etiquette@|@perbahasaan@
@customer@|@pelanggan@
@cut@|@kerat, potong@
@cut into thin slices@|@racik@
@cute@|@comel@
@cute and petite@|@genit@
@cuttlefish@|@sotong@
@cycle@|@edaran@
@cycle of events@|@kitaran@
@cylindrical glass or earthenware jar@|@kendi@
@cymbal@|@gembereng@
@cynical@|@sinis@
@dabble@|@kecimpung@
@dagger@|@badik@
@daily@|@harian@
@daily used items or clothes@|@basahan@
@dairy@|@tenusu@
@dam@|@empang, empangan@
@damaged@|@rosak@
@damaged at the tip@|@rompong@
@damn@|@celaka@
@damned@|@terkutuk@
@damp@|@lembap@
@dance@|@dansa, menari@
@dancer@|@penari@
@dandruff@|@kelemumur@
@danger@|@bahaya@
@dangerous@|@berbahaya@
@dangle@|@kulai@
@dangling@|@berjuntai, gelepai, gelepik, juntai, terkulai@
@dark@|@gelap, gelap, gelap pekat, legam@
@dark (of colour)@|@tua@
@dark red@|@jahang@
@darkness@|@kegelapan@
@darling@|@timangan@
@dart (for blow-pipe)@|@damak@
@date@|@haribulan, tarikh@
@date (fruit)@|@tamar@
@date (of calendar)@|@tanggal@
@date (of the calendar)@|@tarikh@
@daughter@|@anak perempuan@
@daughter of@|@binti@
@daughter-in-law@|@menantu@
@dawn@|@fajar, subuh@
@day@|@hari@
@day after day@|@berhari-hari@
@day after tomorrow@|@lusa@
@day before yesterday@|@kelmarin@
@day of judgement@|@kiamat@
@daydream@|@kelamun, khayal, khayalan@
@daylight robbery@|@mencekik darah@
@daytime@|@siang, siang hari@
@dazzle@|@silau@
@dead@|@mati@
@deadlock@|@kebuntuan@
@deaf@|@pekak, tuli@
@deafening@|@bingit@
@dean@|@dekan@
@death@|@ajal, maut@
@death sentence@|@hukuman maut@
@debate@|@hujah@
@debate or discussion@|@bahas@
@debater@|@pembahas@
@debt@|@hutang@
@decapitation@|@pancungan@
@decay@|@kebusukan@
@decayed@|@reput@
@deceit@|@auta, honar, tipu@
@deceived@|@terperdaya@
@deceiver@|@pembelit@
@deceleration@|@nyahpecutan@
@December@|@Disember@
@decent@|@senonoh@
@decisive@|@genting@
@deck of ship@|@geladak@
@declaration@|@perisytiharan@
@declare@|@isytihar@
@decline@|@rosot@
@decorat@|@gandik@
@decorate@|@hias@
@decoration@|@perhiasan@
@decoy@|@umpan@
@decreased in quantity@|@luak@
@decrepit@|@usang@
@dedication@|@bakti@
@deed@|@perbuatan@
@deem@|@anggap@
@deep@|@dalam@
@deep (of colour)@|@legam@
@deep or husky (of voice)@|@garuk@
@deep part of a river@|@lubuk@
@deep ravine@|@gaung@
@deepen@|@mendalamkan@
@deer@|@kijang, rusa@
@defamation@|@fitnah, umpatan@
@defeated@|@alah, kalah, kecundang, tewas@
@defecate@|@berak@
@defective@|@cacat@
@defence@|@pembelaan@
@defend@|@bela@
@deficient@|@kurang@
@deficit@|@kekurangan@
@definite@|@keruan, pasti, tentu@
@definition@|@takrif@
@definitive@|@muktamad@
@deflect@|@bias@
@deformed@|@cacat@
@defrayed@|@dibiayai@
@degree@|@darjah@
@degree (academic)@|@ijazah@
@degree of kinship@|@pupu@
@dehumanize@|@nirinsani@
@deity@|@cendera@
@delicate in texture@|@gebu@
@delicious@|@enak, lazat, sedap@
@delighted@|@suka hati@
@deliverer@|@penghantar@
@delivery@|@penghantaran, pengiriman@
@deluge@|@bah@
@delusion@|@maya@
@demeanour@|@sikap@
@demonstration@|@tunjuk perasaan@
@denial@|@sangkalan@
@dense@|@padat, rimbun@
@dense (of foliage or hair)@|@lebat@
@dense (of growth)@|@tebal@
@dent@|@kemik, lekuk@
@dented@|@gentat, kemik@
@denude@|@lucut@
@deny@|@nafi@
@department@|@jabatan, jurusan@
@department (section)@|@bahagian@
@departure@|@keberangkatan@
@dependence@|@pergantungan@
@depicted@|@tergambar@
@deplorable@|@kesal@
@deposit@|@cagar, cengkeram@
@depressed@|@gundah, masyghul, murung@
@depth@|@dalamnya@
@deputy@|@naib, timbalan@
@derail@|@gelincir@
@derivation from@|@ambilan@
@descend@|@turun@
@descent@|@turunan, zuriat@
@description@|@huraian, takrif@
@desert@|@gurun, padang pasir@
@deserted@|@lengang, sepi@
@design@|@corak@
@desire@|@gemar, hajat, hasrat, hendak, idaman, keinginan@
@desire eagerly@|@inding@
@desire or enthusiasm@|@keghairahan@
@desirous@|@ingin@
@desolate@|@lengang, sepi@
@desperate@|@cemas, terdesak@
@despicable@|@keji, tercela@
@destined to become@|@bakal@
@destiny@|@nasib, takdir@
@destitute@|@melarat, papa kedana@
@destroy@|@basmi, ganyang, hancur, jahanam@
@destroy (of marriage@|@hancur luluh@
@destroyed@|@binasa@
@destroyer@|@pembinasa, penggempur@
@destructible@|@musnah@
@destruction@|@pembinasaan@
@detailed@|@mendalam@
@detention@|@tahanan@
@deter@|@cegah@
@deteriorate@|@rosot@
@determination@|@azam, jabhati, keazaman, kegigihan, tekad@
@determined@|@cekal, gigih, nekad, tabah@
@detest@|@benci@
@detonation@|@ledakan@
@detrimental@|@mudarat@
@deuce@|@iblis@
@develop (a film)@|@cuci@
@developed@|@maju@
@development@|@perkembangan@
@Devil (in exclamation)@|@iblis@
@devoid@|@hampa@
@devotee@|@penggemar@
@devotion@|@bakti@
@devour@|@ganyang@
@devout@|@warak@
@dew@|@embun@
@dewlap@|@gedabir, gelabir, gelambir@
@dewy-eyed@|@kuyu@
@diabetes mellitus@|@kencing manis@
@diagram@|@carta, gambar rajah, rajah@
@dialect@|@loghat, pelat@
@diamond@|@berlian, intan@
@diaper@|@barut, lampin@
@diarrhoea@|@cirit-birit@
@dice@|@dadu@
@dickens@|@iblis@
@dictate (words)@|@imla@
@dictionary@|@kamus@
@did@|@telah@
@die@|@meninggal (dunia)@
@difference@|@beza, furak, perbezaan, selisih@
@different@|@lain@
@differentiation@|@pembezaan@
@differently@|@berbeza-beza@
@difficult@|@payah, rumit, sukar, sulit, susah, susah@
@difficulty@|@aral@
@diffraction of light@|@belauan@
@diffuse@|@longgar@
@dig@|@gali, korek@
@dig out@|@cungkil@
@digest@|@cerna, hadam, ikhtisar@
@digestion@|@pencernaan, penghadaman@
@digger@|@pengorek@
@dignitary@|@pembesar@
@dilapidated@|@kopak, kopak-kapik, usang@
@dilated@|@beliak@
@diligent@|@rajin, tekun@
@dilution@|@cairan@
@dim@|@kabur, kelam, malap, samar, suram@
@dim (of light)@|@pudar@
@diminish@|@rosot@
@dimple@|@cauk, cawak@
@din of voices@|@gerantang@
@dining room@|@bilik makan@
@dining-room@|@ruang makan@
@dinner@|@makan malam@
@dip in liquid@|@celup@
@dip lightly@|@cecah@
@dipper@|@calung@
@direct@|@langsung, terus@
@direction@|@arah, arahan, hadap, hala, haluan, jurusan, tuju@
@direction of Mecca@|@kiblat@
@director@|@pengarah@
@director of a play or film@|@sutradara@
@directory@|@panduan@
@dirt@|@debu, kotoran@
@dirt or stain@|@daki@
@dirtiness@|@kekotoran@
@dirty@|@bergelumang, comot, gelumang, kotor@
@disabuse@|@insaf@
@disagree@|@guam, guam@
@disagreement@|@guaman, perguaman, selisih@
@disappear@|@ghaib, ghaib, hapus@
@disappearance@|@kehilangan@
@disappointed@|@hampa, hampa hati, kecewa@
@disappointment@|@kehampaan, kekecewaan@
@disaster@|@bala, bencana, malapetaka, nahas@
@disband@|@bubar@
@disbandment@|@pembubaran@
@disc@|@cakera@
@discard@|@buang@
@discarded@|@terbuang@
@discipline@|@tatatertib, tertib@
@disclosure@|@pembongkaran@
@discomfort)@|@lega@
@discontented@|@berang, kilan, terkilan@
@discontinue@|@gencat@
@discourage@|@jera, jeran@
@discourse@|@wacana@
@discourteous@|@biadab@
@discover@|@jumpa@
@discovered@|@terdapat@
@discretion@|@budi bicara@
@discrimination;@|@pembezaan@
@discuss@|@bincang, ura@
@discussion@|@bicara, muzakarah, perbincangan, rundingan@
@disgruntled@|@berang@
@disgusting@|@cabul, jijik@
@dish@|@pinggan@
@dishearten@|@jera@
@disheartened@|@tawar hati@
@dishes@|@santapan@
@dishevelled@|@kusut@
@dishonest@|@curang@
@dishonesty@|@kecurangan@
@dishonourable@|@hina@
@disillusioned@|@sebal@
@disinfect@|@nyahjangkit@
@disjointed (of talk)@|@lalut@
@disloyal@|@curang, derhaka@
@dismal@|@muram@
@dismiss@|@singkir@
@disobedient@|@ingkar@
@disobey@|@bantah@
@disorder@|@kalut@
@disorderly@|@bercelaru, celaru@
@disorderly heap@|@lambak@
@disorganised@|@bercelaru, celaru@
@disperse@|@bubar@
@dispersed@|@usai@
@displace@|@alih@
@displacement@|@pengalihan@
@display the feathers@|@igal@
@disposition@|@budi pekerti, pekerti, perangai@
@dispute@|@guam, guam, selisih@
@disreputable@|@aib@
@disrespectful@|@kurang ajar@
@disrupted@|@tergendala@
@disruption@|@gendala@
@dissatisfied@|@kilan, sebal, terkilan@
@dissect@|@bedah@
@dissent@|@canggah@
@dissimilarity@|@furak, perbezaan@
@dissolve@|@hancur@
@dissolving@|@larut@
@dissuade@|@jera@
@distance@|@jarak@
@distant@|@jauh@
@distasteful@|@jijik@
@distended@|@buncit, busung@
@distended from pressure within@|@kembung@
@distilled@|@suling@
@distinguished@|@mulia@
@distribute@|@agih, bahagi, edar@
@distributed@|@diagihkan@
@distribution@|@pengagihan, pengedaran@
@distributor@|@pengedar@
@district@|@daerah, jajahan, mukim@
@disturb@|@kacau, usik@
@disturbance@|@kekacauan, pergolakan@
@disturbed@|@terganggu@
@disturbed or confused@|@bergolak, golak@
@disused well@|@perigi buta@
@ditch@|@parit@
@ditch or moat@|@bendar@
@dive@|@hunjam, junam@
@diver@|@juruselam@
@diversion@|@biasan@
@divide@|@bahagi, bahagi@
@divided@|@terbahagi@
@divider@|@pembahagi@
@divine decree@|@firman@
@division@|@bahagian@
@divorce@|@cerai, perceraian, talak@
@divorced@|@bercerai@
@divulge@|@dedah@
@dizziness@|@pitam@
@dizzy@|@pening, pening@
@do or perform@|@buat@
@dockyard@|@limbungan@
@doctor@|@doktor@
@doctrine@|@fahaman@
@doddery@|@ketar@
@dodge@|@elak@
@does not@|@bukan@
@dog@|@anjing@
@doll@|@anak-anakan, boneka, patung@
@dolphin@|@lumba-lumba@
@domain@|@bidang@
@dome@|@kubah@
@domesticated@|@jinak@
@donation@|@derma@
@done@|@habis@
@donkey@|@keldai@
@donor@|@penderma@
@don't@|@jangan@
@don't know@|@entah@
@doodle@|@conteng@
@doom@|@ajal@
@doomsday@|@kiamat@
@door@|@pintu@
@doorstep@|@ambang pintu@
@doorway@|@ambang pintu, muka pintu@
@dorsal fin of a fish@|@ridip@
@dot@|@bintik@
@dotage@|@nyanyuk@
@dotted@|@berbintik@
@double@|@ganda@
@double bed@|@katil kelamin@
@double blade paddle@|@gelebat@
@doubled@|@berganda@
@double-headed paddle@|@kelibat@
@doubt@|@waham, waswas@
@doubtful@|@ragu-ragu@
@dough@|@adunan@
@douse@|@jirus@
@dove@|@merpati, punai@
@downpour@|@curahan@
@downstream@|@di hillir, hilir@
@dowry@|@hantaran, mahar@
@drab@|@boyak@
@draft@|@kerangka@
@draft (legislation)@|@gubal@
@drag@|@heret, kesot@
@drag or haul@|@hela@
@dragging on@|@larat@
@dragnet (for fishing)@|@pukat@
@dragon@|@naga@
@dragon-fly@|@patung-patung, sibur-sibur@
@drain@|@longkang, parit@
@drainage@|@saliran@
@draughts (board game)@|@dam@
@drawer@|@laci@
@drawing@|@gambar, lukisan@
@drawn@|@lesu@
@dreaded@|@cemas@
@dream@|@impi, mimpi@
@dredge@|@kapal korek@
@dregs@|@hampas, keladak@
@drenched@|@basah kuyup, kuyup@
@dress@|@baju, baju@
@dressed@|@berbaju@
@dressing@|@barut, bebat@
@dribble (in football)@|@kelecek@
@dried melon seed@|@kuaci@
@drift@|@apung, babas, hanyut, umbang@
@drifting movement@|@hanyutan@
@drink@|@minum@
@drinking-straw@|@penghisap@
@drinks (noun)@|@minuman@
@drive@|@pandu@
@drive or force out@|@usir@
@driven away from@|@terbabas@
@driven out of its course@|@terbabas@
@driver@|@pemandu@
@drizzle@|@gerimis, hujan rintik-rintik, rebas, renyai, rintik-rintik@
@droop@|@kulai@
@droop (of branch@|@lelai@
@drooping@|@terkulai@
@drop@|@gugur@
@drop (of fluid)@|@tetes@
@drop or fall out@|@cicir@
@droplets@|@titisan@
@drop-out@|@keciciran@
@dropped or fell@|@terjatuh@
@dropped out@|@tercicir@
@dropping in large numbers@|@berguguran@
@dropping scatteredly@|@berciciran@
@drops (of fluid)@|@tetesan@
@drought@|@kemarau@
@drowsiness@|@kantuk@
@drowsy@|@mengantuk@
@drug@|@dadah@
@drum@|@gendang@
@drunk@|@mabuk@
@dry@|@gersang, kering, kersang, kontang@
@dry field@|@huma@
@dry land@|@bumi@
@dry old banana fronds@|@kerisik@
@dry over a fire@|@ganggang@
@dryness@|@kekeringan@
@dual@|@dwi@
@dubious@|@ragu-ragu@
@duck@|@itik@
@ductile@|@mulur@
@duff@|@bangang@
@dull@|@boyak, gersang@
@dummy@|@patung@
@dumpling made from mixture of flour and bananas@|@jemput-jemput@
@dung@|@tahi@
@dunno@|@entah@
@durable@|@lasak, tagak@
@duration of time@|@jangkamasa@
@dusk@|@senja@
@dusky@|@kelam@
@dust@|@abuk, debu, duli, habuk@
@dusty@|@berdebu, berhabuk@
@Dutch@|@Belanda, orang Belanda@
@duty@|@fardu, tugas@
@dwarf@|@kenit, kerdil@
@dwarfish@|@kerdil@
@dweller@|@penghuni@
@dye@|@celup, pencelup@
@dyke@|@bendung, tambak@
@dysmenorrhoea@|@senggugut@
@dyspneic@|@mengah@
@each@|@sendiri-sendiri, tiap@
@each and everyone@|@masing-masing@
@eager@|@ingin@
@eagle@|@helang@
@ear@|@kuping, telinga@
@ear scoop@|@gerinjam@
@ear wax@|@tahi telinga@
@earlier@|@dahulu, terdahulu@
@ear-lobe@|@cuping@
@early@|@awal, cepat, sempat, siang-siang@
@early evening@|@sore@
@early in the morning@|@pagi-pagi@
@earn@|@dapat@
@ear-ring@|@anting-anting, subang@
