@kumoru korak@|@playboy, Cassanova@
@kura@|@where?@
@kurkun@|@elbow, an outside corner@
@kuru@|@field@
@kushik@|@to kill for food, to slaughter@
@kushkomul@|@armpit@
@kuy@|@where?@
@kyobachen@|@for what?@
@laghal@|@lapis lazuli@
@lakhe@|@let me@
@leshu@|@cow@
@loh@|@red hot piece of metal@
@lot@|@big@
@lothoro@|@elder@
@low@|@fox@
@lu@|@language, word@
@lu dik@|@to speak@
@ma@|@my@
@ma gani alos@|@Marry me!, Take me away!@
@machih@|@honey@
@madiyan@|@mare, female horse@
@magas@|@fly, flies@
@malang mosh@|@mentally defective person@
@malosh@|@Kalash sacrificial alter@
@malum@|@awareness@
@mama@|@mother's brother, maternal uncle@
@mana@|@forbidden@
@manhus@|@evil, ominous@
@maqsum@|@innocent boy@
@marach@|@mullberry@
@marak@|@murderer@
@marik@|@to kill@
@masum@|@with me@
@matsi@|@fish@
@mekh@|@nail@
@mergi@|@epilepsy@
@meskin@|@person who's mother has died@
@mik (long)@|@uncle@
@mik (short)@|@to urinate@
@mo boghe@|@do not go!@
@moroy@|@deer@
@mosh@|@man, husband@
@mosh korak@|@prostitute@
@mosha boghdu@|@unchaste woman@
@mosim@|@the weather@
@mul@|@bed made from hay@
@mula@|@under@
@mulan@|@lower@
@naf@|@the navel@
@nah@|@trough, aqueduct@
@nahang@|@ogre@
@nahush@|@ignorant child@
@nakh@|@floor, place in the house where the mul is located@
@nakhsha@|@map@
@nakht@|@legitimate child@
@nal@|@horseshoe@
@nal@|@rice paddy@
@nal chakiyak@|@blacksmith@
@nal dik@|@to plant rice@
@nan@|@mother@
@napateli@|@virgin@
@negzan@|@virgin@
@nikanama@|@marriage certificate@
@niki@|@there is not@
@nishe@|@sit down!@
@nisik@|@to appear, ascend, recover, rise as the sun or moon@
@niskar@|@nose@
@niweshik@|@to write@
@no@|@no, denial, refusal@
@nogh@|@new, fresh, a new moon@
@noghor@|@fort, the royal palace@
@nola@|@please, no!@
@nuqsan@|@accident, injury@
@nuwes@|@niece or nephew on the brother's side@
@nuzhan@|@strange, wonderful, unknown@
@nuzhan@|@stranger in a country@
@nyuf@|@nine@
@obritay@|@he died@
@och@|@green@
@ochro@|@blue or gray eyes@
@ohts@|@bear@
@olin@|@millet, type of grain@
@omidwar@|@pregnant@
@ondogh@|@a dive into a river@
@ongolik@|@to mimic@
@oq@|@to vomit@
@oraru@|@sleep@
@oreik@|@to sleep@
@osht@|@eight@
@oyowa@|@did you eat?@
@oseni@|@handkerchief@
@paga@|@a race@
@paht@|@a furrow@
@pakhti@|@rice ready to eat@
@pakol@|@Chitrali-style round cap@
@palogh@|@apple@
@paloghan@|@apples@
@panir@|@cheese@
@pap@|@breast@
@par@|@away@
@par ganik@|@to take away@
@paranu@|@old@
@parashkoti@|@a catamite@
@parcham@|@bangs of hair@
@pardah@|@hymen, the maidenhead@
@pardanj@|@camouflage used in hunting@
@pardik@|@to push@
@pari@|@fairy@
@parikan@|@an exorcist@
@parir@|@he will fall asleep@
@Parun@|@mythical village, said to have existed in Nuristan@
@parwana@|@moth@
@pariyan@|@faries@
@pata niki@|@I don't know, it is not known@
@pathranzk@|@scarecrow@
@patingel@|@tomato@
@pazhal@|@shepherd, herdsman@
@pech@|@hot@
@petsik@|@to leave behind@
@phal@|@the blade of a plow@
@phan@|@hand, palm of the hand@
@phat@|@half, a half hour, a part@
@phati@|@some@
@phatuki@|@half moon@
@pherwanu@|@fireplace, hearth@
@Phething Mes@|@December@
@phi@|@wooden spade@
@phik@|@quiet@
@phonik@|@to dance@
@phuk@|@baby@
@phur@|@summit, the otp of a hill@
@pigish@|@goatee, small beard@
@pik@|@to drink@
@pilili@|@an ant@
@plinj@|@polo ball@
@pon@|@a patch, a road@
@pong@|@the foot, bottom of the valley@
@ponj@|@five@
@porik@|@to fall asleep@
@posh@|@dung@
@post@|@skin, leather, animal hide@
@post wrazun@|@a bat@
@pot@|@ball, polo ball@
@poyi@|@tendon@
@prash@|@rib@
@prahshal@|@hayloft@
@pulmunduk@|@butterfly@
@pushi@|@cat@
@purdum@|@snow leopard;probably extinct last seen in Chitral@
@qawf@|@claw, hook, fork@
@qawm@|@clan@
@qayi@|@heavy, uncondescending@
@qaymat@|@expensive@
@quma@|@concubine@
@qumay@|@mother of an illigitimate child@
@ragheshti@|@early in the morning@
@rambogh@|@black beans@
@ranki@|@he says that@
@riphe@|@stand up!@
@roren@|@nipple, teat@
@rom@|@flock, herd@
@roy@|@people@
@rigish@|@beard@
@riwish@|@grain for animals@
@saf@|@all@
@sardaway@|@underground water tank@
@sareik@|@to resemble@
@sarhat@|@high country, the border@
@saruz@|@juniper tree@
@sawz@|@green, something which is in working condition@
@sayi@|@soot@
@saza@|@punishment@
@ser@|@bridge@
@sha@|@black@
@shabok@|@bride, bridegroom@
@shabok angyak@|@matchmaker@
@shal@|@barn, shed, lice@
@shalak@|@grasshopper@
@sham@|@evening, twilight, the sundown prayer@
@shangur brar@|@brother born from the same womb@
@shapik@|@bread@
@shapir@|@wolf@
@sheli@|@beautiful@
@shazda@|@prince@
@sher@|@it it (inanimate)@
@shik@|@to be (inanimate)@
@shiman@|@cloth belt@
@shinjur@|@Russian olive tree@
@ship@|@forearm@
@shokhtsik@|@to cross a pass@
@shor@|@100@
@shor@|@salty@
@shot@|@an oath@
@shoy@|@close, near@
@shron@|@buttocks, hips@
@shum@|@bad@
@shunj@|@needle@
@shutuk@|@mating of cats and dogs@
@shutur@|@thread@
@sin@|@river@
@siri@|@barley@
@siriyay@|@bread made from barley@
@sora@|@next, above, over@
@sora bik@|@to go on top of@
@sora sal@|@next year@
@sot@|@seven@
@ta@|@your@
@tabut@|@coffin@
@tan@|@one's own@
@tat@|@father@
@tawan@|@extortion@
@tayar@|@ready@
@taza@|@fresh@
@tazim@|@thanks@
@tel@|@oil@
