@to do@|@paNNu-@
@to drink@|@kuDi-@
@to drive@|@OTTu-@
@to earn@|@sambAdi-@
@to eat@|@sApiDu-@
@to fall@|@viju-@
@to forget@|@maranduTu-@
@to give@|@koDu-,tA-, taru-@
@to go@|@pOyDu-@
@to go to bed@|@tUnguae po-@
@to hit@|@aDi-@
@to hook@|@mATTi vae@
@to keep@|@vaetchiru-@
@to knead@|@paesae@
@to know@|@taeriyum-@
@to lift@|@tUkku-@
@to like@|@naeaesi-@
@to listen@|@kaeaeL-, kaeaeT-@
@to love@|@kAdali-@
@to meet@|@sandi-@
@to morrow@|@nAlLaekku@
@to open@|@tire-@
@to play@|@vLaeyADu-@
@to play (instrument)@|@vAsi-@
@to please so@|@piDikkum-@
@to prepare@|@tayAr saey-@
@to put@|@vae-@
@to read@|@vAsi-@
@to remember@|@nyAbagam varu-@
@to remove@|@kajattu@
@to run@|@ODu-@
@to say@|@sollu-@
@to search for@|@taeaeDu-@
@to see@|@pAr-@
@to send@|@annuppu-@
@to shout@|@kattu-@
@to show@|@kAmi-, kATTu-@
@to sit@|@ukkAr-@
@to sllep@|@tUnge-@
@to smell@|@mOndu par-@
@to smile@|@siri-@
@to speak@|@paeaesu-@
@to stand@|@nil-@
@to stop@|@nil-, niRutte-@
@to study@|@paDi-@
@to swim@|@nitchalaDi-@
@to take@|@aeDu-@
@to take with@|@ajaytu po-@
@to teach@|@sollikoDu-@
@to think@|@naenae-@
@to understand@|@purinjukku-@
@to wait@|@kAtu konNdu-@
@to wake up@|@aejuppu@
@to walk@|@naDandu po-@
@to want@|@virumbu-@
@to wash@|@kajuvu-@
@to wear@|@pOTTiru@
@today@|@innaekku@
@toilets@|@kakkUs@
@tomato@|@takkAli@
@tongue@|@nAkku@
@tooth@|@pal@
@town@|@nageram@
@tree@|@maram@
@trousers@|@kAl SaTTae@
@ugly@|@asingemAne@
@unripe fruit@|@kAy@
@very@|@rombe@
@village@|@grAmam@
@voice@|@kural@
@wall@|@suver@
@way@|@vaji@
@wedding@|@kaliyANam@
@week@|@vAram@
@what@|@aenne@
@when@|@aeppo@
@where@|@aengaeae@
@which@|@aende@
@who@|@yArODe@
@whole@|@mujusam@
@why@|@aeaen@
@wind@|@kAttu@
@window@|@djannel@
@without@|@illAme@
@woman@|@manaevi@
@word@|@sol@
@work@|@vaeaelae@
@world@|@ulegam@
@wound@|@kAyam@
@year@|@varuSam@
@yellow@|@mañjaL@
@yes@|@Ama, AmAm@
@yesterday@|@neettu@
@yet@|@irundum@
@youger sister@|@tangatchi@
@younger brother@|@tambi@

