@Malay@|@English@
@gelas@|@glass@
@gelatuk@|@tremble@
@gelebar@|@flapping@
@gelebat@|@double blade paddle@
@gelecah@|@slip@
@gelecek@|@slip, lose one's balance@
@geledah@|@search, ransack@
@geledak@|@cur@
@geledang@|@stretch out both arms@
@geleding@|@warp@
@gelegak@|@boil, seethe@
@gelegar@|@girder@
@gelegata@|@a skin condition, urticaria@
@gelek@|@a kind of dance, roll over@
@gelekak@|@peel off@
@gelekek@|@chuckle@
@gelema@|@phlegm@
@geleman@|@scared, afraid@
@gelembung@|@bubble@
@gelembung-gelembungan@|@bubbles@
@gelempang@|@sprawling@
@gelendong@|@spindle@
@geleng@|@shake the head@
@gelentang@|@roll over and over@
@gelepai@|@dangling@
@gelepar@|@flounder, flutter@
@gelepik@|@dangling, hanging down limply@
@gelepur@|@leaping up flapping its wings@
@gelesek@|@rub@
@geleser@|@flap the wings, start turning (of wheels)@
@geletar@|@tremble, shiver@
@geletek@|@tickle, incite@
@geletuk@|@making a sound like the teeth chattering@
@geli@|@amused, ticklish@
@geli hati@|@amused, tickled@
@geli-geman@|@tickled@
@geliang-geliut@|@wriggling@
@geliat@|@stretch oneself@
@geliga@|@sharp-witted, ingenious, bezoar@
@gelimpang@|@sprawl@
@gelimun@|@covered (with blanket)@
@gelincat@|@sprained, rebound@
@gelincir@|@derail, slip, skid@
@gelincuh@|@stumble@
@gelinjang@|@jump about@
@gelintar@|@search all over@
@gelintir@|@pellet, pill@
@gelisah@|@nervous, restless, anxious, jumpy@
@gelobor@|@too long or baggy (for clothes)@
@gelodak@|@arouse@
@gelodar@|@struggle@
@gelojak@|@big flame@
@gelojoh@|@greedy@
@gelombang@|@wave@
@gelongsor@|@slide@
@gelora@|@storm, great wave@
@gelosok@|@rub@
@gelugut@|@shiver, chatter (of teeth)@
@geluh@|@loam, rich soil@
@gelulur@|@slide down@
@gelumang@|@dirty@
@geluncur@|@slip or slide down@
@gelung@|@bight, loop of rope, coil, knot of hair@
@gelupas@|@peel@
@gelupur@|@flutter@
@gelut@|@struggle, wrestle@
@gema@|@echo@
@gemal@|@a handful, a bunch@
@gemala@|@bezoar stone@
@gemalai@|@swaying@
@gemam@|@to hold (sweet) in mouth@
@gemap@|@shocked@
@gemar@|@like@
@gemar@|@have a liking, desire@
@gemawan@|@fleeting of clouds@
@gembala@|@shepherd@
@gembala kambing@|@goat-herd@
@gembar-gembur@|@mere talk, bragging, pandemonium@
@gembereng@|@cymbal@
@gembira@|@glad@
@gembira@|@happy, pleased, cheerful@
@gembleng@|@unite@
@gembung@|@swollen@
@gembur@|@loose@
@gementar@|@tremble@
@gemercik@|@splattering sound@
@gemerencang@|@loud clash (e.g. of cymbals)@
@gemerlap@|@iridescent, shining, glittering, shimmering@
@gemerlapan@|@shining, glittering@
@gemilang@|@glorious, magnificient, brilliant@
@gempa@|@tremor, earthquake@
@gempal@|@sturdy, chubby, plump@
@gempar@|@pandemonium, uproar@
@gempita@|@noisy@
@gempur@|@attack in a blitz@
@gemuk@|@fat@
@gemuruh@|@thunder@
@genahar@|@crater@
@genang@|@suffuse@
@genap@|@complete, even@
@gencat@|@cease, stop, discontinue@
@gencatan senjata@|@ceasefire@
@gendak@|@mistress@
@gendala@|@obstacle, disruption@
@gendang@|@drum@
@genderang@|@big drum@
@genggam@|@grasp in the fist@
@genggaman@|@a grasp@
@genggang@|@apart@
@genit@|@cute and petite@
@genjang@|@(1 )parallelogram, askew, awry@
@genjot@|@askew, awry@
@genjur@|@stiff@
@genta@|@large bell@
@gentar@|@vibration, afraid@
@gentas@|@severed, end or finish@
@gentat@|@dented@
@gentel@|@pellet@
@gentian@|@fibre@
@genting@|@crucial, decisive, pass or gap in mountain@
@genting bukit@|@mountain pass@
@genyeh@|@rub@
@gepok@|@bundle@
@gepuh@|@padlock@
@gera@|@alarm, scare, frighten@
@gerabak@|@railway coach@
@geragai@|@hook for catching crocodiles@
@geragas@|@comb one's hair in anger@
@geragau@|@a small shrimp@
@geraham@|@molar@
@gerai@|@stall@
@gerak@|@move@
@gerak hati@|@intuition@
@gerak laku@|@behaviour@
@gerak-geri@|@movements@
@gerakan@|@action, movement@
@geram@|@angry@
@gerangan@|@perhaps@
@gerantang@|@din of voices, outburst of noise@
@gerat@|@causing teeth to chatter@
@gerbang@|@gateway@
@gerecak@|@sound like water boiling@
@gereja@|@church@
@gerek@|@perforated@
@gerenyam@|@lustful@
@gerenyut@|@squirm, throb@
@gergaji@|@saw@
@gergasi@|@giant@
@gerhana@|@eclipse@
@geriak@|@swarm@
@gericau@|@screeching sound@
@geridip@|@glitter, sparkle@
@gerigi@|@serrated@
@gerigis@|@unevenly serrated@
@gerimis@|@drizzle@
@gerimit@|@a drill@
@gering@|@sick (for king)@
@gerinjam@|@grindstone for teeth, ear scoop@
@gerlap@|@sparkle@
@gerlip@|@twinkle@
@germut@|@swarm@
@gerobak@|@coach or cart@
@gerobok@|@cupboard@
@gerodak@|@rattling sound@
@geromboi@|@group together@
@geromboian@|@group or gang@
@gerombong@|@group or party@
@geronggang@|@hollow@
@geronyot@|@throbbing@
@gersang@|@dry, uninteresting, dull@
@gertak@|@threat@
@gertakan@|@intimidation, threat@
@gerudi@|@a drill@
@gerugut@|@grooved@
@geruh@|@misfortune@
@geruk@|@to wrap@
@gerun@|@frightened, terrified@
@gerutu@|@rough to the touch@
@gesa@|@hurry@
@gesaan@|@urge@
@gesek@|@grate or scrape@
@gesekan@|@a fiddle@
@gesel@|@rub@
@geselan@|@a rub@
@geser@|@rub, shift@
@geseran@|@friction@
@getah@|@rubber@
@getap@|@grit@
@getar@|@tremble, vibrate@
@getaran@|@vibration@
@getas@|@brittle, sensitive@
@getil@|@pinch@
@getir@|@bitter@
@ghaib@|@disappear, vanish, mysterious@
@ghaib@|@disappear@
@ghairah@|@strong desire or passion@
@ghalib@|@usual@
@giat@|@energetic, active@
@gigi@|@tooth@
@gigi air@|@edge of water meeting land@
@gigi kacip@|@incisor@
@gigi rongak@|@gap between teeth@
@gigih@|@determined, obstinate@
@gigil@|@tremble or shiver@
@gigit@|@bite@
@gigitan@|@act of biting, a bite@
@gila@|@mad, insane@
@gila@|@crazy@
@gila angau@|@infatuated@
@gila bayang@|@crazy about someone@
@gila pangkat@|@crazy for power@
@gilang-gemilang@|@bright, glittering@
@gilap@|@shine brilliantly@
@gilas@|@crush, run over@
@giling@|@grind, roll@
@gilir@|@take turns@
@giliran@|@a turn@
@gilis@|@run over by a train@
@gincu@|@lipstick@
@ginjal@|@kidney@
@girang@|@glad, cheerful@
@giring@|@to herd@
@glur@|@voluptuous@
@gobek@|@tool for crushing betel leaf, areca nut, etc@
@gocoh@|@haste, hurry@
@goda@|@temptation@
@godaan@|@temptation, lure, enticement@
@godam@|@large mace@
@godok@|@base of skull@
@gogok@|@a gulp@
@golak@|@disturbed or confused@
@golek@|@roll@
@golok@|@machete@
@golong@|@classify@
@golongan@|@group@
@gomol@|@wrestle@
@goncang@|@shake@
@gondok@|@short and fat, goitre@
@gondol@|@bald, leafless, carry off, win@
@gonggong@|@carry in the mouth@
@gonyeh@|@munch@
@gonyoh@|@scrub@
@gopoh-gapah@|@hastily@
@goreng@|@fry@
@goreng@|@fry, fried@
@gores@|@scratch@
@goresan@|@scratches@
@gosok@|@brush, rub, polish@
@gosok gigi@|@to brush teeth@
@gosokan@|@something that has been ironed@
@gotong-royong@|@cooperation@
@goyah@|@loose (not firm)@
@goyang@|@unsteady, shaky@
@gua@|@cave@
@guam@|@disagree, conflict, dispute@
@guam@|@disagree, dispute@
@guaman@|@disagreement, conflict, quarrel@
@gubah@|@arrange, compose@
@gubahan@|@composition, garland@
@gubal@|@draft (legislation)@
@gubuk@|@hut@
@gudang@|@godown, warehouse@
@gugat@|@accuse, claim, criticise@
@gugup@|@panicky@
@gugur@|@drop, miscarry, abort@
@gugus@|@bundle or bunch@
@gugusan@|@group@
@gula@|@sugar@
@gula-gula@|@sweets@
@gulai@|@curry@
@guli@|@marble@
@guling@|@roll@
@gulung@|@roll@
@gulungan@|@a roll@
@gumpal@|@clod, lump@
@gumpalan@|@a clod, a lump of, conglomeration@
@guna@|@use@
@guna@|@use, purpose@
@guna tenaga@|@employment@
@guna-guna@|@charms@
@gundah@|@depressed@
@gundik@|@concubine@
@guni@|@jute bag or sack@
@gunting@|@scissors, shears@
@gunting@|@scissors@
@guntur@|@thunder@
@gunung@|@mountain@
@gunung berapi@|@volcano@
@gunung-ganang@|@mountains@
@gurau@|@joke@
@gurauan@|@the butt of a joke@
@gurindam@|@a proverbial verse@
@guru@|@teacher@
@guru besar@|@headmaster@
@guruh@|@thunder@
@guruh-gemuruh@|@thunderous@
@gurun@|@desert@
@gus@|@simultaneously@
@gusar@|@angry, worried@
@gusi@|@gum (dental)@
@gusti@|@wrestle@
@haba@|@heat@
@habis@|@finish@
@habis@|@finished, completed, done@
@hablur@|@crystal@
@habuan@|@share (e.g. of prize)@
@habuk@|@dust@
@had@|@limit@
@hadam@|@digest@
@hadap@|@front, direction@
@hadapan@|@in front of@
@hadapan@|@forward part, in front@
@hadas@|@ritual impurity@
@hadiah@|@gift@
@hadiah@|@present, gift, prize@
@hadir@|@to be present@
@hadirin@|@those present@
@hafal@|@to memorize@
@hafaz@|@memorise@
@haid@|@menstruation@
@hairan@|@astonished, amazed, surprised@
@haiwan@|@animal@
@hajah@|@a Muslim woman who has fulfilled the pilgrimage t@
@hajat@|@purpose, intention, desire@
@haji@|@a Muslim man who has fulfilled the pilgrimage to@
@hak@|@right, entitlement@
@hak cipta@|@copyright@
@hak milik@|@proprietary rights@
@hakikat@|@truth, reality@
@hakiki@|@true, real@
@hakim@|@judge@
@hakis@|@erode@
@hakisan@|@erosion@
@hal@|@matter, situation@
@hal-ehwal@|@affairs@
@hala@|@direction@
@halaju@|@velocity@
@halal@|@rightful, permissible, legitimate@
@halaman@|@compound, page@
@halang@|@block, obstruct, hinder@
@halangan@|@obstacle@
@halau@|@chase or drive away@
@halia@|@ginger@
@halilintar@|@thunder@
@halimunan@|@invisible@
@halkum@|@larynx, Adam's apple@
@haloba@|@greed, greedy@
@haluan@|@bow of boat, direction, course@
@halus@|@fine, soft, gentle, refined@
@halus-halus@|@finely@
@halwa@|@fruits preserved in syrup@
@hama@|@germ@
@hamba@|@slave@
@hambar@|@tasteless, insipid@
@hambat@|@pursue or chase@
@hambur@|@scattered@
@hambus@|@go away@
@hamil@|@pregnant@
@hamis@|@stink@
@hampa@|@devoid, lacking, disappointed, frustrated@
@hampa beras@|@husk@
@hampa hati@|@frustrated, disappointed@
@hampagas@|@vacuum@
@hampar@|@spread out (a carpet)@
@hamparan@|@carpet, mat@
@hampas@|@dregs@
@hampas kelapa@|@coconut dregs, coconut husk@
@hampir@|@almost@
@hampir@|@near, close, almost@
@hampir-hampir@|@nearly, almost@
@hamput@|@scold@
@hamun@|@chide, scold, abuse@
@hancing@|@stinking, foul-smelling@
@hancur@|@destroy, dissolve, shatter@
@hancur luluh@|@destroy (of marriage, friendship);@
@handai@|@friend, associate@
@handal@|@reliable, strong, clever@
@handle, to hold the reins@|@kendalian@
@hangat@|@hot@
@hangit@|@having a burning smell@
@hangus@|@burnt, scorched@
@hantam@|@hit or punch, finish all at once@
@hantar@|@send@
@hantar@|@send, pass (a ball)@
@hantaran@|@dowry, something that is sent@
@hantu@|@ghost, phantom, spectre@
@hantuk@|@bump or knock into@
@hantukan@|@bumping or knocking sound@
@hanya@|@only@
@hanya satu@|@except one, only one@
@hanyir@|@stinking, fishy@
@hanyut@|@drift, wander, carried away by a current@
@hanyutan@|@drifting movement@
@hapak@|@musty, stale-smelling@
@hapus@|@vanish, disappear@
@harafiah@|@literal@
@haram@|@illegal@
@haram@|@unlawful, forbidden, illicit@
@harap@|@wish@
@harap@|@hope@
@harapan@|@hope, expectation@
@harga@|@price, value@
@harga@|@price@
@hari@|@day@
@hari jadi@|@birthday@
@Hari Raya@|@Eid (muslim festival)@
@harian@|@daily@
@haribulan@|@date@
@harimau@|@tiger@
@harta@|@property@
@harta tanah@|@real estate@
@hartawan@|@wealthy person, magnate@
@haru-biru@|@uproar, chaos@
@harum@|@fragrant@
@haruman@|@fragrance, perfume@
@harung@|@wade@
@harus@|@necessary, inevitable, must, fitting@
@hasad@|@jealous, envious, malevolent@
@hasil@|@product, result@
@hasil bumi@|@natural resources@
@hasil jualan@|@sales returns@
@hasil negeri@|@state revenue@
@hasil pertanian@|@agricultural products@
@hasrat@|@desire, ambition, object of desire@
@hasta@|@length from elbow to tip of middle finger@
@hasut@|@instigate@
@hasutan@|@instigation@
@hati@|@liver, heart (in emotional sense)@
@hati-hati@|@careful@
@haus@|@thirsty, worn out@
@hawa@|@climate@
@hawa@|@atmosphere, air, climate@
@hawa dingin@|@air-con@
@hayat@|@life@
@hebah@|@announce, broadcast@
@hebat@|@grand, great@
@heboh@|@noisy@
@hegeh@|@flaunting, swagger@
@hela@|@drag or haul@
@helah@|@contrivance, trick, excuse@
@helai@|@piece@
@helang@|@eagle@
@hemah@|@manners@
@hemat@|@frugal, careful and economical@
@hembus@|@blow, exhale@
@hembusan@|@a puff, a gust of wind, exhalation@
@hempap@|@crushed@
@hempas@|@slam, throw, lash@
@hempedal@|@gizzard@
@hempedu@|@bile@
@hendak@|@wish@
@hendak@|@want, desire, need, wish@
@hendap@|@lurk, latent, spy@
@hening@|@calm, clear, pure@
@hentak@|@stamp (of feet)@
@hentakan@|@stamping of the feet@
@hentam@|@bash, strike, batter, beat@
@hentam keromo@|@to finish all at once@
@henti@|@stop@
@henyak@|@stamp@
@herdik@|@scold, find fault@
@herdikan@|@scolding@
@heret@|@drag@
@herot@|@crooked@
@hias@|@adorn, make-up, decorate@
@hiba@|@sorrow, longing@
@hibur@|@entertain, amuse@
@hiburan@|@entertainment, amusement@
@hidang@|@serve, present (food)@
@hidangan@|@a dish of food@
@hidap@|@suffer from (an illness)@
@hidayat@|@guidance@
@hidu@|@smell@
@hidung@|@nose@
@hidung tinggi@|@snobbish@
@hidup@|@live, alive, life@
@hidup-hidup@|@alive@
@hidupan@|@living things@
@hijau@|@green, immature@
@hijau@|@green@
@hijrah@|@Muslim era, migrate@
@hikayat@|@story, history@
@hikmat@|@wisdom, magical powers@
@hilang@|@lose@
@hilang@|@lost, lose@
@hilir@|@downstream@
@hilir-mudik@|@up and down@
@himpit@|@squeeze or crush@
@himpitan@|@act of squeezing or crushing, crowd@
@himpun@|@assemble, collect@
@himpunan@|@accumulation, collection@
@hina@|@low-down, contemptible, dishonourable, mean@
@hincut@|@lame@
@hindar@|@avoid@
@hingar-bingar@|@noisy@
@hingga@|@till, until@
@hingga@|@until@
@hinggap@|@perch@
@hinggut@|@shake, sway@
@hingus@|@mucus from nose@
@hirau@|@pay attention to, feel concern for@
@hiris@|@slice, subdivide@
@hirisan@|@a slice@
@hiruk-pikuk@|@clamour, uproar@
@hirup@|@sip, suck@
@hisab@|@calculate@
@hisap@|@suck@
@hisap rokok@|@smoke cigarette@
@hisapan@|@suction@
@hitam@|@black@
@hitung@|@count, enumerate, consider@
@hodoh@|@ugly@
@honar@|@chaos, deceit, fraud@
@hormat@|@respect@
@hubung@|@communicate@
@hubungan@|@connection, ties, link, sexual affair@
@hujah@|@argument, debate, quarrel@
@hujan@|@rain@
@hujan rintik-rintik@|@drizzle@
@hujung@|@end, edge@
@hujung@|@end@
@hujung minggu@|@weekend@
@hujung tahun@|@end of the year@
@hukum@|@law@
@hukuman@|@punishment, penalty, sentence@
@hukuman maut@|@death sentence@
@hukuman penjara@|@jail sentence@
@hulu@|@butt, handle (of tool or weapon), upstream@
@hulubalang@|@commander, warlord@
@hulur@|@stretch@
@huma@|@dry field@
@humban@|@fling, throw, hurl@
@huni@|@inhabit@
@hunjam@|@bore vertically, dive, plunge down@
@hunus@|@unsheathe@
@hurai@|@expound, elaborate, untie@
@huraian@|@elaboration, explanation, description@
@huru-hara@|@uproar, chaos@
@huruf@|@letter of alphabet@
@huruf besar@|@capital letter@
@huruf kecil@|@small (lower case) letter@
@hurung@|@cancel@
@hutan@|@forest@
@hutang@|@debt@
@hutang lapuk@|@bad debt@
@hutang-piutang@|@all kinds of debts@
@huyung@|@stagger@
@ia@|@it, he, she@
@iaitu@|@namely, that is to say@
@ialah@|@is, are@
@iau@|@mew (cat's cry)@
@ibadat@|@pious duties, worship@
@ibarat@|@example, parable@
@iblis@|@dickens, deuce, Devil (in exclamation)@
@Ibrani@|@Hebrew@
@ibu@|@mother@
@ibu ayam@|@pimp@
@ibu bapa@|@parent@
@ibu jari@|@thumb@
@ibu kota@|@capital city@
@ibu mentua@|@mother-in-law@
@ibu negara@|@national capital@
@ibu saudara@|@aunt@
@ibu sawat telefon@|@telephone exchange@
@idam@|@crave, longing for@
@idaman@|@desire, craving, longing@
@igal@|@display the feathers@
@igau@|@sleep-talk, nightmare@
@igauan@|@incubus (nightmare), burdensome person or thing@
@ihsan@|@good deed@
@ijab@|@answer to a prayer, tender for goods@
@ijab kabul@|@formalisation of matrimony@
@ijazah@|@degree (academic)@
@ijtihad@|@study@
@ijuk@|@black fibre of enau palm@
@ikal@|@curly@
@ikal mayang@|@long curly hair@
@ikan@|@fish@
@ikat@|@tie@
@ikat@|@tie, bind, bunch, bundle@
@ikat jamin@|@bail@
@ikatan@|@string, union, band, ties, restriction@
@ikatan kasih@|@love ties@
@ikatan keluarga@|@family ties@
@ikatan perkahwinan@|@matrimonial ties@
@ikhlas@|@candid, unsophisticated, sincere, frank@
@ikhlas@|@sincere@
@ikhtiar@|@endeavour, attempt, effort@
@ikhtisar@|@compendium, summary, digest@
@ikhtisas@|@professional@
@ikhwan@|@brothers@
@iklan@|@advertisement@
@iklim@|@climate@
@ikrab@|@inflexion (changing of the form of a word@
@ikrar@|@promise, pledge@
@iktibar@|@example, teaching@
@iktikad@|@faith@
@iktiraf@|@recognise, acknowledge, accept@
@iktisad@|@economy@
@ikut@|@to follow@
@ikut@|@follow@
@ikut angin@|@moody, temperamental@
@ikut serta@|@participate@
@ikut-ikutan@|@follow blindly, trend@
@ilai@|@laugh loudly, scream@
@ilham@|@inspiration, sudden brilliant idea@
@ilmiah@|@erudite, learned, scholarly@
@ilmiawan@|@scholar@
@ilmu@|@knowledge, learning@
@ilmu hisab@|@arithmetic@
@imam@|@Muslim spiritual leader who leads the congregatio@
@iman@|@piety@
@imbang@|@balance@
@imbangan@|@balance (noun)@
@imbas@|@glimpse@
@imbasan@|@a glimpse@
@imbuh@|@augment, increase, supplement, extra@
@imbuhan@|@affix, addition, augmentation@
@imla@|@dictate (words)@
@impi@|@dream, have visions@
@impian@|@a dream@
@imsak@|@the time of commencement of fast@
@inai@|@henna@
@inang@|@nursery maid@
@inap@|@lodge, reside@
@incar@|@gimlet (a tool for boring)@
@inci@|@inch@
@incut@|@lame, crippled@
@indah@|@beautiful@
@India@|@of India or Indians@
@indik@|@trample@
@inding@|@covet, desire eagerly@
@induk@|@mother (animal)@
@inframerah@|@infra-red@
@ingat@|@remember@
@ingat@|@remember, memorise, recall@
@ingat-ingat@|@be cautious, remember@
@ingatan@|@memory, recollection, remembrance@
@Inggeris@|@English@
@ingin@|@to wish@
@ingin@|@agog, eager, desirous, want, wish@
@ingin@|@want@
@ingkar@|@disobedient@
@ingus@|@mucus from the nose@
@ini@|@this@
@injak@|@pedal@
@Injil@|@Bible@
@insaf@|@disabuse, realisation, repentance@
@insan@|@mankind@
@insang@|@gill (of fish)@
@intai@|@peep@
@intan@|@diamond@
@intim@|@intimate@
@intip@|@peek, peep, glance@
@intisari@|@kernel, central or important part@
@ipar@|@brother- or sister-in-law@
@ipar duai@|@in-laws@
@irama@|@rhythm@
@iras@|@alike@
@iri@|@catty, spiteful, jealousy@
@iri hati@|@jealous, envious@
@iring@|@escort, accompany@
@iringan@|@accompaniment@
@iris@|@slice or thin broad piece@
@isak@|@sob@
@isi@|@contents@
@isi hati@|@feelings@
@isi padu@|@volume@
@isirung@|@kernel@
@Islam@|@of the Muslim religion@
@Isnin@|@Monday@
@istana@|@palace@
@isteri@|@wife@
@isteri muda@|@second wife@
@isteri tua@|@first wife@
@istiadat@|@ceremony, ceremonial@
@istilah@|@term (word or phrase), terminology@
@istimewa@|@special@
@istimewa@|@special, extraordinary@
@istirehat@|@rest, relax, interval@
@isyak@|@evening prayer (of Muslims)@
@isyarat@|@cue or signal@
@isytihar@|@declare, proclaim, announce@
@itik@|@duck@
@itu@|@that@
@izin@|@permission, consent, authorisation@
@jaat@|@a kind of bean@
@jabal@|@mountain, rob@
@jabang@|@baby@
@jabar@|@almighty (for God)@
@jabarut@|@sphere attained by the mystic@
@jabat@|@shake hands (in greeting)@
@jabatan@|@department@
@jabel@|@nab@
@jabhati@|@determination@
@jabil@|@sac, pouch, small cloth purse@
@jabing@|@prominent or large (of ears)@
@jabu@|@billowy (of dust, smoke, etc)@
@jabun@|@billowy (of dense foliage)@
@jabung@|@glue, resin@
@jabur@|@mixed up, psalm@
@jadah@|@bastard@
@jadam@|@a kind of medicine@
@jadar@|@a kind of plant@
@jadi@|@so (in that case)@
@jadi@|@make, happen, become, be born@
@jadi-jadian@|@apparition@
@jadi-nya@|@so, therefore@
@jadilah@|@thus@
@jadual@|@programme, schedule, list, table@
@jae@|@ginger@
@jaga@|@be awake, be alert, guard, take care of@
@jaga@|@watchman@
@jagaan@|@custody, care, charge, supervision@
@jagabaya@|@village-police@
@jagal@|@(1 )deal in small wares, slaughter (as a butch@
@jagalan@|@small wares, merchandise@
@jagang@|@shore@
@jagat@|@world, universe, blackhead, blemish@
@jagoan@|@fighting cock, champion, candidate@
@jaguh@|@champion@
@jagung@|@maize, corn@
@jagur@|@robust, burly@
@jah@|@respect, honour@
@jahanam@|@destroy, ruin, hell, scoundrel@
@jahang@|@to abuse angrily, dark red@
@jahar@|@aloud@
@jaharu@|@low-class scoundrel, pariah@
@jahat@|@bad, evil, immoral@
@jahi@|@ginger@
@jahid@|@ascetic@
@jahil@|@ignorant, stupid, uneducated@
@jahim@|@blazing (of hell)@
@jahit@|@sew or stitch@
@jahit-menjahit@|@needlework@
@Jahudi@|@Jew@
@jail@|@rod with noose of fibre, sneaky, nagging@
@jais@|@unreceptive, inattentive@
@jaiz@|@lawful or permitted (of Muslims)@
@jaja@|@hawk, peddle goods@
@jajah@|@colonise@
@jajahan@|@colony, district@
@jajal@|@try or attempt@
@jajan@|@buy sweets@
@jajar@|@parallel, on same level, row or line@
@jajat@|@mimic@
@jaksa@|@judicial officer, justice@
@jala@|@fishing net@
@jala-jala@|@hairnet@
@jalad@|@executioner@
@jalan@|@road@
@jalan@|@road, street, way, route, walk@
@jalar@|@creep@
@jalin@|@plait, braid@
@jalur@|@stripe, strip@
@jaluran@|@stripe@
@jam@|@clock, hour@
@jam@|@clock, watch, hour@
@jam dinding@|@wall clock@
@jam loceng@|@alarm clock@
@jam tangan@|@wrist watch@
@Jamadilakhir@|@sixth month of the Muslim calendar@
@Jamadilawal@|@fifth month of the Muslim calendar@
@jamah@|@touch, taste, eat in small amounts@
@jamak@|@plural (in grammar)@
@jambak@|@bunch of flowers, bouquet, compliment@
@jamban@|@latrine, toilet, lavatory@
@jambang@|@beard@
@jambang@|@sideburns, flowers arranged in a vase@
@jambangan@|@flowers arranged in a vase@
@jambat@|@bridge@
@jambatan@|@bridge@
@jambu@|@guava@
@jambul@|@crest, tuft on head, plume on helmet@
@jamin@|@guarantee, promise@
@jaminan@|@guarantee@
@jaminan@|@a guarantee@
@jampi@|@incantation, magic spell@
@jampuk@|@owl@
@jamu@|@herbal medicine, feast@
@jamuan@|@a feast, party, reception@
@jana@|@life@
@janakuasa@|@generator@
@janda@|@a widow@
@janda@|@widow@
@janda berhias@|@childless widow@
@jangan@|@don't@
@jangan-jangan@|@maybe@
@jangankan@|@let alone@
@janggal@|@awkward@
@janggus@|@a type of tree bearing edible fruit@
@janggut@|@beard@
@jangka@|@a meter (measuring device), expect, antici@
@jangka angin@|@anemometer@
@jangka suhu@|@thermometer@
@jangkaan@|@expectation, anticipation@
@jangkahayat@|@life expectancy@
@jangkamasa@|@duration of time@
@jangkau@|@reach out with the hand@
@jangkauan@|@the reach of one's hand@
@jangkit@|@infectious@
@jangkitan@|@infection@
@jangkung@|@heron@
@janin@|@foetus@
@janji@|@promise@
@janji temu@|@appointment@
@jantina@|@gender, sex@
@jantung@|@heart@
@jantung hati@|@sweetheart@
@jarah@|@pillage, plunder, rob@
@jarak@|@distance@
@jaram@|@a compress or pad to stop bleeding, etc@
@jarang@|@seldom, transparent (of material), thin@
@jarang@|@seldom@
@jarang-jarang@|@rarely, seldom@
@jari@|@finger@
@jaring@|@net@
@jarum@|@needle@
@jarum peniti@|@pin@
@jasa@|@merit, service@
@jasa baik@|@good offices@
@jasad@|@body@
@jasmani@|@physical@
@jasmaniah@|@physical@
@jata@|@blazon@
@jati@|@pure, genuine, teakwood@
@jatuh@|@fall@
@jauh@|@far, distant@
@jauh@|@far@
@jauhari@|@jeweller, expert@
@jawa@|@tamarind@
@jawab@|@answer@
@jawab@|@answer, reply, respond@
@jawapan@|@an answer@
@jawat@|@colleague@
@jawatan@|@post, appointment, job@
@jawatankuasa@|@committee@
@Jawi@|@Arabic characters@
@jaya@|@successful@
@jayanya@|@successfully@
@jebak@|@snare, trap@
@jeda@|@interval@
@jegil@|@stare with bulging eyes@
@jejak@|@footstep, trail, track@
@jejaka@|@bachelor, young man@
@jejambat@|@flyover@
@jejantas@|@flyover@
@jejari@|@radius@
@jejas@|@affect@
@jela@|@trail@
@jelaga@|@soot@
@jelah@|@legible@
@jelajah@|@explore@
@jelak@|@fed up, bored@
@jelang@|@eve of@
@jelapang@|@granary, rice bowl@
@jelas@|@clear, well-defined, evident, obvious@
@jelata@|@commoner, ordinary people@
@jelatang@|@nettle@
@jelik@|@ugly, bad, repulsive@
@jeling@|@ogle flirtatiously@
@jelingan@|@a glance through the corner of the eye@
@jelir@|@stick out (tongue)@
@jelita@|@pretty, beautiful@
@jelitawan@|@beautiful girl@
@jelma@|@incarnate, materialise@
@jelmaan@|@metamorphic, incarnation@
@jeluas@|@gory, bloody@
@jelujur@|@baste, temporary stitches@
@jemaah@|@pilgrim, assembly, congregation@
@jemala@|@chump, block@
@jembalang@|@gnome@
@jempul@|@superfine@
@jemput@|@invite@
@jemput-jemput@|@dumpling made from mixture of flour and bananas@
@jemputan@|@invitation@
@jemu@|@bored, weary@
@jemur@|@sunbathe, bask@
@jemuran@|@clothes hung out to dry@
@jenak@|@moment@
@jenaka@|@banter, joke@
@jenama@|@brand, trade mark@
@jenang@|@window or door frame, jamb@
@jenayah@|@crime@
@jenazah@|@corpse@
@jendela@|@window@
@jengah@|@peep, glance@
@jenggul@|@protrude@
@jengkal@|@span between the tips of stretched thumb and litt@
@jengkau@|@reach out@
@jengkel@|@annoyed, irritated@
@jengket@|@tiptoe@
@jenguk@|@look with head thrust forward@
@jenis@|@type, sort, kind@
@jenis@|@type (sort, kind)@
@jentera@|@machinery, machine@
@jentik@|@snap or flick with finger, larva@
@jentik-jentik@|@larva@
@jentikan@|@fillip@
@jentolak@|@bulldozer@
@jenuh@|@satisfied, full@
@jera@|@discourage, dishearten, dissuade@
@jeram@|@rapids@
@jerami@|@hay, straw@
@jeran@|@discourage@
@jerang@|@boil@
@jerangkap@|@booby trap@
@jerangkung@|@human skeleton@
@jerat@|@a snare or trap@
@jerawat@|@pimple@
@jerebu@|@haze@
@jerekit@|@cohere@
@jerembat@|@fall headlong@
@jerempak@|@meet by chance@
@jerih@|@tired@
@jeriji@|@a grate@
@jering@|@a type of tree and its malodorous fruit@
@jerit@|@scream@
@jeritan@|@act of screaming@
@jerjak@|@trellis, lattice@
@jerkah@|@snarl, yell@
