@Malay@|@English@
@aneka@|@multifarious, varied, all sorts of@
@aneka ragam@|@variety show@
@anekarama@|@concert@
@angan@|@imagination@
@angan-angan@|@imagination, a day-dream@
@angau@|@lovesick@
@anggap@|@assume, deem@
@anggapan@|@assumption, opinion@
@anggar@|@estimate@
@anggaran@|@estimation, budget@
@anggerik@|@orchid@
@anggota@|@limb, member@
@anggota badan@|@part of the body@
@angguk@|@nod@
@anggukan@|@act of nodding@
@anggur@|@grape, jobless@
@angin@|@wind@
@angka@|@numerical figure@
@angkara@|@bad or nasty behaviour@
@angkasa@|@space (beyond earth's atmosphere)@
@angkasawan@|@astronaut@
@angkat@|@lift, raise@
@angkatan@|@troops, armed forces@
@angkuh@|@haughty, arrogant, proud@
@angkup@|@callipers, pincers, forceps@
@angkut@|@convey, transport, transmit@
@angsa@|@goose@
@aniaya@|@maltreatment, abuse, injustice, tyranny@
@anjak@|@shift position slightly@
@anjal@|@elastic, flexible@
@anjing@|@dog@
@anjung@|@projecting facade (of a building)@
@anjungan@|@bridge (platform on a ship)@
@anjur@|@to jut out@
@anjuran@|@proposal, sponsored by@
@ansur@|@progress or move in stages@
@ansuran@|@instalment@
@antah@|@rice grains left unhusked after pounding@
@antan@|@pestle@
@antara@|@among, between@
@antara@|@between@
@antarabangsa@|@international@
@antero@|@whole, totally@
@anti@|@opposed to, counteracting, against@
@anting@|@pendulum@
@anting-anting@|@ear-ring@
@anu@|@so and so@
@anugerah@|@award, honour, grace@
@anut@|@embrace, accept, profess, adopt (religion)@
@anutan@|@adherence (to a religion)@
@anyam@|@weave, plait@
@anyaman@|@product of plaiting or weaving, act of@
@apa@|@what@
@apa khabar?@|@Hi!@
@apa-apa@|@whatever, anything@
@apa?@|@what?@
@apabila@|@when@
@apakah@|@what@
@apakala@|@when, if@
@apalagi@|@above all@
@apel@|@apple@
@api@|@fire@
@apit@|@squeezed between two surfaces@
@April@|@April@
@apung@|@float, drift@
@ara@|@fig@
@arah@|@direction@
@arahan@|@command, order, instruction, direction@
@arak@|@liquor, procession@
@arak-arakan@|@cortege, procession, pageant@
@aral@|@obstacle, hinderance, difficulty@
@arang@|@charcoal@
@aras@|@a level@
@arca@|@image, picture@
@ari@|@abdomen@
@ari-ari@|@abdomen@
@arif@|@learned, wise@
@arkib@|@archives@
@arkitek@|@architect@
@arloji@|@clock, watch@
@arm@|@mengepit@
@arnab@|@rabbit@
@arus@|@current (flow) of water, air or electricity@
@arwah@|@late (no longer living)@
@asa@|@hope@
@asah@|@sharpen, grind, whet@
@asahan@|@act of sharpening@
@asak@|@pack, cram@
@asakan@|@crowd, jam, cramming@
@asal@|@origin, source@
@asalkan@|@provided that@
@asalnya@|@originally@
@asam@|@sour@
@asam jawa@|@tamarind@
@asap@|@smoke@
@asar@|@afternoon@
@asas@|@foundation for a theory, basis, principle@
@asasi@|@basic, fundamental@
@asasnya@|@in principle@
@asin@|@salty@
@asing@|@foreign, separate@
@asing-asing@|@separately@
@askar@|@soldier@
@asli@|@indigenous, native, natural, original@
@asmara@|@love, passion@
@asrama@|@hostel@
@astaka@|@pavilion@
@asuh@|@bring up (a child), educate@
@asyik@|@besotted, infatuated, in love, engrossed@
@asyik maksyuk@|@infatuated, besotted@
@atap@|@roof@
@atas@|@above, up, upon@
@atas (di atas)@|@on@
@atasan@|@superior or upper class@
@atau@|@or@
@ataupun@|@or@
@atuk@|@grandfather@
@atur@|@arrange@
@atur cara@|@programme@
@aturan@|@regulation, arrangement, rules, procedure@
@aum@|@roar@
@aur@|@bamboo@
@aurat@|@parts of the body that should not be exposed@
@auta@|@bluff, deceit@
@awak@|@you@
@awak@|@you, your, yours@
@awal@|@early, beginning@
@awalan@|@grammatical prefix@
@awam@|@civil, public, common, general@
@awan@|@cloud@
@awas@|@caution@
@awet@|@conserve, preserve, embalm@
@ayah@|@father@
@ayahanda@|@father (in letter-writing)@
@ayak@|@sieve@
@ayak-ayak@|@crane-fly@
@ayam@|@chicken@
@ayam@|@chicken, fowl@
@ayam belanda@|@turkey@
@ayam denak@|@jungle fowl@
@ayam sabung@|@fighting cock@
@ayan@|@tin, corrugated iron@
@ayat@|@sentence (set of words)@
@ayatullah@|@senior Muslim religious leader@
@ayu@|@pretty@
@ayun@|@oscillate, swing@
@azab@|@suffering@
@azali@|@from time immemorial@
@azam@|@determination, firmness of purpose@
@azan@|@a Muslim call to prayer@
@azimat@|@talisman@
@bab@|@chapter@
@babad@|@chronicle@
@babak@|@act or scene(of a play), episode@
@babas@|@drift, sweep away@
@babi@|@pig@
@babit@|@embroil, involve (in argument or quarrel)@
@baca@|@read@
@bacaan@|@act of reading, material to be read@
@bacul@|@cowardly, timid@
@badai@|@hurricane@
@badak@|@rhinoceros@
@badam@|@almond@
@badan@|@body, organization@
@badan@|@body@
@badik@|@dagger@
@Badui@|@Bedouin@
@badut@|@clown, comedian@
@bagai@|@as if, like@
@bagaikan@|@as if@
@bagaimana@|@how?@
@bagaimana@|@how@
@bagaimanapun@|@however, no matter how or what@
@bagasi@|@baggage, cargo@
@baghal@|@mule@
@bagi@|@for, give@
@baginda@|@His or Her Majesty@
@bagur@|@large and clumsy@
@bagus@|@good@
@bagus@|@nice, pleasant, good@
@bah@|@deluge, flood@
@bahagi@|@allot, distribute, divide@
@bahagi@|@divide@
@bahagia@|@blissful, lucky, blessed@
@bahagian@|@division, part, portion, section@
@bahagian@|@department (section)@
@bahak@|@guffaw@
@baham@|@gobble@
@bahan@|@substance, matter, material@
@bahan api@|@fuel@
@bahana@|@loud noise or sound@
@bahang@|@heat@
@bahantara@|@medium (environment)@
@bahari@|@ancient@
@baharu@|@new@
@bahas@|@debate or discussion@
@bahasa@|@language@
@bahawa@|@that@
@bahaya@|@danger@
@bahkan@|@moreover@
@bahlul@|@inane, silly@
@bahu@|@shoulder@
@baiduri@|@opal@
@baik@|@good, fine, well@
@baik@|@good, all right, fine@
