@Boniface@|@Ponifasio@
@Bookstore@|@Fale tohi@
@bottle@|@hina@
@bottle top@|@'umosi@
@bottom@|@tungaiku@
@bow@|@punou@
@bowel@|@ngakau@
@bowl@|@poulu@
@box@|@fuhu@
@boxing@|@fuhu, tau@
@boy@|@tamasi'i@
@brain@|@'uto@
@branch@|@va'iakau@
@Brazil@|@Palasili@
@bread@|@ma@
@breadfruit@|@mei@
@breakfast@|@kai pongipongi, pelekifasi@
@breast@|@huhu@
@breath@|@manava@
@bridge@|@hale kavakava@
@Brisbane@|@Pilisipeini@
@Britain@|@Pilitania@
@broken@|@mafahi@
@broth@|@supo@
@brother@|@tokoua, tuonga'ane@
@brown@|@melomelo, palauni@
@brown leaves of the coconut tree@|@hulu@
@bruised@|@taka'uli@
@buffalo@|@pafalo@
@build@|@fokotu'u@
@Bulgaria@|@Pulukelia@
@bull@|@pulutau@
@bun@|@pani@
@Burma@|@Pema@
@burnt@|@paku, vela@
@burnt out@|@'osi'osi@
@bus@|@pasi@
@bush@|@'uta@
@business@|@pisinisi@
@butchery@|@fale fahi pulu, putusa@
@butter@|@pata@
@butterfly@|@pepe@
@buttocks@|@tangaiku@
@cabbage@|@kapisi@
@cake@|@keke@
@calf@|@uhiki'i pulu@
@Cambodia@|@Kamapusia@
@camel@|@kameli@
@camp@|@tutuku@
@Can you sing?@|@Teke lava 'o hiva?@
@Canada@|@Kanata@
@Canberra@|@Kenipela@
@cancer@|@kanisa@
@candy@|@lole@
@car@|@ka@
@cards@|@pele@
@care@|@tokanga@
@cargo@|@uta@
@Caroline@|@Kalolaine@
@carrot@|@kaloti@
@cassava@|@manioke@
@cast away@|@tuli@
@cat@|@pusi@
@cataract@|@kanisa@
@cathedral@|@fale lotu lahi@
@Catherine@|@Katalina@
@caught by the winds@|@vilingia@
@caught in a storm@|@afangia@
@caught in the rain@|@'uheina@
@cave@|@'ana@
@Cecilia@|@Sesilia@
@celery@|@seleli@
@cement@|@sima@
@Charles@|@Salesi@
@Charlotte@|@Salote@
@Cheap@|@ma'ama'a@
@check@|@vakai@
@cheek@|@kou'ahe@
@cheese@|@siisi@
@chest@|@fatafata@
@chestnut@|@ifi@
@chicken@|@moa@
@chief@|@'eiki@
@child@|@tamasi'i@
@children@|@fanau@
@Children's Day (first Sunday@|@fakame@
@Chile@|@Saile@
@chin@|@kumukumu@
@China@|@Siaina@
@chocolate@|@sokaleti@
@chop@|@pulu mo e hui@
@chore@|@ngafa, ngaue@
@church@|@fale lotu (siasi), setuata@
@cicada@|@kakalu@
@cigar@|@sika@
@cigarette@|@sikaleti, suluka@
@cinnamon@|@sinamoni@
@circle@|@siakale@
@cities@|@kolo lalahi@
@city centre@|@kolo lahi@
@clam@|@vasua@
@clan@|@afa@
@clapping@|@pasipasi@
@Class Room@|@Loki ako@
@clay@|@'umea@
