@overclouded@|@mang, muk, pä-mang@
@panther@|@kä-hla@
@part appointed for the house@|@gul@
@paternal uncle@|@a-ku, ku@
@penis@|@gar-nek, sung-gang, thik@
@place@|@tho-m@
@placenta@|@a-jeng-chot, a-jeng-tjol, a-jeng-tjól, a-jeng-tjól@
@plain@|@tam@
@pour out from a larger vessel@|@chim@
@pouring of water@|@chhór@
@powerful@|@grong@
@pray to God@|@mä@
@preeminent@|@kong@
@price@|@a-far@
@pure@|@zhil-la zhil-la@
@put out of place@|@káng@
@quick@|@rem@
@quick with fingers@|@zhap-pa zhap-pa@
@rain@|@so@
@red@|@a-hyir, lók, lük-lók-lä, rük-lók-lä@
@reflective light@|@a-lóng, lóng@
@remain@|@bam@
@repeat the charm@|@dä@
@ridge@|@küng@
@right@|@gjo-m@
@rise@|@hrjäm@
@roll round@|@ról@
@salt@|@vóm@
@sand@|@zhí@
@scorpion@|@dik läng-zhik@
@screw@|@kil@
@see@|@ší@
@seize hold of@|@kjüp@
@sew@|@hrap@
@shine@|@om@
@shining@|@zhir-ra zhir-ra, zhur-ra zhur-ra@
@shoulder@|@tük-pung@
@showy@|@zhár-ra zhár-ra@
@six@|@tä-räk@
@slight narrow shoot@|@a-kíp, kíp@
@small@|@kä-krí-bo@
@small as from a distance@|@tä-tjä-lä, tjä, tjä-lä tjä-lä@
@small house@|@krjäng@
@small sp. of leech@|@kä-hom-fót@
@sort of a fishnet@|@kün@
@sort of bamboo-vessel@|@ta-lap@
@sound of anything@|@grik@
@sp. of eagle@|@kä-ljüng@
@sp. of squirrel@|@kä-li@
@sparkling@|@tik, tik-ka tik-ka@
@sparrow-hawk@|@tüng-kí@
@spec. of beetle@|@tä-für@
@spec. of cock's comb@|@kä-njem@
@spec. of grain@|@ko-gró, ko-zo@
@spec. of Smilax@|@kün-ljüm@
@spec. of Solanum@|@kä-lim-bi@
@spec. of the lemon@|@ka-che@
@spec. of wasp@|@tä-ljam@
@spec. of water-plant@|@tä-bóng@
@spittle@|@dyuk@
@spread out@|@chór@
@stagnant water@|@dä@
@star@|@sa-hór@
@stick-insect@|@tüng-kjóng@
@stone@|@lung@
@string bow@|@grí@
@suck and afterwards@|@chóp@
@support as against heat@|@kál@
@swelling@|@fran, fren, frong@
@swim@|@fa@
@tall@|@ä-hrjän@
@ten@|@kä-tí@
@testicle@|@a-thol@
@testicles@|@tälam@
@that@|@o@
@that there@|@tä-a, tä-á, tä-ä, tä-o@
@the blue-horned pheasant@|@ta-ryok fo@
@the body@|@lju, ljü, lü@
@the bottom of anything@|@tuk-chek@
@the cheek@|@tä-grju@
@the chief point@|@a-chung, chung@
@the chin@|@gá, gä@
@the cushion of hand@|@tüng@
@the day@|@nji@
@the earth@|@ljang@
@the eye@|@a-mik, mik@
@the gums@|@njal, njel@
@the high place@|@tä-ljang@
@the hip@|@tük-bróng@
@the knuckles of hand@|@a-tüt, tüt@
@the midst of@|@la@
@the outer side of bent@|@kür-küng@
@the palm@|@ljók@
@the ridge@|@küng@
@the slough of a snake@|@a-krju, krju@
@the spleen@|@a-lim, lim@
@the upper jaw@|@bong-käm@
@the ventricle of stomach@|@ta-djung@
@the white ant@|@tük-men, tüng-men@
@theft@|@ku mók, kut-mo@
@thin@|@klep@
@this@|@a@
@thou@|@hó@
@thread@|@so@
@three@|@sam@
@throw@|@óp@
@tiger@|@sâ-thang@
@to add to@|@chóp@
@to address king@|@lap@
@to agree@|@chhóm, kung, lón@
@to apply medicine@|@tjam@
@to arrrest@|@tho@
@to be able@|@khü@
@to be acid@|@chór@
@to be bent down@|@gí@
@to be close together@|@zhup@
@to be collapsed as bag@|@klip@
@to be contented@|@kót@
@to be costive@|@kak@
@to be crooked@|@kjok@
@to be cut off@|@päk@
@to be deep@|@njüng@
@to be distressed@|@kjóng@
@to be drawn together@|@chom@
@to be elevated@|@kan@
@to be erect@|@dung@
@to be fast@|@njeng@
@to be great@|@tí, tý-m@
@to be handsome@|@chóng@
@to be heavy@|@lí, lí-m@
@to be in company@|@tyól@
@to be in concord@|@kóp@
@to be in uproar@|@chól@
@to be muddy@|@ko@
@to be old@|@ru@
@to be quiet@|@kjam@
@to be shallow@|@ljáng@
@to be short@|@tan, ten@
@to be soft@|@njól@
@to be sore@|@njó@
@to be stiff@|@króng@
@to be sweet@|@khljam, kljam@
@to be wrinkled@|@chor@
@to blow@|@mät, müt@
@to blunder@|@kjól@
@to bow@|@kük@
@to branch out@|@kóng@
@to bring forth@|@gjek@
@to bury@|@lap@
@to cause to rain@|@lük, lük bam@
@to cause to shake@|@njäk@
@to chop@|@tjót@
@to collect@|@zham@
@to come in@|@tjók@
@to confine@|@gríp@
@to cough@|@kak@
@to cover over@|@kap@
@to cover with hands@|@grop@
@to create@|@de@
@to crush@|@zhíp@
@to cut@|@hra@
@to die@|@mang@
@to discharge@|@thán@
@to distribute@|@rít@
@to divide@|@chit, thek@
@to dress@|@kán@
@to drink@|@thang, thong, tjan@
@to drivel@|@chíl@
@to eat@|@tha@
