@Battle of Beneventum 275 BC@|@Bataille de Benevent 275 av.jc@
@Battle of Cannae 216 BC@|@Bataille de Cannes 216 av.jc, Cannes@
@Battle of Chaeronea@|@Bataille de Chéronée@
@Battle of Drepanum 249 BC@|@Bataille de Drépante 249 av.jc@
@Battle of Heraclea 280 B.C@|@Bataille d'Héraclée 280 av.jc@
@Battle of Horseshoe(1814)@|@Bataille de Horseshoe@
@Battle of Lake Trasimene 217BC@|@Bataille du lac Trasimène, Bataille du Trasimène@
@Battle of Lepanto 1571@|@Bataille de Lépante(la)@
@Battle of Marathon 490 BC@|@Bataille de Marathon(la)@
@Battle of Metaurus 207 BC@|@Bataille du Métaure 207 av.jc@
@Battle of Plassey 1757@|@Bataille de Plassey@
@Battle of Sedan 1870@|@Bataille de Sedan(la)@
@Battle of Tannenberg 1914@|@Bataille de Tannenberg(la)@
@Battle of Thapsus 46 BC@|@Bataille de Thapse 46 av.jc, Thapse@
@Battle of the Marne 1914@|@Bataille de la Marne(la)@
@Battle of Trafalgar 1805@|@La Bataille de Trafalgar, Trafalgar@
@Beelzebub@|@Belzébuth@
@Belisarius@|@Bélisaire@
@Bellona@|@Bellone@
@Belshazzar@|@Balthazar@
@Bengali(ling.)@|@Bengali(lang.)@
@Berlin Congress 1878@|@Congrès de Berlin@
@Bethany@|@Béthanie@
@Bithynia@|@Bithynie@
@Boadicea@|@Boadicée@
@Boaz@|@Booz@
@Boccaccio@|@Boccace@
@Bocchus@|@Bocchus@
@Boeotia@|@Béotie@
@Boer War 1899-1902@|@Guerre des Boërs(la)@
@Boethius@|@Boëce@
@Bohemian@|@Bohémien@
@Bona@|@Bône@
@Booz@|@Booz@
@Boreas@|@Borée@
@Boris Godunov@|@Boris Godounof@
@Borysthenes@|@Borysthène@
@Bosphorus(The)@|@Bosphore(le)@
@Bothnia@|@Bothnie@
@Bourbon Restoration@|@Réstauration des Bourbons@
@Braganza@|@Bragance@
@Brandenburg@|@Brandebourg@
@Brandenburg Concerto@|@Concerto Brandebourgeois@
@Brazilian@|@Brésilien@
@Breton(ling.)@|@Breton(lang.)@
@Briareus@|@Briarée@
@British India@|@L'Inde Anglaise@
@Bronze Age@|@Âge de Bronze(l')@
@bubonic plague@|@peste bubonique@
@Bucephalus@|@Bucéphale@
@Bulgarian Empire@|@Empire Bulgare@
@Bulgarian(ling.)@|@Bulgare(langue)@
@bureaucracy@|@bureaucratie@
@Burgundian@|@Burgonde@
@bust@|@buste@
@Byzantium@|@Byzance@
@Caesar@|@César@
@Caesariensis@|@Césarienne@
@Caesarius@|@Césaire@
@Caiaphas@|@Caïphe@
@Cain@|@Caïn@
@Cairo@|@Le Caire@
@Calabria@|@Calabre@
@Calciut@|@Calicut@
@caledonia@|@calédonie@
@Caligula@|@Caligula@
@Caliphate@|@Califat@
@Caliphs@|@Calife@
@Callimachus@|@Callimaque@
@Callisthenes@|@Callisthène@
@Calvin@|@Calvin@
@calvinism@|@calvinisme@
@Camargue@|@Camargue@
@Cambodia@|@Cambodge@
@Cambodian@|@cambodgien, khmer@
@Cambyses@|@Cambyse@
@Campania@|@Campanie@
@Canaan@|@Chanaan@
@Canadian@|@canadien@
@Canadian French@|@Canadien Français@
@Canary Islands@|@îles Canaries@
@Candia@|@Candie@
@Canea@|@Canée(la)@
@Cappadocia@|@Cappadoce@
@Capricorn@|@Capricorne@
@Capua@|@Capoue@
@Caracalla@|@Caracalla@
@caravan routes@|@routes des caravanes@
@Caria@|@Carie@
@Carmania@|@Carmanie@
@Carmen@|@Carmen@
@Carnatic@|@Karnatic@
@Carolingian@|@carolingien@
@Carolingian Dynasty@|@Dynastie des Carolingiens@
@Carpathian mountains@|@Carpates@
@Carpathians@|@Carpates@
@Carracci@|@Carrache@
@Carrara@|@Carrare@
@Carrhae@|@Carrhes@
@Cartagena@|@Carthagène@
@Carthage@|@Carthage@
@Carthaginian@|@carthaginois@
@Carthago Nova@|@Carthagène@
@Caspian Sea@|@mer Caspienne@
@Cassandra@|@Cassandre@
@Caste@|@Caste@
@Castile@|@Castille@
@Castilian@|@Castillan@
@Catalan@|@catalan@
@Catalonia@|@Catalogne@
@Catalonian@|@catalan@
@Catania@|@Catane@
@Catilina@|@Catilina@
@Catiline@|@Catilina@
@Cato@|@Caton@
@Cato(elder)@|@Caton l'Ancien@
@Catulius@|@Catulle@
@Catullus@|@Catulle@
@Catulus@|@Catulle@
@Caucasus@|@Caucase@
@Celt@|@Celte@
@Celtiberian@|@Celtibère@
@celtic@|@celtique@
@Celtic(ling.)@|@Celtique@
@Central America@|@Amérique centrale@
@Cephalonia@|@Céphalonie@
@Cerberus@|@Cerbère@
@Ceres@|@Cérès@
@Cetinje@|@Cettigne@
@Ceylon@|@Ceylan@
@Ceylonese@|@ceylanais@
@Chaco War@|@La Guerre du Chaco@
@Chaeronaea@|@Chéronée@
@Chalcedon@|@Chalcédoine@
@Chaldaic@|@Chaldaïque@
@Chaldaic(adj)@|@Chaldaïque(adj.)@
@Chaldea@|@Chaldée@
@Chaldean@|@Chaldéen@
@Champenois@|@Champenois@
@Chandragupta@|@Chandragupta@
@chanson de roland@|@chanson de roalnd(la)@
