@frightened@|@furgudi-, xargudi-@
@front of cloth@|@ngge@
@full@|@dëlge-, derge-@
@fur hat@|@marGa@
@fur on animal's paws@|@Gudusë@
@gall@|@sülzë, sürzë@
@game@|@bulGa@
@get tired@|@(a)rda-, xarzä-@
@gimlet@|@urëm@
@give!@|@ali@
@glorify@|@mašdaG@
@go@|@szi-@
@good@|@sain, sën@
@goose@|@Galü@
@grab@|@bulë-, buli-@
@grass@|@jesë, usë, wesë@
@grasshopper@|@cärzaG, chäržaG@
@grave hill@|@öbö@
@green@|@kugo@
@green meadow@|@chorgö@
@grey@|@boro, burondog@
@grey crane@|@xara(n)ciGë, xarabžaGe@
@grey of hair@|@börol@
@gristle@|@mungërsë, munggirzë@
@grouse@|@loGtor@
@guard@|@manä-, sagi-, sgë-@
@guess@|@nü-@
@hair@|@fuzë, szë, šzu@
@half@|@kideli-, kidëre-@
@hard@|@padë, padu, xadong@
@hare@|@tolï, tülï@
@harm@|@xor, xurö@
@harmony@|@joro@
@have no power@|@idä-, jadä-@
@head@|@tolGui, torGwä, turong@
@headstall@|@noGdo, noGsdo, noxdö@
@hear@|@sunosë-@
@heart@|@zerge, žirge@
@hearth@|@zoxo, žöxo@
@heavy@|@kundun@
@heavy rain@|@burön@
@hemp@|@losë@
@hen@|@taGau@
@hill@|@kudor@
@hillock@|@boqqön@
@hold@|@bari-, wari-@
@hole@|@nuko@
@hollow@|@xösën, xözën@
@home@|@kudu@
@hook@|@dege boGodi@
@horn@|@ujer, wer@
@horse@|@mori@
@horse(s)@|@äsë@
@horse-cloth@|@nemnong@
@host@|@nzen, rzi-le-@
@house@|@ger, ges@
@hundred@|@zong@
@I@|@bu, muni, ndä@
@ice@|@molsë, morzë@
@in a row@|@darla-@
@insect@|@xorGui, xorGwï, xurGoi@
@inside@|@dunda, šduro, tudor, turo@
@intent@|@durän@
@intestines@|@gëdesë, gidesë@
@into small pieces@|@pažilë@
@investigate@|@mutoG@
@island@|@arä(r), ral, räl@
@join@|@žalGä-, zirGa-@
@joss-house@|@sëmen, smen@
@juice@|@sime, simën@
@jujube@|@chuGa@
@junior nephew@|@achi, aci sunzë@
@just a little@|@aráaG, arang@
@kettle@|@tuGö@
@knead@|@nuGu-, zurä-, žurä-@
@knee@|@idiG, udiG, wedeG@
@knife@|@cidoGo@
@knit@|@neke-, niki-@
@knots of a bow-string@|@kwëri@
@kolinsky@|@sulongGo@
@lake@|@nör, nür@
@lamb@|@xorGa, xuroG@
@land@|@Gažar@
@language@|@kile@
@large@|@au, ü@
@lash@|@szü@
@late@|@kinzele-@
@leaf@|@la(b)szi, labži@
@lean on@|@tulë-, tuli-@
@leek@|@xarir@
@light@|@gëre, gërel, gergeza-, šënggen, singen@
@light (not heavy)@|@konggwën, kunggon@
@limite@|@cire@
@lip@|@uröl@
@little@|@cögön@
@liver@|@xalege, xalige, xelge, xelige@
@loan@|@asGu-@
@lofty@|@gudör@
@long@|@fudur, šdur@
@long leather sack@|@süma(r)@
@louse@|@bösë, burgë, bürge@
@lungs@|@ösgu@
@lynx@|@šële@
@magpie@|@sazaGë, šažiGai@
@many@|@olon, ulon@
@mare@|@gü@
@marriage@|@turö@
@marrow@|@nurë, nuru@
@marrow-bone@|@cimuge@
@mate@|@xaning@
@maternal relative@|@naGai, naGë@
@meagre@|@turGan@
@meat@|@maxa@
@meat on sheep's rump@|@lanzin@
@melody@|@ajang@
@method@|@arGa@
@middle ear@|@xongGo@
@middle of day@|@dur@
@mild@|@nomu@
@milk@|@sun@
@mirror@|@tölë@
@mix smth@|@samurä-, samuri-@
@molar tooth@|@arä, aranda, rä@
@mole@|@lumön@
@monkey@|@mecin@
@moon@|@sara@
@mosquito@|@pugunoG@
@mother of pearl@|@tanä@
@mount@|@funi-, xoni-, xuni-@
@mountain@|@ula, ulä@
@mouse@|@xanaGla, xulGanaG@
@mouth@|@ama@
@mow@|@cavci-, chabži, zabszi-@
@muscles@|@pazarGë@
@nail@|@Gadasë@
@name@|@nere@
@native place@|@nontoG@
@navel@|@kwëgi-, kwëzë@
@neck@|@guzi@
@needle@|@zü@
@nephew@|@ze@
@nest@|@för@
@net@|@gurma@
@net string@|@tamu-@
@new@|@šëni, sinë@
@night@|@soni@
@nipple@|@kugo@
@nit@|@cïrsë, cirzë@
@nomad neighbour@|@saGa@
@Northwards@|@xui-no, xwëdi, xwëno@
