@belief@|@Druwin, DRÛWIN, Druwis, DRÛWÎS@
@believe@|@drowy, DRUWÊT, DRUWIJ, druwît@
@believer@|@Druwîngin, DRÛWÎNGIN@
@bellows@|@MÂISS, moasis@
@belongs@|@perlânkei, PÊRLÂNKJÂ@
@below@|@semmai, ZEMÂI@
@bench@|@SÂSTÂ, Sosto@
@bend@|@Dangus, DÊNGTWEÎ@
@benediction@|@EBZIGNÂSNAN@
@beneficence@|@LABASEGÊSNAN, labbasegîsnan@
@benevolence@|@LABAPADÎNGAÛSNAN, labbapodingausnan@
@benevolent@|@KWÂITÎNGIS@
@beside@|@pagâr@
@betray@|@PÊRKLÂNTAMAÎ, perklantemmai@
@betrayed@|@PRAWILÂ, prowela@
@bette@|@walnennien, WALNS@
@better@|@WALNANJAN, walnennien, Walns@
@between@|@sirsdau, SIRZDAU@
@billet firewood@|@Luckis, LUKIS@
@binding strap@|@TARKINÊ, Tarkue@
@birch@|@Berse, BERZÊ@
@bird@|@Pepelis, PIPELIS@
@bird-cherry@|@SMÂRDÊ, Smorde@
@birds@|@PIPALENS, Pippalins@
@birth@|@GÎMSENJAN@
@bishop@|@Bîskopins, Bîskops, BÎSKUPANS, Bîskups@
@bison@|@Wissambs', ZAMBRAS, ZAMBRUS@
@bit of a bridle@|@KAMANÂS, kampnit, Slango, ZABANGÂ@
@biting caustic@|@GRÊUZÎNGIS@
@bitter@|@kârtai, KÂRTÂI@
@bitter plums@|@Crichaytos, KRÎKAÎTÂS@
@black@|@KÎRSNAN@
@black grouse@|@TATÂRWAS, Tatarwis@
@blackbird@|@Seese, SÊSÊ@
@bladder@|@Dumsle, DUMSLÊ@
@blanket@|@LÂZÊ, Loase@
@bleeder@|@KRÂUJÂWÎRPS@
@bless@|@Signât, ZIGNÂT@
@blessed@|@DÊIWÂTS, Deiwuts, EBZIGNÂTS@
@blessing@|@signassen, ZIGNÂSNAN@
@bliss@|@DÊIWÂTISKÂ, DÊIWÂTISKAN, Deiwutiskai, Deiwûtiskan@
@blissful@|@DÊIWÂTISKAN, Deiwûtiskan@
@blissfully@|@DÊIWÂTÂI, DÊIWÂTISKÂI, deiwûtai, Deiwutskai@
@blood@|@Crauyo, KRÂUJÂ@
@blot@|@MÊLINAN, mîlinan@
@blow@|@KÎRTÎS@
@blue@|@MÊLINS, mîlinan@
@bluish@|@GALÎMBAN@
@boar@|@KÛILÎS@
@board of a ceiling@|@LUBÂ@
@bodily@|@KÊRMENENISKAN, KÊRMENISKÂ, Kêrmeniskai@
@body@|@KÊRMENS@
@bold@|@Dirsos, DÎRSUS@
@bolter@|@baytan, SAÎTAN@
@bone@|@Caulan, KAÛLAN@
@book@|@LÂISKAS@
@boot@|@Pusne@
@bootmaker@|@Schuwikis, ŠUWIKS@
@bore@|@Granstis, GRÂNZTWEÎ@
@borer@|@Granstis, GRÂNSTIS@
@both@|@ABÂI@
@bound@|@senrists, SÊNRISTS@
@box-room@|@Kamerco, KAMÊRKÂ@
@boy@|@WÂIKLÎS, Wayklis@
@brain@|@MAZGENÂ, Mulgeno@
@bran@|@KLÊNÊS@
@branch@|@Wipis@
@brass@|@KASÂJS@
@bread@|@GEÎTIKÂ, GEÎTIS@
@bread of coarse-ground flour@|@SÂMPISINÎS, Sompisinis@
@break@|@lembtwey, LEMTWEÎ, Luse, LÛZÎS@
@break through@|@KÎNTWEÎ@
@bream@|@Blingis, BLÎNGÎS, Locutis, LUKUTÎS@
@breast@|@KREKLAN@
@breast-leather for a horse@|@Pagrimis, PAGÛRNÎS@
@breast-piece@|@Pleske, PLÊSKÊ@
@bribe@|@BALWÂ, Balwe@
@bride@|@Mârtin, MÂRTJAN@
@bridge@|@TILTAN@
@bridle@|@Brisgelan, BRIZGILAN@
@bright@|@Laukappe, LÂUKS@
@bring@|@PRÊIPÊST, preipîst@
@brings@|@PÊRPÊDÂ, perpîdai@
@brome grass@|@Pure@
@brook rill@|@Salus@
@broom@|@KLEKSTÂ@
@broth@|@Juse, JÛSÊ@
@brother@|@BRÂTÊ, Brote@
