@to cut@|@etkä, etqä-@
@to cut in pieces@|@übchi-@
@to die@|@oku, ükü-@
@to drink@|@ochi-@
@to eat@|@idä, idä-@
@to enter@|@oru-@
@to fall@|@unö-@
@to fart@|@unghu-@
@to forget@|@morta-@
@to give@|@ögü-, ug-@
@to gnaw@|@molži-@
@to go out@|@haru-@
@to grow@|@urhu-@
@to jump@|@üsürü-@
@to kill@|@äla-, olä-, öla-@
@to know@|@mede-@
@to laugh@|@innä-@
@to lick@|@döl@
@to lie@|@tebtä, teftä-@
@to look@|@qara-@
@to lose@|@ge-@
@to love@|@täla-@
@to make@|@ki-@
@to milk@|@sä-, so-@
@to pound@|@gube-, gubi@
@to press down@|@daru-, döru-@
@to pull@|@tata-, tatä-@
@to put@|@tali-@
@to quarrel@|@kerälda-, keräldu-@
@to reach@|@kur-@
@to read@|@omši-, umši-@
@to rest@|@amdun@
@to roam@|@nou-@
@to run@|@güï-, gujä-@
@to say@|@kelä-@
@to search@|@audol-, oudal@
@to see@|@ouž, üžä-@
@to sit@|@sau-, sou-, söü-@
@to sleep@|@nunta-@
@to smear@|@šëbë-@
@to spin a spindle@|@irga-@
@to stand@|@ba'i-, bei-@
@to stay behind@|@qocharu-@
@to step down@|@bü-@
@to stretch out@|@suntu-@
@to strike fire@|@chakil-, chakilgän@
@to suck@|@šimi-@
@to take@|@ab-, afu-, öb-@
@to taste@|@amsa@
@to throw@|@saba-@
@to walk@|@jobu-@
@to walk submerging into water@|@umbom@
@to wash@|@oha-, uha@
@to weave@|@neka-@
@toe@|@qorun, qurün@
@together@|@qamtu@
@tooth@|@südün@
@top of head@|@orei@
@trace@|@oram@
@track@|@mor, mür@
@tree@|@mädun, modun@
@trousers@|@ondun, ündün@
@two@|@qejär, qojör@
@upwards@|@öädä, udä@
@urine@|@sei, seisün@
@variegated@|@alö@
@vulva@|@idkun, odkun, utkun@
@wall@|@qamchi, qamchu@
@warm@|@qalon@
@water@|@osun, usun@
@we@|@bidä, mennei (gen.), mön-@
@weep@|@uïla-@
@West@|@baranhöl@
@what@|@jem(ä)@
@white@|@chahö, chahön@
@who@|@ken, kijän@
@wild ass@|@gor[ä]sun@
@window@|@chölö@
@winter@|@ebulä, übül@
@wish@|@doron@
@without@|@gei, ügei@
@woman@|@emmä@
@work@|@kütäl@
@yellow@|@sirä, šira@
@yesterday@|@chikaudur, ochkädur, üchkön, uškudur@
@you (pl.)@|@to@
@young@|@žalau, žaläwu@
@younger sibling@|@döün@

