@black diamond rattlesnake@|@$óowut@
@Black nightshade@|@takov$ish@
@Black oak@|@kwila@
@Black sage@|@kanavut@
@black widow spider@|@kúyxingish@
@black willow@|@wat@
@blackberry@|@pikwla@
@blanket@|@táanat@
@blanket -rabbit fur@|@tawá'is /curtis/@
@Blepharipappus glandulosa@|@solisal@
@Bloomeria aurea@|@kawichhal@
@blow with the mouth  - to@|@púxi-@
@blue@|@kunóknush, malúmlis /curtis/@
@Blue-eyed grass@|@patumkut@
@body@|@-táaxaw@
@body odor@|@má$xavush@
@boil  - to@|@qáli-@
@boil /v/@|@múl'i-@
@boil over /v/@|@múxi-@
@born - to be@|@chóxa-@
@borrow /v/@|@tóo'@
@both@|@wéh@
@bottom@|@-tówla@
@bow@|@kútapish@
@bowl@|@peshlish@
@bowstring@|@káwina /curtis/@
@boy@|@amáaya'mal, amáya'mal, hengéemal@
@brake fern@|@mashla@
@break - to (waves)@|@lóma-@
@break /v/@|@chípi, píthi@
@breath@|@híkwsash, híkwsash@
@breathe - to@|@hakwís-@
@breathe /v/@|@hikwísa@
@bring@|@maxána-@
@Brodiaea capitata@|@tokapish@
@broken - to be@|@chára-@
@Bromus maximus@|@woshhat@
@brother@|@-páa'a$ /elder/, -péet /younger/@
@brother's child /elder/@|@-máimai /curtis/, máimai /curtis/@
@brother's child /younger/@|@-kmumai /curtis/@
@bruised -be /v/@|@yára-@
@brush rabbit@|@tóovit@
@build /v/@|@kíichu@
@bulky@|@yót /sing/@
@bulky /plur/@|@mómkatum@
@bulrush@|@pevesash@
@burden basket@|@pákwat /curtis/@
@burden net@|@íkat /curtis/@
@burly@|@yót /sing/@
@burly /plur/@|@mómkatum@
@burn - to@|@chúya-@
@burn /v/@|@múla-, múlli, ná@
@burnt -be /v/@|@na'-@
@burrowing bee@|@$uká'@
@burrowing owl@|@kukúul@
@bury /v/@|@nápi-@
@butterfly@|@'avéllaka@
@butterfly -a@|@avélaka@
@buy /v/@|@sámsa@
@buzzard@|@'aláawaka@
@by@|@-nga /with nouns/, -oto /pronouns/@
@by means of@|@'a$úuntal@
@by means of the/a house@|@kíichal@
@by myself@|@nóxay@
@by oneself@|@-xay@
@cactus@|@d, mánal /curtis/, mutal /cilindrical stem/, náavut@
@cactus seeds@|@mótulpupús /curtis/@
@Calandrinia caulescens@|@puchakla@
@calculate /v/@|@wóy'i@
@California poppy@|@ataushanut, atóo$anat@
@Cancer root@|@mashal@
@capture /v/@|@cháqwi /sing/, yawá'na /pl/@
@Carduus@|@chochawish@
@care for /v/@|@kwáavichu@
@carry /v/@|@yáw@
