@English@|@Khanty@
@net@|@toxäl, toxät@
@net needle@|@sawäs-, sopäs, supäs@
@nine@|@yaryang@
@not@|@nem xojat, nemäsa@
@observe@|@tähän-, tähäntählä-, wopäj-, wopi-@
@old@|@unä, won@
@on top@|@al, elä, etä@
@one@|@yit, yiy@
@other side@|@aläm, atäm@
@our 2 cows@|@mesngetuw@
@outside@|@kámän, kim, kömän, küm@
@path@|@pant, pent@
@peg@|@löngk@
@person@|@mant, mas, mont@
@piece@|@mari-, moräj-, mori-@
@pierce@|@jaxäs-, johi-@
@pit@|@ongk, wangkä, wangxä, wongk, wongx@
@place@|@mir-wer, tahi, tahi, taxa, taxa, taxä, taxä, wal, walä, wat, wer@
@place (1)@|@ewä-wat, pax-wat@
@plait@|@ponäl-, pönäl-, punttä-@
@pole@|@ol, wol@
@pond@|@tew, toh, tuw@
@porridge@|@rak, räk, rako, rok, rox@
@post@|@oxäl, oxät@
@power@|@weh, wej, wöh@
@prayer@|@mül, mul-, muläs-, mut, mut-@
@push@|@nakämäjäl-, nek-, nekämt-, poxäl-, poxät-, pul-@
@quick@|@sara, saräk, sora@
@quiver@|@tiwët, tühät@
@raw@|@nasax, našax, näsax@
@reins@|@päk@
@relative on mother's side@|@alt, ilti, oli, olisakän, or'ne, orti, wortï@
@ring@|@mahäl, mahältähi-, maxält-, maxät, maxta@
@river@|@rahoä@
@river influx@|@pas, pasäl, pastät, posäl@
@roe@|@kor-purä, por, pör, purä@
@rotate@|@sajä-, sajh-, sejäh-@
@rub@|@osi-, waçäh-, woçähtä-, wošäm-@
@run@|@sahäl-, sahält-, saxättä-, saxit-, sixäl-, suhäm@
@sack@|@sous@
@saddle@|@nöhär@
@sealine for fishing@|@wote@
@seethe@|@pasäh-, pasi-, posä-, posh-@
@seven@|@jäwät, lapät, läwät, tapät@
@shaft@|@nal, net, nöl@
@shave@|@walt-, wattä-@
@sheep@|@aç, açni, as, asni, oš, ošnä@
@shine@|@al wali-, woli-@
@shore@|@marti-meh, marti-muw, mortä-meh@
@shy@|@waj, wajäh, wojä@
@side@|@kutäng, peel, peläk, pelläk, xösá@
@side of body@|@angti, engtä, ongti, öngti@
@sing@|@mora-, moräh-@
@sink@|@mar-, mara-@
@sister@|@sasä, sasi@
@six@|@xut@
@skin from the feet of deer@|@posäx, pošäx@
@sky@|@num toräm@
@sleigh harness@|@wat, wät@
@small piece@|@per@
@small river@|@wahäl, woxal, woxal-joxan@
@smoke@|@posäng@
@snout@|@nir@
@snowstorm@|@partä-, parxa, porki, porki-wat@
@soft@|@namäk, nämäk@
@something slippery@|@nal, nali@
@something stamped@|@pohäl, poxät@
@son-in-law@|@weng, wo'ng, wong@
@south@|@langa, tanga@
@space@|@tir@
@speech@|@pangkäl-sahä, saw@
@spit@|@ongtä, ongtäw, pal, pali, ungti@
@spoon@|@pen@
@spring@|@ta'wi, tawä, toh, tohi, tow, towi'@
@squeeze@|@pas-, pos-, pus-@
@squirrel@|@imät tangkä, iwä längki, jipät langki@
@stomach@|@pokä-sox, pöki, puka, pukä@
@string@|@pihät, pïhät, piwättä-, pühäl@
@support@|@mas, meç, mëç@
@surface@|@el, et@
@swan@|@kötäng, xötäng@
@tail@|@páläk, pašngat, patangx, patlang, poç, potlang@
@tail of a deer@|@mäsäh, masäng, mesäh@
@tame@|@ani@
@tear@|@empor-, köpitä-, xapät-@
@ten@|@yang@
@tent@|@oläw, utäp@
@testicle@|@man, mon@
@that@|@ta'm, to'm, to'mä, to't, to'ttä, tom, toma, tomi@
@that (1)@|@maki, maxa, moxa, to'hi, to'xi', tota@
@the 2 of our cows@|@mestaten@
