@English@|@Ainu@
@< ya (n)¹ + peka (adv)¹@|@ya-peka (adv)@
@< ya (n)² + atte (vt)² + p (sf)yattep (n)@|@yattep (n)@
@< ya (n)² + oske (vi)@|@ya-oske (vi)@
@< yam-wakka (n)@|@yammakka (n)@
@< yuk (n) + ranke (vt) + kamuy yuk-ranke-kamuy (n)@|@yuk-ranke-kamuy (n)@
@< yup (n) + po (sf)(pc)@|@yuppo (n)@
@< yupke (adj) + itak (n)@|@yupke-itak (n)@
@< yupke (adj) + ruyampe (n)@|@yupke-ruyampe (n)@
@< yupke (adj) + sisuye (vi)@|@yupke-sisuye (n)@
@> (Ja) hokki-gai: Sakhalin surfpoki-sey (n)@|@poki-sey (n)@
@> (Ja) kombu: seaweed type@|@kompu (n)@
@> (Ja) rakko: sea otter@|@rakko (n)@
@> (Ja) saru: monkey@|@sar-us (n)@
@> (Ja) taka: hawk@|@taka (n)@
@> (Ja) tonakai: reindeer@|@tunakay (n)@
@> a (vi)(s)@|@rok (vi)(p)@
@> aca (n)@|@acapo (n)@
@> aca (n)@|@acipo (n)@
@> aca (n)@|@kewsut (n)@
@> acapo (n)@|@aca (n)@
@> acipo (n)@|@aca (n)@
@> acipo (n)@|@acapo (n)@
@> acuy (n)@|@rep (n)¹@
@> acuy (n)@|@atuy-so (n)@
@> acuy (n)@|@atuy (n)@
@> ak (n)@|@akihi (n)(g)(x)@
@> ak (n)@|@aki (n)(g)(x)@
@> aka (n)@|@wakka (n)@
@> aki (n)(g)(x)@|@ak (n)@
@> aki (n)(g)(x)@|@akihi (n)(g)(x)@
@> akihi (n)(g)(x)@|@ak (n)@
@> akihi (n)(g)(x)@|@aki (n)(g)(x)@
@> akka (pop)@|@yakkay (pop)@
@> akka (pop)@|@yakka (pop)@
@> am (n)@|@amihi (n)(g)(x)@
@> am (n)@|@ami (n)(g)(x)@
@> amam (n)@|@amama (n)@
@> amama (n)@|@amam (n)@
@> ami-tanne-ya-oskep (n)@|@ami-tanne (n)@
@> ami-tanne (n)@|@ami-tanne-ya-oskep (n)@
@> ami (n)@|@amihi (n)(g)(x)@
@> ami (n)(g)(x)@|@am (n)@
@> amihi (n)(g)(x)@|@am (n)@
@> amihi (n)(g)(x)@|@ami (n)(g)(x)@
@> ampay (n)@|@ampayaya (n)@
@> ampayaya (n)@|@ampay (n)@
@> ampe (n)¹@|@ap (n)²@
@> ampe (n)¹@|@pe (n)¹@
@> ampe (n)²@|@ape (n)²@
@> ani (pc)¹@|@hani (pc)@
@> ani (pc)²@|@ari (pop)@
@> anokay (pr2)@|@aokay (pr2)@
@> anokay (pr2)@|@aoka (pr2)@
@> aoka (pr2)@|@anokay (pr2)@
@> aoka (pr2)@|@aokay (pr2)@
@> aokay (pr2)@|@aoka (pr2)@
@> aokay (pr2)@|@anokay (pr2)@
@> ap-kor (vi)@|@ape-kor (vi)@
@> ap (n)¹@|@ape (n)¹@
@> ap (n)¹@|@ape-kor (vi)@
@> ap (n)²@|@ampe (n)¹@
@> apa-sta (n)@|@apa-usta (n)@
@> apa-usta (n)@|@apa-sta (n)@
@> ape-cikuni (n)@|@ape-ni (n)²@
@> ape-etumpe (n)@|@apetumpe (n)@
@> ape-huci-kamuy (n)@|@unci-kamuy (n)@
@> ape-huci-kamuy (n)@|@onne-huci (n)@
@> ape-huci-kamuy (n)@|@ape-huci (n)@
@> ape-huci-kamuy (n)@|@kamuy-huci (n)@
@> ape-huci-kamuy (n)@|@iresu-huci (n)@
