@English@|@Ainu@
@> kisaraha (n)(g)(x)@|@kisara (n)(g)(x)@
@> kompo (n)@|@kompu (n)@
@> kompu (n)@|@kompo (n)@
@> konkon (n)@|@konkoni (n)@
@> konkoni (n)@|@konkon (n)@
@> konru (n)@|@ru (n)¹@
@> korka (pop)@|@korkay (pop)@
@> korkay (pop)@|@korka (pop)@
@> kotankor-kamuy (n)@|@cikap-kamuy (n)@
@> kur (n)@|@kuru (n)²@
@> kuri (n)¹@|@niskur (n)@
@> kuri (n)¹@|@niskur (n)(ain-N)@
@> kuru (n)²@|@kur (n)@
@> kutkayekai (n)@|@kaye (n)@
@> kutkayekay (n)@|@sinotcarewe (n)@
@> kutkayekay (n)@|@kaye (n)@
@> kutkayekay (n)@|@ekaye (n)@
@> m + m@|@n + m@
@> m + p@|@n + p@
@> maci saki kuru (n)@|@mat saki kuru (n)@
@> makiri (n)@|@pakiri (n)@
@> mana (n)@|@pana (n)@
@> manayta-cikuni (n)@|@manayta (n)@
@> manayta (n)@|@manayta-cikuni (n)@
@> mantari (n)@|@maytari (n)@
@> mat saki kuru (n)@|@maci saki kuru (n)@
@> maw (n)¹@|@omaw (n)¹@
@> maw (n)¹@|@mawe (n)(g)(x)¹@
@> maw (n)²@|@omaw (n)²@
@> maw (n)³@|@mawe (n)(g)(x)²@
@> maw (n)³@|@omaw (n)³@
@> mawe (n)(g)(x)¹@|@omaw (n)¹@
@> mawe (n)(g)(x)¹@|@maw (n)¹@
@> mawe (n)(g)(x)²@|@maw (n)³@
@> mawe (n)(g)(x)²@|@omaw (n)³@
@> mayamaya (vi)@|@mayemaye (vi)@
@> mayayke (vt)@|@mayrototke (vi)@
@> mayemaye (vi)@|@mayamaya (vi)@
@> mayrototke (vi)@|@mayayke (vt)@
@> maytari (n)@|@mantari (n)@
@> moskar (n)@|@manayta-cikuni (n)@
@> moskar (n)@|@manayta (n)@
@> n (n)(sf)@|@niw (n)(sf)@
@> n (n)(sf)@|@ni (n)(sf)@
@> n + n@|@r + n@
@> n + r@|@r + r@
@> naani (adv)@|@naanihunko (adv)@
@> naani (adv)@|@naanipo (adv)@
@> naanihungo (adv)@|@naani (adv)@
@> naanihungo (adv)@|@naanipo (adv)@
@> naanipo (adv)@|@naani (adv)@
@> naanipo (adv)@|@naanihunko (adv)@
@> namsu (n)@|@namsun (n)@
@> namsun (n)@|@namsu (n)@
@> nan (n)@|@nanuhu (n)(g)(x)@
@> nan (n)@|@nanu (n)(g)(x)@
@> nanu (n)(g)(x)@|@nanuhu (n)(g)(x)@
@> nanu (n)(x)@|@nan (n)@
@> nanuhu (n)(g)(x)@|@nanu (n)(g)(x)@
@> nanuhu (n)(x)@|@nan (n)@
@> ni (n)(sf)@|@niw (n)(sf)@
@> ni (n)(sf)@|@n (n)(sf)@
@> nini (vt)@|@tur (vt)@
@> nini (vt)@|@turi (vt)@
@> ninkari (n)@|@ninkarihi (n)(g)(x)@
@> ninkarihi (n)(g)(x)@|@ninkari (n)@
@> nisiw (n)@|@nisu (n)@
@> niskur (n)@|@kuri (n)¹@
@> nisu (n)@|@nisiw (n)@
@> nitay@|@hastay (n)@
@> niueo (n)@|@niweo (n)@
@> niw (n)(sf)@|@ni (n)(sf)@
@> niw (n)(sf)@|@n (n)(sf)@
@> niweo (n)@|@niueo (n)@
@> noram (adj)@|@roram (adj)@
@> nu-an (adj)@|@nuye-an (adj)@
@> nu-an (adj)@|@nu-us (adj)@
@> nu-us (adj)@|@nuye-an (adj)@
@> nu-us (adj)@|@nuye-us (adj)@
@> nu-us (adj)@|@nu-an (adj)@
@> nuca-kuru (n)@|@nuca (n)@
@> nuca (n)@|@nuca-kuru (n)@
@> nuy (n)@|@ape-nuy (n)@
@> nuye-an-i (n)@|@sir-esikpe (n)@
@> nuye-an (adj)@|@nu-an (adj)@
@> nuye-an (adj)@|@nuye-us (adj)@
@> nuye-an (adj)@|@nu-us (adj)@
@> nuye-an (adj)@|@sir-esik (adj)@
@> nuye-us (adj)@|@nuye-an (adj)@
@> nuye-us (adj)@|@nu-us (adj)@
@> ohoke (adj)@|@ohuke (adj)@
@> ohuke (adj)@|@ohoke (adj)@
@> okari@|@ekari (pop)@
@> okari (pop)@|@kari (pop)@
@> okkaypo (n)@|@okkaypoho (n)(g)(x)@
@> okkaypoho (n)(g)(x)@|@okkaypo (n)@
@> okom (n)@|@rokom (n)¹@
@> okom (n)@|@tannu (n)@
@> oku (n)@|@okuhu (n)(g)(x)@
@> okuhu (n)(g)(x)@|@oku (n)@
@> omap@|@katayrotke (vt)@
@> omaw (n)¹@|@maw (n)¹@
@> omaw (n)²@|@maw (n)²@
@> omaw (n)³@|@maw (n)³@
@> onne-huci (n)@|@unci-kamuy (n)@
@> onne-huci (n)@|@ape-kamuy (n)@
@> onne-huci (n)@|@ape-huci (n)@
@> onne-huci (n)@|@iresu-kamuy (n)@
@> onne-huci (n)@|@iresu-huci (n)@
@> onne-huci (n)@|@ape-huci-kamuy (n)@
@> onne-huci (n)@|@kamuy-huci (n)@
@> onnep (n)@|@unew (n)@
@> ontar (n)@|@ontaro (n)@
@> ontaro (n)@|@ontar (n)@
@> onuman (adv)@|@sir-onuman (adv)@
@> orawke (adj)@|@orawki (adj)@
@> orawke (vi)@|@orawki (vi)@
@> orawki (adj)@|@orawke (adj)@
@> orawki (vi)@|@orawke (vi)@
@> otompuy (n)@|@yorpuy (n)@
@> p@|@b@
@> p (n)@|@pe (n)¹@
@> p (sf)@|@pe (sf)@
@> pa (n)²@|@sapa (n)@
@> pa (n)²@|@pake (n)@
@> pa (n)³@|@papa (n)@
@> pa (n)ª@|@paha (n)²@
@> paha (n)¹@|@pa (n)¹@
@> paha (n)²@|@pa (n)ª@
@> pake (n)@|@sapa (n)@
@> pake (n)@|@pa (n)²@
@> pakiri (n)@|@makiri (n)@
@> pakkay (vt)@|@kay (vt)@
@> pan (n)²@|@caro (n)(g)(x)@
@> pan (n)²@|@car (n)@
@> pan (n)²@|@paroho (n)(g)(x)@
@> pan (n)²@|@par (n)@
@> pan (n)²@|@ca (n)²@
@> pan (n)²@|@paro (n)(g)(x)@
@> pana (n)@|@mana (n)@
@> papa (n)@|@pa (n)³@
@> par (n)@|@pan (n)²@
@> par (n)@|@car (n)@
@> par (n)@|@paro (n)(g)(x)@
@> par (n)@|@paroho (n)(g)(x)@
@> par (n)@|@caro (n)(g)(x)@
@> par (n)@|@ca (n)²@
@> paro (n)(g)(x)@|@caro (n)(g)(x)@
@> paro (n)(g)(x)@|@pan (n)²@
@> paro (n)(g)(x)@|@paroho (n)(g)(x)@
@> paro (n)(g)(x)@|@ca (n)²@
@> paro (n)(g)(x)@|@car (n)@
@> paro (n)(g)(x)@|@par (n)@
@> paroho (n)(g)(x)@|@ca (n)²@
@> paroho (n)(g)(x)@|@caro (n)(g)(x)@
@> paroho (n)(g)(x)@|@pan (n)²@
@> paroho (n)(g)(x)@|@par (n)@
@> paroho (n)(g)(x)@|@paro (n)(g)(x)@
@> paroho (n)(g)(x)@|@car (n)@
@> parumpe (n)@|@carumpe (n)@
@> pasta (adj)@|@momko (adj)@
@> paykar (n)@|@paykaru (n)@
@> paykaru (n)@|@paykar (n)@
@> pe (n)¹@|@ampe (n)¹@
@> pe (n)¹@|@p (n)@
@> pe (n)²@|@pehe (n)@
@> pe (sf)@|@p (sf)@
@> peca (n)@|@petca (n)@
@> peci (n)@|@pet (n)²@
@> pecir (n)@|@cir (n)²@
@> pehe (n)@|@pe (n)²@
@> pet (n)²@|@petca (n)@
@> pet (n)²@|@petci (n)@
@> pet (n)²@|@peci (n)@
@> petca (n)@|@peca (n)@
@> petca (n)@|@petci (n)@
@> petca (n)@|@pet (n)²@
@> petci (n)@|@petca (n)@
@> petci (n)@|@pet (n)²@
@> pika@|@katap (adv)@
@> piye (n)@|@tane (n)@
@> pu (n)@|@puy (n)¹@
@> pu (n)@|@puhu (n)(g)(x)@
@> puhu (n)(g)(x)@|@pu (n)@
@> puhu (n)(g)(x)@|@puy (n)¹@
@> puy (n)¹@|@puhu (n)(g)(x)@
@> puy (n)¹@|@pu (n)@
@> ra (n)²@|@raha (n)@
@> raha (n)@|@ra (n)²@
@> rakka (vi)@|@ratci (vi)(ain-CW)@
@> ram (n)@|@rama (n)(g)(x)@
@> rama (n)@|@ramat (n)@
@> rama (n)(g)(x)@|@ram (n)@
@> ramat (n)@|@ram (n)@
@> ramat (n)@|@rama (n)@
@> ran (vi)(p)@|@rap (vi)(s)@
@> ran (vi)(s)@|@ray (vi)¹@
@> rap (vi)(p)@|@ran (vi)(s)@
@> ratcako (n)@|@ratcaku (n)@
@> ratcaku (n)@|@ratcako (n)@
@> ratci (vi)(ain-CW)@|@rakka (vi)@
@> ray (vi)¹@|@ran (vi)(s)@
@> ray (vi)²@|@tay (vi)(ain-NN)@
@> rayke (vt)(s)@|@ronnu (vt)(p)@
@> re-nuy (n)@|@ren (n)@
@> reep (n)@|@sta (n)@
@> reep (n)@|@ceta (n)@
@> reep (n)@|@seta (n)@
@> reep (n)@|@sita (n)@
@> rek (n)@|@reki (n)(g)(x)@
@> reki (n)(g)(x)@|@rek (n)@
@> rekuci (n)(g)(x)@|@rekut (n)@
@> rekut (n)@|@rekuci (n)(g)(x)@
@> rep-un (adv)@|@rep (n)¹@
@> rep (n)¹@|@atuy (n)@
@> rep (n)¹@|@acuy (n)@
@> rep (n)¹@|@atuy-so (n)@
@> rok (vi)(p)@|@a (vi)(s)@
@> rokom (n)¹@|@tannu (n)@
@> rokom (n)¹@|@okom (n)@
@> ronno (vt)(p)@|@ronnu (vt)(p)@
@> ronnu (vt)(p)@|@ronno (vt)(p)@
@> ronnu (vt)(p)@|@rayke (vt)(s)@
@> roram (adj)@|@noram (adj)@
@> rorumpe (n)@|@tumi (n)@
@> rorun (n)@|@roruy (n)@
@> roruy (n)@|@rorun (n)@
@> ru (n)¹@|@konru (n)@
@> ruy (vi)@|@as (vi)²@
@> s@|@sh@
@> s@|@z@
@> sa (n)¹@|@ca (n)¹@
@> sa (n)²@|@saha (n)(g)(x)¹@
@> sa (n)²@|@sapo (n)@
@> sa (n)³@|@saha (n)(g)(x)²@
@> saha (n)(g)(x)¹@|@sa (n)²@
@> saha (n)(g)(x)²@|@sa (n)³@
@> sak (adj)@|@sakno (adv)@
@> sakno (adv)@|@sak (adj)@
@> samay-mosir (n)@|@samor-mosir (n)@
@> samay-un-kur (n)@|@samor-un-kur (n)@
@> samor-mosir (n)@|@samay-mosir (n)@
@> samor-un-kur (n)@|@samay-un-kur (n)@
@> san (n)(s)@|@sap (n)(p)@
@> santa-mosir (n)@|@santa (n)@
@> santa-mosir (n)@|@santan (n)@
@> santa (n)@|@santan (n)@
@> santa (n)@|@santa-mosir (n)@
@> santan (n)@|@santa (n)@
@> santan (n)@|@santa-mosir (n)@
@> sap (n)(p)@|@san (n)(s)@
@> sapa (n)@|@pa (n)²@
@> sapa (n)@|@pake (n)@
@> sapo (n)@|@sa (n)²@
@> sar-us (n)@|@saro (n)@
@> sar (n)@|@saraha (n)(g)(x)@
@> sar (n)@|@sara (n)(g)(x)@
@> sara (n)(g)(x)@|@sar (n)@
@> sara (n)(g)(x)@|@saraha (n)(g)(x)@
@> saraha (n)(g)(x)@|@sar (n)@
@> saraha (n)(g)(x)@|@sara (n)(g)(x)@
@> saro (n)@|@sar-us (n)@
@> sesek-maw (n)@|@ape-seseki (n)@
@> sesek-maw (n)@|@ape-seseku (n)@
@> sesek (adj)@|@seysek (adj)@
@> seta (n)@|@sita (n)@
@> seta (n)@|@sta (n)@
@> seta (n)@|@ceta (n)@
@> seta (n)@|@setaha (n)(g)(x)@
@> seta (n)@|@reep (n)@
@> setaha (n)(g)(x)@|@seta (n)@
@> seysek (adj)@|@sesek (adj)@
@> sik (n)@|@sikihi (n)(g)(x)@
@> sik (n)@|@siki (n)(g)(x)@
@> siki (n)(g)(x)@|@sik (n)@
@> siki (n)(g)(x)@|@sikihi (n)(g)(x)@
@> sikihi (n)(g)(x)@|@siki (n)(g)(x)@
@> sikihi (n)(g)(x)@|@sik (n)@
@> sim (adv)@|@sima (adv)@
@> sima (adv)@|@sim (adv)@
@> simakoray (vi)(s)@|@simakoraypa (vi)(p)@
@> simakoraypa (vi)(p)@|@simakoray (vi)(s)@
@> simipe (n)@|@sin-ipe (n)@
@> sin-ipe (n)@|@simipe (n)@
@> sinan-cup (n)@|@sinaw-cup (n)@
@> sinaw-cup (n)@|@sinan-cup (n)@
@> sinewe (n)@|@sinot (n)@
@> sinewe (vi)@|@sinot (vi)@
@> sinna (n)@|@sinnay (n)@
@> sinnay (n)@|@sinna (n)@
@> sinot (n)@|@sinewe (n)@
@> sinot (vi)@|@sinewe (vi)@
@> sinotcarewe (n)@|@kutkayekay (n)@
@> sinotcarewe (n)@|@ekaye (n)@
@> sinotcarewe (n)@|@kaye (n)@
@> sinuye (vt)@|@unuye (vt)@
@> sir-an (adv)@|@siran (adv)@
@> sir-esik (adj)@|@nuye-an (adj)@
@> sir-esikpe (n)@|@nuye-an-i (n)@
@> sir-onuman (adv)@|@sironuman (adv)@
@> sir (n)¹@|@siri (n)(g)(x)¹@
@> sir (n)²@|@siri (n)(g)(x)²@
@> sir onuman (adv)@|@onuman (adv)@
@> siran (adv)@|@sir-an (adv)@
@> siri (n)(g)(x)¹@|@sir (n)¹@
@> siri (n)(g)(x)²@|@sir (n)²@
@> sironuman (adv)@|@sir-onuman (adv)@
@> sirutur (adj)@|@tumutur (adj)@
@> sisam (n)@|@samo (n)@
@> sita (n)@|@sta (n)@
@> sita (n)@|@seta (n)@
@> sita (n)@|@reep (n)@
@> sita (n)@|@ceta (n)@
@> sokkar (n)@|@aputki (n)@
@> sokkar (n)@|@yattuy (n)²@
@> sokkar (n)@|@toma (n)²@
@> soyokari@|@tuyepuspuske-an (n)@
@> sta (n)@|@seta (n)@
@> sta (n)@|@ceta (n)@
@> sta (n)@|@reep (n)@
@> sta (n)@|@sita (n)@
@> su-op (n)@|@op (n)¹@
@> suop (n)@|@suyop (n)@
@> susam (adj)@|@susan (adj)@
@> susan (adj)@|@susam (adj)@
@> suy-op (n)@|@op (n)¹@
@> suyop (n)@|@suop (n)@
@> t@|@d@
@> t + c@|@r + c@
@> t + t@|@r + t@
@> takne (adj)@|@tatne (adj)@
@> tam (pr)@|@tan (pr)@
@> tan (pr)@|@tam (pr)@
@> tane (n)@|@piye (n)@
@> tannu (n)@|@okom (n)@
@> tannu (n)@|@rokom (n)¹@
@> tasum@|@tuyepuspuske-an (n)@
@> tatne (adj)@|@takne (adj)@
@> tay (vi)(ain-NN)@|@ray (vi)²@
@> tek (n)@|@tekehe (n)(g)(x)@
@> tek (n)@|@teke (n)(g)(x)@
@> teke (n)(g)(x)@|@tekehe (n)(g)(x)@
@> teke (n)(g)(x)@|@tek (n)@
@> tekehe (n)(g)(x)@|@teke (n)(g)(x)@
@> tekehe (n)(g)(x)@|@tek (n)@
@> tesma (n)@|@cinru (n)@
@> to (n)²@|@toho (n)@
@> toho (n)@|@to (n)²@
@> tokkari (n)@|@tukkar (n)@
@> tokkari (n)@|@tukar (n)@
@> tokkari (n)@|@tukoro (n)@
@> toma (n)²@|@yattuy (n)²@
@> toma (n)²@|@sokkar (n)@
@> toma (n)²@|@aputki (n)@
@> tonin (n)@|@toymok (n)@
@> totto (n)@|@unu (n)@
@> totto (n)@|@hapo (n)@
@> toy (adj)@|@wen (adj)@
@> toy (n)¹@|@toytoy (n)@
@> toy (n)²@|@tusir (n)@
@> toymok (n)@|@tonin (n)@
@> toytoy@|@toy (n)¹@
@> tukar (n)@|@tokkari (n)@
@> tukar (n)@|@tukkar (n)@
@> tukar (n)@|@tukoro (n)@
@> tukkar (n)@|@tokkari (n)@
@> tukkar (n)@|@tukoro (n)@
@> tukkar (n)@|@tukar (n)@
@> tukoro (n)@|@tokkari (n)@
@> tukoro (n)@|@tukkar (n)@
@> tukoro (n)@|@tukar (n)@
@> tukunne (n)@|@cinene (n)@
@> tum (n)@|@tumu (n)¹@
@> tumam-kosaye (vi)@|@tumama-kosaye (vi)@
@> tumama-kosaye (vi)@|@tumam-kosaye (vi)@
@> tumi (n)@|@rorumpe (n)@
@> tumi (n)@|@ukoyki-ampe (n)@
@> tumu (n)¹@|@tum (n)@
@> tunas (adj)@|@tunasi (adj)@
@> tunasi (adj)@|@tunas (adj)@
@> tur (n)@|@turi (n)(g)(x)@
@> tur (n)@|@turihi (n)(g)(x)@
@> tur (vt)@|@nini (vt)@
@> tur (vt)@|@turi (vt)@
@> turi (n)(g)(x)@|@turihi (n)(g)(x)@
@> turi (n)(g)(x)@|@tur (n)@
@> turi (vt)@|@nini (vt)@
@> turi (vt)@|@tur (vt)@
@> turihi (n)(g)(x)@|@tur (n)@
@> turihi (n)(g)(x)@|@turi (n)(g)(x)@
@> tusir (n)@|@toy (n)²@
@> tuy (vt)(s)@|@tuye (vt)@
@> u + w + a@|@u + a@
@> u + w + e@|@u + e@
@> u + w + o@|@u + o@
@> u + y + a@|@u + a@
@> u + y + e@|@u + e@
@> u + y + o@|@u + o@
@> uci (n)(g)(x)@|@ucihi (n)(g)(x)@
@> uci (n)(g)(x)@|@ut (n)@
@> ucihi (n)(g)(x)@|@ut (n)@
@> ucihi (n)(g)(x)@|@uci (n)(g)(x)@
@> ukoyki-ampe (n)@|@tumi (n)@
@> unarpe (n)@|@unarpe (n)@
@> unci-kamuy (n)@|@iresu-huci (n)@
@> unci-kamuy (n)@|@ape-huci-kamuy (n)@
@> unci-kamuy (n)@|@iresu-kamuy (n)@
@> unci-kamuy (n)@|@ape-huci (n)@
@> unci-kamuy (n)@|@ape-kamuy (n)@
@> unci-kamuy (n)@|@onne-huci (n)@
@> unci-kamuy (n)@|@kamuy-huci (n)@
@> unci (n)@|@ampe (n)²@
@> unci (n)@|@huci (n)¹@
@> unci (n)@|@ape (n)²@
@> unew (n)@|@onnep (n)@
@> uni (n)@|@unihi (n)(g)(x)@
@> unihi (n)(g)(x)@|@uni (n)@
@> unu (n)@|@hapo (n)@
@> unu (n)@|@totto (n)@
@> unuye (vt)@|@sinuye (vt)@
@> uru (n)@|@kap (n)@
@> uru (n)@|@kapu (n)(g)(x)@
@> uru (n)@|@kapuhu (n)(g)(x)@
@> ut (n)@|@uci (n)(g)(x)@
@> ut (n)@|@ucihi (n)(g)(x)@
@> uta-ni (n)@|@yuta-ni (n)@
@> uta (n)@|@yuta (n)@
@> uwekari (vi)(s)@|@uwekarpa (vi)(p)@
@> uwekarpa (vi)(p)@|@uwekari (vi)(s)@
@> wa (adj)@|@wan (adj)@
@> wa (adv)@|@we (pop)@
@> wa (adv)@|@wa-no (adv)@
@> wakka (n)@|@aka (n)@
@> wan (adj)@|@wa (adj)@
@> wano (adv)@|@wa (adv)@
@> wao (n)@|@wawo (n)@
@> wao (n)@|@waw-ow (n)@
@> waw-ow (n)@|@wao (n)@
@> waw-ow (n)@|@wawo (n)@
@> wawo (n)@|@wao (n)@
@> wawo (n)@|@waw-ow (n)@
@> we (pop)@|@wa (adv)@
@> wen (adj)@|@toy (adj)@
@> wen (adj)@|@wey (adj)@
@> wen ikay@|@wempe-puri (n)@
@> wen ipe@|@wempe-puri (n)@
@> wey (adj)@|@wen (adj)@
@> y + s@|@n + s@
@> y + y@|@n + y@
@> yak (vi)(s)@|@yakpa (vi)(p)@
@> yak (vi)(s)@|@yaku (vi)@
@> yakka (pop)@|@yakkay (pop)@
@> yakka (pop)@|@akka (pop)@
@> yakkay (pop)@|@akka (pop)@
@> yakkay (pop)@|@yakka (pop)@
@> yakpa (vi)(p)@|@yak (vi)(s)@
@> yakpa (vi)(p)@|@yaku (vi)@
@> yaku (vi)@|@yak (vi)(s)@
@> yaku (vi)@|@yakpa (vi)(p)@
@> yam-wakka (n)@|@yammakka (n)@
@> yammakka (n)@|@yam-wakka (n)@
@> yan (vi)(s)@|@yap (vi)(p)@
@> yanke (vt)(s)@|@yapte (vt)(p)@
@> yap (vi)(p)@|@yan (vi)(s)@
@> yapte (vt)(p)@|@yanke (vt)(s)@
@> yarat (vt)@|@honkor (vi)@
@> yasa (vt)(s)@|@yaspa (vt)(p)@
@> yaspa (vt)(p)@|@yasa (vt)(s)@
@> yatep (n)@|@yattep (n)@
@> yator (n)@|@yatot (n)@
@> yator (n)@|@yatotta (n)@
@> yatot (n)@|@yattuy (n)¹@
@> yatot (n)@|@yator (n)@
@> yatot (n)@|@yatotta (n)@
@> yatotta (n)@|@yatot (n)@
@> yatotta (n)@|@yator (n)@
@> yatotta (n)@|@yattuy (n)¹@
@> yattep (n)@|@yatep (n)@
@> yattuy (n)@|@yator (n)@
@> yattuy (n)¹@|@yatot (n)@
@> yattuy (n)¹@|@yatotta (n)@
@> yattuy (n)²@|@aputki (n)@
@> yattuy (n)²@|@sokkar (n)@
@> yattuy (n)²@|@toma (n)²@
@> yatu (n)@|@yatuy (n)@
@> yatuy (n)@|@yatu (n)@
@> yayrat (vt)@|@honkor (vi)@
@> yokkata (adv)@|@ewnkasi-no (adv)@
@> yorpuy (n)@|@otompuy (n)@
@> yorun-ki (vt)@|@yorun (vt)@
@> yuhpo (n)@|@yuppo (n)@
@> yuhpo (n)@|@yup (n)@
@> yukram (n)@|@kinop (n)@
@> yup (n)@|@yuppo (n)@
@> yup (n)@|@yupihi (n)(g)(x)@
@> yup (n)@|@yuhpo (n)@
@> yup (n)@|@yupi (n)(g)(x)@
@> yupi (n)(g)(x)@|@yup (n)@
@> yupi (n)(g)(x)@|@yupihi (n)(g)(x)@
@> yupi (n)(g)(x)@|@yupi (n)(g)(x)@
@> yupihi (n)(g)(x)@|@yup (n)@
@> yupihi (n)(g)(x)@|@yupi (n)(g)(x)@
@> yupin (n)@|@yupin-kampi (n)@
@> yupin kampi (n)@|@yupin (n)@
@> yupkiri (vt)@|@iyama (vt)@
@> yuppo (n)@|@yuhpo (n)@
@> yuppo (n)@|@yup (n)@
@> yuta (n)@|@uta (n)@
@>hepokitekka (vi)@|@hepoktekka (vi)@
@abaddon@|@wenpe (n)@
@abaddon@|@wempe (n)@
@abate@|@nin (vt)@
@abdicate@|@esini (vi)@
@abdomen@|@honihi (n)(g)(x)@
@abdomen@|@honi (n)(g)(x)@
@abdomen@|@hon (n)@
@abduce@|@etaye (vt)@
@abhor@|@hepoko (vt)@
@ability@|@waya (n)@
@ability@|@kat (n)@
@ability@|@katuhu (n)(g)(x)@
@ability@|@katu (n)(g)(x)@
@abject@|@raka-isam (adj)@
@abject@|@wen (adj)@
@abjectly@|@wen-no (adv)@
@abnormal@|@sinnay (adj)@
@abnormal: be ~@|@sinnay (vi)@
@abode@|@an-i (n)¹@
@abode@|@cisehe (n)(g)(x)@
@abode@|@cise (n)@
@abode@|@cisey (n)@
@abominable@|@wen (adj)@
@about@|@ekari (pop)@
@about@|@okari (pop)@
@about@|@kari (pop)@
@above@|@kasu-no (adv)@
@above@|@kasiketa (adv)@
@above this@|@tuykata (adv)@
@above: from ~@|@herasi (adv)@
@abroad@|@soyta (adv)@
@abrupt@|@tunas (adj)(ain-N)@
@abrupt@|@tunas (adj)@
@abrupt@|@tunasi (adj)@
@abruptly@|@tunasi-no (adv)@
@absorb@|@ninka (vt)@
@absorb@|@nunnun (vt)@
@absorb@|@nun (vt)@
@absorb: become ~ed@|@nin (vt)@
@abundance@|@or (n)@
@abundance@|@sir-esikpe (n)@
@abundance@|@nuye-an-i (n)@
@abundant@|@nu-an (adj)@
@abundant@|@nu-us (adj)@
@abundant@|@nuye-us (adj)@
@abundant@|@sir-esik (adj)@
@abundantly@|@sir-esik-no (adv)@
@abundantly@|@nuye-an-no (adv)@
@abuse@|@caropente (vt)@
@abusive@|@caropen (adj)@
@accelerate@|@caste (vt)@
@accept@|@uk (vt)@
@accident: meet with an ~@|@yayrap (vi)@
@accident: meet with an ~@|@yayunpa (vi)@
@accompany@|@tura-an (vi)@
@accompany@|@tura (vt)@
@accomplish@|@kar (vt)@
@accomplish@|@ki (vt)@
@according to circumstances@|@katu-renkayne (adv)@
@account@|@esanniyop (n)@
@account@|@esanniyo (vt)@
@account: on ~ of@|@renkap (adv)@
@accrue@|@uwekarpa (vi)(p)@
@accrue@|@uwekari (vi)(s)@
@accumulate@|@uwekari (vi)(s)@
@accumulate@|@uwekarpare (vt)@
@accumulate@|@uwekarpa (vi)(p)@
@accumulation@|@uwekarpa-i (n)@
@accurately@|@sonno (adv)@
@ache: have ~ing calves@|@yayepupu (vi)@
@ache: stomach ~@|@honi arka (n)@
@achieve@|@kar (vt)@
@achieve@|@ki (vt)@
@achievement@|@kar-i (n)@
@acknowledge@|@ye (vt)@
@acknowledge@|@itak (vi)@
@acquire@|@uk (vt)@
@across@|@etasa (adv)(s)@
@across@|@etaspa (adv)(p)@
@act@|@kar (vt)@
@act@|@ki (vt)@
@active@|@yuptek (adj)@
@actively@|@yuptek-no (adv)@
@activity@|@yuptek-i (n)@
@actually@|@sonno (adv)@
@acument@|@katuhu (n)(g)(x)@
@acument@|@katu (n)(g)(x)@
@acument@|@kat (n)@
@adduce@|@ye (vt)@
@adequate@|@pakno (adv)@
@adequate@|@pirka (adj)@
@adequate: be ~@|@pirka (vi)@
@adjourn@|@esini (vi)@
@adjust@|@epeka (vt)@
@admirable@|@pirka (adj)@
@admirable: be ~@|@pirka (vi)@
@adrift@|@mom (adv)@
@adult@|@rupne (adj)@
@adverse@|@wen (adj)@
@adversely@|@wen-no (adv)@
@advisedly@|@eraman-no (adv)@
@afar@|@tuyma (adv)@
@affection@|@kewtum (n)@
@affliction@|@rorumpe (n)@
@afloat@|@mom (adv)@
@afloat: be ~@|@amomka (vi)@
@afloat: cause to ~@|@momka (vt)@
@afloat: set ~@|@momte (vt)@
@after@|@yokane (adv)@
@afterwards@|@kas-okake (adv)@
@afterwards@|@tata-otta (adv)@
@again@|@suy (adv)@
@again@|@oya-ciki (adv)@
@again@|@naa mosima (adv)@
@again and again@|@ramma (adv)@
@again: yet ~@|@naa mosima (adv)@
@age@|@pa (n)¹@
@age@|@paha (n)¹@
@aged@|@onne (adj)@
@aggravate SB@|@iruskare (vt)@
@aggravate: be ~d@|@iruska (vi)@
@ah@|@e (!)@
@aim@|@yoko (vt)@
@aim@|@yonkoror (vt)@
@aim@|@yonkor (vt)@
@Ainu@|@Aynu (n)@
@Ainu@|@ya-un-kur (n)@
@Ainu country@|@ya-un-mosir (n)@
@Ainu customs@|@aynu puri (n)@
@Ainu land@|@ya-un-mosir (n)@
@Ainu: assimilated ~@|@sisam (n)@
@air@|@omaw (n)¹@
@air@|@mawe (n)(g)(x)¹@
@air@|@maw (n)¹@
@air@|@nis (n)@
@air out@|@satke (vi)@
@air: hot ~@|@sesek-maw (n)¹@
@ajar@|@poon makke (adv)@
@alas@|@e (!)@
@Alaska pollock@|@herekusi-kewsut (n)@
@albatross@|@onne-cikap (n)@
@albeit@|@yakka (pop)@
@albeit@|@yakkay (pop)@
@albeit@|@akka (pop)@
@alcohol@|@tonoto maw (n)@
@alcoholic drink@|@tonoto (n)@
@alien@|@oya (adj)@
@alight@|@ari (vi)@
@all@|@emukne (adj)@
@almost@|@naanihunko (adv)@
@almost@|@naani (adv)@
@almost@|@naanipo (adv)@
@alone@|@sinenne-an (adj)@
@alone@|@sinnay (adj)@
@alone@|@sinen (n)@
@alone: be ~@|@sinnay (vi)@
@along@|@ekari (pop)@
@along@|@okari (pop)@
@along@|@kari (pop)@
@along: pass ~@|@kari (vt)@
@alopecias vulpes@|@tumutot-un-same (n)@
@also@|@newa (pop)@
@also@|@naa (adv)@
@although@|@korkay (pop)@
@although@|@korka (pop)@
@although@|@yakkay (pop)@
@although@|@akka (pop)@
@although@|@yakka (pop)@
@always@|@ramma (adv)@
