@English@|@Jingpho@
@the top of a hill@|@nkhang, zhingkhang@
@the vitals@|@läreng@
@the voice@|@ningsen, nsen@
@the white ant@|@käkhun@
@the white-handed gibbon@|@ngrau@
@the white-headed bungarus@|@ngan@
@the whole@|@jong@
@the wild plantain@|@länga', nga'@
@they are@|@rai ma ai@
@they were@|@rai ma sai@
@thick@|@dau, that@
@thick rice-gruel@|@pha'@
@thin@|@chäpha, pha@
@things@|@rai@
@this@|@ndai@
@thorn@|@zhu@
@thou@|@nang@
@thought@|@mjit@
@three@|@hkan, hkanhte, hkri, shan, shanhte, shanhteng, shi@
@three (1)@|@mäsum@
@thus@|@ning, šing@
@tidings@|@ši@
@tiger@|@rong-ba@
@time@|@äten, tan@
@to accept@|@kham@
@to accompany@|@lom@
@to ache@|@rop@
@to act in concert@|@phom@
@to act in unison@|@grim, khrip, krim@
@to add@|@gäthap@
@to adorn@|@sumli@
@to agree@|@särum, zhäkhrum@
@to amuse@|@šängon@
@to annoy@|@zam@
@to answer@|@than@
@to appear@|@dan, phru, pó@
@to arrange@|@käzhang, läzhang@
@to banish@|@khjot@
@to be@|@rai, ré, rê, rë, re'@
@to be coiled@|@khong@
@to be dumb@|@mäa@
@to be on friendly terms@|@chap@
@to be parted@|@kha'@
@to be turned around@|@jin@
@to bear children@|@šängai@
@to beat@|@nak@
@to believe@|@kam@
@to bend@|@känga@
@to bite@|@gäwa@
@to bloom@|@pù@
@to blow@|@ru@
@to blow in puffs@|@äphot@
@to bob up@|@käbrong@
@to bow@|@gum@
@to bow low@|@dägup@
@to braid@|@khri'@
@to branch@|@kung@
@to break@|@grop@
@to breathe@|@sa'@
@to bridge@|@khrai, khrai, mäkhrai, mäkhrai@
@to bubble@|@prut@
@to bubble up@|@pun@
@to bud@|@mäum, muum@
@to bundle@|@mätep@
@to burn@|@grung, zhu@
@to burst open@|@bò'@
@to buy@|@märi@
@to buy on credit@|@zhik@
@to calculate@|@son, tot@
@to carry@|@khap, nphje@
@to carry in the hand@|@lang@
@to carry on the back@|@gun@
@to cast lots@|@da@
@to cause@|@zhe@
@to change@|@mälai@
@to change course@|@mäbai@
@to charge@|@šädu@
@to clear@|@san@
@to close@|@chup@
@to close the fist@|@lätup@
@to coerce@|@gäšun@
@to collect@|@läkhon@
@to comb@|@mäsit@
@to come@|@bjon@
@to compel@|@ädip@
@to complain@|@lächin, läzhin@
@to compress@|@gumzhom@
@to conceal@|@lägjim@
@to confuse@|@numšap@
@to connect@|@mätut@
@to conquer@|@ong@
@to consider@|@gon, gum-ju@
@to consult@|@bong@
@to contend@|@khat@
@to control@|@bing, bjeng@
@to cover@|@gup, mägap, mägap, mäkop, tinggrum, úp@
@to crawl@|@gä-un, kä-un@
@to crowd@|@sak@
@to crush@|@äjai@
@to cuddle down@|@kon@
@to curse@|@dägam@
@to cut@|@dan, don, khot, phjat, phrat@
@to cut in small pieces@|@ätok@
@to deceive@|@khälem, lem@
@to delay@|@khring@
@to deliver in childbirth@|@ndang@
@to depend@|@chu, mächu@
@to deride@|@ägja@
@to descend@|@khru@
@to desire@|@märit@
@to destroy@|@bru@
@to die as cattle from disease@|@šinggrom@
@to dig@|@got, lai, thu@
@to dig out@|@krau@
@to dissolve@|@tun@
@to divide@|@gäran@
@to divine@|@ba@
@to do fall-ploughing@|@gje@
@to drag@|@gasot, sot@
@to draw@|@kärot@
@to dream@|@mang@
@to drink@|@lu'@
@to drive@|@gon@
@to drop@|@gäthe', nthe', the'@
@to dry@|@gärau@
@to eat@|@jok@
@to embrace@|@äphum, ginšum@
@to encircle@|@käwan@
@to end@|@šädom, šätom@
@to enjoy@|@mjen-mjen@
@to enslave@|@jam, jum@
@to enter@|@šang@
@to escape@|@lot@
@to excel@|@ton@
@to exist@|@nga@
@to extend@|@šäpa@
@to extend in time@|@chäna, na@
@to fall@|@cang, gädang, gädong, gjum, grum, käding, khrum, rang@
@to fear@|@kom@
@to fell trees@|@khran@
@to fill@|@tek@
@to find acceptable@|@com@
@to fix@|@rit@
@to flash@|@gälam, la@
@to flow@|@šon@
@to fly@|@gäšoi, pjau@
@to fold@|@dägo@
@to follow@|@khan@
@to forget@|@mälàp@
@to fry@|@gängau@
@to gamble@|@to@
@to gasp for breath@|@gäang@
@to gather@|@jup@
@to gather up@|@cing@
@to gaze@|@äji'@
@to gaze at@|@äsoi, soi@
@to give@|@ja, lu, zho'@
@to give gratuitously@|@ägam@
@to give thanks@|@šäkon@
@to gleet@|@ri'@
@to glide@|@gumrit@
@to glitter@|@gäla@
@to gnaw@|@kret, makret@
@to go round@|@phjin@
@to graze@|@äšot@
@to grind@|@krit@
@to grind the teeth@|@krit@
@to grow@|@pjan@
@to grub@|@daí@
@to guard@|@läkhu@
@to gulp down@|@dägrot, grot, krut@
@to hand over@|@ap@
@to hang@|@äbja@
@to harvest@|@šu@
@to hatch@|@phum@
@to hate@|@ndong@
@to have lost taste@|@khreng@
@to heat@|@mälum, sälum@
@to hide@|@gjim@
@to hinder@|@äkhum@
@to hit against as in dark@|@käthuk@
@to hold@|@zhum zhu@
@to hold in custody@|@thim@
@to hook@|@mäkhai@
@to humiliate@|@nik@
@to inquire@|@gon@
@to instigate@|@kächan@
@to itch@|@käja, märu'@
@to jest@|@šätu@
@to jump@|@käcot@
@to keep@|@mäkhong@
@to kill@|@din@
@to knot@|@gindum@
@to know@|@che@
@to laugh@|@mäni, ndam@
@to leak@|@jun, käjun@
@to lean@|@nkhjeng@
@to lean on@|@gumgoi@
@to leave@|@ngam@
@to liberate@|@tat@
@to lick@|@mäta'@
@to lie@|@mäsu', phjop@
@to light@|@šätu@
@to like@|@dong, nzhi, ron, šärang, zhi@
@to limp@|@gai, lägai, thon@
@to live@|@khrung@
@to loaf@|@ägo'@
@to loosen@|@mälo'@
@to lower@|@šänem@
@to mark@|@dem, märi, märi'@
@to measure@|@theng@
@to measure by fathom@|@lälam, lam@
@to meet@|@ju, käbrum@
@to meet an obstacle@|@šing-dan@
@to meet suddenly@|@gädup@
@to melt@|@bjo@
@to mend@|@käpa@
@to mix@|@šänan@
@to mock@|@bjeng@
@to move@|@gumren@
@to munch@|@alem, lem@
@to murder@|@gäsat@
@to nag@|@chop, zhop@
@to name@|@šämjing@
@to obstruct@|@pat@
@to offer@|@sak@
@to open@|@mäkha@
@to open wide@|@dägan@
@to overflow@|@gäbrat@
@to pass along@|@gälen, khälen@
@to pass off@|@mje, mjen@
@to pierce@|@chok, gälun, jing@
@to pile@|@cha, dang@
@to plant@|@khai, khai, ting@
@to play@|@chai@
@to plough@|@thai@
@to pound@|@gre'@
@to pour@|@rú@
@to preach@|@ho, kho@
@to prepare@|@khjem, khjen@
@to press@|@änin, dip@
@to press against@|@mäkan@
@to produce a sound@|@äkong@
@to prohibit@|@khum@
@to promise@|@ndat@
@to prop@|@thok@
@to protect@|@than@
@to pursue@|@ten@
@to push@|@gänong, nong, thu@
@to put@|@dik, kan@
@to put end to end@|@däro@
@to put on as@|@dägro, gro@
@to put on shelves@|@bù@
@to raise@|@šätut@
@to rasp@|@äkhret, khret, mäkhret@
@to reach forth@|@don@
@to read@|@thi@
@to regard as undesirable@|@gäri@
@to remove@|@cong@
@to repair@|@gram@
@to repeat@|@bai@
@to repel@|@mänga'@
@to resemble@|@san, šan@
@to rest@|@läna'@
@to return@|@nthang@
@to ride@|@zhon@
@to ridicule@|@zho, zhong@
@to roll into rolls@|@gum-jon@
@to roof@|@gälup@
@to row@|@šap@
@to rub@|@änut@
@to rub in@|@ärut, rut@
@to rub off@|@ärit@
@to rule@|@zhau@
@to run as a frightened@|@käpa@
@to sacrifice@|@phäzhau, zhau@
@to scale off@|@gälap@
@to scatter@|@äjai, jai@
@to scold@|@käche@
@to scoop@|@äšap, läšap@
@to scoop up@|@dägot, mägon@
@to scrape@|@äkhrap@
@to scrape off@|@khjen@
@to scratch@|@ägret, märet, rat@
@to scratch with nails@|@mäkhjit@
@to search@|@gäsok, sok@
@to seek@|@bram@
@to seize@|@gra, mägra'@
@to send@|@sa@
@to separate@|@märan, päran@
@to serve@|@do@
@to set@|@zhanšang@
@to set fire to@|@nat@
@to sever@|@dut@
@to shade@|@nip@
@to shake@|@änak, gäri', wám@
@to shake off@|@äšun@
@to shine@|@gäbrim, käbram, zhan, zhan ze@
@to shine as the sun@|@käpram@
@to shout@|@märon@
@to show@|@bja, pja@
@to show agitation@|@gätu'@
@to show love@|@n-zha'@
@to show reverence@|@ko@
@to show temper@|@däkat@
@to shrink@|@thun@
@to side with@|@kom@
@to sift@|@käcan@
@to singe@|@gälip, kälip, kätip@
@to sit@|@dung, nit, thit@
@to slant@|@nga'@
@to sleep@|@jup@
@to slice@|@gälep, kälep, lep@
@to slip@|@mälu@
@to slip down@|@gumcun@
@to smart@|@mäkrim@
@to smell@|@mänam, nam@
@to smile@|@sai@
@to snatch@|@khrut, mäšun@
@to sneeze@|@käthi@
@to sniff@|@asut, märop, sut, yasut@
@to sow@|@ban@
@to speak@|@brat, cun, prat, su@
@to speak plainly@|@khrang@
@to spill@|@kho'@
@to spit@|@mä-thwi, mätho@
@to splice@|@bungkhot@
@to spring@|@gan, käpun@
@to sprinkle@|@bun@
@to stake@|@long@
@to stand@|@cap@
@to stand as water@|@ing@
@to steal@|@lägu@
@to steer@|@khang@
@to step@|@läkham@
@to stink@|@khang, phú@
@to stir as a fire@|@non@
@to stop@|@gäraì, raì@
@to straighten@|@mälan@
@to strike@|@ädit@
@to stroke@|@masop@
@to stutter@|@am@
@to suck@|@chup, hru@
@to suffer@|@käšan@
@to summon@|@gau@
@to surround@|@äwai, khoi, ram@
@to swagger@|@šäkong@
@to swear@|@mäca@
@to sweep@|@nrip, rip@
@to swell@|@brong@
@to swing@|@jeng@
@to take@|@mo'@
@to take aim@|@šäda@
@to take hold of@|@šum, zhum, zhum@
@to taste@|@chim@
@to tear@|@äšep@
@to thicken@|@ge, gje@
@to threaten@|@äkhrim@
@to throw@|@gäbai, nteng, teng@
@to touch lightly@|@äthok@
@to trail@|@khrám@
@to transport@|@tho@
@to trap@|@jom, kham, mäkham@
@to travel@|@khom@
@to trim@|@krum@
@to trouble@|@dingsa'@
@to turn around@|@käjin@
@to turn upside down@|@nthang@
@to uproot@|@bo'@
@to urinate@|@chi, zhi@
@to use@|@cung, sung@
@to value@|@gung@
@to vibrate@|@ngat@
@to vomit@|@mädon@
@to wait@|@äla, la, mäla@
@to walk as on rail@|@gau@
@to wall@|@šäkum@
@to ward off@|@ga@
@to warm one's self@|@kra@
@to wash@|@gäšin, šin@
@to wear@|@chop, läbu, sumro@
@to weep@|@khrap@
@to weigh@|@šen, šin@
@to wind@|@rit@
@to wind around@|@pat@
@to wipe@|@gäcu@
@to wound@|@khäla'@
@to wrap up@|@thup@
@to wriggle@|@gädau@
@to write@|@ka@
@to yawn@|@gäkham@
@toad@|@šu'@
@toast@|@gäkang@
@tomorrow@|@phot@
@tongs@|@läkap@
@tooth@|@wa@
@top@|@lätha', tha'@
@touch anything@|@käthok@
@touch lightly@|@thok, zhot@
@tough@|@greng@
@trade@|@ga, phäga@
@trash@|@äbut@
@tripod@|@khra@
@turn over@|@gäle, le, päle@
@turn round@|@käwin@
@twenty@|@khun@
@twig@|@mäku'@
@twins@|@märun@
@twitch@|@äkhje'@
@two@|@khong, lä, nan, nang, nanhte, nanhteng, ni@
@unbind@|@ro'@
@understanding@|@cai, zhai@
@unmarried@|@läka@
@urine@|@zhit@
@usefulness@|@äsung@
@vacant@|@man@
@vagina@|@zhin@
@variety of arum@|@ning-bjen@
@variety of bamboo@|@läkhra@
@variety of gibbon@|@šära@
@village@|@käthong@
@vomit@|@n-phat@
@wages@|@šäbrai@
@wait@|@nga@
@war@|@mäzhan@
@warm@|@um@
@wash@|@khrut@
@wash the face@|@mjit@
@watch-tower in a paddy field@|@mächa@
@water@|@nci-n, numra, šägroi@
@water as oozing@|@nam-chim@
@water-basin@|@ang@
@we@|@an the@
@we are@|@rai ga ai@
@we were@|@rai sa ga dai@
@weak-minded@|@ägong@
@wearied@|@zhin@
@weave@|@da'@
@what?@|@pha@
@where@|@gälo@
@where?@|@gänang, gäning@
@whetstone@|@khrut@
@whey@|@gärang, kärang@
@whirlpool@|@phung-wai@
@white@|@chäphrö, phrò@
@whole@|@ninggon@
@widower@|@sing-kra@
@wild goat@|@jà@
@wild goose@|@khrang-ma@
@wind@|@nbung, phjet@
@wind between the thumb@|@läkha'@
@wings@|@singko@
@wisdom@|@šäran@
@womb@|@pu-zhat@
@wood@|@mäling@
@wool@|@sägu@
@work@|@mägan, mäkan, numrang@
@worm@|@kä, zhai, zhin@
@wormwood@|@läši@
@wound@|@nma@
@wrist@|@läsing@
@year@|@šäning@
@yellow@|@thoi@
@yes@|@au@
@you are@|@rai n dai@
@you are (pl)@|@rai ma dai@
@you were@|@rai sin dai@
@you were (pl)@|@rai ma sin dai@
@young bamboo@|@gung-lung@
@young man@|@mäli@
@young of cattle@|@u-kro@
@younger sibling@|@gänau@

